ID,Name,Desc
1,Lôi,
2,Lôi,
3,Lôi,
4,Th¥n,
5,Th¥n,
608,"Hôn Mê Chi Ðµc","T¦m ch¤t cñc ðµc, có mµt xác su¤t nh¤t ð¸nh giäm t¯c ðµ di chuy¬n cüa møc tiêu.",
609,"Nhßþc Hóa Chi Ðµc","T¦m ch¤t cñc ðµc, có mµt xác su¤t nh¤t ð¸nh giäm sÑc t¤n công cüa møc tiêu.",
610,"C¤p Hi®u Chi Ðµc (Tång Công Kích)","Tång sát thß½ng lên $EffParam1$ ði¬m.",
611,"Hôn Mê Chi Ðµc (Giäm Di Chuy¬n)","Giäm t¯c ðµ di chuy¬n xu¯ng $EffParam1$%.",
612,"Nhßþc Hóa Chi Ðµc (Giäm Công Kích)","Giäm sÑc t¤n công xu¯ng $EffParam1$ ði¬m.",
613,"Tång Phòng Ngñ (Thiên Càn V® Thú)","Tång sÑc phòng ngñ v§t lý cüa Linh thú lên $EffParam1$ ði¬m.",
614,"Tång Công Kích (Ð¸a Khôn Thú Công)","Tång sÑc sát thß½ng v§t lý cüa Linh thú lên $EffParam1$ ði¬m.",
615,"Li®t Di®m (Höa Di®m Thiên La)",
616,"Li®t Di®m","Duy trì sát thß½ng trong 6 giây, m²i 2 giây tÕo ra $EffParam1$ ði¬m sát thß½ng.",
617,"Hàn Bång (Hàn Bång Ð¸a Võng)",
618,"Hàn Bång","Ðóng bång, không th¬ di chuy¬n.",
619,"Duy Trì Tång Khí Huyªt (Nhiên Sinh Thú Li®u)","Kích dçn ngu°n lñc t× thiên nhiên, giúp tr¸ thß½ng cho linh thú, m²i 2 giây tr¸ li®u ðßþc $EffParam1$ ði¬m t±n thß½ng.",
701,"Hôn Mê (Nång Lßþng Xung Kích)",
702,"Hôn Mê","Hôn mê trong 5 giây.",
703,"Hü Thñc","M²i 2 giây $EffParam1$ ði¬m sinh m®nh, duy trì trong 10 giây.",
704,"Li®t Di®m",
705,"Li®t Di®m","M²i 2 giây $EffParam1$ ði¬m sinh m®nh, duy trì trong 10 giây.",
706,"Giäm Phòng Ngñ","Giäm sÑc phòng ngñ xu¯ng $EffParam1$ ði¬m.",
707,"Bång Ðông","B¸ Hàn Bång làm ðông cÑng, không th¬ t¤n công và di chuy¬n.",
708,"Hü Thñc Hoa Ðµc","M²i 2 giây $EffParam1$ ði¬m sinh m®nh, duy trì trong 10 giây.",
710,"Giäm Hoä Phòng Ngñ","SÑc phòng ngñ thuµc tính Hoä giäm $EffParam1$ ði¬m.",
1001,"CßÞng Chª Công Kích Møc Tiêu (Trung Nghîa Hµ Chü)","H¤p thø thù h§n c¤p t¯c.",
1002,"Gia T¯c (Truy Tung)","Tång t¯c ðµ di chuy¬n lên $EffParam2$%.",
1003,"Công Kích Tång Cß¶ng (Cß¶ng BÕo)","Tång sát thß½ng lên $EffParam1$ ði¬m.",
1200,"Tång Gi¾i HÕn Sinh M®nh (Ngân Quang Tê Ði¬u)","Hi®u quä do Thu¥n Thú Kim Quang Tê Ði¬u ðem ðªn, có th¬ tång gi¾i hÕn th¬ lñc cüa chü nhân lên $EffParam1$ ði¬m.",
1201,"Gia T¯c H°i Huyªt (Kim Quang Tê Ði¬u)","Hi®u quä do Thu¥n Thú Kim Quang Tê Ði¬u ðem ðªn, khi trong trÕng thái không chiªn ð¤u có th¬ tång t¯c ðµ h°i huyªt cüa chü nhân lên m²i giây $EffParam1$ ði¬m.",
1202,"Gia Huyªt Chü Nhân (Kim Quang Tê Ði¬u)","Hi®u quä do Thu¥n Thú Kim Quang Tê Ði¬u ðem ðªn, có th¬ tång th¬ lñc cho chü nhân: 20 + c¤p ðµ Thu¥n Thú x (10 + lßþng huýêt khí c½ bän cüa chü nhân x 1%), khi trong trÕng thái không chiªn ð¤u có th¬ tång t¯c ðµ h°i huýêt cäu chü nhân m²i 2 giây: c¤p ðµ Thu¥n Thú x (1 + lßþng huýêt khí c½ bän cüa chü nhân x 1%).",
1203,"Tång Gi¾i HÕn Pháp Lñc (Hoàng Kim KÏ Khuy¬n)","Hi®u quä do Thu¥n Thú Hoàng Kim KÏ Khuy¬n ðem ðªn, có th¬ tång gi¾i hÕn pháp lñc cüa chü nhân lên $EffParam1$ ði¬m.",
1204,"Tång T¯c H°i Pháp (Hoàng Kim KÏ Khuy¬n)","Hi®u quä do Thu¥n Thú Hoàng Kim KÏ Khuy¬n ðem ðªn, khi trong trÕng thái không chiªn ð¤u có th¬ tång t¯c ðµ h°i pháp lñc cüa chü nhân lên m²i giây $EffParam1$ ði¬m..",
1205,"Gia Pháp Chü Nhân (Hoàng Kim KÏ Khuy¬n)","Hi®u quä do Thu¥n Thú Hoàng Kim KÏ Khuy¬n ðem ðªn, có th¬ tång pháp lñc cho chü nhân: 30 + c¤p ðµ Thu¥n Thú x (15 + lßþng pháp lñc c½ bän cüa chü nhân x 1%), khi trong trÕng thái không chíên ð¤u có th¬ tång t¯c ðµ h°i phøc pháp lñc cüa chü nhân m²i 2 giây: c¤p ðµ Thu¥n Thú x (1.5 + lßþng pháp lñc c½ bän cüa chü nhân x 1%).",
1206,"Tång Gi¾i HÕn Huyªt Khí (Ti¬u Dß½ng Thông)","Hi®u quä do Thu¥n Thú Ti¬u Dß½ng Thông ðem ðªn, có th¬ tång gi¾i hÕn th¬ lñc cüa chü nhân lên $EffParam1$ ði¬m.",
1207,"Gia T¯c H°i Huyªt (Ti¬u Dß½ng Thông)","Hi®u quä do Thu¥n Thú Ti¬u Dß½ng Thông ðem ðªn, khi trong trÕng thái không chiªn ð¤u có th¬ tång t¯c ðµ h°i huyªt cüa chü nhân lên m²i giây $EffParam1$ ði¬m.",
1208,"Gia Huyªt Chü Nhân (Ti¬u Dß½ng Thông)","Hi®u quä do Thu¥n Thú Ti¬u Dß½ng Thông ðem ðªn, có th¬ tång ði¬m th¬ lñc cho chü nhân: 20 + c¤p ðµ Thu¥n Thú x (10 + lßþng huyªt khí c½ bän cüa chü nhân x 1%), khi · trong trÕng thái không chiªn ð¤u có th¬ tång t¯c ðµ h°i phøc huyªt khí cüa chü nhân m²i 2 giây: c¤p ðµ Thu¥n Thú x (1 + lßþng huyªt khí c½ bän cüa chü nhân x 1%).",
1209,"Tång Phòng Ngñ (Ti¬u ThØ)","Hi®u quä do Thu¥n Thú Ti¬u ThØ tÕo ra, tång sÑc phòng ngñ v§t lý cüa chü nhân lên $EffParam1$.",
1210,"Gia T¯c H°i Huyªt (Ti¬u ThØ)","Hi®u quä do Thu¥n Thú Ti¬u ThØ ðem ðªn, khi trong trÕng thái không chiªn ð¤u có th¬ tång t¯c ðµ h°i huyªt cüa chü nhân lên m²i giây $EffParam1$ ði¬m.",
1211,"Tång Phòng Ngñ Tång H°i Huyªt Chü Nhân (Ti¬u ThØ)","Hi®u quä do Thu¥n Thú Ti¬u ThØ tÕo ra, tång sÑc phòng ngñ v§t lý cüa chü nhân lên: c¤p ðµ Thu¥n Thú x 1%, trong trÕng thái không chiªn ð¤u s¨ tång t¯c ðµ h°i huyªt cüa chü nhân m²i 2 giây lên: c¤p ðµ Thu¥n Thú x (1 + lßþng khí huyªt c½ bän chü nhân x 0.001).",
1212,"Tång Phòng Ngñ (Höa Ly ThØ)","Hi®u quä do Thu¥n Thú Höa Ly ThØ tÕo ra, tång sÑc phòng ngñ v§t lý cüa chü nhân lên $EffParam1$.",
1213,"Gia T¯c H°i Huyªt (Höa Ly ThØ)","Hi®u quä do Thu¥n Thú Höa Ly ThØ tÕo ra, giúp t¯c ðµ h°i huyªt cüa chü nhân khi trong trÕng thái không chiªn ð¤u tång $EffParam1$ ði¬m.",
1214,"Tång Phòng Ngñ Tång H°i Huyªt Chü Nhân (Höa Ly ThØ)","Hi®u quä do Thu¥n Thú Hoä Ly ThØ tÕo ra, tång sÑc phòng ngñ v§t lý cüa chü nhân lên: c¤p ðµ Thu¥n Thú x 1%, trong trÕng thái không chiªn ð¤u s¨ tång t¯c ðµ h°i khí huyªt cüa chü nhân m²i 2 giây lên: c¤p ðµ Thu¥n Thú x (1 + lßþng khí huyªt c½ bän chü nhân x 0.001).",
1215,"Tång Phòng Ngñ","Hi®u quä do Thu¥n Thú tÕo ra, tång sÑc phòng ngñ v§t lý cüa chü nhân lên $EffParam1$.",
1216,"Tång Phòng Ngñ Cho Chü Nhân","Hi®u quä do Thu¥n Thú tÕo ra, tång sÑc phòng ngñ v§t lý cüa chü nhân lên: c¤p ðµ Thu¥n Thú x 1%.",
1217,"Tång gi¾i hÕn huyªt khí (Ti¬u Niên Thú)","Hi®u quä do Thu¥n Thú Ti¬u Niên Thú ðem ðªn, có th¬ tång gi¾i hÕn th¬ lñc cüa chü nhân lên $EffParam1$ ði¬m.",
1218,"Tång Phòng Ngñ (Ti¬u Niên Thú)","Hi®u quä do Thu¥n Thú Ti¬u Niên Thú ðem ðªn, có th¬ tång phòng ngñ v§t lý $EffParam1$%",
1219,"Gia Huyªt Gia V® Chü Nhân (Ti¬u Niên Thú)","Hi®u quä do Thu¥n Thú Ti¬u Niên Thú ðem ðªn, có th¬ tång th¬ lñc cüa chü nhân, 20 + c¤p ðµ Thu¥n Thú x (10 + lßþng huyªt khí c½ bän cüa chü nhân x 1%), tång phòng ngñ v§t lý, c¤p ðµ Thu¥n Thú x 1%",
2001,"KÜ Th×a Thu§t","Tång t¯c ðµ di chuy¬n.",
2007,"Tång Phòng Ngñ (Kim Cang Ðan)","Tång sÑc phòng ngñ lên $EffParam1$%.",
2011,"Tång Th¬ Lñc (Dßþc Sß Ðan)","Tång sinh m®nh lên $EffParam1$%.",
2035,"Tång Kinh Nghi®m (Linh Bäo Th¥n Phù)","Tång kinh nghi®m có ðßþc do ðánh quái lên $EffParam1$%.",
2039,"Tång Kinh Nghi®m (Thái Thßþng Th¥n Phù)","Tång kinh nghi®m có ðßþc do ðánh quái lên $EffParam1$%.",
2043,"Tång Linh Lñc (Mµc Công Th¥n Phù)","Tång linh lñc có ðßþc do ðánh quái lên $EffParam1$%.",
