ID,Name,Desc,TalentDesc
227,"Tînh Tâm Quyªt","Giäm mÑc ðµ thù h§n cüa quái v§t xu¯ng $PartyDPS(MWLev(227),0)*3$ ði¬m.",
228,"Thanh Tâm Quyªt","L§p tÑc giäi tr× trÕng thái hôn mê.",
231,"Tång cß¶ng Tø Höa Dçn","H¤p thø nguyên t¯ höa trong tr¶i ð¤t và ngßng tø trên Phi Kiªm ð¬ t¤n công møc tiêu , tÕo ra ði¬m sát thß½ng ð¯i v¾i møc tiêu là $DmgMin(ActorDPS*1.5*(1+SkillLevel(231)*0.06))$-$DmgMax(ActorDPS*1.5*(1+SkillLevel(231)*0.06))$ ði¬m.","Tång mÑc sát thß½ng cüa Tø Höa Dçn lên $SkillLevel(231)*6$%.
C¤p 1: 6%
C¤p 2: 12%
C¤p 3: 18%
C¤p 4: 24%
C¤p 5: 30%"
232,"Tång cß¶ng Ly Höa Phá ","Phi Kiªm phóng lên t× m£t ð¤t chém xuyên thân th¬ møc tiêu , ði¬m sát thß½ng tÕo ra ð¯i v¾i møc tiêu là $DmgMin(ActorDPS*2.5*(1+SkillLevel(232)*0.05))$-$DmgMax(ActorDPS*2.5*(1+SkillLevel(232)*0.05))$ ði¬m.","Kéo dài th¶i gian thi tri¬n pháp lñc cüa Ly Höa Phá lên 0.$SkillLevel(232)$ giây, ð°ng th¶i tång $SkillLevel(232)*5$% sát thß½ng.
C¤p 1: 0.1 5%
C¤p 2: 0.2 10%
C¤p 3: 0.3 15%
C¤p 4: 0.4 20%
C¤p 5: 0.5 25%"
233,"Tång cß¶ng Huy«n Höa Phá ","Phi kiªm kèm theo höa quang phóng nhß bay v« phía møc tiêu, ði¬m sát thß½ng tÕo ra ð¯i v¾i møc tiêu là $DmgMin(ActorDPS*1.2)$-$DmgMax(ActorDPS*1.2)$ , ð°ng th¶i khiªn ð¯i phß½ng không th¬ t¤n công xa trong vòng $3+SkillLevel(233)*0.5$ giây.","Th¶i gian có hi®u lñc tång lên $SkillLevel(233)*0.5$giây. 
C¤p 1: 0.5
C¤p 2: 1.0
C¤p 3: 1.5
C¤p 4: 2.0
C¤p 5: 2.5"
234,"Tång cß¶ng Höa Long Vû ","Tri®u h°i Höa Long hÕ phàm, tÕo ra ði¬m sát thß½ng là $DmgMin(ActorDPS)$-$DmgMax(ActorDPS)$, kèm theo hi®u Ñng cháy ,tÕo ra ði¬m sát thß½ng trong vòng 15 giây là $PartyDPS(MWLev(204),0)*3*(1+SkillLevel(234)*0.08)$ ði¬m.","MÑc sát thß½ng do lØa thiêu tång lên $SkillLevel(234)*8$%.
C¤p 1: 8%
C¤p 2: 16%
C¤p 3: 24%
C¤p 4: 32%
C¤p 5: 40%"
235,"Tång cß¶ng Xích Di­m Träm","Kích thích lu°ng höa khí mãnh li®t cüa bän thân, ð¯t cháy tà linh xung quanh c½ th¬. TÕo ra ði¬m sát thß½ng là $DmgMin(ActorDPS*2)$-$DmgMax(ActorDPS*2)$ ði¬m. KÛ nång t¤n công theo  phÕm vi.","Tång xác su¤t bÕo kích lên $SkillLevel(235)*5$%.
C¤p 1: 5%
C¤p 2: 10%
C¤p 3: 15%
C¤p 4: 20%
C¤p 5: 25%"
236,"Tång cß¶ng sát thß½ng Höa H®  ",,"Tång mÑc sát thß½ng cüa Höa H® lên $SkillLevel(236)*2$%.
C¤p 1: 2%
C¤p 2: 4%
C¤p 3: 6%
C¤p 4: 8%
C¤p 5: 10%"
237,"Tång cß¶ng xác su¤t bÕo kích cüa Höa h® ",,"Tång xác su¤t bÕo kích cüa Höa H® lên $SkillLevel(237)*1$%.
C¤p 1: 1%
C¤p 2: 2%
C¤p 3: 3%
C¤p 4: 4%
C¤p 5: 5%"
238,"Tång cß¶ng sát thß½ng bÕo kích Höa H® ",,"Tång mÑc sát thß½ng do bÕo kích cüa Höa H® lên $SkillLevel(238)*10$%.
C¤p 1: 10%
C¤p 2: 20%
C¤p 3: 30%
C¤p 4: 40%
C¤p 5: 50%"
241,"Höa Th¥n Chân Quyªt","Tång xác su¤t bÕo kích cüa Höa H® lên 50%, duy trì trong 10 giây.",
242,"Li®t Höa Chân Quyªt","Ðòn t¤n công tiªp theo cüa Höa H® s¨ là bÕo kích.",
251,"Tång cß¶ng Thanh Tuy«n Dçn","H¤p thø nguyên t¯ thüy trong tr¶i ð¤t và ngßng tø trên phi kiªm ð¬ t¤n công møc tiêu, tÕo ra ði¬m sát thß½ng ð¯i v¾i møc tiêu là  $DmgMin(ActorDPS*1.5*(1+SkillLevel(251)*0.04))$-$DmgMax(ActorDPS*1.5*(1+SkillLevel(251)*0.04))$ ði¬m.","Tång mÑc sát thß½ng lên $SkillLevel(251)*4$%.
C¤p 1: 4%
C¤p 2: 8%
C¤p 3: 12%
C¤p 4: 16%
C¤p 5: 20%"
252,"Tång cß¶ng Huy«n Bång Träm","Nguyên t¯ thüy trên phi kiªm kªt tinh thành hàn bång, công träm møc tiêu, tÕo ra ði¬m sát thß½ng ð¯i v¾i møc tiêu là $DmgMin(ActorDPS*1.1)$-$DmgMax(ActorDPS*1.1)$, ð°ng th¶i ðông cÑng møc tiêu trong 5 giây.","Giäm th¶i gian ch¶ cüa chiêu thÑc xu¯ng $SkillLevel(252)*2$ giây.
C¤p 1: 2 giây
C¤p 2: 4 giây
C¤p 3: 6 giây
C¤p 4: 8 giây
C¤p 5: 10 giây"
253,"Tång cß¶ng Nµ Häi Ba","Phát ra mµt cµt nß¾c cñc l¾n t¤n công v« phía møc tiêu, tÕo ra ði¬m sát thß½ng là $DmgMin(ActorDPS*2.5)$-$DmgMax(ActorDPS*2.5)$.","Pháp lñc tiêu hao giäm $SkillLevel(253)*6$%.
C¤p 1: 6%
C¤p 2: 12%
C¤p 3: 18%
C¤p 4: 24%
C¤p 5: 30%"
254,"Tång cß¶ng Häi Tri«u Quyªt","Hình thành mµt xoáy nß¾c gi¯ng nhß häi tri«u, khiªn møc tiêu giäm t¯c ðµ và ch¸u ði¬m sát thß½ng là $DmgMin(ActorDPS*0.75)$-$DmgMax(ActorDPS*0.75)$ ði¬m. KÛ nång t¤n công theo  phÕm vi.","Tång hi®u quä giäm t¯c ðµ cüa møc tiêu lên $SkillLevel(254)*10$%.
C¤p 1: 10%
C¤p 2: 20%
C¤p 3: 30%
C¤p 4: 40%
C¤p 5: 50%"
255,"Tång cß¶ng Phi Lßu Träm","Phi Kiªm chém møc tiêu nh© nhàng tña mây bay nß¾c chäy, tÕo ra ði¬m sát thß½ng là $DmgMin(ActorDPS*1.2)$-$DmgMax(ActorDPS*1.2)$, khiªn møc tiêu r½i vào tình trÕng phòng ngñ yªu ¾t ð¯i v¾i h® Thüy, m²i l¥n b¸ kÛ nång Thüy H® t¤n công phäi ch¸u ði¬m sát thß½ng t¯i ða là $PartyDPS(MWLev(215), 0)*0.25*(1+SkillLevel(255)*0.1)$ ði¬m.","Tång mÑc sát thß½ng lên $SkillLevel(255)*10$%.
C¤p 1: 10%
C¤p 2: 20%
C¤p 3: 30%
C¤p 4: 40%
C¤p 5: 50%"
256,"Tång cß¶ng sát thß½ng Thüy H®",,"Tång mÑc sát thß½ng cüa Thüy H® lên $SkillLevel(256)*2$%.
C¤p 1: 2%
C¤p 2: 4%
C¤p 3: 6%
C¤p 4: 8%
C¤p 5: 10%"
257,"Tång cß¶ng xác su¤t bÕo kích Thüy H®",,"Tång xác su¤t bÕo kích cüa Thüy H® lên $SkillLevel(257)*1$%.
C¤p 1: 1%
C¤p 2: 2%
C¤p 3: 3%
C¤p 4: 4%
C¤p 5: 5%"
258,"Tång cß¶ng sát thß½ng bÕo kích Thüy H®",,"Tång mÑc sát thß½ng do bÕo kích cüa Thüy H® lên $SkillLevel(258)*10$%.
C¤p 1: 10%
C¤p 2: 20%
C¤p 3: 30%
C¤p 4: 40%
C¤p 5: 50%"
261,"H°i Ma Quyªt","Trong 15 giây phøc h°i 100% pháp lñc.",
262,"Long Th¥n Quyªt","Trong 10 giây xác su¤t bÕo kích cüa Thüy H® tång 50%.",
271,"Tång cß¶ng Hàn Bång Thuçn","Dùng pháp lñc ngßng tø thành 3 qu¥ng hàn bång hµ thuçn, tång ði¬m phòng ngñ lên $DRRToArmor(0.1,MWLev(222))$ ði¬m, không th¬ thi tri¬n cùng lúc v¾i Thiên Cß½ng Thu§t.","Sau khi b¸ t¤n công v§t lý, s¨ có $SkillLevel(271)*10$% c½ hµi trong 3 giây khiªn t¯c ðµ di chuy¬n cüa ð¯i phß½ng giäm 80%.
C¤p 1: 10%
C¤p 2: 20%
C¤p 3: 30%
C¤p 4: 40%
C¤p 5: 50%"
272,"Tång cß¶ng Hàn Bång Thích","Tri®u h°i bång trø t¤n công møc tiêu, tÕo ra ði¬m sát thß½ng là $DmgMin(PartyDPS(MWLev(222), 0)*0.8)$-$DmgMax(PartyDPS(MWLev(222), 0)*0.8)$ ði¬m, ð°ng th¶i khiªn t¯c ðµ di chuy¬n cüa møc tiêu giäm xu¯ng 80% trong vòng 5 giây.","Rút ng¡n th¶i gian ch¶ cüa chiêu thÑc xu¯ng $SkillLevel(272)$ giây.
C¤p 1: 1 giây
C¤p 2: 2 giây
C¤p 3: 3 giây
C¤p 4: 4 giây
C¤p 5: 5 giây"
273,"Tång cß¶ng Khích Tu® Thu§t","Tång ði¬m trí tu® liên tøc trong 30 phút là $(MWLev(223)+5)*(1+SkillLevel(273)*0.05)$, có th¬ thi tri¬n phép lên ð¯i tßþng khác.","Tång hi®u quä lên $SkillLevel(273)*5$%.
C¤p 1: 5%
C¤p 2: 10%
C¤p 3: 15%
C¤p 4: 20%
C¤p 5: 25%"
274,"Tång cß¶ng Vñng Huy®t Thu§t","Khiªn quái v§t hôn mê trong $20+SkillLevel(274)*3$ giây, chï có th¬ sØ døng ð¯i v¾i nhæng quái v§t ðang trong trÕng thái không tác chiªn.","Kéo dài th¶i gian hôn mê lên $SkillLevel(274)*3$ giây.
C¤p 1: 3 giây
C¤p 2: 6 giây
C¤p 3: 9 giây
C¤p 4: 12 giây
C¤p 5: 15 giây"
275,"Tång cß¶ng Thiên Cß½ng Thu§t","Ngçu nhiên giäi tr× mµt trÕng thái có ích cüa møc tiêu.","Giäm th¶i gian ch¶ cüa Thiên Cß½ng Thu§t xu¯ng $SkillLevel(275)*3$ giây.
C¤p 1: 3 giây
C¤p 2: 6 giây
C¤p 3: 9 giây
C¤p 4: 12 giây
C¤p 5: 15 giây"
276,"Tång cß¶ng Ð¸a Cß½ng Thu§t","Pháp thu§t t¤n công theo phÕm vi, tÕo ra $DmgMin(PartyDPS(MWLev(226),0)*2)$-$DmgMax(PartyDPS(MWLev(226),0)*2)$ ð¬im sát thß½ng, ð°ng th¶i làm møc tiêu choáng trong 5 giây.","Tång xác su¤t bÕo kích lên $SkillLevel(276)*10$%.
C¤p 1: 10%
C¤p 2: 20%
C¤p 3: 30%
C¤p 4: 40%
C¤p 5: 50%"
277,"Tång cß¶ng Tînh Tâm Quyªt","Giäm mÑc ðµ thù h§n cüa quái v§t xu¯ng $PartyDPS(MWLev(227),0)*3*(1+SkillLevel(277)*0.1)$ ði¬m.","Tång hi®u quä lên $SkillLevel(277)*10$%.
C¤p 1: 10%
C¤p 2: 20%
C¤p 3: 30%
C¤p 4: 40%
C¤p 5: 50%"
278,"Tång cß¶ng Thanh Tâm Quyªt","L§p tÑc giäi tr× trÕng thái hôn mê.","Giäm th¶i gian ch¶ cüa chiêu thÑc xu¯ng $SkillLevel(278)*2$ giây
C¤p 1: 2 giây
C¤p 2: 4 giây
C¤p 3: 5 giây
C¤p 4: 8 giây
C¤p 5: 10 giây"
301,"Nµ Lôi Oanh","S¤m sét t× trên tr¶i giáng xu¯ng møc tiêu, làm ð¯i phß½ng choáng trong 5 giây, ð°ng th¶i tÕo ra $DmgMin(ActorDPS)$-$DmgMax(ActorDPS)$ ði¬m sát thß½ng, møc tiêu s¨ tïnh lÕi khi b¸ t¤n công.",
302,"TØ Vân Thß½ng","Pháp bäo tÕo ra mµt làn mây tím có s¤m sét bao quanh và t¤n công møc tiêu, tÕo ra $DmgMin(ActorDPS*1.5)$-$DmgMax(ActorDPS*1.5)$ ði¬m sát thß½ng.",
303,"Huy«n Quang Träm","Pháp bäo phân thành nhi«u ðß¶ng cùng công kích møc tiêu, tÕo ra $DmgMin(ActorDPS*3)$-$DmgMax(ActorDPS*3)$ ði¬m sát thß½ng. ",
304,"Kích Ði®n Tri«n","TÕo ra tia sét bao vây møc tiêu trong 3 giây, m²i 0.5 giây tÕo ra $DmgMin(ActorDPS*0.5)$-$DmgMax(ActorDPS*0.5)$ ði¬m sát thß½ng, ð°ng th¶i khiªn t¯c ðµ di chuy¬n giäm 50%.",
305,"BÕch Liên H°n","Ni®m Ph§t quyªt, khiªn hàng tråm ðóa sen tr¡ng hi®n ra trên mình kë ð¸ch; tÕo ra $DmgMin(ActorDPS*1.5)$-$DmgMax(ActorDPS*1.5)$ ði¬m sát thß½ng.",
306,"Kim Liên Phù","Kim Liên Phù tÕo ra mµt d¤u ¤n th¥n thánh hình ðóa sen vàng trên mình kë ð¸ch, liên tøc sát thß½ng trong 10 giây, tÕo ra t±ng lßþng ði¬m sát thß½ng là $(ActorDPS)*2+1$ , ð°ng th¶i møc tiêu r½i vào trÕng thái phòng v® yªu ð¯i v¾i Ph§t H®, m²i l¥n b¸ kî nång Ph§t H® t¤n công mÑc sát thß½ng s¨ tång thêm $ActorDPS*0.2+1$ ði¬m.",
307,"Thanh Liên Quang","Tri®u h°i nhæng ðóa sen xanh công kích kë ð¸ch, tÕo ra $DmgMin(ActorDPS*3)$-$DmgMax(ActorDPS*3)$ði¬m sát thß½ng.",
308,"H°ng Liên Hoa","Tri®u h°i nhæng ðóa sen h°ng l¤p lánh vây l¤y kë ð¸ch, tÕo thành mµt ðß¶ng phép màu h°ng liên tøc t¤n công cho ðªn khi hªt th¶i gian duy trì cüa chiêu thÑc; m²i giây hóa giäi $PartyDPS(MWLev(308),3)*3$ ði¬m pháp lñc cüa kë ð¸ch, ð°ng th¶i thu ðßþc $PartyDPS(MWLev(308),3)*1.5$ ði¬m pháp lñc v« cho mình.",
309,"KÏ Hoàng Quyªt","Ni®m ph§t quyªt, nhæng dòng ph§t vån l¤p lánh ánh vàng s¨ vây quanh ngß¶i ðßþc tr¸ thß½ng, phøc h°i $HealPS(MWLev(309))*1.5+20+UltraHeal$ ði¬m sinh m®nh.",
310,"Sinh Tân Quyªt","TÕo ra lu°ng sáng xanh vây quanh møc tiêu, phøc h°i sinh m®nh liên tøc trong 10 giây, m²i 2 giây phøc h°i ðßþc $(HealPS(MWLev(310))*1.5+20+UltraHeal)/5$ ði¬m.",
311,"Vãng Sinh Quyªt","SØ døng pháp lñc cüa mình ð¬ tri®u h°i linh h°n kiªp trß¾c v« , h°i sinh møc tiêu, phøc h°i $PartyHP(MWLev(311),3)*0.3$ huyªt khí.",
312,"Sßu H°n Châm","SØ døng v¥ng sáng kÏ di®u cüa Luy®n Ma Th¥n Châm công kích møc tiêu 3 giây, trong th¶i gian ðó m²i giây tÕo ra $DmgMin(PartyDPS(MWLev(312),3)*0.9)$-$DmgMax(PartyDPS(MWLev(312),3)*0.9)$ ði¬m sát thß½ng, ð°ng th¶i tr¸ li®u cho ð°ng ðµi xung quanh v¾i t±ng ði¬m sinh m®nh là $DmgMin(PartyDPS(MWLev(312),3)*0.9)$-$DmgMax(PartyDPS(MWLev(312),3)*0.9)$, chï có tác døng sát thß½ng ð¯i v¾i quái v§t.",
313,"Tïnh Th¥n Châm","SØ døng pháp lñc cüa th¥n châm xua ðu±i ác ma, giäi tr× trÕng thái trúng ðµc cüa bän thân.",
314,"Nguyên Dß½ng Châm","SØ døng bí thu§t châm cÑu c± xßa ð¬ kích thích sÑc mÕnh c½ th¬, tÕm th¶i tång gi¾i hÕn cüa thanh sinh m®nh lên $PartyHP(MWLev(314),3)*0.15$ ði¬m.",
315,"TØ Vân Äm","Thi tri¬n v¥ng mây tím bao phü møc tiêu, tÕo ra $DmgMin(PartyDPS(MWLev(315),3)*1.8)$-$DmgMax(PartyDPS(MWLev(315),3)*1.8)$ ði¬m sát thß½ng, ð°ng th¶i khiªn møc tiêu hôn mê 3 giây.",
316,"TØ Yên Trß¾ng","Thi tri¬n làn khói tím cän tr· thú nuôi cüa kë thù, tÕo ra $DmgMin(PartyDPS(MWLev(316),3)*4.5)$-$DmgMax(PartyDPS(MWLev(316),3)*4.5)$ ði¬m sát thß½ng, giäm t¯c ðµ di chuy¬n xu¯ng 80%, duy trì trong 10 giây.",
317,"TØ Lôi Kình Công","SØ døng nµi công Ph§t h÷c t¤n công vào trong c½ th¬ møc tiêu, liên tøc sát thß½ng trong 10 giây, tÕo ra t±ng lßþng ði¬m sát thß½ng là $(ActorDPS)*3+1$ ði¬m.",
318,"TØ Tinh Kiªp T¦u","Kích thích ti«m nång cüa sinh m®nh, né tránh kiªp nÕn, tång $MWLev(318)*0.5$% xác su¤t tñ h°i sinh sau khi chªt.",
319,"TØ Tinh Bích V® ","SØ døng công lñc hµ thân cüa môn phái, tÕo ra mµt bÑc tß¶ng nhæng tia sét màu tím ngån ch£n møc tiêu, duy trì 60 giây, có th¬ h¤p thu và hóa giäi $PartyDPS(MWLev(319),3)*4$ ði¬m sát thß½ng.",
321,"Tång cß¶ng Nµ Lôi Oanh","S¤m sét t× trên tr¶i giáng xu¯ng møc tiêu, làm ð¯i phß½ng choáng trong 5 giây, ð°ng th¶i tÕo ra $DmgMin(ActorDPS)$-$DmgMax(ActorDPS)$ ði¬m sát thß½ng, møc tiêu s¨ tïnh lÕi khi b¸ t¤n công.","Giäm th¶i gian ch¶ cüa Nµ Lôi Oanh xu¯ng $SkillLevel(321)*1$ giây.
C¤p 1: 1 giây
C¤p 2: 2 giây
C¤p 3: 3 giây
C¤p 4: 4 giây
C¤p 5: 5 giây"
322,"Tång cß¶ng TØ Vân Thß½ng","Pháp bäo tÕo ra mµt làn mây tím có s¤m sét bao quanh và t¤n công møc tiêu, tÕo ra $DmgMin(ActorDPS*1.5)$-$DmgMax(ActorDPS*1.5)$ ði¬m sát thß½ng.","Giäm th¶i gian v§n công cüa TØ Vân Thß½ng xu¯ng $SkillLevel(322)*0.1$ giây.
C¤p 1: 0.1 giây
C¤p 2: 0.2 giây
C¤p 3: 0.3 giây
C¤p 4: 0.4 giây
C¤p 5: 0.5 giây"
323,"Tång cß¶ng Huy«n Quang Träm","Pháp bäo phân thành nhi«u ðß¶ng cùng công kích møc tiêu, tÕo ra $DmgMin(ActorDPS*3)$-$DmgMax(ActorDPS*3)$ ði¬m sát thß½ng. ","Giäm th¶i gian v§n công cüa Huy«n Quang Träm xu¯ng $SkillLevel(323)*0.2$ giây.
C¤p 1: 0.2 giây
C¤p 2: 0.4 giây
C¤p 3: 0.6 giây
C¤p 4: 0.8 giây
C¤p 5: 1 giây"
