"ID","name","desc","talk_pre","talk_accept","talk_doing","talk_finish","task_failed","","","","","","","","","","",""
"1711","Chân Hß Kiªm Tr§n","T× s½n mÕch · phía Ðông B¡c thu th§p Nguyên T× Cñc ThÕch giao cho Nguyên Th¥n Lý Nguyên Hóa.","Hoang ðß¶ng, ðây không phäi là Th¤t Tu Bäo Kiªm cüa Nga My! Cái thÑ giä mÕo này tà khí xung thiên, ch¡c b÷n yêu ma có âm mßu gì v¾i Nga My phái r°i. B¥n ðÕo phäi ði«u tra cho rõ. $username$, nh¶ ngß½i thu th§p 1 s¯ Nguyên T× Cñc ThÕch ð¬ dùng phân bi®t Th¤t Tu Kiªm th§t giä.","TÕi Sam Thø Lâm · phía b¡c L® Giang Thôn có mµt s¯ Nguyên T× Cñc ThÕch ð¤y.","Ðã tìm lÕi ðßþc chßa?","T¯t l¡m, gi¶ b¥n ðÕo s¨ làm pháp khí ð¬ phá tr§n","","","","","","","","","","","",""
"1712","Nguyên T× Chân Lñc","Hãy bài b¯ Cñc TØ Nguyên Th¥n Châm theo v¸ trí sao b¡c ð¦u, pháp giäi Th¤t Tu Kiªm Các.","B¥n ðÕo ðã ði«u tra kÛ, Th¤t Tu Kiªm Các này th§t ra là giä mÕo. Hãy dùng Cñc TØ Nguyên Dß½ng Châm này ð¬ phá giäi yêu tr§n và chuy¬n l¶i t¾i CØu Hæu Nhân r¢ng, ð×ng tham mà khó s¯ng ð¤y!","Th¤t Tu Kiªm ðßþc bài trí theo b¡c ð¦u th¤t tinh nên ð¬ phá giäi cûng phäi theo tr§n ð° này.","Nhi®m vø ta nh¶ ðã hoàn thành chßa?","Phi«n kÏ hi®p giúp ðÞ!","","","","","","","","","","","",""
"1713","CØu Hæu Nhân G£p Nguy","Tiêu di®t H¡c Th± S½n Quái, giäi cÑu CØu Hæu Nhân","ÐÕi hi®p cÑu mÕng! Không hi¬u t× ðâu ðµt nhiên xu¤t hi®n vô s¯ quái v§t, g£p ngß¶i là ðánh. TÕi hÕ khó khån l¡m m¾i tìm ðßþc tung tích cüa Linh Dßþc, không th¬ bö v« ðßþc, kÏ hi®p hãy ðu±i chúng ði dùm v¾i!","TÕi hÕ c¥u linh dßþc ð¬ cÑu phø thân nên mong kÏ hi®p thông cäm.","Chúng ðã b¸ tiêu di®t hªt chßa?","Phi«n kÏ hi®p giúp ðÞ!","","","","","","","","","","","",""
"1714","Nguyên Do Ð± B®nh","Tiêu di®t Huyªt Biªn Hình Trùng và thu th§p TÑ Di®p H°ng Liên tÕi Tê Vân Ðµng giao cho CØu Hæu Nhân.","TÕi hÕ phát hi®n Huyªt Biªn Hình Trùng · g¥n Tê Vân Ðµng. Theo hình dáng thì có l¨ chúng chính là loài ðµc trùng ðã t¤n công dân làng. Chúng luôn xu¤t hi®n quanh TÑ Di®p H°ng Liên. R¤t có th¬ ðó chính là thu¯c giäi. Nh¶ kÏ hi®p tiêu di®t ðµc trùng ð¬ tÕi hÕ hái thu¯c cÑu ngß¶i.","Sau bao v¤t vä cu¯i cùng cûng toÕi nguyên r°i!","Nhi®m vø ta nh¶ ðã hoàn thành chßa?","Phi«n kÏ hi®p giúp ðÞ!","","","","","","","","","","","",""
"1715","Tr×ng PhÕt Cñ Phiªn","Giáo hu¤n tên lß¶ng gÕt Ðß¶ng Châu và tra höi ý ð°.","Ðáng h§n thi®t! Dám l×a gÕt ta! Cái gì mà tiên gia linh dßþc chÑ, toàn là ðµc v§t cä. Hèn gì trên ðß¶ng ði cÑ b¸ yêu quái t¤n công. Phi«n kÏ hi®p tìm tên Ðß¶ng Châu ðó höi cho ra l¨!","V¤t vä hªt mµt ch§p, m÷i thÑ chï là hß không. Làm sao ðây?","KÏ hi®p l¥n này ðªn có vi®c gì?","Không ng¶ CØu Chï Tiên cô nß½ng có løc dß½ng linh th¬ hiªm có nhß v§y. Ðß¶ng Châu cûng chï b¸ ma giáo Li­u Yªn Nß½ng kh¯ng chª, l×a gÕt CØu cô nß½ng mà thôi!","","","","","","","","","","","",""
"1716","Chü Mßu Lµ Di®n","Tiêu di®u Tê Vân ÐÕo Sî do Li­u Yªn Nß½ng phái ðªn t¤n công CØu Chï Tiên","B¥n ðÕo nghî r¢ng Li­u Yªn Nß½ng ðã biªt kª hoÕch b¸ bÕi lµ, nên ä ðã bày binh b¯ tr§n · g¥n Tê Vân Ðµng. B÷n Tê Vân ÐÕo Sî ch¡c ch¡n là tay sai cüa ä. Hãy tiêu di®t s¾m, di®t tr× h§u hoÕn.","Các hÕ hãy lßu ý xem có phäi Li­u Yªn Nß½ng ðích thân ra tay không?","Nhi®m vø ta nh¶ ðã hoàn thành chßa?","Không ng¶ ä ðúng là c¦n th§n, không h« lµ di®n","","","","","","","","","","","",""
"1717","Ma Ð¥u C¤m Khu","Phá hoÕi TØ Thüy Tinh ð£t tÕi Tê Vân Ðµng cüa Li­u Yªn Nß½ng, thu h°i M§t Luy®n Kim Ðan.","Li­u Yªn Nß½ng ðã th§n tr÷ng h½n khi bày ra TØ Thüy Tinh Tr§n ð¬ tÕo kªt gi¾i bäo v® sào huy®t. Sau khi quan sát kÛ lßÞng, ta phát hi®n TØ Thüy Tinh này có liên h® v¾i ma lñc cüa cái yêu quái g¥n ðó. Ðó cûng có th¬ là li®u pháp cho b®nh tình cüa CØu tiên sinh. $username$, vi®c này trông c§y ngß½i.","Li­u Yªn Nß½ng ch¡c s¨ b¯ trí nhi«u yêu quái ð¬ bäo v® tØ thüy tinh, hãy c¦n th§n.","Nhi®m vø ta nh¶ ðã hoàn thành chßa?","T¯t l¡m, b¥n ðÕo s¨ chª giäi dßþc trß¾c r°i ch¶ xem Li­u Yªn Nß½ng xu¤t hi®n thª nào.","","","","","","","","","","","",""
"1718","Bän Tính Yêu H°","Tiêu di®t Li­u Yªn Nß½ng","Quä nhiên nhß b¥n ðÕo ðã tiên li®u, tØ thüy tinh b¸ phá Li­u Yªn Nß½ng cûng không trø ðßþc. Nhßng ä vçn chßa lµ di®n phäi xem tên yêu h° này bän lînh ra sao. $username$, ngß½i cùng ðªn nhé!","Li­u Yªn Nß½ng v¯n là CØu Vî Yêu H° tu luy®n thành tinh. Thü ðoÕn ghê g¾m.","Ðã ðánh bÕi CØu Vî H° Yêu chßa?","Th§t không ð½n giä, kÏ hi®p ðã c¯ hªt sÑc r°i, chï là Li­u Yªn Nß½ng quá xäo quy®t nên m¾i chÕy thoát. L¥n sau nh¤t ð¸nh phäi tiêu di®t t§n g¯c.","","","","","","","","","","","",""
"1719","Giäi Dßþc Chân Chính","Thu th§p M§t Luy®n Kim Ðan sau khi phá TØ Thüy Tinh Tù Lao giao cho Nguyên Th¥n Lý Nguyên Hóa.","T× sau khi phá hüy TØ Thüy Tinh Tù Lao, lão phu phát hi®n ra mµt lßþng l¾n M§t Luy®n Kim ðan, nhæng thÑ này là do Li­u Yªn Nß½ng bª sinh nguyên khí hóa ra. Cån b®nh cüa C×u Kª Trung là do Li­u Yªn Nß½ng gi· trò, vì thª vi®c thu th§p ðßþc s¯ M§t Luy®n Kim Ðan này s¨ giúp ích r¤t nhi«u cho vi®c ði«u tr¸ cån b®nh cüa ông ¤y. $username$, giúp ngß¶i giúp cho trót, ta mong ngß¶i s¨ giúp mµt tay trong vi®c này.","M§t Luy®n Kim Ðan ð«u n¢m trong Ti¬u Bäo Tß½ng, r¤t d­ tìm.","Nhi®m vø ta nh¶ ðã hoàn thành chßa?","T¯t l¡m, lão phu s¨ b¡t tay vào nghiên cÑu phß½ng thu¯c tr¸ b®nh.","","","","","","","","","","","",""
"1720","Chuy¬n Nguy Thành An","Giao Nh¸ Tiên Thanh Tâm Tán cho C×u Chï Tiên.","SØ døng M§t Luy®n Kim Ðan l¥n trß¾c l¤y ðßþc trong TØ Thüy Tinh Tr§n, b¥n ðÕo r¯t cuµc ðã tìm ra phß½ng thu¯c chæa tr¸ cån b®nh cüa C×u Lão tiên sinh! Bài thu¯c này có tên là Nh¸ Tiên Thanh Tâm Tán, dùng theo ð½n thu¯c này, b®nh s¨ nhanh chóng khöi. Ha ha, ð×ng quên báo cho C×u Chï Tiên cô nß½ng biªt, quen biªt cûng xem nhß là có duyên, nªu cô nß½ng ¤y ch¸u gia nh§p pháp Nga My ta, thì v¾i tß ch¤t Løc Dß½ng Linh Th¬, nh¤t ð¸nh cô ¤y s¨ có thành tñ l¾n.","Chï Tiên cô nß½ng là ngß¶i t¯t, ch¡c ch¡n s¨ ðßþc g£p ði«u lành!","KÏ hi®p l¥n này ðªn có vi®c gì?","L¥n này không nhæng có th¬ tr¸ ðßþc b®nh cho phø thân mà còn có th¬ gia nh§p Nga My phái, th§t không th¬ ng¶...","","","","","","","","","","","",""
"1721","Tr¯n Tìm","Giúp Ti¬u Bân tìm 3 ðÑa trë ðang ch½i tr¯n tìm v¾i cô nß½ng ¤y.","Ta ðang ch½i tr¯n tìm v¾i 3 ngß¶i bÕn, nhßng b÷n h÷ tr¯n kÛ quá, ta tìm mãi không ra.. Ôi! KÏ hi®p giúp ta tìm h÷ v¾i ðßþc không? Ta s¨ tr÷ng tÕ ngß¶i!","Tuy h÷ n¤p r¤t kÛ, nhßng ta ðäm bäo là h÷ không ði ðâu ra khöi thôn này.","Ðã tìm ra ba ngß¶i bÕn cüa ta chßa?","Ha ha, có kÏ hi®p giúp quä thñc quá t¯t, ðây là chút l­ v§t xin biªu ngß¶i, có thích không?","","","","","","","","","","","",""
"1722","Tinh Tinh Ði¬m Ðång","Giúp Ti¬u Bân g÷i tÖ tÖ quay v«.","Ái chà, suýt næa thì quên, tÖ tÖ cüa ta chi«u nào cûng vào núi phía b¡c ð¬ cho Bång T¢m ån, nhæng con t¢m này chï nhä t½ vào lúc tr¶i t¯i và xung quanh không có chút ánh sáng nào, tÖ tÖ ngày nào cûng phäi làm vi®c vào lúc t¯i tr¶i, th§t là kh±... Ðã ðªn gi¶ c½m r°i, ta lo tÖ ¤y mãi làm mà quên m¤t gi¶ c½m, không biªt kÏ hi®p có th¬ giúp ta tìm tÖ ¤y không, n½i tÖ ¤y làm vi®c khá là t¯i tåm và khó tìm.","S½n ðµng n¢m · phía b¡c thôn.","Ðã tìm ðßþc tÖ tÖ ta chßa?","Ha ha, có kÏ hi®p giúp quä thñc quá t¯t, ðây là chút l­ v§t xin biªu ngß¶i.","","","","","","","","","","","",""
"1723","Thu HoÕch Trái Cây","Thu hoÕch các trái chín giao cho Quä Viên Nông Phu.","Gi¶ ðang là lúc thu hoÕch trái cây cüa chúng tôi, hi®n nhân lñc không ðü, m÷i ngß¶i ð«u ðã ði hái quä, không biªt kÏ hi®p có th¬ giúp chúng tôi xªp các quä hái ðßþc vào giö không?","Th§t là ða tÕ! Nhæng giö trái cây ð«u n¢m dß¾i các cây trong vß¶n.","Nhi®m vø ta nh¶ ðã hoàn thành chßa?","Ða tÕ kÏ hi®p ra tay tß½ng trþ, hãy nh§n l¤y chút lòng thành cüa ta.","","","","","","","","","","","",""
"1724","Thø Trùng","Giúp Quä Viên Nông Phu tiêu di®t b÷n Thø Trùng phá hÕi cây trái.","Tuy hi®n tÕi ðã hái quä xong r°i, nhßng ð¬ ðäm bäo sñ an toàn cüa cây c¯i, c¥n phäi tiêu di®t hªt b÷n sâu hÕi ån lá cây. $username$, có th¬ giúp ta tiêu di®t b÷n sâu ðáng ghét ðó không?","M²i khi ðªn mùa thu hoÕch, b÷n Thø Trùng ðó lÕi b¡t ð¥u xu¤t hi®n phá hÕi khiªn chúng tôi hªt sÑc lo l¡ng.","Ðã giäi quyªt xong lû Thø Trùng ðó chßa?","Ða tÕ kÏ hi®p ra tay tß½ng trþ, hãy nh§n l¤y chút lòng thành cüa ta.","","","","","","","","","","","",""
"1725","S½n Trung Thß½ng","Giúp Lß½ng Thß½ng Thü V® tiêu di®t b÷n Læ ThØ trµm lß½ng thñc trong kho.","Hi®n tÕi lß½ng thñc chÑa trong kho ðang b¸ lû chuµt hoành hành, bao nhiêu lß½ng thñc ðã b¸ b÷n chúng trµm ði, không biªt kÏ hi®p có th¬ giúp chuy¬n lß½ng thñc ði n½i khác không? C¦n th§n b÷n Læ ThØ ðó, b÷n chúng r¤t hay c¡n ngß¶i, phäi c¦n th§n!","Nh¾ chú ý bäo v® c¦n th§n s¯ lß½ng thñc chßa b¸ phá.","Lß½ng thñc trong kho nhß thª nào r°i?","Ða tÕ kÏ hi®p ra tay tß½ng trþ, hãy nh§n l¤y chút lòng thành cüa ta.","","","","","","","","","","","",""
"1726","Trþ Giúp B¡t Cá","B¡t th§t nhi«u cá trong lß¾i.","Ði qua các cánh ruµng phía tây thôn s¨ ðªn mµt h° nhö, chúng tôi thß¶ng thä lß¾i b¡t cá · ðó, g¥n ðây cá m¡c lß¾i r¤t nhi«u, chúng tôi không ðü ngß¶i nên b¡t không k¸p, không biªt kÏ hi®p có th¬ giúp mµt tay không?","Các lß¾i cá ð«u n¢m · g¥n c¥u ao, r¤t d­ nhìn th¤y.","Nhi®m vø ta nh¶ ðã hoàn thành chßa?","Ða tÕ kÏ hi®p ra tay tß½ng trþ, hãy nh§n l¤y chút lòng thành cüa ta.","","","","","","","","","","","",""
"1727","Thüy Quái Qu¤y Nhi­u","Giúp Lý Tam tiêu di®t b÷n Thüy Quái qu¤y phá dß¾i h°.","G¥n ðây b÷n ta thä lß¾i ð«u phäi hªt sÑc c¦n th§n, b·i dß¾i h° có r¤t nhi«u thüy quái, th§t là phi«n phÑc, nªu kÏ hi®p có ðøng ðµ b÷n Thüy Quái này thì hãy tiêu di®t ngay, xem nhß làm phúc cho ngß dân chúng tôi.","B÷n Thüy Quái ðó th§t ra cûng không quá ðáng sþ, chï có ði«u chúng hay phá nát lß¾i cüa chúng tôi.","Ðã giäi quyªt xong lû Thüy Quái ðó chßa?","Ða tÕ kÏ hi®p ra tay tß½ng trþ, hãy nh§n l¤y chút lòng thành cüa ta.","","","","","","","","","","","",""
"1728","Hang ‘ Thüy Quái","Phá hüy hang ± thüy quái dß¾i ðáy h°, ð°ng th¶i tiêu di®t ÐÕi Thüy Quái canh giæ hang ±.","Dß¾i ðáy h° dß¶ng nhß có hang ± cüa thüy quái, nªu không phá hüy thì thüy quái s¨ liên tøc sinh ra, theo ta tìm hi¬u ðßþc thì hang ± này do mµt ðám ÐÕi Thüy Quái canh giæ, xem ra trß¾c tiên c¥n ðánh bÕi b÷n yêu nghi®t này. $username$, có th¬ giúp ta di®t tr× m¯i h÷a này không?","B÷n ÐÕi Thüy Quái ðó có th¬ khó ð¯i phó, kÏ hi®p phäi hành sñ c¦n th§n.","Ðã phá hüy hang ± b÷n thüy quái chßa?","Ða tÕ kÏ hi®p ra tay tß½ng trþ, hãy nh§n l¤y chút lòng thành cüa ta.","","","","","","","","","","","",""
"1729","Trù TØ Yêu Thích","T£ng 1 Cá Tß½i cho Trù TØ · L® Giang Thôn.","Nói ra th§t ngÕi quá, m¤y ngày trß¾c có 1 l¥n do ta u¯ng quá say, nên ðã gây sñ cãi nhau v¾i Ngß phü Lý Tam trong thôn, ð¡c tµi v¾i huynh ¤y, bây gi¶ nghî lÕi th¤y th§t không phäi! Bây gi¶ Lý Tam không ch¸u bán cá cho ta næa... Không biªt kÏ hi®p có b¢ng lòng mang ðªn cho ta mµt Cá Tß½i không? Ti¬u nhân s¨ cäm kích vô cùng!","Không c¥n nhi«u quá ðâu, chï 1 con là ðü r°i.","Ðã có cá mà ta c¥n chßa?","Ða tÕ kÏ hi®p ra tay tß½ng trþ, hãy nh§n l¤y chút lòng thành cüa ta.","","","","","","","","","","","",""
"1730","Hóa Giäi Ân Oán","Ðßa món canh cüa Trù TØ làm ðªn cho Lý Tam, bày tö häo ý.","L¥n trß¾c cûng may có kÏ hi®p tß½ng trþ, ta m¾i có th¬ tiªp tøc làm ån. Ta v×a làm xong món canh gà này, phi«n kÏ hi®p giúp ta chuy¬n ðªn cho Lý Tam, mong có th¬ hòa giäi v¾i h¡n, mong h¡n bö qua vi®c th¤t l­ cüa ta l¥n trß¾c!","Canh Gà phäi chuy¬n ði nhanh, ð¬ nguµi là không ngon ðâu.","KÏ hi®p l¥n này ðªn có vi®c gì?","Chà.. th§t ngÕi quá, ta ðã quên vi®c ðó t× lâu r°i mà! Nªu g£p Trù TØ thì nh¶ ngß¶i chuy¬n l¶i là ta không còn ð¬ ý chuy®n cû næa nhé.","","","","","","","","","","","",""
"1731","Thái Viên","Giúp Lý Tam di®t tr× b÷n S½n Kê thß¶ng xuyên phá hoÕi Thôn Tây Thái Viên.","KÏ hi®p dÕo này vçn khöe chÑ? Nh¾ ðªn món Canh Gà ngß¶i t£ng l¥n trß¾c, ta lÕi nh¾ ðªn b÷n S½n Kê g¥n ðây hay xu¤t hi®n phá hoÕi thôn viên, khiªn cho bao nhiêu rau trái chúng ta kh· công gieo tr°ng ð«u b¸ tan hoang, ta mu¯n nh¶ kÏ hi®p giúp xØ lý b÷n S½n Kê này, bäo v® vß¶n tßþc cüa chúng tôi.","Ta ðã chu¦n b¸ mµt s¯ l°ng · Thái Viên H§u Vi®n, chï c¥n nh¯t b÷n chúng vào trong ðó là xong.","Ðã giäi quyªt xong b÷n S½n Kê gây náo loÕn ðó chßa?","Ða tÕ kÏ hi®p ra tay tß½ng trþ, hãy nh§n l¤y chút lòng thành cüa ta.","","","","","","","","","","","",""
"1732","Phát Thoa B¸ M¤t","Giúp Lão Bän Nß½ng cüa ti®m Hoa Ðång l¤y lÕi Phát Thoa t× tay Thüy Quái.","Ôi, v¸ kÏ hi®p này không biªt có th¬ giúp ta mµt vi®c không? Bà chü ti®m Hoa Ðång · phía tây thôn m¤y ngày trß¾c ðây khi ði qua L® Thüy H° không may làm m¤t Phát Thoa, nghe nói trong h¶ có nhi«u thüy quái, r¤t có th¬ Phát Thoa ðã r½i vào tay b÷n thüy quái này, không biªt kÏ hi®p có th¬ giúp tìm lÕi Phát Thoa không?","Vi®c này mà nh¶ c§y kÏ hi®p ta cûng th¤y ngÕi l¡m ,nhßng ng£t vì ta cûng có ch² khó xØ.","KÏ hi®p l¥n này ðªn có vi®c gì?","Chà! Ðây là cây Phát Thoa mà ta ðánh r½i m¤y ngày trß¾c mà, $username$, ða tÕ ngß¶i l¡m!","","","","","","","","","","","",""
"1733","Thân Ph§n Khó Nói","Chuy¬n l¶i cäm ½n cüa Lão Bän Nß½ng ðªn cho Tài Chü.","Ha ha, kÏ hi®p mu¯n höi ta v¾i L® Giang Thôn Tài Chü là quan h® gì ß? Ðó là ca ca cüa ta! Chï là do hai huynh muµi ta t× nhö ðã ly tán, s¯ng mµt mình ðã lâu, g¥n ðây ca ca cüa ta m¾i chuy¬n ðªn ðây, huynh ¤y lo ngß¶i trong thôn s¨ hi¬u l¥m m¯i quan h® giæa ta và huynh ¤y nên m¾i nh¶ kÏ hi®p làm vi®c này. Dù sao ði næa thì cûng xin kÏ hi®p chuy¬n l¶i cäm ½n cüa ta ðªn huynh ¤y.","Mong r¢ng ca ca dÕo này làm ån ngày càng phát ðÕt.","KÏ hi®p l¥n này ðªn có vi®c gì?","Chï c¥n muµi muµi có th¬ s¯ng bình an hÕnh phúc là ta ðã th¤y yên tâm r°i.","","","","","","","","","","","",""
"1734","Thôn Hoa Ðång","Báo cho L® Giang Thôn Tài Chü biªt s¯ ti«n nþ Chß·ng Qu¥y V÷ng Giang L¥u.","Lão L® Giang Thôn Tài Chü ðó th§t chÆng ra sao, hàng l¥n trß¾c cÑ thª c¥m l¤y r°i bß¾c ði thÆng. Ta ch¶ ðã m¤y ngày r°i, phi«n kÏ hi®p giúp ta chuy¬n l¶i cho h¡n, l¥n này nªu không thanh toán hªt nþ thì sau này không làm ån gì næa ðâu!","Làm phi«n kÏ hi®p quá, mong r¢ng L® Giang Thôn tài chü s¨ biªt ði«u mµt chút.","KÏ hi®p l¥n này ðªn có vi®c gì?","À, thì ra là thª à? Ha ha, th§t là ngÕi quá, ðþi mai sau khi chuy¬n hàng xong ta s¨ thanh toán hªt nþ v¾i Chß·ng Qu¥y V÷ng Giang L¥u.","","","","","","","","","","","",""
