"STRID","LAN","Remark"
"msg_script_3014_onendduel_win","Nhß thª này làm sao ta có th¬ yên tâm ğ¬ ngß½i xu¯ng núi ğßşc.",""
"msg_script_3014_onstartduel","Cho ta xem thñc lñc cüa ngß½i nào.",""
"msg_script_3104_onendduel_lost","Thân thü thª này, có th¬ xu¯ng núi tu hành r°i.",""
"msg_script_3104_onendduel_win","Nhß thª này làm sao ta có th¬ yên tâm ğ¬ ngß½i xu¯ng núi ğßşc.",""
"msg_script_3104_onstartduel","Cho ta xem thñc lñc cüa ngß½i nào.",""
"msg_script_3209_onendduel_lost","Thân thü r¤t t¯t, ngß½i có th¬ xu¯ng núi r°i.",""
"msg_script_3209_onendduel_win","Nhß thª này làm sao ta có th¬ yên tâm ğ¬ ngß½i xu¯ng núi ğßşc.",""
"msg_script_3209_onstartduel","Cho ta xem thñc lñc cüa ngß½i nào.",""
"msg_script_323_onactive","B÷n chúng ğªn r°i! Ğông quá.. Quyªt chiªn v¾i chúng!",""
"msg_script_3314_onendduel_lost","Th§t lşi hÕi, không ğánh næa, ngß½i có th¬ xu¯ng núi ğßşc r°i.",""
"msg_script_3314_onendduel_win","Nhß thª này làm sao ta có th¬ yên tâm ğ¬ ngß½i xu¯ng núi ğßşc.",""
"msg_script_3314_onstartduel","Cho ta xem thñc lñc cüa ngß½i nào.",""
"msg_script_436_onarrive","T¯t r°i, cu¯i cùng cûng ğã tr· v« Tuyªt S½n Thôn mµt cách an toàn! Ğa tÕ ngß½i!",""
"msg_script_436_onarrive_11","Ai da..a.. Xém chút næa là ta b¸ Lang quái c¡n r°i..",""
"msg_script_436_onarrive_17","Sao b÷n Lang quái · ğây ğông ğúc thª nhï!",""
"msg_script_436_onarrive_23","B÷n ğáng chªt lÕi dám gi· trò tÕi Tuyªt S½n Thôn! Xem ta có g÷i ngß¶i t¾i cho chúng bây biªt tay không!",""
"msg_script_436_onarrive_4","A! Có Lang quái... Ô..ô..",""
"msg_script_436_onarrive_7","Con Lang quái ğáng chªt, ta phäi ğánh chªt ngß½i, xem ğây!",""
"msg_script_436_ondead","ĞÕi ca, th§t ra huynh có t§n tâm t§n lñc bäo v® ğ® không!",""
"msg_script_436_onhplower_0","Sao ngß½i không bäo v® ta! TÕi sao!",""
"msg_script_436_onhplower_20","Ta b¸ thß½ng r¤t n£ng, e r¢ng không th¬ c¥m cñ ğßşc lâu.",""
"msg_script_436_onhplower_40","Ğôi tay ta ğã m¤t ği cäm giác có th¬ là do m¤t máu quá nhi«u",""
"msg_script_436_onhplower_60","Chªt ti®t, ta b¸ Lang quái c¡n tr÷ng thß½ng!",""
"msg_script_436_onhplower_80","Ta s¡p tiêu r°i, ta ğã không nhìn ra ai là ai næa r°i..",""
"msg_script_436_ontaskaccept",", con ğß¶ng này th§t là kh± cho ngß½i!",""
"msg_script_4417_onarrive","Cu¯i cùng cûng có ngß¶i bäo v® ta tr· v« Mã Hùng Thôn r°i.",""
"msg_script_4417_ondead","Xem ra không th¬ tr· v« thôn an toàn r°i, khø khø.... tuy là ğã r¤t g¥n ",""
"msg_script_4417_onhplower_0","Ta b¸ t¤n công, mau ğªn giúp ta!",""
"msg_script_4417_onhplower_20","Ğ¥u cüa ta b¸ ğánh tr÷ng thß½ng, th§t là choáng váng.. ",""
"msg_script_4417_onhplower_40","Ta b¸ thß½ng r¤t n£ng, e r¢ng không th¬ c¥m cñ ğßşc lâu.",""
"msg_script_4417_onhplower_60","Vªt thß½ng cüa ta không ng×ng chäy máu, ta ğã không th¬ ği xa ğßşc ",""
"msg_script_4417_onhplower_80","Hay ngß½i ğ×ng lo cho ta næa, cÑ ğ¬ ta ·  ğây mµt mình, ngß½i mau chÕy ği!",""
"msg_script_4417_ontaskaccept",", con ğß¶ng này th§t là kh± cho ngß½i!",""
"msg_script_4504_onarrive","T¯t quá, cu¯i cùng cûng ğã thoát khöi b÷n Thñc Nhân Bµ LÕc! Ğa tÕ ngß½i!",""
"msg_script_4504_onarrive_11","Ai da.. ai da. Ta xém chút næa là b¸ b÷n Thñc Nhân KÏ kia ğä thß½ng r°i..",""
"msg_script_4504_onarrive_17","Xem ra chúng ta ğã l÷t vào vòng vây cüa b÷n Thñc Nhân Bµ LÕc r°i!",""
"msg_script_4504_onarrive_23","Quyªt chiªn v¾i b÷n chúng, hôm nay có ta thì không có h¡n!",""
"msg_script_4504_onarrive_4","Không xong r°i! Hành tung cüa chúng ta ğã b¸ b÷n Thñc Nhân KÏ phát hi®n r°i!",""
"msg_script_4504_onarrive_7","Cái b÷n phi«n phÑc này, ta phäi ğánh chªt b÷n mi, xem ğây!",""
"msg_script_4504_ondead","ĞÕi ca, th§t ra huynh có t§n tâm t§n lñc bäo v® ğ® không!",""
"msg_script_4504_onhplower_0","Sao ngß½i không bäo v® ta! TÕi sao!",""
"msg_script_4504_onhplower_20","Ta b¸ thß½ng r¤t n£ng, e r¢ng không th¬ c¥m cñ ğßşc lâu.",""
"msg_script_4504_onhplower_40","Ğôi tay ta ğã m¤t ği cäm giác có th¬ là do m¤t máu quá nhi«u",""
"msg_script_4504_onhplower_60","B÷n Thñc Nhân Bµ LÕc ğáng ghét, dám gi· trò ğánh lén chúng ta!",""
"msg_script_4504_onhplower_80","Ta s¡p tiêu r°i, ta ğã không nhìn ra ai là ai næa r°i..",""
"msg_script_4504_ontaskaccept",", ta có th¬ thoát khöi Yêu Nhân Ğµng Phü ğßşc hay không còn phäi xem ngß½i ğã!",""
"msg_script_4584_onendduel_lost","KÏ hi®p xin nß½ng tay! Ti¬u nhân t× nay không dám næa!",""
"msg_script_4584_onendduel_win","Thñc lñc nhß thª này mà dám giao chiªn v¾i ta àh, th§t nñc cß¶i! Ngß½i v« tu luy®n thêm ği ..",""
"msg_script_4584_onstartduel","Cho ta xem thñc lñc cüa ngß½i nào.",""
"msg_script_4591_onendduel_lost","KÏ hi®p xin nß½ng tay! Ti¬u nhân t× nay không dám næa!",""
"msg_script_4591_onendduel_win","Thñc lñc nhß thª này mà dám giao chiªn v¾i ta àh, th§t nñc cß¶i! Ngß½i v« tu luy®n thêm ği ..",""
"msg_script_4591_onstartduel","Cho ta xem thñc lñc cüa ngß½i nào.",""
"msg_script_4635_onarrive","T¯t quá, cu¯i cùng cûng ğã thoát khöi b÷n Ám Tiêu Loa Ty Loan! Ğa tÕ ngß½i!",""
"msg_script_4635_onarrive_11","Ai da..a.. Xém chút næa là ta b¸ b÷n Ám Tiêu Loa Ty Loan sát hÕi r°i..",""
"msg_script_4635_onarrive_17","Xem ra chúng ta ğã l÷t vào vòng vây cüa b÷n Ám Tiêu Loa Ty Loan r°i!",""
"msg_script_4635_onarrive_23","Quyªt chiªn v¾i b÷n chúng, hôm nay có ta thì không có h¡n!",""
"msg_script_4635_onarrive_4","Không xong r°i! Hành tung cüa chúng ta ğã b¸ b÷n Ám Tiêu Loa Ty Loan phát hi®n r°i!",""
"msg_script_4635_onarrive_7","Cái b÷n phi«n phÑc này, ta phäii ğánh chªt b÷n mi, xem ğây!",""
"msg_script_4635_ondead","ĞÕi ca, th§t ra huynh có t§n tâm t§n lñc bäo v® ğ® không!",""
"msg_script_4635_onhplower_0","Sao ngß½i không bäo v® ta! TÕi sao!",""
"msg_script_4635_onhplower_20","Ta b¸ thß½ng r¤t n£ng, e r¢ng không th¬ c¥m cñ ğßşc lâu.",""
"msg_script_4635_onhplower_40","Ğôi tay ta ğã m¤t ği cäm giác có th¬ là do m¤t máu quá nhi«u",""
"msg_script_4635_onhplower_60","B÷n Ám Tiêu Loa Ty Loan ğáng ghét, lÕi dám ğánh lén chúng ta!",""
"msg_script_4635_onhplower_80","Ta s¡p tiêu r°i, ta ğã không nhìn ra ai là ai næa r°i..",""
"msg_script_4635_ontaskaccept",", ta có th¬ thoát khöi H¥m Ngøc Loa Ty Loan hay không còn phäi xem ngß½i ğã!",""
"msg_script_4664_ondead","Ğµc Long Th¥n t× sau khi ån trµm linh chi ngàn nåm cüa Nga My S½n thì tr· nên pháp lñc phi thß¶ng, thñc lñc vßşt xa mÑc tß·ng tßşng! Nªu không ğánh vŞ ğßşc Long Ğ¥u trên huy«n nhai, các ngß½i s¨ không th¬ nào ğánh bÕi ğßşc nó! Long Ğ¥u chính là m®nh môn, ghi nh¾ là phäi ğánh vŞ Long Ğ¥u th§t tri®t ğ¬.",""
"msg_script_4667_ondead","Ğµc Long M®nh Môn ğã b¸ phá, hãy mau chóng hÕ s½n tiêu di®t Ğµc Long Th¥n Tß¾ng!",""
"msg_script_4675_onhplower_35","Các ngß½i quä th§t ğã khiªn ta tÑc ğiên lên!! Ta s¨ cho các ngß½i biªt thª nào là l­ ğµ! Xem ğây!",""
"msg_script_4695_onarrive","Cûng may trên ğß¶ng có ngß½i hµ t¯ng m¾i giúp ta ğ¯i phó ğßşc v¾i b÷n ngß¶i x¤u ğó!",""
"msg_script_4695_onarrive_13","Không hay r°i.. Tay cüa ta ğã b¸ b÷n chúng làm b¸ thß½ng.",""
"msg_script_4695_onarrive_18","Xem ra chúng ta ğã r½i vào ± phøc kích r°i!",""
"msg_script_4695_onarrive_24","Phäi li«u mÕng v¾i chúng thôi, hôm nay nh¤t ğ¸nh phäi mµt m¤t mµt còn!",""
"msg_script_4695_onarrive_6","Không hay r°i! Hành tung cüa chúng ta ğã b¸ tay chân cüa Huyªt Ma biªt ğßşc!",""
"msg_script_4695_onarrive_9","B÷n phi«n phÑc, ta s¨ tiêu di®t các ngß½i, xem ğây!",""
"msg_script_4695_ondead","Th§t là ğáng tiªc, r¯t cuµc ngß½i ğã không th¬ ğßa ta ğªn ğßşc phÕm vi thª lñc cüa Nga My phái..",""
"msg_script_4695_onhplower_0","Th§t tiªc là ngß½i ğã không ğßa ta ğªn ğßşc phÕm vi thª lñc cüa Nga My phái mµt cách an toàn..",""
"msg_script_4695_onhplower_20","Ta b¸ thß½ng r¤t n£ng, e không c¥m cñ ğßşc lâu næa.",""
"msg_script_4695_onhplower_40","Vªt thß½ng cüa ta hi®n r¤t nghiêm tr÷ng, ta e không c¥m cñ lâu ğßşc næa.",""
"msg_script_4695_onhplower_60","B÷n ngß¶i mai phøc này ¡t hÆn ğã chu¦n b¸ r¤t kÛ, chúng ta phäi hªt sÑc c¦n th§n.",""
"msg_script_4695_onhplower_80","Ta e không th¬ c¥m cñ lâu h½n, ngß½i ğ×ng lo cho ta mà hãy mau chÕy ği.",""
"msg_script_4695_ontaskaccept",", ta có an toàn ğªn ğßşc phái Nga My hay không ğ«u nh¶ vào ngß½i cä!",""
"msg_script_4760","Chï còn cách tiêu di®t ta và Læ Tam cÕnh ğ¥m hoa sen m¾i có th¬ khiªn cho Truy H°n Thái Túy và Höa Phiên Phúc ğang ğánh c¶ dß¾i tòa ğình ğó hi®n nguyên hình!",""
"msg_script_4761","Chï còn cách tiêu di®t ta và Læ TÑ trong khung s¡t ğó m¾i có th¬ khiªn cho Truy H°n Thái Túy và Höa Phiên Phúc hi®n nguyên hình!",""
"msg_script_4837","Sau khi tiêu di®t VÕn Niên Hoä Chu trong khu Nham ThÕch m¾i có th¬ tri®u h°i ğßşc Ma Chiªn C½ Giáp canh giæ l¯i vào khu Vån Chu.",""
"msg_script_4838","Sau khi tiêu di®t Thiên Niên Lão Yªt trong khu Ğ¥m L¥y m¾i có th¬ tri®u h°i ğßşc Ma Chiªn C½ Giáp canh giæ l¯i vào khu Vån Chu.",""
"msg_script_51_onarrive","Ta vô tµi, ğ×ng giªt ta ",""
"msg_script_51_onbecaptured","Buông ta ra, ta không mu¯n ği v¾i ngß½i ",""
"msg_script_98_onarrive","Cu¯i cùng ğã ğßşc an toàn!",""
"msg_script_98_onarrive_12","C¦n th§n, b÷n Kı sinh trùng ğáng ghét ğó lÕi ğªn r°i!",""
"msg_script_98_onarrive_17","Kiên trì mµt chút! S¡p ğßşc an toàn r°i, chúng ta s¡p ğªn Thành Ğô r°i!",""
"msg_script_98_onarrive_23","CÑ nghî r¢ng vào thành thì s¨ ğßşc an toàn.. Không ng¶.. B÷n chúng cûng phøc kích cä trong thành!",""
"msg_script_98_onarrive_4","Dß¶ng nhß xung quanh có ği«u b¤t ±n.. Phäi c¦n th§n!",""
"msg_script_98_onarrive_7","Cái b÷n ğeo bám này, ğúng là · ğâu cûng g£p",""
"msg_script_98_ondead","A!!!!!!!!Ngß½i giªt ta r°i!!!!!! ",""
"msg_script_98_onhplower_0","Xem ra ği v¾i ngß½i chï có con ğß¶ng chªt mà thôi.. Ta ğã nh§n ra ğßşc ği«u ğó! ",""
"msg_script_98_onhplower_20","Xem ra hôm nay ta phäi bö mÕng tÕi ğây..",""
"msg_script_98_onhplower_40","ĞÕi ca .. Huynh ğang làm gì thª, sinh mÕng cüa ta g¥n hªt r°i..",""
"msg_script_98_onhplower_60","Ta b¸ thß½ng r°i, mau giúp ta giäi nguy",""
"msg_script_98_onhplower_80","Ta ğau ğ¥u quá, không còn chút sÑc lñc gì cä r°i..",""
"msg_script_98_ontaskaccept",", lúc nãy th§t nguy hi¬m, ta b¸ vài tên H¡c Y Nhân ğánh lén, may mà chÕy thoát.. Ğã qua c½n nguy k¸ch, gi¶ thì ta giao tính mÕng cho ngß½i!",""
"msg_script_bonus_text","PVE ph¥n thß·ng nhóm hÕng %d.",""
"msg_script_bonus_title","Ph¥n thß·ng thi ğ¤u",""
"msg_script_help_bh","Chúc m×ng ğÕt ğªn c¤p 5, Lı Ninh Sß Phø ğang tìm mµt vài ğ® tØ xu¯ng núi tu hành, nªu ngß½i có th¬ vßşt qua nhi®m vø thí luy®n cüa Bách Hoa Phi Tiên thì s¨ có c½ hµi.",""
"msg_script_help_em","Chúc m×ng ğÕt ğªn c¤p 5, Lı Ninh sß phø ğang ki¬m tra tình hình tu hành cüa các ğ® tØ, ngß½i có th¬ thØ thân thü, nªu có th¬ vßşt qua nhi®m vø thí luy®n cüa Nga My Thu§t Sî thì có th¬ xu¯ng núi ğßşc r°i.",""
"msg_script_help_fm","Chúc m×ng ğÕt ğªn c¤p 5, Lı Ninh sß phø ğang · quäng trß¶ng, nªu nhß mu¯n xu¯ng núi thì hãy tìm ông nói chuy®n, chï có vßşt qua nhi®m vø thí luy®n cüa Ph§t Môn Tång Nhân thì m¾i có tß cách xu¯ng núi.",""
"msg_script_help_jianding","Khi s· hæu Ng÷c Løc Pháp Bäo, s¨ có ğßşc mµt vài thuµc tính chßa ğßşc kích hoÕt và hi¬n th¸ màu xám m¶, có th¬ dùng Tân Thü Bäo ThÕch ho£c Ng÷c Løc Bäo ThÕch, mang ğªn ch² Thiªt Tßşng giám ğ¸nh ğ¬ kích hoÕt nång lñc cüa thuµc tính này.",""
"msg_script_help_qc","Chúc m×ng ğÕt ğªn c¤p 5, thân thü r¤t t¯t, bi¬u di­n tuy®t chiêu cho Lı Ninh Sß phø xem, chï có vßşt qua nhi®m vø thí luy®n cüa Thanh Thành †n Giä thì m¾i có th¬ xu¯ng núi.",""
"msg_script_help_ronghe","Sau khi có ğßşc Pháp Bäo chính m¾i, có th¬ dung hşp giæa Pháp Bäo ban ğ¥u và Pháp bäo m¾i có ğßşc",""
"msg_script_help_sit","Nªu chßa ğü th¬ lñc hay pháp lñc thì có th¬ T÷a Thi«n hay dùng Trà Ô Long và Ti¬u Hoàn Ğan ğ¬ tång t¯c h°i phøc, tiêu hao hªt th¬ lñc s¨ dçn ğªn tØ vong.",""
"msg_script_help_xiulian","ĞÆng c¤p nhân v§t ğã vßşt h½n Pháp bäo chính 2 c¤p tr· lên, hãy nhanh chóng tinh luy®n Pháp Bäo ğ¬ nâng cao uy lñc kÛ nång, r¤t có ích cho vi®c thång c¤p ğánh quái.",""
"msg_script_help_xq","Chúc m×ng ğÕt ğªn c¤p 5, mau ği tìm Lı Ninh Sß Phø, lão sß phø có th¬ dÕy cho ngß½i Thu¥n Thú Bí KÛ cüa Tiên C¥m Linh SÑ, h÷c ğßşc tuy®t kÛ này là ngß½i có th¬ xu¯ng núi r°i.",""
"msg_script_protect_boss","Ğşt t¤n công này s¨ xu¤t hi®n BOSS, phäi c¦n th§n Ñng phó.",""
"msg_script_protect_more","Ğşt t¤n công này s¨ xu¤t hi®n b÷n yêu nhân mai phøc · hai bên.",""
"msg_script_protect_spawn","Ğşt t¤n công sau s¨ xu¤t hi®n trong %d giây næa.",""
"msg_script_smithing_fail1","Khäm nÕm th¤t bÕi! Ğ¬ ğ«n bù cho t±n th¤t cüa bÕn, h® th¯ng s¨ t£ng cho bÕn mµt v§t ph¦m.",""
"msg_script_warn_base","ĞÕi bän doanh cüa ğÕo hæu ğang b¸ công kích!",""
"msg_script_killer_gift","%s ğã ğánh bÕi %s trong cuµc chiªn và ğã nh§n ğßşc ph¥n thß·ng cüa h® th¯ng.",""
"msg_script_spawn_boss","Hai Quái Th¥n bí ¦n ğã xu¤t hi®n tÕi khu vñc chiªn ğ¤u ğ¬ h² trş tác chiªn!",""
"msg_script_spawn_box","Mµt Bäo Rß½ng ğµt nhiên xu¤t hi®n, nhßng nó ğßşc bäo v® b·i nhæng quái v§t hung dæ!",""
"msg_script_spawn_monsternext","Ğµi quân yêu ma cüa vòng m¾i ğã ğßşc khôi phøc, c¤p ğµ hung ác là %d.",""
"msg_script_PKbous_text","SØ døng v§t ph¦m trong thß s¨ giúp tång ği¬m thi ğ¤u.",""
"msg_script_PKbous_title","Ph¥n thß·ng Tu Luy®n Trß¶ng - PVP",""
"msg_script_newbie_itemlevelup","Pháp bäo hi®n tÕi ğã ğÕt c¤p ğµ tinh luy®n t¯i ğa, nªu có pháp bäo cao c¤p h½n (có c¤p ğµ yêu c¥u sØ døng cao h½n ho£c t¯t h½n) thì hãy sØ døng tính nång Dung Hşp ğ¬ tiªp tøc mÑc tinh luy®n ğã có cüa pháp bäo cû.",""
"msg_script_1428_onstartduel","Hãy ğ¬ ta xem tài ngh® cüa ngß½i!",""
"msg_script_1428_onendduel_win","Có v§y thôi mà dám tï thí v¾i ta à, th§t nñc cß¶i! Hãy v« mà tu luy®n lÕi ği!",""
"msg_script_1428_onendduel_lost","Häo thân thü, tÕi hÕ xin thua!",""
"msg_script_1429_onstartduel","Hãy ğ¬ ta xem tài ngh® cüa ngß½i!",""
"msg_script_1429_onendduel_win","Có v§y thôi mà dám tï thí v¾i ta à, th§t nñc cß¶i! Hãy v« mà tu luy®n lÕi ği!",""
"msg_script_1429_onendduel_lost","Häo thân thü, tÕi hÕ xin thua!",""
"msg_script_1430_onstartduel","Hãy ğ¬ ta xem tài ngh® cüa ngß½i!",""
"msg_script_1430_onendduel_win","Có v§y thôi mà dám tï thí v¾i ta à, th§t nñc cß¶i! Hãy v« mà tu luy®n lÕi ği!",""
"msg_script_1430_onendduel_lost","Häo thân thü, tÕi hÕ xin thua!",""
"msg_script_1431_onstartduel","Hãy ğ¬ ta xem tài ngh® cüa ngß½i!",""
"msg_script_1431_onendduel_win","Có v§y thôi mà dám tï thí v¾i ta à, th§t nñc cß¶i! Hãy v« mà tu luy®n lÕi ği!",""
"msg_script_1431_onendduel_lost","Häo thân thü, tÕi hÕ xin thua!",""
"msg_script_1432_onstartduel","Hãy ğ¬ ta xem tài ngh® cüa ngß½i!",""
"msg_script_1432_onendduel_win","Có v§y thôi mà dám tï thí v¾i ta à, th§t nñc cß¶i! Hãy v« mà tu luy®n lÕi ği!",""
"msg_script_1432_onendduel_lost","Häo thân thü, tÕi hÕ xin thua!",""
"msg_script_4935a1_onhplower_80","Lû ngß¶i ngu ng¯c, hôm nay chính là ngày tàn cüa các ngß½i, haha!",""
"msg_script_4935a3_onhplower_80","Kë ğáng thß½ng, hãy ğ¬ ta ti­n ngß½i xu¯ng n½i chín su¯i!",""
"msg_script_4935a5_onhplower_80","Ta phäi tiêu di®t hªt b÷n ngß½i, l¤y thi hài v« cho ĞÕi Vß½ng khen thß·ng, hahaha!",""
"msg_script_4935a7_onhplower_80","Thôi thì ta nhón ngón chân, ğÕp cho ngß½i chªt s¾m ğ¬ giäi phóng linh h°n ô tÕp cüa ngß½i.",""
"msg_script_4935a9_onhplower_80","Hãy thành th§t khai báo, ngß½i ğªn ğây làm gì?",""
"msg_script_4935b1_onhplower_50","Huynh ğ® hãy c¦n th§n, tên này không phäi kë t¥m thß¶ng!",""
"msg_script_4935b3_onhplower_50","Th¢ng kh¯n kia! Ngß½i dám ğá ğít ta à, xem ta xØ chém ngß½i ğây!",""
"msg_script_4935b5_onhplower_50","Này thì nªm mùi cüa lão gia gia này nhé!",""
"msg_script_4935b7_onhplower_50","Nhæng ai cä gan dám ch¯ng lÕi Chu H°ng ĞÕi Vß½ng ğ«u phäi b¸ tiêu di®t! Nµp mÕng mau!",""
"msg_script_4935b9_onhplower_50","Chúng huynh ğ®, ĞÕi Vß½ng có l®nh, giªt 1 tên thß·ng 50 bÕc, b¡t s¯ng 1 tên ğßşc 1 vàng! Hãy xông lên cho ta!",""
"msg_script_4935c1_onhplower_20","Dám bén mäng ğªn ğây thì sÇn sàng nµp mÕng ği!",""
"msg_script_4935c3_onhplower_20","ĞÕi ca, tránh voi chÆng x¤u m£t nào. Phe ta có vë yªu thª nên hay là ta tÕm thoái lui?",""
"msg_script_4935c5_onhplower_20","Xem ra chúng ta không phäi ğ¯i thü cüa chúng, tiêu ğ¶i r°i!",""
"msg_script_4935c7_onhplower_20","Ta ğây cho dù ğÕi bÕi dß¾i tay ngß½i vçn s¨ kéo ngß½i xu¯ng ğ¸a ngøc! Th§t hä dÕ! Hahaha!",""
"msg_script_4935c9_onhplower_20","Ti¬u tØ xem chiêu! Ngß½i có chÕy ğ¢ng tr¶i! Chï là thö con trong m¡t thş sån mà thôi! Hahaha!",""
"msg_script_4935d1_onhplower_0","T§n trung v¾i Chu H°ng ğÕi vß½ng s¨ tr· nên b¤t tØ, ta s¨ không bao gi¶ b¸ tiêu di®t!",""
"msg_script_4935d3_onhplower_0","ĞÕi ca ½i là ğÕi ca, ğ® bäo lui trß¾c mà không nghe, gi¶ chªt cä lû ğây này. Trong ğ¶i ğau kh± nh¤t còn gì ngoài vi®c theo l¥m ğÕi ca! i tr¶i ½i!",""
"msg_script_4935d5_onhplower_0","Ta sai r°i, ğáng l¨ nên nghe l¶i chúng huynh ğ®, bö vû khí ğ¥u hàng. Gi¶ thì ğã hªt ğß¶ng thoái lui.",""
"msg_script_4937_onhplower_0","Ta hªt ği n±i r°i, cäm tÕ m÷i n² lñc cüa chß v¸. L¥n sau hãy ğªn dçn ta r¶i khöi ğây ğßşc không?",""
"msg_script_4937_onhplower_20","Có l¨ do b¸ thß½ng quá n£ng nên ta b¡t ğ¥u th¤y choáng váng r°i. B÷n chúng th§t khó ğ¯i phó!",""
"msg_script_4937_onhplower_40","Vªt thß½ng không ng×ng chäy máu, có l¨ ta không còn ği n±i næa.",""
"msg_script_4937_onhplower_60","Ta b¸ thß½ng r°i, có ai ğªn bäo v® ta không?",""
"msg_script_4937_onhplower_80","Chúng ta b¸ t§p kích, t¤t cä hãy th¦n tr÷ng!",""
"msg_script_4937_ondead","M÷i ngß¶i ğ×ng th¤t v÷ng, l¥n sau ch¡c ch¡n s¨ bäo hµ thành công thôi. Tiªp tøc tu luy®n nhé!",""
"msg_script_4937_onarrive","May nh¶ chß v¸ ğÕo hæu hµ t¯ng ta m¾i thoát khöi nhæng ğòn t¤n công nguy hi¬m",""
"msg_script_4937_onarrive_6","Có mai phøc! M÷i ngß¶i chú ı!",""
"msg_script_4937_onarrive_9","Th§t là lû theo ğuôi dai dÆng, xem ta xu¤t chiêu ğây!",""
