ID,Name,Desc,Remark
8054,"Th¤t S¡c Phï Thúy Løc Bäo ThÕch","Sau khi dùng có 20% c½ hµi chuy¬n ð±i Thiên Lam Pháp Bäo thành Phï Thúy Løc Pháp Bäo. Mµt ph¥n thuµc tính cüa pháp bäo g¯c ðßþc bäo lßu, bao g°m ðÆng c¤p pháp bäo, linh lñc, trÕng thái khóa ð¸nh và gi¾i hÕn th¶i gian. Nhæng thuµc tính còn lÕi ngçu nhiên theo h® th¯ng và ðÆng c¤p khäm nÕm s¨ ngçu nhiên giäm 2 c¤p tr· lên sau khi chuy¬n ð±i. V¾i mÑc giäm t¯i ða, pháp bäo s¨ tr· thành pháp bäo bình thß¶ng, +0.",
8055,"Th¤t S¡c BÕch Kim Bäo ThÕch","Sau khi dùng có 5% c½ hµi chuy¬n ð±i Phï Thúy Løc Bäo thành BÕch Kim Pháp Bäo. Mµt ph¥n thuµc tính cüa pháp bäo g¯c ðßþc bäo lßu, bao g°m ðÆng c¤p pháp bäo, linh lñc, trÕng thái khóa ð¸nh và gi¾i hÕn th¶i gian. Nhæng thuµc tính còn lÕi ngçu nhiên theo h® th¯ng và ðÆng c¤p khäm nÕm s¨ ngçu nhiên giäm 2 c¤p tr· lên sau khi chuy¬n ð±i. V¾i mÑc giäm t¯i ða, pháp bäo s¨ tr· thành pháp bäo bình thß¶ng, +0.",
8056,"Kim Tinh Thiªt Ng÷c","Viên ng÷c th¥n kì, có th¬ tång xác xu¤t khäm nÕm thành công t× c¤p 1 ðª c¤p 20 100%.",
8057,"Hµp Ng÷c Kim Tinh (Ti¬u)","M· ra nh§n ðßþc 20 viên Ng÷c May M¡n (Ti¬u)",
8058,"Hµp Ng÷c Kim Tinh (Trung)","M· ra nh§n ðßþc 20 viên Ng÷c May M¡n (Trung)",
8059,"Hµp Ng÷c Kim Tinh (ÐÕi)","M· ra nh§n ðßþc 20 viên Ng÷c May M¡n (ÐÕi)",
8060,"Thiên Lý Truy«n Âm Phù","Có th¬ phát ngôn trong tam gi¾i, vßþt quá gi¾i hÕn m²i phút 2 câu thì cÑ 1 câu phäi tiêu t¯n 1 t¤m phù.",
8061,"Lão H± ","Sau khi dùng có th¬ tri®u h°i ðßþc thú cßÞi Lão H±.",
8062,"Công ÐÑc Hoàn (Ti¬u)","Viên thu¯c ð£c hi®u, sau khi sØ døng s¨ giäm 200 ði¬m PK",
8063,"Công ÐÑc Hoàn (Trung)","Viên thu¯c ð£c hi®u, sau khi sØ døng s¨ giäm 400 ði¬m PK",
8064,"Công ÐÑc Hoàn (ÐÕi)","Viên thu¯c ð£c hi®u, sau khi sØ døng s¨ giäm 600 ði¬m PK",
8065,"Kim Tinh S","V§t ph¦m may m¡n, ðßþc sØ døng làm nguyên li®u h² trþ khi khäm nÕm trang b¸ +18 ~ +20, m²i viên có th¬ tång 15% xác su¤t thành công, dù luy®n thành công hay không v§t ph¦m may m¡n ð«u biªn m¤t.",
8066,"H± C¦u","LoÕi: Thu¥n Thú. SØ døng: Tri®u h°i thu¥n thú H± C¦u, có th¬ tång th¬ lñc cüa chü nhân: 20 + c¤p ðµ Thu¥n Thú x (10 + lßþng huyªt khí c½ bän cüa chü nhân x 1.3%), tång 1% né tránh và 1% bÕo kích, t× c¤p 11 tr· ði có th¬ phân ph¯i ði¬m thuµc tính, sau khi tri®u h°i s¨ tång nång lñc cho chü nhân.",
8067,"50K Vàng","M· ra nh§n ðßþc 50K vàng, mµt ngß¶i chï có th¬ mang t¯i ða 200K vàng, nªu trong ngß¶i bÕn ðang mang s¯ vàng + s¯ vàng ð¸nh m· ra vßþt quá 200K vàng, h® th¯ng s¨ tñ ðµng l¤y s¯ vàng còn th×a và chï ð¬ lÕi 200K vàng trong túi hàng trang. Hãy chú ý trß¾c khi m· hµp vàng.",
8068,"100K Vàng","M· ra nh§n ðßþc 100K vàng, mµt ngß¶i chï có th¬ mang t¯i ða 200K vàng, nªu trong ngß¶i bÕn ðang mang s¯ vàng + s¯ vàng ð¸nh m· ra vßþt quá 200K vàng, h® th¯ng s¨ tñ ðµng l¤y s¯ vàng còn th×a và chï ð¬ lÕi 200K vàng trong túi hàng trang. Hãy chú ý trß¾c khi m· hµp vàng.",
8069,"150K Vàng","M· ra nh§n ðßþc 150K vàng, mµt ngß¶i chï có th¬ mang t¯i ða 200K vàng, nªu trong ngß¶i bÕn ðang mang s¯ vàng + s¯ vàng ð¸nh m· ra vßþt quá 200K vàng, h® th¯ng s¨ tñ ðµng l¤y s¯ vàng còn th×a và chï ð¬ lÕi 200K vàng trong túi hàng trang. Hãy chú ý trß¾c khi m· hµp vàng.",
8070,Thiên  SÑ Hµ Phù +10,M· ra nh§n ðßþc mµt Thiên  SÑ Hµ Phù +10,
8071,Thiên  SÑ Hµ Phù +10,M· ra nh§n ðßþc mµt Thiên  SÑ Hµ Phù +10,
8072,Vçn Tinh Gi¾i Chï +10,M· ra nh§n ðßþc mµt Vçn Tinh Gi¾i Chï +10,
8073,Vçn Tinh Hµ Phù +10,M· ra nh§n ðßþc mµt Vçn Tinh Hµ Phù +10,
8074,"Hµp May M¡n","M· ra ngçu nhiên nh§n ðßþc mµt v§t ph¦m",
8075,"Thanh Lang Siêu C¤p","LoÕi: KÜ Thú. Sau khi sØ døng có th¬ tri®u h°i KÜ Thú Thanh Lang.",
8076,"Lam Phøng Hoàng Siêu C¤p","Tri®u h°i kÜ thú Lam Phøng Hoàng",
8077,"Ngân Lang","LoÕi: KÜ Thú. Sau khi sØ døng có th¬ tri®u h°i KÜ Thú Thanh Lang.",
8078,"Lam Phøng Hoàng","Tri®u h°i kÜ thú Lam Phøng Hoàng",
8079,"Túi Höa Phong Gi¾i Chï","M· túi ra nh§n ðßþc 2 Höa Phong Gi¾i Chï +20",
8080,"Túi Höa Phong Hµ Phù","M· túi ra nh§n ðßþc 2 Höa Phong Hµ Phù +20",
8081,"Túi Höa Phong 1","M· túi ra nh§n ðßþc 1 Höa Phong Gi¾i Chï +20 và 1 Höa Phong Hµ Phù +20",
8082,"Túi Höa Phong 2","M· túi ra nh§n ðßþc 2 Höa Phong Gi¾i Chï +20 và 2 Höa Phong Hµ Phù +20",
,,,
8089,"Tiên ¿ng","SØ døng: Tri®u h°i Thu¥n Thú Tiên ¿ng, có th¬ tång t¯c ðµ h°i phøc pháp lñc cüa chü nhân khi · trÕng thái chiªn ð¤u và t¯c ðµ di chuy¬n, t× c¤p 11 tr· ði có th¬ phân ph¯i ði¬m thuµc tính, sau khi tri®u h°i s¨ tång nång lñc cho chü nhân.",
8090,"C§u Bé Giáng Sinh","SØ døng: Tri®u h°i Thu¥n Thú C§u Bé Giáng Sinh, có th¬ tång t¯c ðµ h°i phøc pháp lñc cüa chü nhân khi · trÕng thái chiªn ð¤u và t¯c ðµ di chuy¬n, t× c¤p 11 tr· ði có th¬ phân ph¯i ði¬m thuµc tính, sau khi tri®u h°i s¨ tång nång lñc.Tång gi¾i hÕn th¬ lñc cüa chü nhân, khi · trÕng thái không chiªn ð¤u có th¬ tång t¯c ðµ h°i huyªt cüa chü nhân, sau 11 c¤p s¨ có ði¬m thuµc tính, sau khi tri®u h°i s¨ tång nång lñc cüa chü nhân.",
8091,"Cô Bé Giáng Sinh","SØ døng: Tri®u h°i Thu¥n Thú Cô Bé Giáng Sinh, có th¬ tång t¯c ðµ h°i phøc pháp lñc cüa chü nhân khi · trÕng thái chiªn ð¤u và t¯c ðµ di chuy¬n, t× c¤p 11 tr· ði có th¬ phân ph¯i ði¬m thuµc tính, sau khi tri®u h°i s¨ tång nång lñc.Tång gi¾i hÕn th¬ lñc cüa chü nhân, khi · trÕng thái không chiªn ð¤u có th¬ tång t¯c ðµ h°i huyªt cüa chü nhân, sau 11 c¤p s¨ có ði¬m thuµc tính, sau khi tri®u h°i s¨ tång nång lñc cüa chü nhân.",
8092,"Bång Xuyên Ngân H°","SØ døng: Tri®u h°i Thu¥n Thú Bång Xuyên Ngân H°, có th¬ tång t¯c ðµ h°i phøc pháp lñc cüa chü nhân khi · trÕng thái chiªn ð¤u và t¯c ðµ di chuy¬n, t× c¤p 11 tr· ði có th¬ phân ph¯i ði¬m thuµc tính, sau khi tri®u h°i s¨ tång nång lñc.Tång gi¾i hÕn th¬ lñc cüa chü nhân, khi · trÕng thái không chiªn ð¤u có th¬ tång t¯c ðµ h°i huyªt cüa chü nhân, sau 11 c¤p s¨ có ði¬m thuµc tính, sau khi tri®u h°i s¨ tång nång lñc cüa chü nhân.",
8093,"Ngß¶i Tuyªt","SØ døng: Tri®u h°i Thu¥n Thú Ngß¶i Tuyªt, có th¬ tång t¯c ðµ h°i phøc pháp lñc cüa chü nhân khi · trÕng thái chiªn ð¤u và t¯c ðµ di chuy¬n, t× c¤p 11 tr· ði có th¬ phân ph¯i ði¬m thuµc tính, sau khi tri®u h°i s¨ tång nång lñc.Tång gi¾i hÕn th¬ lñc cüa chü nhân, khi · trÕng thái không chiªn ð¤u có th¬ tång t¯c ðµ h°i huyªt cüa chü nhân, sau 11 c¤p s¨ có ði¬m thuµc tính, sau khi tri®u h°i s¨ tång nång lñc cüa chü nhân.",
8094,"Nguy®t Nga","SØ døng: Tri®u h°i Thu¥n Thú Ch¸ H¢ng, có th¬ tång t¯c ðµ h°i phøc pháp lñc cüa chü nhân khi · trÕng thái chiªn ð¤u và t¯c ðµ di chuy¬n, t× c¤p 11 tr· ði có th¬ phân ph¯i ði¬m thuµc tính, sau khi tri®u h°i s¨ tång nång lñc.Tång gi¾i hÕn th¬ lñc cüa chü nhân, khi · trÕng thái không chiªn ð¤u có th¬ tång t¯c ðµ h°i huyªt cüa chü nhân, sau 11 c¤p s¨ có ði¬m thuµc tính, sau khi tri®u h°i s¨ tång nång lñc cüa chü nhân.",
8095,"Ti¬u Hï","SØ døng: Tri®u h°i Thu¥n Thú Ti¬u Hï, có th¬ tång t¯c ðµ h°i phøc pháp lñc cüa chü nhân khi · trÕng thái chiªn ð¤u và t¯c ðµ di chuy¬n, t× c¤p 11 tr· ði có th¬ phân ph¯i ði¬m thuµc tính, sau khi tri®u h°i s¨ tång nång lñc.Tång gi¾i hÕn th¬ lñc cüa chü nhân, khi · trÕng thái không chiªn ð¤u có th¬ tång t¯c ðµ h°i huyªt cüa chü nhân, sau 11 c¤p s¨ có ði¬m thuµc tính, sau khi tri®u h°i s¨ tång nång lñc cüa chü nhân.",
8096,"Báo Tuyªt","SØ døng: Tri®u h°i Thu¥n Thú Báo Tuyªt, có th¬ tång t¯c ðµ h°i phøc pháp lñc cüa chü nhân khi · trÕng thái chiªn ð¤u và t¯c ðµ di chuy¬n, t× c¤p 11 tr· ði có th¬ phân ph¯i ði¬m thuµc tính, sau khi tri®u h°i s¨ tång nång lñc.Tång gi¾i hÕn th¬ lñc cüa chü nhân, khi · trÕng thái không chiªn ð¤u có th¬ tång t¯c ðµ h°i huyªt cüa chü nhân, sau 11 c¤p s¨ có ði¬m thuµc tính, sau khi tri®u h°i s¨ tång nång lñc cüa chü nhân.",
8097,"Pha Lê Yªt Ngçu","SØ døng: Tri®u h°i Thu¥n Thú Pha Lê Yªt Ngçu, có th¬ tång t¯c ðµ h°i phøc pháp lñc cüa chü nhân khi · trÕng thái chiªn ð¤u và t¯c ðµ di chuy¬n, t× c¤p 11 tr· ði có th¬ phân ph¯i ði¬m thuµc tính, sau khi tri®u h°i s¨ tång nång lñc.Tång gi¾i hÕn th¬ lñc cüa chü nhân, khi · trÕng thái không chiªn ð¤u có th¬ tång t¯c ðµ h°i huyªt cüa chü nhân, sau 11 c¤p s¨ có ði¬m thuµc tính, sau khi tri®u h°i s¨ tång nång lñc cüa chü nhân.",
8098,"Ngßu Lang","SØ døng: Tri®u h°i Thu¥n Thú Ngßu Lang, có th¬ tång t¯c ðµ h°i phøc pháp lñc cüa chü nhân khi · trÕng thái chiªn ð¤u và t¯c ðµ di chuy¬n, t× c¤p 11 tr· ði có th¬ phân ph¯i ði¬m thuµc tính, sau khi tri®u h°i s¨ tång nång lñc.Tång gi¾i hÕn th¬ lñc cüa chü nhân, khi · trÕng thái không chiªn ð¤u có th¬ tång t¯c ðµ h°i huyªt cüa chü nhân, sau 11 c¤p s¨ có ði¬m thuµc tính, sau khi tri®u h°i s¨ tång nång lñc cüa chü nhân.",
8099,"ChÑc Næ","SØ døng: Tri®u h°i Thu¥n Thú ChÑc Næ, có th¬ tång t¯c ðµ h°i phøc pháp lñc cüa chü nhân khi · trÕng thái chiªn ð¤u và t¯c ðµ di chuy¬n, t× c¤p 11 tr· ði có th¬ phân ph¯i ði¬m thuµc tính, sau khi tri®u h°i s¨ tång nång lñc.Tång gi¾i hÕn th¬ lñc cüa chü nhân, khi · trÕng thái không chiªn ð¤u có th¬ tång t¯c ðµ h°i huyªt cüa chü nhân, sau 11 c¤p s¨ có ði¬m thuµc tính, sau khi tri®u h°i s¨ tång nång lñc cüa chü nhân.",
8100,"Ông Già Tuyªt","SØ døng: Tri®u h°i Thu¥n Thú Ông Già Tuyªt, có th¬ tång t¯c ðµ h°i phøc pháp lñc cüa chü nhân khi · trÕng thái chiªn ð¤u và t¯c ðµ di chuy¬n, t× c¤p 11 tr· ði có th¬ phân ph¯i ði¬m thuµc tính, sau khi tri®u h°i s¨ tång nång lñc.Tång gi¾i hÕn th¬ lñc cüa chü nhân, khi · trÕng thái không chiªn ð¤u có th¬ tång t¯c ðµ h°i huyªt cüa chü nhân, sau 11 c¤p s¨ có ði¬m thuµc tính, sau khi tri®u h°i s¨ tång nång lñc cüa chü nhân.",
,,,
8677,"Nga My (Pet)","LoÕi: Thu¥n Thú. SØ døng: Tri®u h°i thu¥n thú Nga My, có th¬ tång t¯c ðµ h°i phøc pháp lñc cüa chü nhân khi · trÕng thái chiªn ð¤u và t¯c ðµ di chuy¬n, t× c¤p 11 tr· ði có th¬ phân ph¯i ði¬m thuµc tính, sau khi tri®u h°i s¨ tång nång lñc.Tång gi¾i hÕn th¬ lñc cüa chü nhân, khi · trÕng thái không chiªn ð¤u có th¬ tång t¯c ðµ h°i huyªt cüa chü nhân, sau 11 c¤p s¨ có ði¬m thuµc tính, sau khi tri®u h°i s¨ tång nång lñc cüa chü nhân.",
8678,"Ph§t Môn (Pet)","LoÕi: Thu¥n Thú. SØ døng: Tri®u h°i thu¥n thú Ph§t Môn, có th¬ tång t¯c ðµ h°i phøc pháp lñc cüa chü nhân khi · trÕng thái chiªn ð¤u và t¯c ðµ di chuy¬n, t× c¤p 11 tr· ði có th¬ phân ph¯i ði¬m thuµc tính, sau khi tri®u h°i s¨ tång nång lñc.Tång gi¾i hÕn th¬ lñc cüa chü nhân, khi · trÕng thái không chiªn ð¤u có th¬ tång t¯c ðµ h°i huyªt cüa chü nhân, sau 11 c¤p s¨ có ði¬m thuµc tính, sau khi tri®u h°i s¨ tång nång lñc cüa chü nhân.",
8679,"Bách Hoa (Pet)","LoÕi: Thu¥n Thú. SØ døng: Tri®u h°i thu¥n thú Bách Hoa, có th¬ tång t¯c ðµ h°i phøc pháp lñc cüa chü nhân khi · trÕng thái chiªn ð¤u và t¯c ðµ di chuy¬n, t× c¤p 11 tr· ði có th¬ phân ph¯i ði¬m thuµc tính, sau khi tri®u h°i s¨ tång nång lñc.Tång gi¾i hÕn th¬ lñc cüa chü nhân, khi · trÕng thái không chiªn ð¤u có th¬ tång t¯c ðµ h°i huyªt cüa chü nhân, sau 11 c¤p s¨ có ði¬m thuµc tính, sau khi tri®u h°i s¨ tång nång lñc cüa chü nhân.",
8680,"Thanh Thành (Pet)","LoÕi: Thu¥n Thú. SØ døng: Tri®u h°i thu¥n thú Thanh Thành, có th¬ tång t¯c ðµ h°i phøc pháp lñc cüa chü nhân khi · trÕng thái chiªn ð¤u và t¯c ðµ di chuy¬n, t× c¤p 11 tr· ði có th¬ phân ph¯i ði¬m thuµc tính, sau khi tri®u h°i s¨ tång nång lñc.Tång gi¾i hÕn th¬ lñc cüa chü nhân, khi · trÕng thái không chiªn ð¤u có th¬ tång t¯c ðµ h°i huyªt cüa chü nhân, sau 11 c¤p s¨ có ði¬m thuµc tính, sau khi tri®u h°i s¨ tång nång lñc cüa chü nhân.",
8681,"Tiên C¥m (Pet)","LoÕi: Thu¥n Thú. SØ døng: Tri®u h°i thu¥n thú Tiên C¥m, có th¬ tång t¯c ðµ h°i phøc pháp lñc cüa chü nhân khi · trÕng thái chiªn ð¤u và t¯c ðµ di chuy¬n, t× c¤p 11 tr· ði có th¬ phân ph¯i ði¬m thuµc tính, sau khi tri®u h°i s¨ tång nång lñc.Tång gi¾i hÕn th¬ lñc cüa chü nhân, khi · trÕng thái không chiªn ð¤u có th¬ tång t¯c ðµ h°i huyªt cüa chü nhân, sau 11 c¤p s¨ có ði¬m thuµc tính, sau khi tri®u h°i s¨ tång nång lñc cüa chü nhân.",
,,,
32000,"Bát Di®p Chiªn Y",
32001,"Bát Di®p Hµ Thü ",
32002,"Bát Di®p Chiªn Ngoa",
32003,"Bát Di®p Hµ Oän",
32004,"Bát Di®p Hµ T¤t",
32005,"Bát Di®p Ðai",
32006,"Thích C¯t Chiªn Giáp",
32007,"Thích C¯t Hµ Thü",
32008,"Thích C¯t Chiªn Ngoa",
32009,"Thích C¯t Hµ Oän",
32010,"Thích C¯t Hµ T¤t",
32011,"Thích C¯t Ðai",
32012,"Bích Liên Vû Thß¶ng",
32013,"Bích Liên Hµ Thü",
32014,"Bích Liên Nhuy­n Ngoa",
32015,"Bích Liên Hµ Oän",
32016,"Bích Liên Hµ T¤t",
32017,"Bích Liên hµ Ðai",
32018,"Huyªt Minh Liên Giáp",
32019,"Huyªt Minh Hµ Thü",
32020,"Huyªt Minh Liên Ngoa",
32021,"Huyªt Minh Hµ Oän",
32022,"Huyªt Minh Hµ T¤t",
32023,"Huyªt Minh Ðai",
32024,"Thiên C½ Chiªn Bào",
32025,"Thiên C½ Hµ Thü",
32026,"Thiên C½ Chiªn Ngoa",
32027,"Thiên C½ Hµ Oän",
32028,"Thiên C½ Hµ T¤t",
32029,"Thiên C½ Ðai",
,,,
32060,"Tu La Gi¾i Chï",
32063,"Tu La Hµ Phù",
32064,"ÐÕi Ð¸a Gi¾i Chï",
32065,"Xuyên Vân Gi¾i Chï",
32066,"ÐÕi Ð¸a Hµ Phù",
32067,"Xuyên Vân Hµ Phù",
,,,
30030,"Nh§t Nguy®t Vû Thß¶ng",,
30031,"Nh§t Nguy®t Hµ Thü",,
30032,"Nh§t Nguy®t Nhuy­n Ngoa",,
30033,"Nh§t Nguy®t Hµ Oän",,
30034,"Nh§t Nguy®t Hµ T¤t",,
30035,"Nh§t Nguy®t Ðai",,
30036,"Ng÷a Long Liên Giáp",,
30037,"Ng÷a Long Hµ Thü",,
30038,"Ng÷a Long Liên Ngoa",,
30039,"Ng÷a Long Hµ Oän",,
30040,"Ng÷a Long Hµ T¤t",,
30041,"Ng÷a Long Ðai",,
30042,"Hß Không Chiªn Giáp",,
30043,"Hß Không Hµ Thü",,
30044,"Hß Không Chiªn Ngoa",,
30045,"Hß Không Hµ Oän",,
30046,"Hß Không Hµ T¤t",,
30047,"Hß Không Ðai",,
30048,"Thánh Næ Chiªn Bào",,
30049,"Thánh Næ Hµ Thü",,
30050,"Thánh Næ Chiªn Ngoa",,
30051,"Thánh Næ Hµ Oän",,
30052,"Thánh Næ Hµ T¤t",,
30053,"Thánh Næ Ðai",,
30054,"T¸ch Di®t Chiªn Y",,
