STRID,LAN,Remark
help_fbxt_duanzaocailiao,"V§t li®u khäm nÕm: 
  Khäm nÕm pháp bäo và khäm nÕm trang b¸ sØ døng v§t li®u khác nhau. Khäm nÕm pháp bäo sØ døng Hoành Bäo ThÕch, khäm nÕm trang b¸ c¥n Quang Bäo ThÕch.
  Nhæng trang b¸ cùng loÕi do c¤p ğµ khäm nÕm khác nhau s¨ sØ døng nhæng v§t li®u khác nhau.
C¤p ğµ khäm nÕm LoÕi v§t ph¦m Tên v§t li®u
C¤p 1 - 3 Trang b¸ Ti¬u Quang Bäo ThÕch
C¤p 4 - 6 Trang b¸ Trung Quang Bäo ThÕch
C¤p 7 - 9 Trang b¸ ĞÕi Quang Bäo ThÕch
C¤p ğµ khäm nÕm LoÕi v§t ph¦m Tên v§t li®u
C¤p 1 - 3 Pháp bäo Ti¬u Hoành Bäo ThÕch
C¤p 4 - 6 Pháp bäo Trung Hoành Bäo ThÕch
C¤p 7 - 9 Pháp bäo ĞÕi Hoành Bäo ThÕch
Phí khäm nÕm: 
  C¤p ğµ và loÕi trang b¸ änh hß·ng trñc tiªp ğªn phí khäm nÕm. Pháp bäo t× c¤p 1 - 30 m²i l¥n khäm nÕm c¥n 1 lßşng vàng, pháp bäo t× c¤p 30 - 60 m²i l¥n khäm nÕm c¥n 2 lßşng vàng, pháp bäo t× c¤p 60 - 90 m²i l¥n khäm nÕm c¥n 4 lßşng vàng, phí khäm nÕm trang b¸ b¢ng 1/5 phí khäm nÕm pháp bäo.
T±n th¤t khi khäm nÕm th¤t bÕi: 
  Pháp bäo và trang b¸ c¤p 4 tr· ği khi khäm nÕm th¤t bÕi s¨ có 50% khä nång giäm c¤p ğµ xu¯ng 0, c¤p 7 tr· ği s¨ có 100% khä nång giäm xu¯ng 0.",
help_fbxt_fabaodengji,"Thª nào là c¤p ğµ pháp bäo: 
   Pháp bäo có 3 loÕi c¤p ğµ: c¤p ğµ s½ kh·i, c¤p ğµ hi®n tÕi và c¤p ğµ t¯i ğa. C¤p ğµ s½ kh·i chï c¤p ğµ cüa pháp bäo lúc m¾i ğßşc tÕo ra. C¤p ğµ hi®n tÕi chï c¤p ğµ hæu hi®u hi®n tÕi cüa pháp bäo, c¤p ğµ hi®n tÕi có th¬ ğßşc nâng cao nh¶ tu luy®n nhßng không ğßşc phép vßşt qua c¤p ğµ t¯i ğa. C¤p ğµ t¯i ğa chï c¤p ğµ cao nh¤t mà pháp bäo này có th¬ tu luy®n ğßşc. Uy lñc cüa kÛ nång trên pháp bäo thông thß¶ng có liên quan ğªn c¤p ğµ cüa pháp bäo. ",
help_fbxt_fabaoduanzao,"Khäm nÕm trang b¸: 
  Vû khí ho£c trang b¸ sau khi ğßşc khäm nÕm s¨ giúp ngß¶i ch½i nâng cao nång lñc chiªn ğ¤u r¤t nhi«u, khi c¤p ğµ khäm nÕm ğÕt ğªn mµt mÑc ğµ nh¤t ğ¸nh thì hình dÕng bên ngoài cüa vû khí ho£c trang b¸ s¨ có sñ thay ğ±i rõ r®t, khiªn bÕn n±i b§t trong tam gi¾i. 
Ngß¶i ch½i sau khi mua ğßşc v§t li®u khäm nÕm trong KÏ Trân Các thì có th¬ ğªn g£p Thiªt Tßşng ğ¬ b¡t ğ¥u khäm nÕm. V§t li®u khäm nÕm và phí khäm nÕm cüa vû khí và trang b¸ là không gi¯ng nhau, mÑc ğµ thành công cüa vi®c khäm nÕm cûng giäm ği theo sñ nâng cao cüa c¤p ğµ khäm nÕm. Vi®c khäm nÕm th¤t bÕi s¨ có mµt xác su¤t nh¤t ğ¸nh khiªn cho c¤p ğµ khäm nÕm cüa v§t ph¦m b¸ hÕ xu¯ng ho£c tr· v« 0.

Hi®u quä cüa khäm nÕm: 
  Pháp bäo sau khi khäm nÕm hành công s¨ tång uy lñc công kích.
   Trang b¸ sau khi khäm nÕm hành công s¨ tång phòng ngñ v§t lı và phòng ngñ pháp thu§t.
C¤p ğµ khäm nÕm và xác su¤t thành công: 
  Khäm nÕm pháp bäo và trang b¸ ğ«u phân làm 9 c¤p. Xác su¤t khäm nÕm thành công cüa pháp bäo t× c¤p 1 ğªn c¤p 3 là  100%, t× c¤p 4 ğªn c¤p 6 s¨ có khä nång th¤t bÕi, khi th¤t bÕi s¨ giäm c¤p ğµ khäm nÕm, t× c¤p 7 ğªn c¤p 9 nªu khäm nÕm th¤t bÕi thì c¤p ğµ khäm nÕm cüa v§t ph¦m s¨ có khä nång giäm xu¯ng 0. 
",
help_fbxt_fabaogainian,"Pháp bäo là gì:  
   Pháp bäo là mµt loÕi ğÕo cø ğ£c bi®t, có th¬ nâng cao nång lñc cüa ngß¶i ch½i. Pháp bäo có ti«m ¦n các loÕi kÛ nång, thông qua tu luy®n có th¬ tång c¤p ğµ cüa pháp bäo, kích hoÕt nhæng kÛ nång mÕnh h½n. Pháp bäo ğßşc chia thành 2 loÕi l¾n là pháp bäo chính (loÕi vû khí) và pháp bäo h² trş. Nhân v§t cùng mµt lúc có th¬ trang b¸ 1 pháp bäo chính và 2 pháp bäo h² trş.",
help_fbxt_fabaojianding,"   Trong tam gi¾i, thông qua vi®c làm nhi®m vø ho£c ğánh quái s¨ thu ğßşc mµt s¯ trang b¸ có thuµc tính ¦n, nªu mu¯n kích hoÕt nhæng thuµc tính ¦n này thì phäi ğªn ch² Thiªt Tßşng ğ¬ tiªn hành giám ğ¸nh trang b¸.
V§t li®u giám ğ¸nh: 
 Giám ğ¸nh trang b¸ c¥n có v§t li®u chuyên døng. BÕn có th¬ ğªn KÏ Trân Các ğ¬ mua 'Bäo ThÕch' ğ¬ tiªn hành giám ğ¸nh. Ğ°ng th¶i v¾i sñ khác nhau v« c¤p ğµ cüa trang b¸ mà 'Bäo ThÕch' sØ døng cûng khác nhau, trang b¸ Thiên Thanh c¥n có Thiên Thanh Bäo ThÕch, trang b¸ Ng÷c Løc c¥n có Ng÷c Løc Bäo ThÕch, trang b¸ Hoàng Kim c¥n có Hoàng Kim Bäo ThÕch. (nhß hình v¨)",
help_fbxt_fabaojineng,"Cách sØ døng kÛ nång pháp bäo: 
   M· màn hình kÛ nång, trang thÑ nh¤t s¨ li®t kê nhæng pháp bäo ğang ğßşc trang b¸ và nhæng kÛ nång tß½ng Ñng, chï c¥n nh¤n giæ chuµt và kéo ô bi¬u tßşng cüa kÛ nång ğ£t vào bäng phím t¡t trên màn hình là có th¬ sØ døng.",
help_fbxt_fabaoronghe,"Dung hşp pháp bäo: 
   Khi c¤p ğµ nhân v§t cüa ngß¶i ch½i tång lên thì trang b¸ s¨ không còn phù hşp v¾i ngß¶i ch½i næa. Lúc này nªu v¤t trang b¸ ği thì s¨ r¤t ğáng tiªc, nªu là vû khí có thuµc tính t¯t ho£c ğã t×ng ğßşc khäm nÕm thì s¨ càng không nŞ. Lúc này bÕn có th¬ ch÷n cách dung hşp pháp bäo!
Nguyên t¡c dung hşp pháp bäo:
 Nhæng pháp bäo dung hşp phäi cùng loÕi v¾i nhau, pháp bäo sau khi dung hşp s¨ có c¤p ğµ cüa pháp bäo thÑ nh¤t và thuµc tính cüa pháp bäo thÑ hai. Thông qua dung hşp pháp bäo, có th¬ tiªt ki®m ğßşc r¤t nhi«u th¶i gian tu luy®n pháp bäo cüa ngß¶i ch½i, giúp bÕn có nhi«u th¾i gian h½n ğ¬ th¬ nghi®m trò ch½i, ğem ğªn cho bÕn nhi«u ni«m vui h½n.",
help_fbxt_fabaoxiulian,"Tu luy®n pháp bäo:
Thông qua vi®c không ng×ng luy®n c¤p, tiêu di®t yêu quái và làm nhi®m vø trong tam gi¾i s¨ thu ğßşc linh lñc. Linh lñc có th¬ ğßşc dùng ğ¬ tinh luy®n pháp bäo. Pháp bäo ğòi höi ngß¶i ch½i phäi tiêu hao linh lñc cüa mình ğ¬ nâng c¤p ğµ cûng nhß uy lñc cüa pháp bäo. Ngß¶i ch½i không th¬ tinh luy®n pháp bäo nªu nhß c¤p ğµ hi®n tÕi cüa pháp bäo b¢ng v¾i c¤p ğµ hi®n tÕi cüa ngß¶i ch½i, cho ğªn khi ngß¶i ch½i ğÕt ğßşc ğÆng c¤p hay mÑc tu luy®n cao h½n. Nhß hình v¨ cho th¤y, con s¯ hi¬n th¸ trong khung 'Linh lñc nhân v§t' là linh lñc mà ngß¶i ch½i tích lûy ğßşc khi di®t yêu quái và luy®n c¤p. Còn khung 'Linh lñc pháp bäo' thì hi¬n th¸ s¯ linh lñc c¥n ğ¬ tu luy®n pháp bäo. BÕn có th¬ vào khung 'Thuµc tính nhân v§t', t× trang 'Ğµng tác' nh¤n ch÷n 'Tinh luy®n pháp bäo', sau ğó chï c¥n ğ£t pháp bäo chính cüa bÕn vào ô v§t ph¦m chính cüa màn hình tinh luy®n là bÕn có th¬ b¡t ğ¥u tiªn hành tinh luy®n pháp bäo.",
help_fbxt_fabaozhuangbei,"Cách trang b¸ pháp bäo: 
   Gi¯ng nhß cách trang b¸ ğÕo cø thông thß¶ng, nhßng pháp bäo có v¸ trí trang b¸ chuyên døng, chï có th¬ trang b¸ trong khung pháp bäo tß½ng Ñng. Nhân v§t không th¬ trang b¸ pháp bäo có c¤p ğµ cao h½n c¤p ğµ cüa mình, không th¬ trang b¸ ho£c tháo gŞ pháp bäo khi ğang trong trÕng thái chiªn ğ¤u.",
help_fuben_1,"Vân Linh S½n Xà Huy®t (c¤p 15 tr· lên) 
    QuÖ Phong Yêu ĞÕo khi còn làm hµ pháp trong Tà giáo ğã t×ng ğ÷c c± thß và biªt ğßşc r¢ng nguyên th¥n cüa VÕn Niên Xà Yêu b¸ phong ¤n tÕi Vân Linh S½n Xà Huy®t. Ğ¬ tång sÑc mÕnh cüa mình hòng ğ¤u v¾i tiên gia chính ğÕo, QuÖ Phong Yêu ĞÕo ğã phá vŞ phong ¤n, xâm nh§p vào Xà Huy®t, gÕt ğßşc sñ tín nhi®m cüa Xà Yêu, mßşn sÑc mÕnh cüa Xà Yêu ğ¬ tác ác, tìm xác phàm ğ¬ chu¦n b¸ cho sñ giáng lâm cüa Xà Yêu. Do sñ làm loÕn cüa QuÖ Phong Yêu ĞÕo mà Vân Linh S½n Thôn ğã b¸ mµt ğÕi quân Xà Yêu chiªm ğóng, ngay cä Thiên Hóa Thôn · r¤t xa cûng b¸ änh hß·ng b·i sñ h°i sinh cüa b÷n ğ® tØ Xà Yêu. L¯i vào Vân Linh S½n Xà Huy®t ¦n sâu trong Ác QuÖ Quan TrÕi. Mu¯n tiêu di®t hªt tà ma xung quanh Vân Linh S½n thì phäi di®t ğßşc QuÖ Phong Yêu ĞÕo và VÕn Niên Xà Yêu.

Quái v§t · Vân Linh S½n Xà Huy®t
Tinh Anh Lâm Mãng Xà  c¤p 15 Xà Huy®t
Ğµc Ma Cô       c¤p 15 Xà Huy®t
Tinh Anh Lâm Xà Vß½ng c¤p 16 Xà Huy®t
Song Ğ¥u Xà Quái     c¤p 16 Xà Huy®t(boss)
Tinh Anh TÕp D¸ch Xà Thü  c¤p 16 Xà S½n
Tinh Anh Xà Thü Bµ Ğ¥u c¤p 16 Xà S½n
Tinh Anh Tu¥n La Bµ Ğ¥u c¤p 16 Xà S½n
Tinh Anh Tu¥n La TÕp D¸ch c¤p 16 Xà S½n
Tinh Anh Ğ¥u Møc Xà Phï  c¤p 17 Xà S½n
Xà Yêu Hóa Thân     c¤p 17 Xà S½n(boss)
Tinh Anh QuÖ Höa     c¤p 17 Tª Ğàn
Sát Huyªt Tùy Tùng     c¤p 17 Tª Ğàn
Tinh Anh QuÖ Höa   c¤p 18 Tª Ğàn
Tinh Anh Ác QuÖ      c¤p 18 Tª Ğàn
Tinh Anh QuÖ Trß·ng c¤p 19 Tª Ğàn
QuÖ Phong Yêu ĞÕo     c¤p 19 Tª Ğàn (boss)
Tinh Anh Kim Giác Mãng Xà  c¤p 19 Tª Ğàn
Tinh Anh Hi®u Úy Xà Thü  c¤p 20 Tª Ğàn
Nguyên Th¥n Xà Yêu     c¤p 20 Tª Ğàn (boss)",
help_fuben_2,"H± Träo S½n Ğ¢ng Tu Ğµng (c¤p 15 tr· lên) 
   Yêu ĞÕo Vßu Thái Chân vì b¸ tiên gia truy ğu±i nên chÕy tr¯n ğªn H± Träo S½n, phát hi®n ngß¶i dân Nha Lâm TrÕi vô cùng chân ch¤t, tín ngßŞng quÖ th¥n, vì v§y ğã thi tri¬n pháp thu§t làm ngß¶i dân khiªp sş. Sau ğó h¡n cØ vài ğ® tØ giám sát, b¡t dân chúng làm nô, xây dñng di chï c± thành · g¥n Nha Lâm TrÕi thành ğµng phü, l¤y tên là Ğ¢ng Tu Ğµng, r°i tri®u t§p mãnh thú ğªn canh gác. Nhæng hµ pháp trong Nha Lâm TrÕi sau khi không tranh ğßşc chÑc v¸ v¾i H¡c Th¥n S½n Tß¾ng li«n dçn mµt s¯ ngß¶i trong tµc gia nh§p yêu ğÕo. Yêu ĞÕo còn liên kªt v¾i Vô My Giáo Chü Mãnh Höa ĞÕo Trß·ng. Ğ¬ giúp Mãnh Höa ĞÕo Trß·ng chiªm Døc Thành Thôn, h¡n ğã ch÷n n½i này làm bàn ğÕp, tri®u t§p tà ma tÑ phß½ng chu¦n b¸ làm loÕn. Mu¯n trä lÕi sñ bình yên cho n½i ğây, nh¤t thiªt phäi di®t tr× Yêu ĞÕo. L¯i vào Ğ¢ng Tu Ğµng là mµt cây c± thø ngàn nåm trong bình ğ¸a tây b¡c Nha Lâm TrÕi. 

Quái v§t · H± Träo S½n Ğ¢ng Tu Ğµng
Tinh Anh Mãng Xà  c¤p 15  Linh Thú Lâm
Tinh Anh Ğµc Dång c¤p 15  Linh Thú Lâm
Tinh Anh Kim Nhu c¤p 16  Linh Thú Lâm
Thü Lînh Kim Nhu c¤p 16  Linh Thú Lâm (boss)
Tinh Anh Dã Lang c¤p 16 Ğào Nguyên Thôn
H± Vß½ng     c¤p 17 Ğào Nguyên Thôn (boss)
Tinh Anh Dã La c¤p 17 Ğào Nguyên Thôn
Tinh Anh S½n Dân Hµ V® c¤p 17 Ğào Nguyên Thôn
S½n Dân Hµ Pháp c¤p 18 Ğào Nguyên Thôn (boss)
Tà Linh C± Thành c¤p 19 C± Thành
Tinh Anh Mµc Tu Quái c¤p 20 C± Thành
Yêu ĞÕo Vßu Thái Chân c¤p 20 C± Thành (boss)",
help_fuben_3,"T× Vân Tñ Hoan HÖ Ği®n (c¤p 25 tr· lên) 
   T× Vân Tñ v¯n là mµt th¡ng cänh · ngoÕi ô Thành Ğô, n½i tu hành cüa Phß½ng trßşng Trí Thông, quanh nåm khói hß½ng nghi ngút, thi®n nam tín næ thß¶ng ğªn c¥u kinh l­ Ph§t. Nhßng ğµt nhiên g¥n ğây lÕi xäy ra nhi«u chuy®n chÆng lành, tàn hÕi chính ğÕo. Mµt ngày n÷, nhóm cØ nhân trên ğß¶ng v« kinh Ñng thí trong ğó có Chu Vân Tòng ğã ğªn ğây, vô tình phát hi®n ra mµt m§t th¤t dçn ğªn Hoan HÖ Ği®n, biªt ğßşc thü phÕm m÷i chuy®n chính là Phß½ng trßşng Trí Thông. Phß½ng trßşng Trí Thông b¸ lµ li«n ra tay sát hÕi mµt lúc mß¶i m¤y cØ nhân, sau ğó vì ki®t sÑc nên h¡n chßa k¸p giªt Chu Vân Tòng mà b¡t giam lÕi trong thÕch th¤t, b¡t sau 3 ngày phäi tñ vçn. Chu Vân Tòng sau ğó may m¡n thoát ğßşc, lÕi ğßşc phø tØ  Trß½ng Lão TÑ cÑu giúp nên thoát chªt, sau ğó ğã tiªt lµ bí m§t cüa T× Vân Tñ. Các tiên gia và Ngû ĞÕi Phái quyªt ğ¸nh ğÕi chiªn T× Vân Tñ. Trí Thông hay tin li«n tri®u t§p r¤t nhi«u trş thü ğªn giúp ğŞ. Vì v§y tr§n chiªn này s¨ r¤t cam go. T× chính ği®n cüa T× Vân Tñ ği qua mµt m§t ğÕo s¨ ğªn Hoan HÖ Ği®n.

Quái v§t · T× Vân Tñ Hoan HÖ Ği®n
Tinh Anh Phï Ğ°   c¤p 25  Ğ¸a Lao
Tinh Anh Ác Hòa Thßşng c¤p 26  Ğ¸a Lao
Mao Thái       c¤p 26  Ğ¸a Lao (boss)
Phi Long      c¤p 26  Ğ¸a Lao (boss)
Tinh Anh Tà Hoa Thiªu Gia c¤p 26 Khách Phòng
Tinh Anh H¡c Y T£c c¤p 27  Khách Phòng
Pháp Nguyên       c¤p 27  Khách Phòng (boss)
Tinh Anh Thái Hoa T£c c¤p 27  Nµi Ğß¶ng
Tinh Anh Phong Tr¥n Næ Sî c¤p 28 Nµi Ğß¶ng
Dß½ng Hoa        c¤p 27 Nµi Ğß¶ng (boss)
Trí Thông        c¤p 28 Nµi Ğß¶ng (boss)
Tinh Anh H¡c Báo    c¤p 28 Ğ¸a ĞÕo
Tinh Anh Chí MÕng Ngô Công c¤p 29 Ğ¸a ĞÕo
Løc Bào Lão T±    c¤p 29 Ğ¸a ĞÕo (boss)
Tinh Anh T× Vân Tång Binh c¤p 29 Chính Ği®n
Tinh Anh Kim Cß½ng Võ Tång c¤p 30 Chính Ği®n
Hi¬u Nguy®t Thi«n Sß    c¤p 30 Chính Ği®n (boss)",
help_fuben_35,"H°ng Hoa Ğµng n¢m trên Quª Hoa S½n phía tây Thành Ğô. Cänh s¡c n½i ğây v¯n r¤t thích hşp cho vi®c tu dßŞng tâm tính, ğáng tiªc lÕi b¸ Ğµc Long Th¥n Tß¾ng chiªm giæ làm hang ±, t§p hşp tà môn ngoÕi ğÕo ğ¬ ch¯ng lÕi kÏ hi®p chính nghîa. Ğµc Long Tôn Giä tuy ğã ån ğßşc Linh chi ngàn nåm cüa Nga My S½n, công lñc tång vÕn trßşng, nhßng vçn còn mµt M®nh Môn có th¬ phá vŞ. H¡n ğã phái binh tß¾ng và Thñc Nhân Hoa Yêu [336, 471] canh gác, chï có ğánh bÕi Thñc Nhân Hoa Yêu m¾i có th¬ phá vŞ M®nh Môn [347, 422], Ğµc Long Th¥n Tß¾ng [377, 415] sau khi b¸ phá M®nh Môn nguyên khí s¨ b¸ änh hß·ng nghiêm tr÷ng, khi ¤y l¤y tính mÕng h¡n không khó...

Bång Xuyên Ngân H°  c¤p 35 Hàn Bång Trì
Ğ® TØ Bång Kính  c¤p 36 Hàn Bång Trì 
Tinh Anh Thiªt Thú c¤p 37 Thiªt C½ Phß¶ng 
Thiªt Cñ Nhân  c¤p 38 Thiªt C½ Phß¶ng
Tinh Anh Ğào Hoa Yêu c¤p 38 Ğµc Thäo Nhai 
Tinh Anh Nhøc Chi  c¤p 39 Ğµc Thäo Nhai 
Tinh Anh Ğµc Dång  c¤p 39 Ô Long Ğàm 
Ğµc Long Hµ V®  c¤p 40 Ô Long Ğàm
Bång Kính Tiên TØ  c¤p 36 Hàn Bång Trì (BOSS)
Thiên Tàn Lão Nhân  c¤p 38 Thiªt C½ Phß¶ng (BOSS)
Thñc Nhân Hoa Yêu  c¤p 39 Ğµc Thäo Nhai (BOSS)
Ğµc Long Th¥n Tß¾ng  c¤p 40 Ô Long Ğàm (BOSS)",
help_fuben_4,"Thanh Loa S½n Ma Cung (c¤p 40 tr· lên) 
  Thanh Loa S½n Ma Cung v¯n là n½i · cüa Phiên tång PhÕm Nã Gia Âm Nh¸, sau ğó b¸ Th¥n Thü TÖ Khâu Ngøy Phong Nß½ng chiªm giæ, dß¾i trß¾ng là bát ğÕi ğ® tØ tñ xßng là Thanh Loa S½n Bát Ma. Sau khi ğoàn quân cüa Ngøy Phong Nß½ng bö ği thì n½i này r½i vào tay môn hÕ cüa Ğµc Long Tôn Giä, b÷n chúng tiªp tøc tác ác lµng hành. ĞÕi hi®p HÑa Vi®t khi xßa trên ğß¶ng hành hi®p trßşng nghîa ğã t×ng kªt oán v¾i Bát Ma, ğã lên núi ğ¬ tìm hi¬u vi®c này. Các kÏ hi®p tam gi¾i vì mu¯n trş giúp cho HÑa Vi®t nên cûng ğã t« tñu lÕi ğây, chu¦n b¸ cùng xu¤t phát, san b¢ng Thanh Loa S½n Ma Cung. L¯i vào Thanh Loa S½n Ma Cung n¢m r¤t sâu trong Thanh Loa S½n, trên ğß¶ng ği phäi c¦n tr÷ng.

Quái v§t ·Thanh Loa S½n Ma Cung
Chiªn Sî Bång Tinh c¤p 42 Khu Hàn Bång
Hàn Tuyªt Cñ Nhân c¤p 43 Khu Hàn Bång
Ma Cung TÑ Ma Y H°ng Anh c¤p 43 Khu Hàn Bång
Cñ Hình Tri Chu c¤p 43 Khu Vu Ğµc
Cñ Hình Phiên Phúc c¤p 44 Khu Vu Ğµc
Ma Cung Ngû Ma Công Tôn Vû c¤p 44 Khu Vu Ğµc
Thâm Uyên QuÖ Binh c¤p 44 Khu Li®t Di­m
Li®t Di­m Thü V® c¤p 45 Khu Li®t Di­m
Ma Cung Bát Ma Khâu Chu L®nh c¤p 45 Khu Li®t Di­m
Ma Cung Ğ¯c V® c¤p 45 Nµi Sänh Ma Cung
Ma Cung Th¸ V® c¤p 45 Nµi Sänh Ma Cung
Ma Cung ĞÕi Ma Ğ¥u Hoàng Tiêu c¤p 46 Nµi Sänh Ma Cung",
help_fuben_5,"Mãng Thß½ng S½n n¢m cÕnh khu r×ng r§m rÕp g¥n Thành Ğô. Thiên Âm Giáo ğã cùng v¾i nhi«u tán tiên tà giáo Ñc hiªp thôn dân Mã Hùng Thôn. Yêu Nhân Ğµng Phü n¢m sâu trong QuÖ H¯ng Lâm cüa Mãng Thß½ng S½n. T× sau khi nhân sî chính nghîa giang h° hşp sÑc san b¢ng Thanh Loa S½n Ma Cung thì b÷n tán tiên tà giáo ğ«u chÕy ğªn ğây. L¥n này kÏ hi®p tam gi¾i quyªt ğ¸nh t« tñu t¤n công tiêu di®t Thiên Âm Giáo trong Yêu Nhân Ğµng Phü. 

Phi Thiên Ngô Công  c¤p 45 Ngô Công Khu 
Chí MÕng Ngô Công  c¤p 46 Ngô Công Khu 
Thñc Nhân Dûng Sî  c¤p 46 Thñc Nhân Bµ LÕc 
Thñc Nhân Næ Dûng Sî c¤p 47 Thñc Nhân Bµ LÕc 
Ti¬u Thüy Ği®t   c¤p 48 Thüy Ği®t Khu 
Ğµc Tu Quái    c¤p 47 Thüy Ği®t Khu 
Løc Mao Cß½ng Thi  c¤p 48 Ğ¥u Lâu Khu 
Tàn Huyªt QuÖ Linh  c¤p 49 Ğ¥u Lâu Khu 
Th¥n Ğàn Th¸ V®  c¤p 49 Th¥n Bí Mµ Huy®t 
Yêu Nhân Pháo Thü  c¤p 50 Th¥n Bí Mµ Huy®t 
Mµ Ğ¸a Th¸ V®  c¤p 50 Th¥n Bí Mµ Huy®t 
Phi Thiên DÕ Xoa  c¤p 47 Ngô Công Khu (BOSS)
Ğµc Long Tôn Giä  c¤p 48 Thñc Nhân Bµ LÕc (BOSS)
Thiên Niên Thüy Ği®t  c¤p 49 Thüy Ği®t Khu (BOSS)
QuÖ ĞÕo Nhân    c¤p 49 Ğ¥u Lâu Khu (BOSS)
Li®t Höa Lão T±  c¤p 50 Th¥n Bí Mµ Huy®t (BOSS)

",
