"Ghi chú","Ti«n t¯","Nµi dung",""
"19","Ngß¶i máy","$N gõ thØ vào ğ¥u $n thì nghe nhæng tiªng keng keng vang lên, khi m· ra xem thì th¤y bên trong là nhæng dây ği®n r¯i nhß t½ vò, bèn l¡c ğ¥u nói: ""L÷ai ngß¶i máy này ğã quá cû kî r°i!""",""
"20","Ngß¶i máy","$N th¤y tay chân m÷i ngß¶i ğ«u cÑng ğ½, vë m£t lÕnh lùng nhß khúc g², tòan thân lÕi phát ra ánh sáng l¤p lánh, bèn l¡c ğ¥u mà nói: ""Ôi!Ğ«u là ngß¶i máy cä!""",""
"21","C¯ lên","$N trong lòng tñ khích l® mình.",""
"22","C¯ lên","$N quay v« phía $n hô to: ""C¯ lên, c¯ lên!""",""
"23","C¯ lên","$N trong lòng tñ khích l® mình.",""
"24","C¯ lên","$N quay v« phía $n hô to: ""C¯ lên, c¯ lên!""",""
"25","C¯ lên","$N c¯ hªt sÑc hô to: ""M÷i ngß¶i c¯ lên!""",""
"26","Khâm phøc","$N khoanh tay, h¾n h· nói: ""V×a may hôm nay tôi có mang theo bút, ai mu¯n kí tên thì xªp hàng vào.""",""
"27","Khâm phøc","$N khoanh tay, cung kính nói v¾i $n: ""Sñ ngßŞng mµ cüa tÕi hÕ ğ¯i v¾i ngß¶i  cu°n cuµn nhß nß¾c sông Trß¶ng Giang.""",""
"28","Khâm phøc","$N khoanh tay, h¾n h· nói: ""V×a may hôm nay tôi có mang theo bút, ai mu¯n kí tên thì xªp hàng vào.""",""
"29","Khâm phøc","$N khoanh tay, cung kính nói v¾i $n: ""Sñ ngßŞng mµ cüa tÕi hÕ ğ¯i v¾i ngß¶i  cu°n cuµn nhß nß¾c sông Trß¶ng Giang.""",""
"30","Khâm phøc","$N khoanh tay cúi ğ¥u chào, cung kính nói: ""Sñ ngßŞng mµ cüa tÕi hÕ ğ¯i v¾i m÷i ngß¶i  cu°n cuµn nhß nß¾c sông Trß¶ng Giang.""",""
"31","Nói thÆng","$N hai tay ôm ğ¥u quÏ trên m£t ğ¤t: ""Ta biªt rõ môn quy......nhßng, nhßng ta s¨ không làm gì cä!""",""
"32","Nói thÆng","$N nghiêm gi÷ng nói v¾i $n: ""Nói! Tên kh¯n nhà ngß½i, ngß½i có âm mßu gì v¾i môn phái?""",""
"33","Nói thÆng","$N hai tay ôm ğ¥u quÏ trên m£t ğ¤t: ""Ta biªt rõ môn quy......nhßng, nhßng ta s¨ không làm gì cä!""",""
"34","Nói thÆng","$N nghiêm gi÷ng nói v¾i $n: ""Nói!Tên kh¯n nhà ngß½i, ngß½i có âm mßu gì v¾i môn phái?""",""
"35","Nói thÆng","$N l¦m b¦m: ""Nªu nói thÆng thì s¨ b¸ nguy hi¬m!Ta......Ta......""",""
"36","Ğ°ng ı","$N nghiêng ğ¥u höi m÷i ngß¶i: ""M÷i ngß¶i bäo tôi nói có ğúng không?""",""
"37","Ğ°ng ı","$N nói v¾i $n: ""L¶i huynh nói r¤t ğúng, th§t gi¯ng ı tôi, ğúng là tß tß·ng l¾n g£p nhau.""",""
"38","Ğ°ng ı","$N nghiêng ğ¥u höi m÷i ngß¶i: ""M÷i ngß¶i bäo tôi nói có ğúng không?""",""
"39","Ğ°ng ı","$N nói v¾i $n: ""L¶i huynh nói r¤t ğúng, th§t gi¯ng ı tôi, ğúng là tß tß·ng l¾n g£p nhau.""",""
"40","Ğ°ng ı","$N nói: ""M÷i ngß¶i ğ«u ğúng, th§t ra tôi cûng nghî nhß v§y.""",""
"41","NgÕc nhiên","$N kinh ngÕc: ""Chà!Sao tôi không nghî ğªn nhï?""",""
"42","NgÕc nhiên","$N nhìn $n ngÕc nhiên ""!"" lên mµt tiªng.",""
"43","NgÕc nhiên","$N kinh ngÕc: ""Chà!Sao tôi không nghî ğªn nhï?""",""
"44","NgÕc nhiên","$N nhìn $n ngÕc nhiên ""!"" lên mµt tiªng.",""
"45","NgÕc nhiên","$N ngÕc nhiên ""!"" lên, m¤y con ru°i bay vào cûng không hay.",""
"46","N±i gi§n","$N gi§n ğªn mÑc tím tái m£t mày.",""
"47","N±i gi§n","$N vô cùng tÑc gi§n nhìn $n.",""
"48","N±i gi§n","$N gi§n ğªn mÑc tím tái m£t mày.",""
"49","N±i gi§n","$N vô cùng tÑc gi§n nhìn $n.",""
"50","N±i gi§n","$N tÑc gi§n nhån m£t.",""
"51","Ngày kï ni®m","$N g£p ai cûng ğ«u nói: ""Chào m÷i ngß¶i, Hôm nay là sinh nh§t cüa tôi!M¶i ån k©o Õ!M¶i ån k©o Õ!""",""
"52","Ngày kï ni®m","$N nhìn $n nhªch mi®ng cu¶i: ""Ngày này nåm sau s¨ là ngày gi² cüa ngß½i!""",""
"53","Ngày kï ni®m","$N g£p ai cûng ğ«u nói: ""Chào m÷i ngß¶i, Hôm nay là sinh nh§t cüa tôi!M¶i ån k©o Õ!M¶i ån k©o Õ!""",""
"54","Ngày kï ni®m","$N nhìn $n nhªch mi®ng cu¶i: ""Ngày này nåm sau s¨ là ngày gi² cüa ngß½i!""",""
"55","Ngày kï ni®m","$N vò ğ¥u bÑt tai suy nghî, hôm nay chúng ta kï ni®m ngày gì v§y nhï, sao lÕi có nhi«u món ån ngon nhß v§y?",""
"56","Cõi lòng tan nát","$N hùng h± nói: ""Ğàn cái gì chÑ? Ta phª ği ğôi tay cüa ngß½i bây gi¶!""",""
"57","Cõi lòng tan nát","$N ğàn mµt khúc nhÕc chÕm ğªn n²i ni«m cüa $n, khiªn $n không khöi nh¾ lÕi nhæng vi®c ğau lòng.",""
"58","Cõi lòng tan nát","$N hùng h± nói: ""Ğàn cái gì chÑ? Ta phª ği ğôi tay cüa ngß½i bây gi¶!""",""
"59","Cõi lòng tan nát","$N ğàn mµt khúc nhÕc chÕm ğªn n²i ni«m cüa $n, khiªn $n không khöi nh¾ lÕi nhæng vi®c ğau lòng.",""
"60","Cõi lòng tan nát","$N ğàn lên mµt khúc nhÕc lòng.",""
"61","C¡n ngß¶i","$N tÑc gi§n c¡n mÕnh vào ğ¥u ngón tay.",""
"62","C¡n ngß¶i","$N n±i gi§n ğªn mÑc mu¯n c¡n chªt $n.",""
"63","C¡n ngß¶i","$N tÑc gi§n c¡n mÕnh vào ğ¥u ngón tay.",""
"64","C¡n ngß¶i","$N n±i gi§n ğªn mÑc mu¯n c¡n chªt $n.",""
"65","C¡n ngß¶i","$N mài rång liên tøc.",""
"66","Ğö m£t","$N trong lòng v×a vui v×a x¤u h±.",""
"67","Ğö m£t","$N nhìn $n, khuôn m£t b²ng ğö b×ng lên.",""
"68","Ğö m£t","$N trong lòng v×a vui v×a x¤u h±.",""
"69","Ğö m£t","$N nhìn $n, khuôn m£t b²ng ğö b×ng lên.",""
"70","Ğö m£t","$N ğö m£t.",""
"71","Tình yêu cüa ngß¶i kéo thuy«n","$N c¤t tiªng hát: ""TÕi hÕ ng°i ğ¥u thuy«n, ca ca ğÑng b¶ sông, tình nghîa cüa ğôi ta, cÑ miên man theo mái chèo.""",""
"72","Tình yêu cüa ngß¶i kéo thuy«n","$N quay v« phía $n c¤t cao gi÷ng: ""Tï tï ng°i ğ¥u thuy«n, ti¬u ğ® ğÑng b¶ sông, tình nghîa miên man theo mái chèo.""",""
"73","Tình yêu cüa ngß¶i kéo thuy«n","$N c¤t tiªng hát: ""TÕi hÕ ng°i ğ¥u thuy«n, ca ca ğÑng b¶ sông, tình nghîa cüa ğôi ta, cÑ miên man theo mái chèo.""",""
"74","Tình yêu cüa ngß¶i kéo thuy«n","$N quay v« phía $n c¤t cao gi÷ng: ""Tï tï ng°i ğ¥u thuy«n, ti¬u ğ® ğÑng b¶ sông, tình nghîa miên man theo mái chèo.""",""
"75","Tình yêu cüa ngß¶i kéo thuy«n","$N b²ng ğÑng lên nói: ""Bây gi¶ tôi s¨ hát cho m÷i ngß¶i nghe bài 'Tình yêu cüa ngß¶i kéo thuy«n', hi v÷ng m÷i ngß¶i s¨ thích.""",""
"76","Khom lßng","$N cúi ğ¥u ba cái trß¾c t¤m änh cüa mình.",""
"77","Khom lßng","$N nhìn $n r°i cúi ğ¥u thi l­.",""
"78","Khom lßng","$N cúi ğ¥u ba cái trß¾c t¤m änh cüa mình.",""
"79","Khom lßng","$N nhìn $n r°i cúi ğ¥u thi l­.",""
"80","Khom lßng","$N cúi ğ¥u thi l­.",""
"81","Nói khoác","$N cäm th¤y ğ¯i thü duy nh¤t còn lÕi trên ğ¶i chï có bän thân mình!",""
"82","Nói khoác","$N v² ngñc, nói v¾i $n: ""Ngß½i nói khoác ğßşc ğªn ğâu mà dám múa rìu qua m¡t thş?""",""
"83","Nói khoác","$N cäm th¤y ğ¯i thü duy nh¤t còn lÕi trên ğ¶i chï có bän thân mình!",""
"84","Nói khoác","$N v² ngñc, nói v¾i $n: ""Ngß½i nói khoác ğßşc ğªn ğâu mà dám múa rìu qua m¡t thş?""",""
"85","Nói khoác","$N v² ngñc nói: ""Nhæng ngß¶i giöi nói khóac trong thiên hÕ, có ai dám ğ¤u v¾i ta không?""",""
"86","Huynh ğ®","$N quan sát kÛ m÷i ngß¶i, nhßng vçn không rút ra ğßşc chü ı: ""Ai nên làm ca ca cüa mình ğây?""",""
"87","Huynh ğ®","$N chào $n mµt cách ng÷t ngào: ""Chào $n ca ca~""",""
"88","Huynh ğ®","$N quan sát kÛ m÷i ngß¶i, nhßng vçn không rút ra ğßşc chü ı: ""Ai nên làm ca ca cüa mình ğây?""",""
"89","Huynh ğ®","$N chào $n mµt cách ng÷t ngào: ""Chào $n ca ca~""",""
"90","Huynh ğ®","$N khoanh tay nói: ""Các v¸ ğÕi ca, trong ğây là mµt ít l­ v§t!""",""
"91","Xú trùng","$N không biªt t× ğâu lôi ra mµt con xú trùng, nghî th¥m: ""Con trùng này v×a béo v×a th½m, hay là ğ¬ lÕi mµt ít ğ¬ ån nhï?""",""
"92","Xú trùng","$N không biªt lôi t× ğâu ra mµt con xú trùng, vµi vàng ğßa cho $n: ""Nhìn xem này, to th§t!""",""
"93","Xú trùng","$N không biªt t× ğâu lôi ra mµt con xú trùng, nghî th¥m: ""Con trùng này v×a béo v×a th½m, hay là ğ¬ lÕi mµt ít ğ¬ ån nhï?""",""
"94","Xú trùng","$N không biªt lôi t× ğâu ra mµt con xú trùng, vµi vàng ğßa cho $n: ""Nhìn xem này, to th§t!""",""
"95","Xú trùng","$N vò con xú trùng trong tay, hô to: ""Báo cáo sß phø, phát hi®n mµt con bug!""",""
"96","TÕm bi®t 1","$N khoanh tay nói: ""Ti¬u nhân xin phép ği trß¾c!""",""
"97","TÕm bi®t 1","$N khoanh tay nói v¾i $n: ""Ngày tháng còn dài, chúng ta nh¤t ğ¸nh còn c½ hµi g£p lÕi nhau!""",""
"98","TÕm bi®t 1","$N khoanh tay nói: ""Ti¬u nhân xin phép ği trß¾c!""",""
"99","TÕm bi®t 1","$N khoanh tay nói v¾i $n: ""Ngày tháng còn dài, chúng ta nh¤t ğ¸nh còn c½ hµi g£p lÕi nhau!""",""
"100","TÕm bi®t 1","$N khoanh tay nói : ""Ngày tháng còn dài, chúng ta nh¤t ğ¸nh còn c½ hµi g£p lÕi nhau!""",""
"101","TÕm bi®t 2","$N th· dài: ""Gió thu xao xác th±i; lá vàng xào xÕc r½i, chim nhÕn tìm v« t±.  Biªt ngày nào g£p lÕi, nh¾ mãi giây phút này.""",""
"102","TÕm bi®t 2","Giæa khung cänh mùa thu bu°n thê lß½ng, là vàng r½i xào xÕc, t×ng ğàn chim bay v« t±, $N nhìn theo bóng dáng d¥n khu¤t cüa $n mà không c¥m n±i nß¾c m¡t.",""
"103","TÕm bi®t 2","$N th· dài: ""Gió thu xao xác th±i; lá vàng xào xÕc r½i, chim nhÕn tìm v« t±.  Biªt ngày nào g£p lÕi, nh¾ mãi giây phút này.""",""
"104","TÕm bi®t 2","Giæa khung cänh mùa thu bu°n thê lß½ng, là vàng r½i xào xÕc, t×ng ğàn chim bay v« t±, $N nhìn theo bóng dáng d¥n khu¤t cüa $n mà không c¥m n±i nß¾c m¡t.",""
"105","TÕm bi®t 2","$N nh© nhàng nói: ""L¥n này g£p nhau quä th§t có duyên, sau này giang h° tß½ng phùng, s¨ lÕi cùng nhau u¯ng rßşu. Còn bây gi¶ xin cáo bi®t."" Nói xong quay lßng bu¾c ği.",""
"106","C¦n th§n","$N l£ng l¨ th· dài, tñ nhü: ""Thª gian lòng ngß¶i hi¬m ác!""",""
"107","C¦n th§n","$N khuyên rån $n : ""Ği ğß¶ng nh¾ c¦n th§n ğ« phòng, ğ×ng quá tin vào ngß¶i khác, këo có ngày thi®t thân!""",""
"108","C¦n th§n","$N l£ng l¨ th· dài, tñ nhü: ""Thª gian lòng ngß¶i hi¬m ác!""",""
"109","C¦n th§n","$N khuyên rån $n : ""Ği ğß¶ng nh¾ c¦n th§n ğ« phòng, ğ×ng quá tin vào ngß¶i khác, këo có ngày thi®t thân!""",""
"110","C¦n th§n","$N th· dài nói: ""Thª gian bây gi¶, ôi!""",""
"111","B¡t ngß¶i","$N ğßa mß¶i ngón tay ra, cß¶i khà khà nham hi¬m.",""
"112","B¡t ngß¶i","$N vung tay b¡t g÷n $n",""
"113","B¡t ngß¶i","$N ğßa mß¶i ngón tay ra, cß¶i khà khà nham hi¬m.",""
"114","B¡t ngß¶i","$N vung tay b¡t g÷n $n",""
"115","B¡t ngß¶i","$N nói mµt cách ğµc ác: ""Còn làm phi«n næa thì ta s¨ hüy dung nhan cüa ngß½i ğó!""",""
"116","Hàn huyên","$N th¶i tiªt hôm nay ğ©p quá!Heo nái nhà tôi ğë con r°i, ha ha!",""
"117","Hàn huyên","$N nói v¾i $n: ""Ha ha ha, quä th§t, hôm nay... th¶i tiªt ğ©p ghê nhï!""",""
"118","Hàn huyên","$N th¶i tiªt hôm nay ğ©p quá!Heo nái nhà tôi ğë con r°i, ha ha!",""
"119","Hàn huyên","$N nói v¾i $n: ""Ha ha ha, quä th§t, hôm nay... th¶i tiªt ğ©p ghê nhï!""",""
"120","Hàn huyên","$N cß¶i ha ha nói v¾i m÷i ngß¶i: ""Hôm nay... th¶i tiªt th§t là ğ©p!"" ",""
"121","Côn g§y","$N không c¦n th§n làm cây côn r½i vào bàn chân, ğau quá ôm chân la öm töi.",""
"122","Côn g§y","$N vung tay múa g§y, ğ§p thÆng vào sau ğ¥u $n, khiªn $n không k¸p la mµt tiªng, ngã xu¯ng ğ¤t.",""
"123","Côn g§y","$N không c¦n th§n làm cây côn r½i vào bàn chân, ğau quá ôm chân la öm töi.",""
"124","Côn g§y","$N vung tay múa g§y, ğ§p thÆng vào sau ğ¥u $n, khiªn $n không k¸p la mµt tiªng, ngã xu¯ng ğ¤t.",""
"125","Côn g§y","$N múa loang loáng c§y g§y trong tay, truy tìm møc tiêu kh¡p n½i.",""
"126","LÕnh","$N lÕnh ğªn tím tái m£t mày, tòan thân run l¦y b¦y, gi¯ng h®t nhß v×a m¾i t× h¯ bång chui ra..",""
"127","LÕnh","$N rút gß½m, vë m£t nhß bång, lÕnh lùng nhìn $n, khiªn $n không khöi höang sş, lùi v« sau m¤y bß¾c. ",""
"128","LÕnh","$N lÕnh ğªn tím tái m£t mày, tòan thân run l¦y b¦y, gi¯ng h®t nhß v×a m¾i t× h¯ bång chui ra..",""
"129","LÕnh","$N rút gß½m, vë m£t nhß bång, lÕnh lùng nhìn $n, khiªn $n không khöi höang sş, lùi v« sau m¤y bß¾c. ",""
"130","LÕnh","$N h¡t h½i m¤y cái, nß¾c mûi giàn giøa.",""
"131","An üi","$N lÕnh lùng nói: ""Ta không c¥n các ngß¶i thß½ng hÕi, trong lòng các ngß¶i xem thß¶ng ta cûng không c¥n giä v¶ nói m¤y l¶i t¯t ğ©p.""",""
"132","An üi","$N liên tøc an üi $n: ""LÕc quan lên ği, · ğ¶i không phäi lúc nào cûng ğßşc nhß ı mu¯n.""",""
"133","An üi","$N lÕnh lùng nói: ""Ta không c¥n các ngß¶i thß½ng hÕi, trong lòng các ngß¶i xem thß¶ng ta cûng không c¥n giä v¶ nói m¤y l¶i t¯t ğ©p.""",""
"134","An üi","$N liên tøc an üi $n: ""LÕc quan lên ği, · ğ¶i không phäi lúc nào cûng ğßşc nhß ı mu¯n.""",""
"135","An üi","$N an üi m÷i ngß¶i: ""Sñ vi®c trên ğ¶i khó lß¶ng, ğâu th¬ nào nhß ı ta ğßşc?M÷i ngß¶i ğ×ng quá ğau lòng.""",""
"136","Cung hï ","$N cß¶i ha ha, ch¡p tay nói: ""Ğ°ng hï!Ğ°ng hï!""",""
"137","Cung hï ","$N ch¡p tay nói v¾i $n: ""Cung hï, cung hï!""",""
"138","Cung hï ","$N cß¶i ha ha, ch¡p tay nói: ""Ğ°ng hï!Ğ°ng hï!""",""
"139","Cung hï ","$N ch¡p tay nói v¾i $n: ""Cung hï, cung hï!""",""
"140","Cung hï ","$N nói: ""Cung hï!Cung hï!""",""
"141","Làm c½m","$N m· quy¬n sách n¤u ån chu¦n b¸ làm mµt bæa ği¬m tâm mà m÷i ngß¶i ğ«u thích ån.",""
"142","Làm c½m","$N bö th¸t mà $n ğã chu¦n bi vào trong chäo chiên lên.",""
"143","Làm c½m","$N m· quy¬n sách n¤u ån chu¦n b¸ làm mµt bæa ği¬m tâm mà m÷i ngß¶i ğ«u thích ån.",""
"144","Làm c½m","$N bö th¸t mà $n ğã chu¦n bi vào trong chäo chiên lên.",""
"145","Làm c½m","$N x¡n tay áo chu¦n b¸ làm c½m.",""
"146","Lâm chung","$N hai m¡t tr¡ng dã, chân khøyu xu¯ng, ğ¥u nghi®ng sang mµt bên, t¡t th·.",""
"147","Lâm chung","$N c¦n th§n m· bøng cüa $n ra, nhét thäo dßşc vào, chï mµt ch¯c ğã tÕo thành mµt xác ß¾p hoàn häo.",""
"148","Lâm chung","$N hai m¡t tr¡ng dã, chân khøyu xu¯ng, ğ¥u nghi®ng sang mµt bên, t¡t th·.",""
"149","Lâm chung","$N c¦n th§n m· bøng cüa $n ra, nhét thäo dßşc vào, chï mµt ch¯c ğã tÕo thành mµt xác ß¾p hoàn häo.",""
"150","Lâm chung","$N dùng hªt h½i sÑc còn lÕi, c¯ g¡ng nói: ""Ta... Ta ği r°i, huynh ğ® tÖ muµi... hãy bäo tr÷ng!""",""
"151","Höi thåm","$N liên tøc vçy tay v¾i m÷i ngß¶i.",""
"152","Höi thåm","$N cäm ğµng b§t khóc, nhìn $n nói: ""Huynh còn ğen h½n tôi næa!""",""
"153","Höi thåm","$N liên tøc vçy tay v¾i m÷i ngß¶i.",""
"154","Höi thåm","$N cäm ğµng b§t khóc, nhìn $n nói: ""Huynh còn ğen h½n tôi næa!""",""
"155","Höi thåm","$N g§t ğ¥u nói: ""M÷i ngß¶i ğen ği ğ¤y nhï.""",""
"156","N±i ğiên","$N ğã phát ğiên, cß¶i ng¾ ng¦n: ""Ha ha, ta là ông ng÷ai cüa Ng÷c Hòang ĞÕi Ğª ğây.""",""
"157","N±i ğiên","$N l¡c ğ¥u, th· dài nói: ""Thôi r°i, $n phát ğiên r°i......""",""
"158","N±i ğiên","$N ğã phát ğiên, cß¶i ng¾ ng¦n: ""Ha ha, ta là ông ng÷ai cüa Ng÷c Hòang ĞÕi Ğª ğây.""",""
"159","N±i ğiên","$N l¡c ğ¥u, th· dài nói: ""Thôi r°i, $n phát ğiên r°i......""",""
"160","N±i ğiên","$N l¡c ğ¥u, th· dài nói: ""Ğiên r°i, ğiên hªt cä r°i......"" ",""
"161","Khóc","$N càng nghî càng ğau lòng, không k«m ğßşc b§t khóc nÑc n·.",""
"162","Khóc","$N càng nghî càng ğau lòng, cu¯i cùng gøc ğ¥u lên vai $n khóc nÑc n·..",""
"163","Khóc","$N càng nghî càng ğau lòng, không k«m ğßşc b§t khóc nÑc n·.",""
"164","Khóc","$N càng nghî càng ğau lòng, cu¯i cùng gøc ğ¥u lên vai $n khóc nÑc n·..",""
"165","Khóc","$N b§t khóc.",""
"166","Ch£t","$N mµt ğao chém ğ¥u mình xu¯ng, c¥m trong tay",""
"167","Ch£t","$N rút dao ra, ch£t $n làm m¤y khúc, r°i ğem ği ph½i n¡ng, ğ¬ dành qua mùa ğông.",""
"168","Ch£t","$N mµt ğao chém ğ¥u mình xu¯ng, c¥m trong tay",""
"169","Ch£t","$N rút dao ra, ch£t $n làm m¤y khúc, r°i ğem ği ph½i n¡ng, ğ¬ dành qua mùa ğông.",""
"170","Ch£t","$N ğang dùng dao ch£t ngón tay..",""
"171","Tuçn tiªt","$N hét to: ""Ta không mu¯n s¯ng næa!""",""
"172","Tuçn tiªt","$N nhìn $n v¾i ánh m¡t chan chÑa tình cäm: ""Chàng chªt r°i, thiªp sao có th¬ s¯ng mµt mình ğßşc!""",""
"173","Tuçn tiªt","$N hét to: ""Ta không mu¯n s¯ng næa!""",""
"174","Tuçn tiªt","$N nhìn $n v¾i ánh m¡t chan chÑa tình cäm: ""Nàng chªt r°i, ta sao có th¬ s¯ng mµt mình ğßşc!""",""
"175","Tuçn tiªt","$N nhìn nhæng cánh hoa ğào lä tä r½i, ğau kh± nói: ""Thª gian bíêt còn ai là ngß¶i tri âm tri kÖ?""",""
"176","B¤t tài","$N ôm ğ¥u, nghiªn rång, nß¾c m¡t giàn giøa: ""Ông tr¶i ½i, sao tôi lÕi b¤t lñc nhß v§y chÑ?""",""
"177","B¤t tài","$N søt sùi khóc, m¡ng $n: ""Ngß½i b¤t tài nhß v§y, ta làm sao ån nói v¾i cha m© ğã khu¤t cüa ngß½i?""",""
"178","B¤t tài","$N ôm ğ¥u, nghiªn rång, nß¾c m¡t giàn giøa: ""Ông tr¶i ½i, sao tôi lÕi b¤t lñc nhß v§y chÑ?""",""
"179","B¤t tài","$N søt sùi khóc, m¡ng $n: ""Ngß½i b¤t tài nhß v§y, ta làm sao ån nói v¾i cha m© ğã khu¤t cüa ngß½i?""",""
"180","B¤t tài","$N th· dài th¤t v÷ng: ""Nªu ğã nhß thª thì thôi v§y!""",""
"181","Nghi ng¶ 2","$N nghî mãi ğªn nát cä óc mà vçn không hi¬u.",""
"182","Nghi ng¶ 2","$N nghiêng ğ¥u suy nghî, dß¶ng nhß không hi¬u tÕi sao $n lÕi làm nhß v§y.",""
"183","Nghi ng¶ 2","$N nghî mãi ğªn nát cä óc mà vçn không hi¬u.",""
"184","Nghi ng¶ 2","$N nghiêng ğ¥u suy nghî, dß¶ng nhß không hi¬u tÕi sao $n lÕi làm nhß v§y.",""
"185","Nghi ng¶ 2","$N càng nghe càng không hi¬u, bèn höi: ""M÷i ngß¶i r¯t cuµc là ğang nói cái gì v§y? Sao tôi lÕi không biªt?""",""
"186","CÕn chén","$N v×a u¯ng rßşu v×a ngâm th½.",""
"187","CÕn chén","$N kéo $n sang mµt bên, cß¶i hì hì: ""Ği thôi, hôm nay chúng ta phäi u¯ng mµt bæa cho say!""",""
"188","CÕn chén","$N v×a u¯ng rßşu v×a ngâm th½.",""
"189","CÕn chén","$N kéo $n sang mµt bên, cß¶i hì hì: ""Ği thôi, hôm nay chúng ta phäi u¯ng mµt bæa cho say!""",""
"190","CÕn chén","$N tay trái c¥m mµt cái ğùi ng²ng béo ng§y, tay phäi g¡p mµt miªng th¸t to, sau ğó lÕi l¤y b¥u rßşu · th¡t lßng lên u¯ng ×ng ñc.",""
"191","Thu¯c","$N nâng chén rßşu ğµc, ngØa ğ¥u, u¯ng cÕn mµt h½i!",""
"192","Thu¯c","$N lén ğ± mµt gói thu¯c ğµc vào trong bát cüa $n, r°i n¤p sang mµt bên, thích thú nhìn $n u¯ng cÕn mµt h½i.",""
"193","Thu¯c","$N nâng chén rßşu ğµc, ngØa ğ¥u, u¯ng cÕn mµt h½i!",""
"194","Thu¯c","$N lén ğ± mµt gói thu¯c ğµc vào trong bát cüa $n, r°i n¤p sang mµt bên, thích thú nhìn $n u¯ng cÕn mµt h½i.",""
"195","Thu¯c","$N xách chiªc làn trúc, ği trên ph¯ rao to: ""Tiên dßşc t± truy«n, tr¸ ğßşc bách b®nh, mµt li«u khöi ngay!""",""
"196","Con l×a","$N nhìn th¤y m÷i ngß¶i vây xung quanh mµt vø tai nÕn, li«n hét to, ""Tôi là cha cüa ngß¶i chªt ğây!""M÷i ngß¶i li«n tránh ra ğ¬ anh ta vào xem, kªt quä phát hi®n ngß¶i chªt là mµt con l×a.",""
"197","Con l×a","$N m¡ng $n: Sao ngß½i h®t nhß l×a v§y?$n bñc bµi, hét lên: ""Sao ngß½i lÕi ch÷c gh©o tß¾ng mÕo ngß¶i khác chÑ??!!""",""
"198","Con l×a","$N nhìn th¤y m÷i ngß¶i vây xung quanh mµt vø tai nÕn, li«n hét to, ""Tôi là cha cüa ngß¶i chªt ğây!""M÷i ngß¶i li«n tránh ra ğ¬ anh ta vào xem, kªt quä phát hi®n ngß¶i chªt là mµt con l×a.",""
"199","Con l×a","$N m¡ng $n: Sao ngß½i h®t nhß l×a v§y?$n bñc bµi, hét lên: ""Sao ngß½i lÕi ch÷c gh©o tß¾ng mÕo ngß¶i khác chÑ??!!""",""
"200","Con l×a","$N cäm th¤y mình ng¯c nhß l×a!",""
"201","ChÕy tr¯n","$N th¤y tình hình có vë không ±n li«n chÕy thÆng mµt mÕch không quay ğ¥u lÕi.",""
"202","ChÕy tr¯n","$N v×a chÕy v×a bäo $n: ""ChÕy nhanh næa ği!""",""
"203","ChÕy tr¯n","$N th¤y tình hình có vë không ±n li«n chÕy thÆng mµt mÕch không quay ğ¥u lÕi.",""
"204","ChÕy tr¯n","$N v×a chÕy v×a bäo $n: ""ChÕy nhanh næa ği!""",""
"205","ChÕy tr¯n","$N chÕy thÆng mµt mÕch không quay ğ¥u lÕi.",""
"206","B¤t tïnh","$N ngã r¥m xu¯ng ğ¤t, mi®ng th± huyªt.",""
