"ID","name","desc","talk_pre","talk_accept","talk_doing","talk_finish","task_failed","","","","","","",""
"11","Th¥n Hµ S½n Lang","C± nhân có câu: Nuôi dßŞng mà không giáo døc là l²i cüa phø mçu. Loài v§t không th¬ hi¬u ğßşc ğÕo lı này, vì thª phäi dùng nhæng hành ğµng thñc ti­n ğ¬ giáo hu¤n chúng. Giúp tiêu di®t ĞÕi S½n Lang · Thiên Hoa Thôn.","$username$, g¥n ğây b÷n Ti¬u S½n Lang qu¤y nhi­u kh¡p n½i, sau khi ğßşc Tiên Gia Môn Nhân giáo hu¤n ğã b¾t lµng hành. Nhßng b÷n ĞÕi S½n Lang vì báo thù cho Ti¬u S½n Lang lÕi ğªn ğây phá phách, t¤n công gia súc và thôn dân, hi®n nay phía B¡c Thiên Hóa Thôn ğâu ğâu cûng là ĞÕi S½n Lang. Phi«n ngß½i giúp ta ği tiêu di®t chúng. ","B÷n ĞÕi S½n Lang không gi¯ng nhß Ti¬u S½n Lang, phäi chu¦n b¸ t¯t m÷i thÑ m¾i xu¤t phát!","Tình hình thª nào r°i? Nh¤t ğ¸nh phäi làm t¯t vi®c này!","T¯t r°i, ğám ĞÕi S½n Lang ğã biªt thª nào là lşi hÕi. Ğây là ph¥n thß·ng, ngß½i hãy nh§n l¤y!","ĞÕi S½n Lang hung hãn h½n Ti¬u S½n Lang, phäi thØ nhi«u l¥n m¾i ğßşc.","","","","","","",""
"12","SÑc mÕnh Lang Vß½ng","Ğ¬ giäi quyªt tri®t ğ¬ m¯i nguy hÕi t× b÷n S½n Lang vùng Thiên Hóa Thôn, ngß½i hãy ği v« hß¾ng Ğông B¡c Thiên Hóa Thôn tiêu di®t tên Lang Vß½ng tà ác.","$username$, m¤y ngày trß¾c ğây có mµt thôn dân trên ğß¶ng v« ğã b¸ S½n Lang t¤n công, theo l¶i k¬ thì trong ğám dã thú có mµt con S½n Lang vô cùng to l¾n. Ta ğoán g¥n ğây quanh thôn t§p trung nhi«u S½n Lang nhß v§y ch¡c ch¡n là có liên quan ğªn con Lang Vß½ng này, nªu nhß có th¬ tiêu di®t ğßşc nó thì s¨ d­ dàng xØ lı ğßşc nhæng con còn lÕi. Ngß½i có dám ğäm nh§n tr÷ng trách này không?","Bên cÕnh Lang Vß½ng còn có b÷n Lang S½n tháp tùng, t¯t nh¤t là hãy tìm thêm vài ğÕo hæu cùng ği. ","C¦n th§n! B÷n S½n Lang này không d­ ğ¯i phó ğâu!","$username$, ta không ng¶ ngß½i lÕi có th¬ ğánh bÕi Lang Vß½ng. Mµt khi thü lînh ğã b¸ tiêu di®t thì b÷n S½n Lang khác nh¤t ğ¸nh s¨ an ph§n h½n. Ğây ğ«u là công cüa ngß½i! Ta xin thay m£t thôn dân ğa tÕ ngß½i.","Có l¨ nên tìm vài ğÕo hæu thì s¨ có nhi«u c½ hµi h½n.","","","","","","",""
"13","S½ Nh§p Giang H° ","Ğàm ğÕo v¾i Lı Ninh sß phø. ","$username$, Lı Ninh sß phø bäo ta nói v¾i ngß½i ği tìm sß phø mµt chuyªn.","Ngß½i mau ği ği! Ğ×ng ğ¬ sß phø lo l¡ng.","Lı Ninh sß phø ğang · g¥n ğây, vi vài bß¾c là có th¬ tìm th¤y. ","$username$, thành quä tu hành cüa ngß½i r¤t t¯t, ğã ğªn lúc xu¯ng núi Luy®n Pháp r°i. Pháp Bäo này trao cho ngß½i phòng thân, ngß½i có th¬ thØ tu luy®n Pháp Bäo ğ¬ nâng cao kÛ nång Pháp Bäo. Ngoài ra, ti«m nång cüa nó còn ¦n chÑa nhæng kÛ nång ğ£c bi®t, hãy dùng chuµt kéo rê bi¬u tßşng hình änh cüa nhæng kÛ nång này vào khung phím t¡t là có th¬ sØ døng d­ dàng.","Trong t¤t cä các nhi®m vø, tìm ngß¶i nói chuy®n là ğ½n gián nh¤t! Sao có th¬ th¤t bÕi ğßşc? Th§t b¤t khä tß·ng tßşng!","","","","","","",""
"14","Linh Chi KÏ D¸ ","Giúp Dßşc Sß Thiên Hóa Thôn tìm kiªm cây Linh Chi kh±ng l°, quanh cây có r¤t nhi«u Xà Quái, hãy ğªn phía nam Ğ¥m H° Linh ğ¬ tìm.","$username$, nghe nói b¯n phía ğ¥m H° Linh · Thiên Hóa thôn chï có mµt cây ĞÕi Linh Chi, nªu có th¬ hái ğem v« bào chª dßşc li®u thì hay biªt m¤y. Là kë hành y cÑu thª, ta r¤t mong ngß½i có th¬ giúp l¤y ğßşc linh chi, ta nh¤t ğ¸nh s¨ tr÷ng ğãi.","Mau ği ği! Ta ch¶ tin ngß½i!","Ğã mang linh chi v« r°i sao? Sao ta không th¤y?","Sao có th¬ nhß thª ğßşc?...Ôi, Xà Yêu th§t là ğµc ác, Linh chi tiên b¸ bÑc bách r¶i khöi gia viên, Linh khí ğã m¤t ği không th¬ cho vào thu¯c, th§t ğáng tiªc! Dù sao ği næa, cûng xin ğa tÕ ngß½i, ğây là ph¥n thß·ng cüa ngß½i, xin hãy nh§n l¤y.","Ta cÑ nghî ngß½i là v¸ kÏ hi®p tài giöi! Th§t bu°n thay!","","","","","","",""
"15","Truy nã Thü Lînh Cß¶ng ĞÕo","Ğ¬ di®t tr× t§n g¯c thª lñc tà ác cüa b÷n Cß¶ng ĞÕo thì ğ¥u tiên phäi tiêu di®t b÷n Thü Lînh Cß¶ng ĞÕo","B÷n cß¶ng ğÕo ğó l§p bè kªt phái, chiªm ğ¤t l§p Vß½ng, qu¤y nhi­u ngß¶i dân qua lÕi, ği lÕi khó khån. Nªu nhß không có ai giáo hu¤n chúng thì b÷n chúng s¨ càng làm loÕn. Ğánh r¡n phäi ğánh ngay ğ¥u, $username$, nhi®m vø này phäi dña vào ngß½i m¾i ğßşc.","Thü Lînh Cß¶ng ĞÕo thß¶ng xu¤t hi®n trên mµt ng÷n ğ°i nhö · hoang mÕc phía nam.","B÷n Thü Lînh Cß¶ng ĞÕo sØ døng phi tiêu r¤t t¯t, ngß½i phäi c¦n th§n!","Thì ra b÷n Cß¶ng ĞÕo v¯n là Løc lâm Häo Hán Vân Linh S½n, b¸ Xà Yêu n½i ğó bÑc bách lßu lÕc nên m¾i ğªn ğây làm càn. Ta s¨ thß½ng lßşng v¾i thôn dân, nªu b÷n chúng ch¸u ğ¥u hàng, trä lÕi ğ° v§t, Thiên Hóa Thôn s¨ suy nghî tiªp nh§n chúng. Nhßng Vân Linh S½n Xà Yêu m¾i là v¤n ğ« quan tr÷ng, có th¶i gian, ngß½i hãy ğªn Vân Linh S½n thåm dò tình hình.","ThØ nhi«u l¥n thì s¨ thành công, ho£c có th¬ tìm vài ğÕo hæu cùng mÕo hi¬m.","","","","","","",""
"16","Thôn Dân N±i Gi§n","Thay Thß½ng tâm thôn dân Thiên Hóa thôn truy sát Cß¶ng ĞÕo Nh¸ Ğß½ng Gia, h¡n thß¶ng tu¥n la quanh hoang mÕc phía nam.","Ôi ôi...$username$, Cß¶ng ĞÕo Nh¸ Ğß½ng Gia th§t ğáng sş! H¡n không chï cß¾p ngân lßşng cüa ta mà còn ğ¯t cä nhà ta, hÕi ta nhà m¤t ngß¶i vong, cô ğµc mµt mình. Ngß½i có th¬ giªt h¡n, giúp ta báo thù không?","Ngß½i th§t là t¯t. Ta s¨ luôn c¥u tr¶i ph§t phù hµ cho ngß½i!","Cß¶ng ĞÕo Nh¸ Ğß½ng Gia r¤t xäo quy®t, khi tu¥n la luôn có tùy tùng ği theo, ngß½i phäi hªt sÑc c¦n th§n.","Ác giä ác báo, ngß¶i nhà ta cu¯i cùng cûng có th¬ yên lòng nh¡m m¡t ğßşc r°i, ta cûng có th¬ b¡t ğ¥u mµt cuµc s¯ng m¾i.","Xem ra ta phäi nh¶ nhæng ngß¶i khác giúp ta làm vi®c này!","","","","","","",""
"17","L¸ch SØ Môn Phái","Nga My ĞÕi Sß TÖ T« Vân Linh ğang hß¾ng dçn ğ® tØ m¾i g¥n ğài phun nß¾c, ngß½i hãy tìm g£p sß tÖ ği!","$username$, Nga My là kiªm Tiên Chính Tông, ĞÕi Sß TÖ T« Vân Linh khi ränh r²i thß¶ng k¬ cho chúng ta nghe v« câu chuy®n kh·i ngu°n cüa môn phái, ngß½i có th¶i gian có th¬ tìm ĞÕi Sß TÖ nói chuy®n.","ĞÕi Sß TÖ ğang · g¥n ğài phun nß¾c, r¤t d­ tìm.","ĞÕi Sß TÖ là ngß¶i lß½ng thi®n, hi«n lành, ğ×ng lo l¡ng.","$username$, môn phái do Trß¶ng My Chân Nhân sáng l§p, Chân Nhân ğã ğ¡c ğÕo th¶i T¯ng S½, là nhân v§t th¯ng lãnh cüa các tán tiên thuµc phái chính tà lúc b¤y gi¶. Ğß½ng kim trß·ng môn Càn Khôn Chính Khí Di®u Nh¤t chân nhân T« Th¤u Minh là thân truy«n ğ® tØ cüa Trß¶ng My Chân Nhân, công lñc thâm h§u khó lß¶ng. Nga My là môn phái ğÑng ğ¥u cüa Chánh phái, môn hÕ ğ® tØ ğ«u là nhæng ğÕo sî hành hi®p trßşng nghîa, vì thª ngß½i phäi tu luy®n cho t¯t, tång cß¶ng luy®n pháp, ngày sau chính tà tÖ thí, làm cho môn phái ngày càng phát tri¬n hùng mÕnh.","Chï c¥n có lòng tu hành là ğßşc, phàm vi®c gì cûng không nên cßŞng c¥u. ","","","","","","",""
"18","Th¯ Vî Nh§p Dßşc","Kim Thi«n mu¯n nh¶ ngß½i ği thu th§p Th¯ Vî ğ¬ làm thu¯c, sån nhæng Ti¬u Gia Th¯ g¥n ğây là ğßşc.","$username$, ta ğang nghiên cÑu mµt loÕi Tân Dßşc Thüy, chï c¥n có Th¯ Vî là có th¬ bào chª ğßşc, sß tÖ cüa ta r¤t nghiêm kh¡c, ta ra ngoài không ti®n, mong ngß½i hãy giúp ta ği mµt chuyªn. Ğşi sau khi dßşc thüy bào chª xong, ta s¨ cho ngß½i dùng thØ. ","Ta còn thiªu mµt dßşc dçn cu¯i cùng, mau giúp ta mang Th¯ Vî v« ğây!","Gia Th¯ ğ«u ph½i n¡ng g¥n ğây, r¤t d­ tìm th¤y. ","T¯t quá! Cho mµt ít Th¯ Vî vào, trµn lên, thành công r°i! Tác døng cüa thu¯c này r¤t t¯t, ngß½i mang theo phòng thân.","Th§t ğáng tiªc, nªu sß tÖ không xem ch×ng, ta s¨ tñ ği.","","","","","","",""
"19","Thông Linh BÕch Th¯ ","Con Thông Linh BÕch Th¯ cüa ĞÕi Sß TÖ ğµt nhiên m¤t tích, có th¬ ğã ği dÕo ch½i · H§u S½n, ngß½i hãy giúp b¡t v«. ","G¥n ğây ta b§n xØ lı vi®c cüa môn phái, b¤t c¦n ğã ğ¬ Thông Linh bÕch Th¯ mà ta thß¶ng chåm sóc chÕy m¤t, phi«n ngß½i tìm v«, nó thß¶ng dÕo ch½i · H§u S½n.","Nó thß¶ng quanh qu¦n · Nga My H§u S½n, ngß½i có th¬ tìm nó · ğó.","Thông Linh BÕch Th¯ r¤t ngh¸ch phá, ta sş nó s¨ gây h÷a, nh¤t ğ¸nh ngß½i phäi mang nó v« ğây càng s¾m càng t¯t!","— ğây có nhi«u ngß½i, th§t là vui! Phi«n ngß½i nói v¾i chü nhân cüa ta 1 lát næa ta v«. Ğ×ng lo l¡ng, ta s¨ không gây ra chuy®n ğâu.","V§y có th¶i gian ta lÕi ği tìm!","","","","","","",""
"20","Tu Luy®n Pháp Bäo","T« Linh Vân cØ ngß¶i ği tìm Kim Thi«n h÷c cách Tu Luy®n Pháp Bäo.","$username$, ğa tÕ ngß½i ğã giúp ta tìm Thông Linh BÕch Th¯, nªu nó thích · cùng nhæng con thú khác thì cÑ ğ¬ nó tñ do mµt chút v§y. Gi¶ ngß½i hãy tranh thü lúc rãnh r²i tìm hi«n ğ® Kim Thi«n cüa ta h÷c Pháp Bäo tu luy®n, ğ® ¤y · g¥n ğây thôi.","Kim Thi«n ğã ğÕt ğªn trình ğµ nh¤t ğ¸nh v« vi®c tu luy®n Pháp Bäo, có b¤t cÑ ği«u gì không hi¬u ngß½i cÑ thïnh giáo.","Ğã hi¬u rõ cách luy®n pháp bäo chßa?","Ğ¯i v¾i kÛ nång tu luy®n Pháp Bäo, ngß½i c¥n nghe rõ. Sau khi di®t quái và hoàn thành mµt vài nhi®m vø, không chï tích lûy ğßşc kinh nghi®m, ngân lßşng mà còn có ğßşc linh lñc. Linh lñc ğßşc dùng ğ¬ tu luy®n Pháp Bäo. Ngß½i có th¬ m· thanh lña ch÷n ğµng tác trong màn hình Thuµc Tính Nhân V§t, sau ğó nh¤n vào bi¬u tßşng tu luy®n pháp bäo ğ¬ b¡t ğ¥u tu luy®n. C¤p ğµ Pháp Bäo càng tång thì nång lñc chiªn ğ¤u càng mÕnh. Sau khi tång c¤p Pháp Bäo, kÛ nång càng ngày thu¥n thøc, có th¬ phát huy uy lñc r¤t l¾n.","ChÆng qua cûng chï là vi®c ği höi cách tu luy®n pháp bäo thôi mà cûng th¤t bÕi. Th§t là hªt cách v¾i ngß½i!","","","","","","",""
"21","Ti¬u Dã Th¯ ham ån","Giúp ğŞ Kim Thi«n giáo hu¤n Ti¬u Dã Th¯. ","G¥n ğây Ti¬u Dã Th¯ làm loÕn kh¡p n½i, nhân lúc ta không có m£t chÕy vào bªp ån c¡p trái cây, hÕi ta phäi ğÑng canh v¤t vä nhß thª này. $username$, phi«n ngß½i giúp ta giáo hu¤n chúng mµt phen.","Nh¤t ğ¸nh phäi giáo hu¤n b÷n Ti¬u Dã Th¯ này, chúng quä th§t ğáng ghét.","Lû qu§y phá ¤y thß¶ng t§p trung · chân núi Nga My.","Khà khà! L¥n này ta xem b÷n chúng còn dám qu¤y phá næa không!","Không có cách nào xØ lı b÷n phá phách ğó hay sao?","","","","","","",""
"22","Ğu±i Ti¬u S½n Lang","Giúp Kim Thi«n ğu±i b÷n Ti¬u S½n Lang qu¤y nhi­u Dã Th¯ · chân núi Nga My.","$username$, m¤t cä ngày ta m¾i rõ tÕi sao Dã Th¯ lÕi t¾i ğây làm loÕn. Thì ra chúng b¸ S½n Lang truy ğu±i, không còn ğß¶ng thoát, nên trong lúc ğói quá ğành li«u ån c¡p trái cây. Xem ra không giáo hu¤n cho b÷n S½n Lang mµt bài h÷c thì không ğßşc, nhi®m vø này phi«n ngß½i xØ lı. ","T§p tính cüa Ti¬u S½n Lang là tàn ác hung bÕo, phäi giáo hu¤n chúng mµt cách nghiêm kh¡c!","Sñ vi®c tiªn tri¬n nhß thª nào?","Ôi! Làm t¯t quá, nhßng ta vçn e ngÕi ğ¢ng sau b÷n Ti¬u S½n Lang còn có mµt lñc lßşng tà ác ğang ği«u khi¬n chúng.","Vi®c ğ½n giän nhß v§y cûng không có cách nào hoàn thành sao?","","","","","","",""
"23","S½ Nh§p Giang H° ","Ği tìm ĞÕi Sß TÖ T« Vân Linh, xem mình ğã hµi ğü tß cách xu¯ng núi hay chßa?","$username$, dß¶ng nhß t× khi gia nh§p sß môn ngß½i ğã trß·ng thành lên r¤t nhi«u, sß tÖ cüa ta ğang xem xét nhæng ğ® tØ có ğü tß cách xu¯ng núi hay không, ngß½i ği tìm sß tÖ xem có tên trong danh sách không.","Mau ği tìm sß tÖ ği!","Nªu nhß ta có th¬ xu¯ng núi ngao du thì th§t hay!","$username$, vi®c tu hành cüa ngß½i r¤t t¯t, chï còn thiªu Giang H° Lñc Luy®n. Hãy mang theo pháp bäo này mà xu¯ng núi luy®n t§p.","Không th¬ tin ğßşc! Chï là tìm ngß¶i nói chuy®n cûng không ğßşc.","","","","","","",""
