"ID","name","desc","talk_pre","talk_accept","talk_doing","talk_finish","task_failed","",""
"1810","Chân Tß¾ng","Tìm nµi gián trong Thái ThÕch Trß¶ng và tiêu di®t nó.","Sß phø luôn hành hi®p trßşng nghîa, hôm nay lÕi b¸ oan nhß thª này, ta nh¤t ğ¸nh phäi tìm ra chân tß¾ng. $username$, nhß v§y ği, ta lÕi ğem mµt s¯ bùa thánh ğªn t£ng cho Thái ThÕch Trß¶ng, ngài ği theo sau, âm th¥m quan sát, xem ai ğã làm, ğªn lúc ğó b¡t tr÷n ±.","Ğã v§y, tÕi hÕ xin ği trß¾c mµt bß¾c.","Sñ vi®c r¯t cuµc sao r°i?","Th§t không ng¶ trong thôn lÕi có ngß¶i dña vào Vong Linh, còn lén ğánh tráo bùa Thánh, r°i giá h÷a cho lão phu; cûng may ğÕi hi®p ki®p th¶i phát hi®n và di®t tr× nµi gián, nªu không lão phu nhäy xu¯ng sông hoàng hà cûng rØa không sÕch. La Hi®u ğã ğªn ğây, chúng ta c¥n có sñ chu¦n b¸ phòng ng×a trß¾c m¾i ğßşc.","","",""
"1811","Ği«u Th¥n Bí cüa Nha Nh¤t Tµc ","Giªt chªt Tª Sß Nha Nh¤t Tµc và ğoÕt l¤y bµ xß½ng Thú Nha trên tª ğàn.","$username$, theo thám tØ h°i báo, ğám yêu quái heo ğó ğã làm tª ğàn gì ğó, bái tª bµ xß½ng Thú Nha th§t l¾n, coi nhß là v§t thiêng cüa chúng, ngài giúp ta mang v§t ğó v« ğ¬ nghiên cÑu. Nhßng phäi c¦n th§n, g¥n tª ğàn có tª sß Nha Nh¤t Tµc, nhìn m¤y con heo ğó là ta ğã th¤y gi§n, luôn ti®n ngài giúp ta tiêu di®t chúng luôn nha!","Ğ¬ cho lû heo ğó l¥n lßşt ği ğ¶i hªt! Haha..","L¤y ğßşc Thú Nha chßa?","Hihi, ğúng v§y, ngài th§t bän lînh. Cái Thú Nha này r¤t l¾n, ch¡c hÆn là rång cüa t¤t cä chúng.","","",""
"1812","Thü Lînh Nha Nh¤t Tµc","Ğánh bÕi Tª Sß Trß·ng Nha Nh¤t Tµc ğang bäo v® tª ğàn.","Theo nghiên cÑu ta ğã phát hi®n, tà khí làm cho b÷n nhím khác thß¶ng có liên quan m§t thiªt ğªn nhæng vong linh b¤t tØ. Nªu nhß không ğoán sai, thü lînh cüa Kim Nha Nh¤t Tµc nh¤t ğ¸nh cûng là vong linh b¤t tØ. $username$, giáng yêu tr× ma là nghîa vø cüa Chân Tu Gi¾i ta, không th¬ cho chúng tiªp tøc hoành hành, nªu không s¨ b¤t lşi cho ta. Ngß¶i hãy tÑc t¯c ğªn tª ğàn Nha Nh¤t Tµc tiêu di®t b÷n thü lînh ğó.","Tª Sß Trß·ng ğó th§t lşi hÕi, ngài hãy c¥u nguy®n cho mình ği nha!","Nhi®m vø ğßşc giao ğã hoàn thành chßa?","Cám ½n tr¶i ğ¤t, ngài có th¬ s¯ng mà tr· v«. Träi qua l¥n tr¡c tr· này, ğÕo hÕnh cüa ngài ch¡c s¨ bß¾c vào mµt cänh gi¾i m¾i.","","",""
"1813","TØ Trúc Lâm Phòng Tuyªn","Höi Phong KÖ Trung v« tình hình TØ Trúc Lâm Phòng Tuyªn","Sau khi tà ma xu¤t hi®n ¶ Phi Lôi Lînh thôn dân · Kinh ThÕch Dø lúc nào cûng b¸ b÷n vong linh uy hiªp. Ta chï là ngß¶i thß¶ng, tñ biªt không ğ¸ch n±i tà yêu, nên  m¾i c¥u cÑu cao nhân kiªm tiên · Tiên Âm Kh¦u. T§n phía nam TØ Trúc Lâm là núi h©p, dß½ng khí cñc th¸nh, có th¬ kh¡c âm tà, chúng ta xây mµt tuyªn phòng thü · ğó. Trß¾c m¡t ma khí r¤t mÕnh, không biªt tuyªn phòng thü có th¬ kháng n±i sñ t¤n công cüa tà ma không. $username$, các hÕ ği tìm ğµi trß·ng Phong KÖ Trung höi thåm tình hình, có l¨ có mµt s¯ vi®c ông ¤y c¥n ğªn sñ giúp ğŞ cüa ngài.","Ra ğªn c±ng thôn, men theo ğß¶ng l¾n cách phía tây không xa chính là TØ Trúc Lâm Phòng Tuyªn ğó.","Cho dù tình thª có nguy khó nhß thª nào, chúng tôi th« chªt bäo v® quê hß½ng.","Lão Ngû cûng không c¥n b§n tâm, tuy áp lñc hi®n nay cüa chúng tôi r¤t l¾n, nhßng chï c¥n ğoàn kªt, cµng thêm sñ giúp ğŞ cüa cao nhân, nh¤t ğ¸nh có th¬ di®t tr× tà ma, bäo v® quê hß½ng.","","",""
"1814","Xß½ng CÑng","Giªt chªt Cô Lâu Quái · S½n Trang Phª Tích và ğoÕt l¤y Trùy C¯t cüa nó ğ¬ làm b¢ng chÑng.","$username$, có ğÕi hi®p tß½ng trş, chúng tôi nhß thêm ph¥n sÑc lñc. ĞÕi hi®p là khách, lÕi là do trß·ng giä gi¾i thi®u, chiªu lí ta nên tiªp ğãi chu ğáo, nhßng n½i ğây là ti«n tuyªn, chúng ta cûng không c¥n ğªn nhæng l­ nghi rß¶m rà ğó. Phía b¡c tuyªn phòng ngñ v¯n là n½i · cüa Tr¤n TØ Kinh ThÕch Dø, bây gi¶ n½i ğây là mµt ğ¯ng hoang tàn, b¸ nhóm Cô Lâu Quái chiªm giæ, b÷n chúng không d­ ğ¯i phó, nhßng phäi tiêu di®t b÷n chúng trß¾c.","Mang Trùy C¯t cüa chúng v« ğây cho ta, ğ¬ ta tª cho nhæng dân binh ğã chªt trong tr§n ğó.","Di®t sÕch b÷n Cô Lâu Quái chßa?","R¤t t¯t, nhæng dân binh tØ tr§n nªu biªt ğßşc cûng có th¬ an nghï.","","",""
"1815","Siêu Ğµ Vong Linh","Siêu ğµ cho nhæng linh h°n ğã chªt trong S½n Trang Phª Tích, r°i lÕi trä l¶i Vô Nhân Pháp Sß.","Thi®n tai thi®n tai, ğúng là nghi®p chß¾ng. B¥n tång vân du tÑ häi nhßng chßa t×ng th¤y ma quái tà ác nhß v§y. BÕch C¯t Th¥n Quân cä ğ¶i làm nhi«u ği«u ác, chuyên hút tinh nguyên cüa con ngß¶i ğ¬ tu luy®n. Nåm ğó h¡n ğªn Phi Lôi Lînh, biªn tóc thành v§t báu ğ¬ mê ho£c thôn dân, nhßng thß¶ng thôn dân tiªp xúc s¨ b¸ nó hút hªt tinh nguyên, biªn thành TØ Linh, không cách nào giªt chªt ğßşc, linh h°n cûng không ğßşc siêu sinh, tr· thành cô h°n dÕ quÖ. A Di Ğà Ph§t! $username$, ngài mang theo vài lá bùa siêu ğµ, siêu ğµ cho h÷, ğ¬ h÷ có th¬ ğ¥u thai chuy¬n thª.","Nhæng t¤m bùa này có th¬ giäi tr× thân th¬ b¤t tØ cüa chúng, phóng thích linh h°n cüa chúng.","Nhæng thôn dân b¸ hÕi nåm ğ1o vçn chßa ğßşc an sinh, không biªt Vô Nhân ĞÕi Sß ğã siêu ğµ cho h÷ chßa?","Siêu ğµ cho nhæng ngß¶i chªt, ğ¬ cho linh h°n cüa h÷ ğßşc an nghï, nhß v§y trong lòng b¥n tång m¾i yên tâm ğßşc.","","",""
"1816","Ğánh BÕi Tà Ma"," Tiêu di®t QuÖ Ğ¥u Binh · S½n Trang Phª Tích.","— S½n Trang Phª Tích có r¤t nhi«u QuÖ Ğ¥u Binh lai vãng, không biªt lai l¸ch nhß thª nào. LÕi thêm TØ Linh, Phòng Tuyªn TØ Trúc Lâm ğang ğ¯i m£t v¾i nhæng áp lñc trß¾c nay chßa t×ng có. B÷n QuÖ Ğ¥u Binh này tÕm th¶i án binh b¤t ğµng, hình nhß ğang ch¶ ğşi cái gì ğó. $username$, Thß½ng Long Cß Sî phái chúng tôi ği xem thñc hß v« b÷n QuÖ Ğ¥u Binh này, ngài có th¬ ği ğánh nhau v¾i b÷n chúng ğ¬ ki¬m tra trß¾c ğßşc không?.","S¯ lßşng QuÖ Ğ¥u Binh r¤t nhi«u, ğÕi hi®p phäi bäo tr÷ng.","Thñc lñc cüa b÷n QuÖ Ğ¥u Binh nhß thª nào?","Quä nhiên nhß lão phu ğoán, ğám QuÖ Ğ¥u Binh này là Vong Linh b¤t tØ, nh¤t th¶i giªt không chªt.","","",""
"1817","U Minh Hoa"," Ğªn S½n Trang Phª Tích thu th§p U Minh Hoa và Huy«n Tinh ThÕch, luy®n thành U Minh H°i Mµng Hß½ng trong lò ğ½n dßşc, r°i giao cho Thß½ng Long Cß Sî.","QuÖ Ğ¥u Binh th§t ra cûng chÆng có gì ğáng sş. Ğám yêu nhân m¾i xu¤t hi®n · phía b¡c TØ Trúc Lâm m¾i là tâm phúc ğÕi h÷a. — Phi Lôi Lînh có mµt loÕi U Minh Hoa, s· dî QuÖ Ğ¥u Binh không chªt ğ«u nh¶ vào loÕi hoa này. Ngài hãy ği hái mµt ğóa, sau ğó ğªn S½n Trang Phª Tích tìm Huy«n Tinh ThÕch. Bö hai thÑ nguyên li®u này vào lò ğan dßşc thì có ğßşc mµt cây U Minh H°i Mµng Hß½ng.","D÷c ğß¶ng tà ma r¤t nhi«u, c¦n th§n nhé.","Tìm ğßşc hai v§t ph¦m này chßa? Nªu tìm ğßşc, ğem hai v§t ğó bö vào trong lò ğan kª bên.","Uh, ngài r¤t tài ba, chï mµt l¥n là có th¬ luy®n thành U Minh H°i H°n Hß½ng.","","",""
"1818","Hành Ğµng Träm Thü","SØ døng  U Minh H°i Mµng Hß½ng ğ¬ thu hút Ğao H°n Trên Phi Lôi Lînh và tiêu di®t nó.","U Minh Hoa b¸ ğem ği luy®n, b÷n Vong Linh ch¡c s¨ không ch¸u yêu ğâu, b÷n chúng nh¤t ğ¸nh s¨ nghî cách ğoÕt lÕi. Ğao H°n trên Phi Lôi Lînh m¾i là Thßşng C± Chiªn Linh, ngay cä QuÖ Ğ¥u Binh cûng phäi nhß¶ng nh¸n chúng; $username$, l¤y U Minh H°i Mµng Hß½ng ği mê ho£c b÷n Ğao H°n và nhân c½ hµi ğó tiêu di®t chúng, áp chª b÷n tà ma.","Chï c¥n kh¯ng chª b÷n Ğao H°n này, QuÖ Ğ¥u Binh không ğánh s¨ tñ lui.","Tình hình bên Phª Tích nhß thª nào?","QuÖ Ğ¥u Binh ğã b¸ áp chª, có th§t nhß v§y không? Ğám Ğao H°n ğó nhß phát ğiên v§y, t¤n công chúng ta d°n d§p, chúng ta có r¤t nhi«u ngß¶i b¸ thß½ng. Ta phäi phái thêm ngß¶i ği giám sát chúng m¾i ğßşc.","","",""
"1819","Thü Quân G£p NÕn","Giúp ğŞ Dß Hóa tiêu di®t Ğao H°n.","M÷i ngß¶i c¦n th§n, Vong Linh binh ngày càng nhi«u. $username$, ğµi trß·ng phái chúng tôi ğªn thám tính tinh hình Phª Tích, v×a m¾i phát hi®n mµt s¯ vi®c thì ğµt nhiên b¸ b÷n Ğao H°n bao vây, ğ¯i phß½ng t¤n công nhß vû bão, mau tiêu di®t b÷n chúng ğ¬ còn thoát thân.","M÷i ngß¶i không c¥n hoäng sş, ğµi trß·ng ğã phái ngß¶i ğªn tiªp Ñng.","Ta ğã ğánh lùi b÷n Vong Linh, tình hình bên ğÕi hi®p nhß thª nào?","R¤t t¯t, chúng ta phäi mau r¶i khöi n½i này, quay v« báo cáo tình hình.","","",""
"1820","Phát Hi®n Cao Tháp","Hµ t¯ng Tß¶ng Vân tr· v« doanh trÕi Kinh ThÕch Dø và báo cáo cho Phong KÖ Trung."," Làm sao bây gi¶, kh¡p n½i ğ«u là Vong Linh, làm sao thoát. $username$, ngày ğªn th§t ğúng lúc, tôi có phát hi®n quan tr÷ng, phía b¡c ğµt nhiên xu¤t hi®n mµt tòa tháp cao kì lÕ, phäi mau tr· v« doanh trÕi Kinh ThÕch Dø báo cáo tình hình. Chúng tôi ğã b¸ Vong Linh bao vây, m÷i ngß¶i h¥u nhß ğã chªt hªt, mau theo tôi phá vòng vây.","Vong Linh ğã ğªn, mau xông ra ngoài. Sau khi ra ğßşc, hãy mau ği tìm Phong ğµi trß·ng.","Trinh thám phái ği sao vçn chßa v«?","Không ng¶ t±n th¤t cüa chúng ta lÕi l¾n nhß v§y, lÕi m¤t thêm m¤y häo huynh ğ® næa, cûng may là ngài và Tß¶ng Vân tr· v« r°i.","","",""
"1821","Bí M§t Ma ThÕch","Thu th§p nhæng hòn ğá còn dß lÕi xung quanh Hß Linh Tháp.","Tin dæ d°n d§p, $username$, theo thám tØ h°i báo, bên phäi ğïnh Phi Lôi Lînh xu¤t hi®n mµt tòa Hß Linh Tháp, linh khí bao trùm tòa tháp. Bây gi¶ Phi Lôi Lînh kh¡p n½i ğ«u là Vong Linh, Hß Linh Tháp ch¡c có liên quan ğªn Vong Linh. Theo tin báo, Hß Linh Tháp do mµt loÕi ğá ğ£c bi®t xây thành, ngài ğªn g¥n ğó ki¬m tra thØ xem, có phát hi®n gì l§p tÑc h°i báo.","Nªu có vi®c gì khác thß¶ng, có th¬ tìm Vô Nhân Pháp Sß, ğÕo hÕnh ông ¤y cao thâm, kiªn thÑc sâu rµng.","A Di Ğà Ph§t! Phi Lôi Lînh này có mµt lu°ng tà khí r¤t mÕnh, không biªt ğªn t× ğâu?","Tìm th¤y nhæng viên ğá xây Hß Linh Tñ chßa? Mau ğßa cho b¥n tång xem thØ.","","",""
"1822","Con Ğß¶ng Thông T¾i D¸ Gi¾i","Nh§n ğßşc 2 loÕi Tà Quang Châu là Âm Lân và TØ Thiên trên ngß¶i Hß Linh, dùng nó ğ¬ ğóng 2 tòa Tà Quang C¥u.","Theo b¥n tång th¤y, trên ğ¶i này chï có dùng tà nång ğ¬ chuy¬n ğªn t× D¸ Gi¾i. Tà nång này tång lên theo sñ gia tång cüa Hß Linh. B¥n tång ğã quan sát thiên tßşng và th¤y trên ğïnh Phi Lôi Lînh có mµt lu°ng tà khí và ngày càng tång. $username$, kª bên Hß Linh Tháp có hai quä Tà Quang C¥u, nång lßşng phát ra t× quä c¥u ğó. Hãy ğªn ğó tìm cho ğßşc 2 Tà Quang Châu · g¥n bên ngß¶i Hß Linh, sau ğó dùng nó ğóng hai Tà Quang C¥u này lÕi. ","Ngài và ta ğ«u là ngß¶i chân tu, mµt khi tà nång b¸ lşi døng, Chân Tú Gi¾i s¨ không biªt có bao nhiêu tai h÷a, nhân gian s¨ biªn thành ğÕi ngøc. Hãy mau ği ğóng ngu°n nång lßşng, ngån cän nhæng Hß Linh ğó tái sinh.","A Di Ğà Ph§t, chúng ta phäi mau nghî cách ngån sñ phóng thích cüa lu°ng tà khí này.","Thi®n tai thi®n tai, $username$, l¥n này không còn nghi gì næa, ngài ğã cÑu cä Chân Tu Gi¾i.","","",""
"1823","T§p Hşp LÕi","Liên lÕc v¾i Thß½ng Long Cß Sî và Lı Nguyên Hóa, hşp tác ğ¯i phó v¾i Tà Ma.","$username$, b¥n tång tu hành nhi«u nåm nhßng tình thª trß¾c m¡t cûng nan giäi. Thß½ng Long Cß Sî cûng ğªn ğây ğã lâu và nghe nói Nhiêm Tiên Lı Nguyên Hóa cûng ğã ğªn. Nªu mu¯n tiêu di®t tà ma, chï có cách ğ°ng tâm hi®p sÑc. Mau liên lÕc v¾i hai ngß¶i h÷ h©n ngày tác chiªn!","Thß½ng Long Cß Sî ğang · TØ Trúc Lâm, Lı Nguyên Hóa ğÕo trß·ng v×a ğªn L® Giang Thôn.","Nh§n ğßşc trä l¶i cüa chúng chßa?","Thi®n tai thi®n tai, l¥n này Kiªm Tiên cùng hşp sÑc, vi®c tiêu di®t tà ma chï còn trong nay mai.","","",""
"1824","Cách Kh¡c Ğ¸ch","Dùng Linh Tê Ng÷c Xuyªn ğánh tan Vân La Nha Trß¾ng mà La Hi®u Bµ Chúng ğang canh giæ.","$username$, ğ¬ tiêu di®t b÷n Vong Linh, Nhiêm Tiên Lı Nguyên Hóa ğã tu luy®n mµt pháp bäo, ğó chính là Linh Tê Ng÷c Xuyªn. Bích Nhãn La Hi®u ğã mang r¤t nhi«u Träo Nha ğªn tø t§p g¥n Hß Linh Tháp, bäo hµ Vân La Nha Trß¾ng và Hß Linh ğßşc luy®n ra t× ğó. SÑc mÕnh cüa Linh Tê Ng÷c Xuyªn có công hi®u di®t ma tr× yêu có th¬ phá hüy Nha Trß¾ng ğó. Chúc ĞÕi Hi®p mã ğáo thành công!","Hüy kh¯i nång lßşng, thª lñc La Hi®u s¨ b¸ giäm ği ğáng k¬.","Tiêu hüy Vân La Nha Trß¾ng chßa?","$username$, Chân Tu Gi¾i có ğßşc mµt nhân tài nhß ngài v§y quä là mµt vi®c may m¡n.","","",""
"1825","Phän công Phi Lôi Lînh (1)","Tiêu di®t La Kiêu Bµ Chúng · g¥n Hß Linh Tháp.","Vân La Nha Trß¾ng b¸ hüy, bây gi¶ thuµc hÕ cüa La Kiêu là mµt ğám h±n loÕn. $username$, tiêu di®t b÷n chúng mµt lßşt, sau ğó ğem tin vui này báo cho ğÕo trß·ng Lı Nguyên Hóa.","Di®t tr× t§n g¯c, không ğ¬ mµt ai thoát.","Tình hình trên ğïnh Phi Lôi Lînh gi¶ nhß thª nào?","Phe cánh cüa La Kiêu ğã b¸ di®t tr×, ch¡c h¡n cûng không th¬ là mßa làm gió næa ğâu.","","",""
