"Mã s¯",Tên,"Hi®u quä 1","Hi®u quä 2","Hi®u quä 3","Hi®u quä 4","Hi®u quä 5","Hi®u quä 6","Hi®u quä 7","Hi®u quä 8","Hi®u quä 9","Hi®u quä 10"
23,"Bµ Thiên C½ SÑ S","Tång 600 ði¬m Th¬ Lñc","Tång 1500 ði¬m Trí tu®","Tång800 ði¬m hi®u lñc tr¸ li®u","Tång 15% sát thß½ng Lôi H®","Tång 75 khoäng cách tr¸ li®u cüa KÏ Hoàng Quyªt","Giäm 1 giây th¶i gian v§n cüa Huy«n Träm Quang",,,,
24,"Bµ Nhiªp H°n S","Tång 600 ði¬m Th¬ Lñc","Tång 1500 ði¬m Nhanh nh©n","Tång 10% xác xu¤t né tránh","Tång 15% sát thß½ng Lôi H®","Giäm 10 ði¬m tinh lñc tiêu hao cüa Hoành Täo Thiên Quân","Tång 15% xác su¤t bÕo kích Ðµc H®",,,,
25,"Bµ Tích Lûy Kim Phong S","Tång 600 ði¬m Th¬ Lñc","Tång 1500 ði¬m Trí tu®","Tång 30% t¯c ðµ di chuy¬n","Giäm 1 giây th¶i gian ch¶ cüa Liên Kích Phá","Giäm 0.5 giây th¶i gian v§n cüa Li®t Phá Giáp.","Tång 15% xác su¤t bÕo kích Ðµc H®.",,,,
,,,,,,,,,,,
26,"Bµ T¸ch Di®t","Tång 1500 Th¬ Lñc ði¬m","Tång 2500 ði¬m Trí tu®","Tång 35% xác xu¤t bÕo kích cüa Höa H®","Tång 35% xác xu¤t bÕo kích cüa Thüy H®","Giäm 4 giây th¶i gian ch¶ cüa Xích Di­m Träm","Tång 35% phÕm vi cüa Häi Tri«u Quyªt",,,,
27,"Bµ Hß Không","Tång 1500 Th¬ Lñc ði¬m","Tång 2500 ði¬m SÑc mÕnh","Tång 35% xác xu¤t ch¯ng ðÞ","Giäm 20 ði¬m tinh lñc tiêu hao cüa T¸ch Di®t - Phøc Ma","Tång 45% bÕo kích cüa Tu La - †n","Tång 40% sát thß½ng Ph§t H®",,,,
28,"Bµ Nh§t Nguy®t","Tång 1500 Th¬ Lñc ði¬m.","Tång 2500 ði¬m Trí tu®","Tång 1500 ði¬m hi®u lñc tr¸ li®u","Tång 35% sát thß½ng Lôi H®","Tång 150 khoäng cách tr¸ li®u cüa KÏ Hoàng Quyªt","Giäm 2 giây th¶i gian v§n cüa Huy«n Träm Quang",,,,
29,"Bµ Ng÷a Long","Tång 1500 Th¬ Lñc ði¬m","Tång 2500 ði¬m Nhanh nh©n","Tång 20% xác xu¤t né tránh","Tång 35% sát thß½ng Lôi H®.","Giäm 20 ði¬m tinh lñc tiêu hao cüa Hoành Täo Thiên Quân","Tång 25% xác su¤t bÕo kích Ðµc H®",,,,
30,"Bµ Thánh Næ","Tång 1500 Th¬ Lñc ði¬m","Tång 2500 ði¬m Trí tu®","Tång 50% t¯c ðµ di chuy¬n","Giäm 1 giây th¶i gian ch¶ cüa Liên Kích Phá","Giäm 1.5 giây th¶i gian v§y cüa Li®t Phá Giáp","Tång 35% xác su¤t bÕo kích Ðµc H®",,,,
,,,,,,,,,,,
38,"Bµ Bát Di®p","Tång 1500 ði¬m Th¬ Lñc.","Tång 2500 ði¬m Trí tu®.","Tång 40% sát thß½ng Höa H®.","Tång 40% sát thß½ng Thüy H®.","Giäm 3 giây th¶i gian ch¶ cüa Xích Di­m Träm.","Giäm 20 giây th¶i gian ch¶ cüa Ð¸a Cß½ng Thu§t.",,,,
39,"Bµ Thích C¯t","Tång 1500 ði¬m Th¬ Lñc.","Tång 2500 ði¬m SÑc mÕnh.","Tång 40% sát thß½ng Ph§t H®.","Tång 40% sát thß½ng Höa H®.","Giäm 5 giây th¶i gian ch¶ cüa Tu La - Ð¸nh.","Giäm 20 giây th¶i gian ch¶ cüa T¸ch Di®t - Phøc Ma.",,,,
40,"Bµ Bích Liên","Tång 1500 ði¬m Th¬ Lñc.","Tång 2500 ði¬m Trí tu®.","Tång 40% sát thß½ng Ði®n H®.","Tång 40% sát thß½ng Ph§t H®.","Tång 3000 ði¬m hi®u lñc tr¸ li®u.","Giäm 1.5 giây th¶i gian v§n cüa Huy«n Träm Quang.",,,,
41,"Bµ Huyªt Minh","Tång 1500 ði¬m Th¬ Lñc.","Tång 2500 ði¬m Nhanh nh©n.","Tång 40% sát thß½ng Lôi H®.","Tång 40% sát thß½ng Ðµc H®.","Giäm 15 ði¬m tinh lñc tiêu hao cüa Hoành Täo Thiên Quân.","Giäm 50 giây th¶i gian ch¶ cüa Long Ngâm.",,,,
42,"Bµ Thiên C½","Tång 1500 ði¬m Th¬ Lñc.","Tång 2500 ði¬m Trí tu®.","Tång 40% sát thß½ng Thüy H®.","Tång 40% sát thß½ng Ðµc H®.","Giäm 1 giây th¶i gian v§n cüa Li®t Phá Giáp.","Giäm 10 giây th¶i gian ch¶ cüa Phi ¿ng Ðµt Kích.",,,,
,,,,,,,,,,,
43,"Bµ Tam (Hoä) S",,"Tång 100 ði¬m th¬ lñc","Tång 5% khí huyªt","Tång 5% sát thß½ng bÕo kích hoä h®",,,,,,
44,"Bµ Tam (ThuÖ) S",,"Tång 100 ði¬m th¬ lñc","Tång 5% khí huyªt","Tång 5% sát thß½ng bÕo kích thuÖ h®",,,,,,
45,"Bµ Tam (Ðµc) S",,"Tång 100 ði¬m th¬ lñc","Tång 5% khí huyªt","Tång 5% sát thß½ng bÕo kích ðµc h®",,,,,,
46,"Bµ Tam (Lôi) S",,"Tång 100 ði¬m th¬ lñc","Tång 5% khí huyªt","Tång 5% sát thß½ng bÕo kích lôi h®",,,,,,
47,"Bµ Tam (Ph§t) S",,"Tång 100 ði¬m th¬ lñc","Tång 5% khí huyªt","Tång 5% sát thß½ng bÕo kích ph§t h®",,,,,,
48,"Bµ Tam (Hoä)",,"Tång 50 ði¬m th¬ lñc","Tång 5% khí huyªt","Tång 5% sát thß½ng bÕo kích hoä h®",,,,,,
49,"Bµ Tam (ThuÖ)",,"Tång 50 ði¬m th¬ lñc","Tång 5% khí huyªt","Tång 5% sát thß½ng bÕo kích thuÖ h®",,,,,,
50,"Bµ Tam (Ðµc)",,"Tång 50 ði¬m th¬ lñc","Tång 5% khí huyªt","Tång 5% sát thß½ng bÕo kích ðµc h®",,,,,,
51,"Bµ Tam (Lôi)",,"Tång 50 ði¬m th¬ lñc","Tång 5% khí huyªt","Tång 5% sát thß½ng bÕo kích lôi h®",,,,,,
52,"Bµ Tam (Ph§t)",,"Tång 50 ði¬m th¬ lñc","Tång 5% khí huyªt","Tång 5% sát thß½ng bÕo kích ph§t h®",,,,,,
