,编号,等级,说明,掉落物品,
,6009,1,11-15级杂碎,"3715,0;3727,0;",0.06
,6010,1,16-20级杂碎,"3716,0;3728,0;",0.06
,6011,,1-5体质打造,"3725,0;",0.125
,6012,,5-10物理防御打造,"3726,0;",0.125
,6013,,10-15力量打造,"3727,0;",0.125
,6014,,15-20敏捷/智力打造,"3728,0;",0.125
,6015,,20-25中级体质,"3729,0;",0.125
,6016,,25-30中级物防,"3730,0;",0.125
,6017,,30-35中级力量,"3731,0;",0.125
,6018,,35-40中级敏捷/智力,"3732,0;",0.125
,6019,,40-45高级体质,"3733,0;",0.125
,6020,,45-50高级物防,"3734,0;",0.125
,6021,,21-25杂碎,"3719,0;3729,0;",0.06
,6022,,26-30杂碎,"3720,0;3730,0;",0.06
,6023,,31-35杂碎,"3721,0;3731,0;",0.06
,6024,,36-40杂碎,"3722,0;3732,0;",0.06
,6025,,41-45杂碎,"3723,0;3733,0;",0.06
,6026,,46-50杂碎,"3724,0;3734,0;",0.06
,6027,,五色铃铛,"3760,0;3761,0;3762,0;3763,0;3764,0;",0.5
,6028,,66级杂碎(1),"4682,0",0.06
,6029,,66级杂碎(2),"4683,0",0.06
,6030,,67级杂碎(1),"4684,0",0.06
,6031,,67级杂碎(2),"4685,0",0.06
,6032,,68级杂碎(1),"4686,0",0.06
,6033,,68级杂碎(2),"4687,0",0.06
,6034,,69级杂碎(1),"4688,0",0.06
,6035,,69级杂碎(2),"4689,0",0.06
,6036,,70级杂碎(1),"4690,0",0.06
,6037,,70级杂碎(2),"4691,0",0.06
,6038,,50-55魔石材料,"4882,0",0.125
,6039,,55-60魔石材料,"4883,0",0.125
,6040,,60-65魔石材料,"4884,0",0.125
,6041,,65-70魔石材料,"4885,0",0.125
,6042,,65-70魔石材料,"4886,0",0.125
,6043,,一星仙珠,"5526,0",1
,6044,,二星仙珠,"5527,0",1
,6045,,三星仙珠,"5528,0",1
,6046,,四星仙珠,"5529,0",1
,6051,,牙一族掉落杂碎,"5135,0",1
,6052,,飞雷岭死尸掉落杂碎,"5134,0",1
,6053,,紫竹林道人掉落杂碎,"5133,0",1
,,,,,
,10001,,朱草,"2000,0",1
,10002,,野蘑菇,"2001,0",1
,10003,,丹参,"2002,0",1
,10004,,夏枯草,"2003,0",1
,10005,,朱果,"2004,0",1
,10006,,荔枝草,"2005,0",1
,10007,,北草乌,"2006,0",1
,10008,,何首乌,"2007,0",1
,10009,,金银花,"2008,0",1
,10010,,罗汉果,"2009,0",1
,10011,,"毒芹 ","2010,0",1
,10012,,石吊兰,"2011,0",1
,10013,,无花果,"2012,0",1
,10014,,无根藤,"2013,0",1
,10015,,百里香,"2014,0",1
,10016,,橙红石,"2015,0",1
,10017,,"白云石 ","2016,0",1
,10018,,白榴石,"2017,0",1
,10019,,叶蜡石,"2018,0",1
,10020,,尖晶石,"2019,0",1
,10021,,重晶石,"2020,0",1
,10022,,水镁石,"2021,0",1
,10023,,顽火石,"2022,0",1
,10024,,铝榴石,"2063,0",1
,10025,,碘银石,"2064,0",1
,10026,,茯苓,"4871,0",1
,10027,,麻黄草,"4872,0",1
,10028,,银犀草,"4873,0",1
,10029,,黄精,"4874,0",1
,10030,,雪见草,"4875,0",1
,10031,,龙胆紫,"4876,0",1
,10032,,方解石,"4877,0",1
,10033,,菱辉石,"4878,0",1
,10034,,锰矾石,"4879,0",1
,10035,,翡翠石,"4880,0",1
,10036,,云母石,"4881,0",1
,,,,,
,,,,,
93,5001,40,40级的武器,"8,0;28,0;58,0;554,0;632,0;",0.8
94,5002,40,40级的武器,"18,0;38,0;48,0;564,0;642,0;",0.8
95,5003,50,50级的武器,"9,0;29,0;49,0;555,0;633,0;",0.8
96,5004,50,50级的武器,"19,0;39,0;59,0;565,0;643,0;",0.8
97,5005,48,48级衣服,"80,0;107,0;134,0;578,0;656,0",0.8
98,5006,43,43级护手,"89,0;116,0;143,0;587,0;665,0",0.8
99,5007,45,45级靴子,"98,0;125,0;152,0;596,0;674,0",0.8
100,5008,42,42级护腕,"262,0;271,0;280,0;605,0;683,0",0.8
101,5009,44,44级护膝,"289,0;298,0;307,0;614,0;692,0",0.8
102,5010,46,46级腰带,"316,0;325,0;334,0;623,0;701,0",0.8
103,5011,47,47级扳指,"242,0;",0.8
104,5012,49,49级护符,"252,0;",0.8
105,5013,,残缺神像,"3437,0;",0.8
106,5014,,马熊兽角,"3438,0;3724,0;",0.6
107,5015,,山魈利爪,"3439,0;3724,0;",0.6
108,5016,,木魃头颅,"3440,0;3724,0;",0.6
109,5017,,天淫令牌,"3441,0;3724,0;",0.6
,,,,,
110,5401,45,血神宝箱小,"3768,0;",1
111,5402,45,血神宝箱大,"3769,0;",1
,,,,,
112,5020,60,60级的武器,"10,0;30,0;60,0;556,0;634,0;",0.8
113,5021,60,60级的武器,"20,0;40,0;50,0;566,0;644,0;",0.8
114,5022,58,58级衣服,"81,0;108,0;135,0;579,0;657,0",0.8
115,5023,53,53级护手,"90,0;117,0;144,0;588,0;666,0",0.8
116,5024,55,55级靴子,"99,0;126,0;153,0;597,0;675,0",0.8
117,5025,52,52级护腕,"263,0;272,0;281,0;606,0;684,0",0.8
118,5026,54,54级护膝,"290,0;299,0;308,0;615,0;693,0",0.8
119,5027,56,56级腰带,"317,0;326,0;335,0;624,0;702,0",0.8
120,5028,57,57级扳指,"243,0;",0.8
121,5029,59,59级护符,"253,0;",0.8
,,,,,
122,5030,40,40级的武器,"8,0;28,0;58,0;554,0;632,0;",0.8
123,5031,40,40级的武器,"18,0;38,0;48,0;564,0;642,0;",0.8
124,5032,38,38级衣服,"79,0;106,0;133,0;577,0;655,0",0.8
125,5033,33,33级护手,"88,0;115,0;142,0;586,0;664,0",0.8
126,5034,35,35级靴子,"97,0;124,0;151,0;595,0;673,0",0.8
127,5035,32,32级护腕,"261,0;270,0;279,0;604,0;682,0",0.8
128,5036,34,34级护膝,"288,0;297,0;306,0;613,0;691,0",0.8
129,5037,36,36级腰带,"315,0;324,0;333,0;622,0;700,0",0.8
130,5038,37,37级扳指,"241,0;",0.8
131,5039,39,39级护符,"251,0;",0.8
,,,,,
132,5500,,炮台,"4111,0;4112,0;4112,0;4113,0;",1
133,5502,,竞技场疾风丹,"4115,0",1
134,5503,,竞技场烈炎弹,"4116,0;",1
135,5504,,竞技场迷风酒,"4117,0;",1
136,5505,,竞技场驱毒水,"4118,0;",1
137,5506,,竞技场醒神丹,"4119,0;",1
138,5507,,竞技场自由行动药,"4120,0;",1
139,5508,,竞技场火防药剂,"4121,0;",1
140,5509,,竞技场清身符咒,"4122,0;",1
141,5510,,竞技场铁壁丹,"4123,0;",1
142,5511,,小怪血瓶炸弹晕弹,"4114,0;4114,0;4116,0;4117,0;",
143,5512,,12%,"4114,0;4115,0;4137,0;",1
144,5513,,8%,"4116,0;4117,0;4138,0;4139,0;4140,0;4133,0;",1
145,5514,,5%,"4118,0;4119,0;4120,0;4122,0;4131,0;4146,0;4147,0;4148,0;4149,0;",1
146,5515,,3%,"4132,0;4134,0;4111,0;4135,0;4136,0;4143,0;4144,0;4145,0;4150,0;4151,0;4152,0;4153,0;4154,0;",1
147,5516,,1%光环,"4155,0;4156,0;",1
,,,,,
148,5600,,30-40道具包,"79,0;106,0;133,0;577,0;8,0;28,0;48,0;554,0;632,0;655,0;88,0;115,0;142,0;586,0;664,0;97,0;124,0;151,0;595,0;673,0;261,0;270,0;279,0;604,0;682,0;288,0;297,0;306,0;613,0;691,0;315,0;324,0;333,0;622,0;700,0;241,0;251,0;18,0;38,0;58,0;564,0;642,0;",0.5
149,5601,,40-50道具包,"80,0;107,0;134,0;578,0;656,0;89,0;116,0;143,0;587,0;665,0;9,0;29,0;49,0;555,0;633,0;98,0;125,0;152,0;596,0;674,0;262,0;271,0;280,0;605,0;683,0;289,0;298,0;307,0;614,0;692,0;19,0;39,0;59,0;565,0;643,0;316,0;325,0;334,0;623,0;701,0;242,0;252,0;",0.5
150,5602,,50-60道具包,"243,0;290,0;299,0;308,0;615,0;693,0;99,0;126,0;153,0;597,0;675,0;81,0;108,0;135,0;579,0;657,0;10,0;30,0;50,0;556,0;634,0;253,0;317,0;326,0;335,0;624,0;702,0;263,0;272,0;281,0;606,0;684,0;90,0;117,0;144,0;588,0;666,0;20,0;40,0;60,0;566,0;644,0;",0.5
151,5610,,60级套装护腕,"843,0;849,0;855,0;861,0;867,0;",0.5
152,5611,,60级套装护膝,"844,0;850,0;856,0;862,0;868,0;",0.5
153,5612,,60级套装护膝,"845,0;851,0;857,0;863,0;869,0;",0.5
154,5613,,象魔弟子锦囊,"4188,0;",1
155,5614,,湿婆的腰包,"4189,0;",1
156,5615,,屠妖圣卷,"4191,0;",1
157,5616,,暗黑号召令：魔人降世,"4192,0;",1
158,5617,,暗黑紧急令：湿婆魔象,"4193,0;",1
159,5618,,奖赏任务物品,"4424,0;4372,0;4379,0;4392,0;4404,0;",1
160,5619,,魔精,"4402,0;",1
161,5620,,61怪物掉落,"81,0;108,0;135,0;579,0;657,0;",1
162,5621,,62怪物掉落,"264,0;273,0;282,0;607,0;685,0;",1
163,5622,,63怪物掉落,"91,0;118,0;145,0;589,0;667,0;",1
164,5623,,64怪物掉落,"291,0;300,0;309,0;616,0;694,0;",1
165,5624,,65怪物掉落,"100,0;127,0;154,0;598,0;676,0;",1
166,5625,,回音石,"4380,0;4381,0;4382,0;4383,0;4384,0;",1
167,5626,,5级辅助法宝,"64,0;71,0;72,0;648,0;570,0;",0.8
168,5627,,10级辅助法宝,"65,0;75,0;73,0;649,0;571,0;",0.8
169,5628,,台湾端午节任务材料,"4547,0;4548,0;4549,0;4550,0",0.8
170,5629,70,70级的武器,"11,0;31,0;61,0;557,0;635,0;",0.8
171,5630,70,70级的武器,"21,0;41,0;51,0;567,0;645,0;",0.8
172,5631,,66级怪掉落,"318,0;327,0;336,0;625,0;703,0",0.8
173,5632,,67级怪掉落,"244,0;",0.8
174,5633,,68级怪掉落,"82,0;109,0;136,0;580,0;658,0",0.8
175,5634,,69级怪掉落,"254,0;",0.8
176,5635,,70级怪掉落(1),"11,0;31,0;61,0;557,0;635,0;",0.8
177,5636,,70级怪掉落(2),"21,0;41,0;51,0;567,0;645,0;",0.8
178,5637,,60-65护腕,"264,0;273,0;282,0;607,0;685,0;",0.8
179,5638,,60-65护护膝,"291,0;300,0;309,0;616,0;694,0;",0.8
180,5639,,60级套装衣服,"840,0;846,0;852,0;858,0;864,0;",0.8
181,5640,,60级套装鞋子,"842,0;848,0;854,0;860,0;866,0;",0.8
182,5641,,60级套装护手,"841,0;847,0;853,0;859,0;865,0;",0.8
183,5648,,文蛛洞碎片,"5641,0",0.5
184,5649,,幽暗密林钥匙1,"5137,0",0.5
185,5650,,幽暗密林钥匙2,"5138,0",0.5
,,,,,
,,,,,
,,,,,
,12000,,"55副本 【七星台】 罗文林","99,0;126,0;153,0;597,0;675,0;317,0;326,0;335,0;624,0;702,0;243,0;253,0",
,12001,,"55副本 【七星台】 山人姚开江","90,0;117,0;144,0;588,0;666,0;290,0;299,0;308,0;615,0;693,0;243,0;253,0",
,12002,,"55副本 【七星台】 追魂太岁","81,0;108,0;135,0;579,0;657,0;243,0;253,0",
,12003,,"55副本 【七星台】 火蝙蝠","10,0;30,0;60,0;556,0;634,0;263,0;272,0;281,0;606,0;684,0;243,0;253,0",
,12004,,"55副本 【七星台】 郭云噗","10,0;30,0;60,0;556,0;634,0;20,0;40,0;50,0;566,0;644,0;253,0;264,0;273,0;282,0;607,0;685,0;",
,12005,,60级召唤银英掉落（6阶武器，副法宝）,"9,0;29,0;49,0;555,0;633,0;19,0;39,0;59,0;565,0;643,0;67,0;68,0;74,0;572,0;650,0;66,0;69,0;75,0;573,0;651,0;65,0;71,0;72,0;571,0;649,0;64,0;70,0;73,0;570,0;648,0;242,0;243,0;252,0;253,0;",
,12006,,60级召唤银英掉落（紫装）,"843,0;849,0;855,0;861,0;867,0;844,0;850,0;856,0;862,0;868,0;845,0;851,0;857,0;863,0;869,0;840,0;846,0;852,0;858,0;864,0;842,0;848,0;854,0;860,0;866,0;841,0;847,0;853,0;859,0;865,0;",
,12007,,60级召唤银英掉落（道具包）,"1004,0;4286,0;3463,0;4724,0;3710,0;3448,0;3986,0;1005,0;3459,0;3461,0;4796,0;5697,3;5698,3;3987,0;1026,0;3922,0;4176,0;5699,0;5700,0;5701,0;5703,0;5721,0;5722,0;4313,3;3484,3;5656,0;1027,0;5967,0;3956,0;1250,0;5969,0;5970,0;5971,0;5972,0;5973,0;5974,0;5975,0;5506,0;6048,0;6049,0;6050,0;6051,0;",
,12008,,60级银英掉落(凤凰包),"4694,3;4695,3",
,12009,,"30副本 【幽暗密林】 牙一族队长","261,0;270,0;279,0;604,0;682,0",
,12010,,"30副本 【幽暗密林】 牙一族祭祀","88,0;115,0;142,0;586,0;664,0",
,12011,,"30副本 【幽暗密林】 金牙族长","288,0;297,0;306,0;613,0;691,0",
,12012,,"35副本 【玄石之界】枯骨魔","97,0;124,0;151,0;595,0;673,0;315,0;324,0;333,0;622,0;700,0",
,12013,,"35副本 【玄石之界】白骨神君","79,0;106,0;133,0;577,0;655,0;315,0;324,0;333,0;622,0;700,0",
,12014,,"（大陆版）35副本 【红花洞】 冰镜仙子","288,0;297,0;306,0;613,0;691,0;65,0;75,0;73,0;649,0;571,0;251,0;",
,12015,,"（大陆版）35副本 【红花洞】 食人妖花","8,0;28,0;58,0;554,0;632,0;18,0;38,0;48,0;564,0;642,0;79,0;106,0;133,0;577,0;655,0;65,0;71,0;72,0;571,0;649,0;",
,12016,,"（大陆版）35副本 【红花洞】 天残老人","8,0;28,0;58,0;554,0;632,0;18,0;38,0;48,0;564,0;642,0;97,0;124,0;151,0;595,0;673,0;251,0;66,0;69,0;75,0;573,0;651,0;",
,12017,,"（大陆版）35副本 【红花洞】 毒龙神将","8,0;28,0;58,0;554,0;632,0;18,0;38,0;48,0;564,0;642,0;241,0;251,0;64,0;70,0;73,0;570,0;648,0;67,0;68,0;74,0;572,0;650,0;",
,12018,,"（大陆版）25副本 【黑风寨】 肖轩","314,0;323,0;332,0;621,0;699,0;240,0;88,0;115,0;142,0;586,0;664,0;",
,12019,,"（大陆版）25副本 【黑风寨】李源","96,0;123,0;150,0;594,0;672,0;287,0;296,0;305,0;612,0;690,0;288,0;297,0;306,0;613,0;691,0;",
,12020,,"（大陆版）25副本 【黑风寨】 绿袍老祖","250,0;97,0;124,0;151,0;595,0;673,0;",
,12021,,"（大陆版）25副本 【黑风寨】 晓月禅师","7,0;27,0;57,0;553,0;631,0;17,0;37,0;47,0;563,0;641,0;315,0;324,0;333,0;622,0;700,0;",
,12022,,"（大陆版）65副本 【阴风洞】辛辰子","81,0;108,0;135,0;579,0;657,0;100,0;127,0;154,0;598,0;676,0;244,0;253,0",
,12023,,"（大陆版）65副本 【阴风洞】烈霸多","318,0;327,0;336,0;625,0;703,0;100,0;127,0;154,0;598,0;676,0",
,12024,,"（大陆版）65副本 【阴风洞】唐石","82,0;109,0;136,0;580,0;658,0;244,0;254,0",
,12025,,"（大陆版）65副本 【阴风洞】绿袍老祖二阶元神","11,0;31,0;61,0;557,0;635,0;21,0;41,0;51,0;567,0;645,0",
,12026,,（大陆版）小年兽（经验包）,"5640,2",
,12027,,（大陆版）小年兽（商城道具包）,"4723,0;3464,0;3942,0;5728,2;3985,0;4796,0;6000,0;5968,0;6001,0;3709,0;3448,0;383,0;5515,0;5513,0;1160,0",
,12028,,（大陆版）小年兽（月兔包）,"6157,0;",
,,,,,
,12031,,,"11,0;21,0;31,0;41,0;51,0;61,0;557,0;567,0;635,0;645,0;82,0;109,0;136,0;580,0;658,0;254,0;",
,12032,,,"265,0;274,0;284,0;608,0;686,0;292,0;301,0;310,0;617,0;695,0;92,0;119,0;146,0;146,0;590,0;668,0;",
,12033,,,"292,0;301,0;310,0;617,0;695,0;101,0;128,0;155,0;599,0;667,0;319,0;328,0;337,0;626,0;704,0;",
,12034,,,"319,0;328,0;337,0;626,0;704,0;245,0;101,0;128,0;155,0;599,0;667,0;",
,12035,,,"255,0;245,0;83,0;110,0;137,0;581,0;659,0;319,0;328,0;337,0;626,0;704,0;",
,12036,,,"12,0;22,0;32,0;42,0;52,0;62,0;558,0;568,0;636,0;646,0;255,0;83,0;110,0;137,0;581,0;659,0;",
,12037,,,"83,0;110,0;137,0;581,0;659,0;319,0;328,0;337,0;626,0;704,0",
,12038,,,"101,0;128,0;155,0;599,0;677,0;319,0;328,0;337,0;626,0;704,0",
,,,,,
,,,,,
,5651,,元气之树,"5980,0;",
,5652,,般罗蔓陀花内丹,"6010,0;",
,5653,,雅鲁藏双头蛟内丹,"6011,0;",
