,,,,,,,,,,,
,等级,人物经验,人物金钱,下一级所需灵力,下一级所需金钱,单只怪物经验,升级所需怪物数,预计时间(小时),总时间(小时),每级金钱,灵力上限
89,89,705720000,"6060000 ",50,"198 ",500,"121200 ","1010.0 ","28255 ","6060000 ","12501000 "
90,90,805720000,"6260000 ",50,"200 ",505,"123960 ","1033.0 ","29288 ","6321980 ","12501000 "
91,91,1605720000,"6460000 ",50,"202 ",510,"126667 ","1055.6 ","30344 ","6460000 ","12501000 "
92,92,3705720000,"6660000 ",50,"204 ",515,"129320 ","1077.7 ","31421 ","6724660 ","12501000 "
93,93,999999999999,"6860000 ",50,"206 ",520,"131923 ","1099.4 ","32521 ","6860000 ","12501000 "
94,94,999999999999,"7060000 ",50,"208 ",525,"134476 ","1120.6 ","33641 ","7127238 ","12501000 "
95,95,999999999999,"7260000 ",50,"210 ",530,"136981 ","1141.5 ","34783 ","7260000 ","12501000 "
96,96,999999999999,"7460000 ",50,"212 ",535,"139439 ","1162.0 ","35945 ","7529720 ","12501000 "
97,97,999999999999,"7660000 ",50,"214 ",540,"141852 ","1182.1 ","37127 ","7660000 ","12501000 "
98,98,999999999999,"7860000 ",50,"216 ",545,"144220 ","1201.8 ","38329 ","7932110 ","12501000 "
99,99,999999999999,"7860000 ",50,"218 ",550,"142909 ","1190.9 ","39520 ","7860000 ","12501000 "
