question,option1,option2,option3,option4,answer
小仙宠等级提高后，可以给玩家带来很多好处，下列哪个说法不正确？,可以主人增加防御,可以自动拾取道具,造房子,可以增加主人血量上线,3
仙禽职业的妖兽宝宝死亡后，玩家可以使用辅助法宝万兽铃上的哪个技能复活？,深情的呼唤,自动复活,使用技能生灵复苏,我不知道,3
仙禽职业的捕兽铃不小心被摧毁了，此时该怎么办？,找铁匠买一个,问问其他人,去捡一个,我不知道,1
系统附送的小白虎、小仙宠等道具，都可以从各处的驿站邮件管理员领取吗？,是,不是,稍后再答,我不知道,1
玩家装备签名后，可以提高50点血上限，可以去哪个NPC处免费签名？,铁匠,药师,驿站邮件管理员,装备签名师伏虎,4
按键盘上哪个键，可以查看当前游戏地图？,C键,I键,M键,L键,3
通过修炼法宝提升法宝的修炼等级后，除了提升攻击力，还可以获得哪个好处？,法宝可以使用新的技能,修炼法宝没用,问问别人,我不知道,1
角色刚进入游戏后，在多少时间内不能进行交易、摆摊、锻造等操作？,1分钟,10分钟, 60分钟,2小时,2
修炼法宝将会消耗大量灵力，如何将已消耗灵力转移到新法宝上？,融合法宝,摧毁法宝,出售法宝,我不知道,1
剑仙台发布的帮会任务完成了为什么不能交？,当日个人贡献度限额已到,一直可以交,我不知道,只要完成就可以交,1
角色10级以后每在线4分钟加1点元神力，通过闭关可以获得大量经验、灵力，闭关1小时消耗多少元神力？(提示：可以尝试按键看看),1点,20点,80点,100点,2
徒弟每级向师傅汇报等级可以增加多少经验？,5%,1%,30%,50%,1
频繁被其他玩家交易骚扰时，可以按键盘左上方ESC键后，找到界面设置，选中高级选项里的哪项可以最小化交易提示框？,勾选最小化交易提示框,勾选最小化组队提示框,勾选最小化好友提示框,勾选显示战斗信息,1
如果你鼠标右击某位玩家，在下拉框中将他加入屏蔽列表后，他就无法对你进行密语、组队等操作吗？,是,不是,稍后再答,我不知道,1
签名绑定后的装备，可以在装备签名师伏虎处取消签名，需要等待多少小时后生效？,1分钟,48小时,3分钟,5分钟,2
有时候，明明NPC头顶上有感叹号，却接不了任务，可能是因为每个角色任务列表(T)中的任务满15个了是吗？,是,不是,稍后再答,我不知道,1
签名绑定后的装备无法转移(可以解除签名后转移物品)，签名绑定后会增加10点体质，签名是免费的吗？,是,不是,稍后再答,我不知道,1
当人物到达30级后，可以去找成都帮会领地守门人附近的NPC逍遥子，领取价值172元的大礼包，每个玩家可以领取几次？,1次,50次,100次,我不知道,1
