WORD,string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WORD,,,,,,,,,,,,,,,,,,,,,,list,,list,DWORD,,,,,,int,DWORD,string,int,BYTE,WORD,int,int,char[20],char[20],char[20],char[20],int,int,action,action,action,action,int,int,int,int,int,float,,int,,action,action,action,action,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,修罗,,,1,3,1,1,99,90,,100,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,25000,,3000,,,,90,,,,,,,,,ItemGetWeaponDPS*1.1,,,,,,,,,401;402;405;403;404,1430,431;432;435;433;434;436;437;438,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwfa0822,iwfa08,iwfa08_01,iwfa08_02,,,,,,,,,,,,,,,,,,,1,
34,碎玉,,,1,4,1,1,10,1,,10,,,,,,,,,1,1,0,1,,,1,1,1,,,,,,,,,100,,3000,,,,5,,,,,,,,,ItemGetWeaponDPS*1.08,ItemGetParry,,,,,,,,411;414;412;413;415,,461;464;462;463;465;466;467;468,55,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwfb01,iwfb01,iwfb01,iwfb01,,,,,,,,,,,,,,,,,,,1,
35,裂天,,,1,4,1,1,20,10,,20,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,500,,3000,,,,15,,,,,,,,,ItemGetWeaponDPS*1.08,ItemGetParry,,,,,,,,411;414;412;413;415,,461;464;462;463;465;466;467;468,55,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwfb02,iwfb02,iwfb02_01,iwfb02_01,,,,,,,,,,,,,,,,,,,1,
36,降龙,,,1,4,1,1,30,20,,30,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,1000,,3000,,,,25,,,,,,,,,ItemGetWeaponDPS*1.08,ItemGetParry,,,,,,,,411;414;412;413;415,,461;464;462;463;465;466;467;468,55,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwfb03,iwfb03,iwfb03_01,iwfb03_01,,,,,,,,,,,,,,,,,,,1,
37,伏虎,,,1,4,1,1,40,30,,40,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,3000,,3000,,,,35,,,,,,,,,ItemGetWeaponDPS*1.08,ItemGetParry,,,,,,,,411;414;412;413;415,,461;464;462;463;465;466;467;468,55,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwfb04,iwfb04,iwfb04_01,iwfb04_02,,,,,,,,,,,,,,,,,,,1,
38,金刚,,,1,4,1,1,50,40,,50,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,5000,,3000,,,,45,,,,,,,,,ItemGetWeaponDPS*1.08,ItemGetParry,,,,,,,,411;414;412;413;415,,461;464;462;463;465;466;467;468,55,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwfb05,iwfb05,iwfb05_01,iwfb05_02,,,,,,,,,,,,,,,,,,,1,
39,伏魔,,,1,4,1,1,60,50,,60,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,8000,,3000,,,,55,,,,,,,,,ItemGetWeaponDPS*1.08,ItemGetParry,,,,,,,,411;414;412;413;415,,461;464;462;463;465;466;467;468,55,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwfb06,iwfb06,iwfb06_01,iwfb06_02,,,,,,,,,,,,,,,,,,,1,
40,梵天,,,1,4,1,1,70,60,,70,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,12000,,3000,,,,65,,,,,,,,,ItemGetWeaponDPS*1.08,ItemGetParry,,,,,,,,411;414;412;413;415,,461;464;462;463;465;466;467;468,55,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwfb07,iwfb07,iwfb07_01,iwfb07_02,,,,,,,,,,,,,,,,,,,1,
41,韦驮,,,1,4,1,1,80,70,,80,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,15000,,3000,,,,75,,,,,,,,,ItemGetWeaponDPS*1.08,ItemGetParry,,,,,,,,411;414;412;413;415,1429,461;464;462;463;465;466;467;468,55,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwfb08,iwfb08,iwfb08_01,iwfb08_02,,,,,,,,,,,,,,,,,,,1,
42,菩提,,,1,4,1,1,90,80,,90,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,20000,,3000,,,,85,,,,,,,,,ItemGetWeaponDPS*1.08,ItemGetParry,,,,,,,,411;414;412;413;415,1429,461;464;462;463;465;466;467;468,55,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwfb09,iwfb09,iwfb09_01,iwfb09_02,,,,,,,,,,,,,,,,,,,1,
43,寂灭,,,1,4,1,1,99,90,,100,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,25000,,3000,,,,95,,,,,,,,,ItemGetWeaponDPS*1.08,ItemGetParry,,,,,,,,411;414;412;413;415,1429,461;464;462;463;465;466;467;468,55,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwfb0822,iwfb08,iwfb08_01,iwfb08_02,,,,,,,,,,,,,,,,,,,1,
44,如意金轮,,,1,5,3,1,10,1,,10,,,,,,,,,1,1,0,1,,,1,1,1,,,,,,,,,100,,3000,,,,1,,,,,,,,,ItemGetWeaponDPS,,,,,,,,,302;303;301;304,,322;323;321;324;325;326;327,56,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwba01,iwba01;iwba01,iwba01;iwba01,iwba01;iwba01,,,,,,,1,,,,,,,,,,,,1,
45,九宫仙轮,,,1,5,3,1,20,10,,20,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,500,,3000,,,,10,,,,,,,,,ItemGetWeaponDPS,,,,,,,,,302;303;301;304,,322;323;321;324;325;326;327,56,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwba02,iwba02;iwba02,iwba02_01;iwba02_01,iwba02_01;iwba02_01,,,,,,,1,,,,,,,,,,,,1,
46,昊天明轮,,,1,5,3,1,30,20,,30,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,1000,,3000,,,,20,,,,,,,,,ItemGetWeaponDPS,,,,,,,,,302;303;301;304,,322;323;321;324;325;326;327,56,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwba03,iwba03;iwba03,iwba03_01;iwba03_01,iwba03_01;iwba03_01,,,,,,,1,,,,,,,,,,,,1,
47,天遁宝轮,,,1,5,3,1,40,30,,40,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,3000,,3000,,,,30,,,,,,,,,ItemGetWeaponDPS,,,,,,,,,302;303;301;304,,322;323;321;324;325;326;327,56,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwba04,iwba04;iwba04,iwba04_01;iwba04_01,iwba04_02;iwba04_02,,,,,,,1,,,,,,,,,,,,1,
48,迦叶金光轮,,,1,5,3,1,50,40,,50,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,5000,,3000,,,,40,,,,,,,,,ItemGetWeaponDPS,,,,,,,,,302;303;301;304,,322;323;321;324;325;326;327,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwba05,iwba05;iwba05,iwba05_01;iwba05_01,iwba05_02;iwba05_02,,,,,,,1,,,,,,,,,,,,1,
49,三才青宁轮,,,1,5,3,1,60,50,,60,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,8000,,3000,,,,50,,,,,,,,,ItemGetWeaponDPS,,,,,,,,,302;303;301;304,,322;323;321;324;325;326;327,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwba06,iwba06;iwba06,iwba06_01;iwba06_01,iwba06_02;iwba06_02,,,,,,,1,,,,,,,,,,,,1,
50,伏魔雷音轮,,,1,5,3,1,70,60,,70,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,12000,,3000,,,,60,,,,,,,,,ItemGetWeaponDPS,,,,,,,,,302;303;301;304,,322;323;321;324;325;326;327,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwba07,iwba07;iwba07,iwba07_01;iwba07_01,iwba07_02;iwba07_02,,,,,,,1,,,,,,,,,,,,1,
51,法华金刚轮,,,1,5,3,1,80,70,,80,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,15000,,3000,,,,70,,,,,,,,,ItemGetWeaponDPS,,,,,,,,,302;303;301;304,1431,322;323;321;324;325;326;327,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwba08,iwba08;iwba08,iwba08_01;iwba08_01,iwba08_02;iwba08_02,,,,,,,1,,,,,,,,,,,,1,
