ae,string,string,string,marea,mpos,int
17,$L:sn001_mangcangshan$,,mangcangshan/,"511 -624 765 -254;
764 -657 1098 -254;
1098 -658 1514 -255;
511 -751 880 -623;
880 -768 1261 -657;
1261 -768 1514 -658;","846 -597 5;",0
18,$L:sn001_jingjilin$,,daijiachang1/,"1513 -512 2006 -254;","1545 -358 6;",0
19,$L:sn001_changshazhen$,,daijiachang2/,"2005 -520 2307 -254;
2044 -768 2281 -520;","2152 -576 8;",0
20,$L:sn001_daijiachang$,,daijiachang3/,"2281 -768 2607 -520;
2306 -521 2607 -472;
2606 -765 2673 -502;
2672 -769 2765 -496;
2762 -767 2807 -495;","2460 -625 9;",0
21,$L:sn001_qingshuiba$,,daijiachang4/,"2671 -407 2818 -375;
2725 -453 2817 -406;
2750 -496 2816 -452;
2812 -496 3076 -251;
2807 -769 3073 -496;
2554 -207 2821 8;
2682 -255 2818 -207;
2651 -376 2813 -278;
2727 -280 2821 -255;","2764 -377 8;",0
22,$L:sn001_lvsun$,,daijiachang5/,"2306 -472 2652 -254;
2652 -482 2672 -376;
2670 -497 2726 -407;
2660 -501 2673 -481;
2725 -496 2739 -472;
2556 -255 2683 -205;
2650 -278 2728 -253;","2566 -316 8;",0
25,$L:sn001_chujjc$,,chujjc/,"2541 2292 2837 2578;","2638 2496 6;
2774 2427 11;
2618 2352 2;",0
26,$L:sn001_gaojjc$,,gaojjc/,"2027 2293 2335 2571;","2118 2485 6;
2240 2432 12;
2125 2378 2;",0
27,$L:sn001_baoxuejingji$,,baoxuejingji/,"1279 2304 1536 2560;","1407 2343 0;",0
28,$L:sn001_gaojjc$,,gaojjc2/,"2048 2304 2302 2559;","",2
29,$L:sn001_chujjc$,,chujjc2/,"2560 2303 2817 2559;","",2
30,$L:sn001_lijiangcun$,,lijiangcun/,"-769 -514 -602 -256;
-1025 -512 -768 1;
-603 -518 -512 -466;","-701 -472 1;",0
31,$L:sn001_yixingcaizhu$,,yixingcaizhu/,"90 359 537 556;
-273 579 -70 762;
-276 253 0 581;
-83 29 279 239;
45 272 233 359;
289 268 535 349;
289 -1 551 218;
-261 -260 2 15;
16 -251 777 -11;
-236 -1145 319 -787;
317 -1145 510 -787;
-242 -1366 269 -1148;
261 -1341 471 -1142;
-251 -1729 296 -1367;","",2
32,$L:sn001_erxingcaizhu$,,erxingcaizhu/,"-1309 -1133 -763 -743;
-1317 -1521 -760 -1130;
-1295 -1918 -772 -1520;
-1289 -2052 -769 -1917;
-768 -619 -220 -252;
-223 -619 -43 -256;
-769 -769 -258 -618;
-763 -1104 -508 -768;
-764 -1242 -510 -1103;
-511 -1457 -269 -1100;
-508 -1095 -266 -781;","",2
33,$L:sn001_sanxingcaizhu$,,sanxingcaizhu/,"508 -626 1104 -253;
1101 -659 1526 -250;
1549 -525 2036 -244;
2055 -529 2551 -240;
2038 -776 2605 -522;
2602 -778 3091 -494;
2544 -257 2820 36;
2555 -501 3100 -249;","",2
35,$L:sn001_yixingcaizhu$,,yixingcaizhu2/,"90 359 537 556;
-273 579 -70 762;
-276 253 0 581;
-83 29 279 239;
45 272 233 359;
289 268 535 349;
289 -1 551 218;
-261 -260 2 15;
16 -251 777 -11;
-236 -1145 319 -787;
317 -1145 510 -787;
-242 -1366 269 -1148;
261 -1341 471 -1142;
-251 -1729 296 -1367;","",2
36,$L:sn001_erxingcaizhu$,,erxingcaizhu2/,"-1309 -1133 -763 -743;
-1317 -1521 -760 -1130;
-1295 -1918 -772 -1520;
-1289 -2052 -769 -1917;
-768 -619 -220 -252;
-223 -619 -43 -256;
-769 -769 -258 -618;
-763 -1104 -508 -768;
-764 -1242 -510 -1103;
-511 -1457 -269 -1100;
-508 -1095 -266 -781;","",2
37,$L:sn001_sanxingcaizhu$,,sanxingcaizhu2/,"508 -626 1104 -253;
1101 -659 1526 -250;
1549 -525 2036 -244;
2055 -529 2551 -240;
2038 -776 2605 -522;
2602 -778 3091 -494;
2544 -257 2820 36;
2555 -501 3100 -249;","",2
43,$L:sn001_jingshiyuyingdi$,,jingshiyuyingdi/,"-1280 -256 -1024 0;
-1527 -256 -1280 -35;
-1392 -35 -1280 3;","-1152 -44 10;",0
44,$L:sn001_feileiling$,,feileiling/,"-1527 3 -1280 256;
-1527 -35 -1392 3;
-1792 -256 -1527 256;","-1438 -11 3;",0
40,$L:sn001_chunjie$,,chunjie/,"40 -671 451 -367;
317 1074 485 1300;
89 501 218 564;","",2
41,$L:sn001_baoxue2$,,baoxue2/,"1299 2319 1519 2544;","",2
42,$L:sn001_yuenanxinshou$,,yuenanxinshou/,"","",2
