ae,int,int,string,string,marea,"comb(id:int,density[%]:int)",npc,string,string,string
44,44,1,random,$L:npc_assign_44$,"-242 -1595 -189 -1569;
-215 -1669 -188 -1640;
-168 -1630 -108 -1574;
-167 -1667 -131 -1644;
-199 -1608 -169 -1598;
-187 -1669 -169 -1655;
-247 -1664 -224 -1638;","76,8;","",,,
45,45,1,random,$L:npc_assign_45$,"176 -1709 204 -1675;
152 -1760 221 -1711;
124 -1708 149 -1696;
157 -1785 178 -1764;","118,8;","",,,
46,46,1,random,,"-58 -1698 -14 -1666;
-66 -1741 -32 -1719;
-26 -1754 2 -1732;
-110 -1700 -63 -1659;
-188 -1720 -138 -1692;
-187 -1755 -119 -1726;","119,8;","",,,
47,47,1,random,,"99 -1457 144 -1367;
134 -1367 147 -1355;
144 -1408 201 -1368;
51 -1373 98 -1359;","346,5;","",,,
48,48,1,random,,"62 -1587 79 -1562;
89 -1503 122 -1475;
123 -1512 131 -1481;
135 -1525 159 -1508;
52 -1530 122 -1506;
93 -1574 123 -1531;
152 -1562 165 -1529;
139 -1585 157 -1571;
72 -1553 90 -1542;
63 -1506 88 -1487;","61,7;","",,,
49,49,1,random,,"97 -1691 165 -1661;
148 -1661 161 -1607;
163 -1660 176 -1637;
171 -1620 201 -1571;
183 -1672 199 -1623;
109 -1660 146 -1593;","62,8;","",,,
50,50,1,random,,"-165 -1537 -129 -1507;
-164 -1572 -120 -1541;
-117 -1572 -104 -1548;
-84 -1494 -55 -1440;
-55 -1500 -41 -1451;
-130 -1496 -86 -1471;
-126 -1507 -107 -1497;
-118 -1526 -106 -1508;","60,7;","",,,
51,51,1,random,,"-157 -1470 -143 -1418;
-141 -1460 -91 -1416;
-141 -1482 -131 -1463;
-123 -1383 -94 -1363;
-216 -1424 -167 -1386;
-169 -1385 -125 -1376;
-137 -1415 -83 -1392;
-167 -1417 -137 -1387;","63,7;","",,,
52,52,1,random,$L:npc_assign_52$,"","186,7;","",,,
53,53,1,random,$L:npc_assign_52$,"","188,6;","",,,
55,55,1,random,$L:npc_assign_55$,"","189,7;","",,,
56,56,1,random,$L:npc_assign_56$,"","191,10;","",,,
57,57,1,random,,"","192,8;","",,,
58,58,1,random,,"","193,6;","",,,
59,59,1,random,$L:npc_assign_59$,"","101,20;","",,,
60,60,1,random,$L:npc_assign_60$,"110 665 138 678;
153 666 175 679;
179 667 204 680;
161 655 188 665;
84 665 109 679;
85 654 109 664;
110 653 137 664;
97 643 111 652;
113 638 144 652;
302 688 319 700;
282 688 301 701;
260 689 280 701;
345 692 368 705;
344 678 366 690;
264 674 284 687;
287 673 312 687;
335 666 356 678;
280 657 307 670;
-20 659 -5 674;
0 669 14 681;
33 672 53 686;
37 653 58 669;
-11 642 3 655;
5 635 23 653;
15 656 22 667;","202,8;","",,,
61,61,1,random,$L:npc_assign_61$,"385 611 407 632;
410 608 434 632;
368 581 384 600;
387 586 407 608;
411 583 434 606;
393 562 413 581;
369 554 390 578;","203,10;","",,,
62,62,1,random,,"270 449 286 465;
348 442 369 461;
289 438 306 458;
311 437 341 455;
344 415 361 437;
288 421 307 436;
310 417 340 435;
296 398 313 413;
288 385 306 395;
347 387 365 411;
315 399 342 412;
312 384 344 396;
297 477 304 485;
313 471 327 477;","219,10;","",,,
63,63,1,random,$L:npc_assign_63$,"388 449 401 466;
387 484 405 497;
411 494 427 507;
405 449 418 466;
423 474 444 482;
433 500 446 515;
446 454 457 468;
448 438 466 450;","226,15;","",,,
64,64,1,random,,"434 406 457 420;
401 391 428 406;
474 412 489 425;
435 389 459 404;
402 375 428 387;
405 353 424 367;
432 375 447 387;
470 373 488 393;","228,11;","",,,
65,65,1,random,,"427 355 448 369;
460 355 480 369;
409 331 447 350;
455 331 478 347;
388 290 408 316;
414 291 435 324;
439 290 462 322;
464 302 484 327;","221,10;","",,,
66,66,1,random,$L:npc_assign_66$,"168 471 199 491;
171 445 211 464;
174 417 229 439;
179 393 238 411;
159 372 173 383;
190 379 225 390;
134 462 146 481;
118 442 151 456;
111 407 153 430;
83 400 109 421;
112 390 143 404;
90 382 109 395;","222,10;","",,,
67,67,1,random,$L:npc_assign_67$,"92 358 120 373;
71 340 97 356;
76 324 88 335;
46 317 56 328;
52 297 87 312;
57 273 91 291;
128 337 143 349;
112 320 136 335;
104 303 133 318;
108 273 132 295;
191 347 241 364;
171 333 187 350;
153 306 177 325;
200 318 238 336;
184 305 198 322;
155 279 176 299;
208 302 234 316;
223 281 233 296;
200 289 222 300;
182 278 197 299;
203 275 220 286;","223,10;","",,,
68,68,1,random,,"13 510 25 524;
29 493 51 510;
14 490 26 507;
-13 495 -2 506;
1 485 12 499;
-25 479 -6 489;
-48 442 -31 462;
-27 455 -7 466;
17 477 29 486;
44 453 58 466;
17 426 28 437;
46 427 55 438;
31 419 44 428;
12 415 28 425;
33 401 51 415;
-33 416 -11 427;
-30 398 -14 410;
-9 437 0 452;","216,13;","",,,
69,69,1,random,,"-69 365 -49 376;
-82 361 -71 371;
-69 353 -50 364;
-86 349 -71 359;
-88 337 -70 347;
-67 338 -56 351;
-89 321 -68 333;
-34 333 -18 346;
-16 321 -4 339;
-18 303 -1 320;
-35 290 -20 309;
-49 318 -37 335;
-66 304 -40 317;
-73 288 -60 301;","217,12;","",,,
70,70,1,random,,"-148 426 -126 440;
-124 452 -108 469;
-121 423 -103 441;
-140 399 -117 418;
-167 369 -130 394;
-181 400 -147 424;
-193 380 -169 396;
-219 403 -183 437;
-205 441 -178 460;
-173 429 -152 448;","218,12;","",,,
71,71,1,random,,"","230,15;","",,,
72,72,1,random,,"313 144 329 157;
219 142 247 154;
210 112 231 133;
213 61 245 102;
189 92 205 115;
311 189 336 208;
339 180 360 203;
311 159 332 176;
298 117 318 142;
288 172 309 188;","235,10;","",,,
73,73,1,random,,"50 -111 93 -73;","236,8;","",,,
74,74,1,random,,"398 -654 476 -612;","241,8;","",,,
75,75,1,random,,"","245,8;","",,,
76,76,1,random,,"","246,12;","",,,
77,77,1,random,,"","255,10;","",,,
78,78,1,random,,"-914 -1128 -894 -1105;
-907 -1159 -875 -1138;
-862 -1127 -835 -1112;
-838 -1108 -809 -1094;
-824 -1166 -818 -1142;
-833 -1190 -821 -1167;
-883 -1222 -834 -1193;","292,6;293,6;","",,,
79,79,1,random,,"-992 -1178 -928 -1113;","294,7;","",,,
80,80,1,random,,"-920 -992 -867 -945;
-930 -1014 -900 -981;
-922 -1036 -899 -1015;","295,7;","",,,
81,81,1,random,,"-1004 -974 -939 -943;
-1006 -1042 -946 -984;","296,7;","",,,
82,82,1,random,,"-1003 -877 -933 -787;
-932 -818 -897 -788;","300,7;","",,,
83,83,1,random,,"-881 -910 -806 -835;
-885 -835 -858 -805;","299,7;","",,,
84,84,1,random,,"-1066 -897 -1031 -870;
-1049 -915 -1024 -902;
-1027 -897 -1005 -875;
-1016 -924 -989 -906;
-1132 -878 -1078 -865;
-1121 -855 -1089 -825;
-1165 -927 -1111 -897;","301,7;","",,,
85,85,1,random,,"-1261 -835 -1209 -790;
-1248 -860 -1151 -839;
-1204 -836 -1140 -807;
-1182 -911 -1159 -884;","305,7;","",,,
86,86,1,random,,"-1267 -1021 -1200 -955;
-1200 -1021 -1185 -973;
-1268 -955 -1209 -939;","308,7;","",,,
87,87,1,random,,"-1221 -1221 -1201 -1106;
-1184 -1089 -1156 -1067;
-1204 -1096 -1186 -1083;","306,8;","",,,
88,88,1,random,,"-1139 -1085 -1114 -1068;
-1105 -1089 -1087 -1077;
-1083 -1220 -1060 -1111;","307,8;","",,,
89,89,1,random,,"-1135 -1253 -1084 -1223;
-1194 -1253 -1148 -1223;
-1195 -1282 -1152 -1258;
-1115 -1276 -1077 -1258;
-1212 -1305 -1177 -1286;","310,7;","",,,
90,90,1,random,,"-1166 -1153 -1147 -1109;
-1138 -1193 -1099 -1146;
-1112 -1139 -1096 -1119;
-1190 -1200 -1156 -1157;","311,8;","",,,
91,91,1,random,,"-926 -939 -890 -916;","298,7;","",,,
92,92,1,random,,"-915 -1239 -810 -1166;","291,5;","",,,
93,93,1,random,,"","316,7;","",,,
94,94,1,random,,"-845 -829 -793 -788;","303,6;","",,,
95,95,1,random,,"-1139 -1138 -1121 -1114;","313,8;","",,,
96,96,1,random,,"-1268 -939 -1210 -860;
-1252 -860 -1216 -824;","304,8;","",,,
97,97,1,random,,"-26 -1543 33 -1492;
-27 -1589 0 -1544;
0 -1557 41 -1544;
-39 -1546 -27 -1507;
-49 -1545 -40 -1512;
-23 -1492 8 -1485;
44 -1561 56 -1551;","336,8;","",,,
98,98,1,random,,"-72 -1400 -43 -1365;
-28 -1475 6 -1428;
-64 -1420 -14 -1402;
-55 -1433 -28 -1421;
-39 -1401 -32 -1378;
-30 -1401 -23 -1385;
-26 -1427 -7 -1411;
-45 -1443 -28 -1433;
7 -1460 16 -1437;
-7 -1428 1 -1419;","340,8;","",,,
100,100,1,random,,"19 -1483 52 -1469;
29 -1469 94 -1442;
52 -1482 62 -1470;
61 -1475 76 -1465;
55 -1441 97 -1430;
40 -1443 54 -1437;
24 -1469 29 -1459;
95 -1467 116 -1457;","345,7;","",,,
101,101,1,random,,"-13 -1396 30 -1388;
30 -1396 41 -1369;
42 -1396 55 -1377;
56 -1396 94 -1380;
-7 -1405 94 -1397;
-2 -1411 95 -1406;
7 -1420 91 -1412;
13 -1427 47 -1421;
19 -1433 31 -1427;","70,8;","",,,
102,102,1,random,,"145 -1506 207 -1409;
175 -1570 201 -1519;
183 -1519 205 -1507;
133 -1481 145 -1469;
209 -1465 220 -1438;","348,5;","",,,
103,103,1,random,,"104 -1423 128 -1385;
152 -1499 188 -1469;
148 -1407 192 -1375;
150 -1459 166 -1450;
118 -1455 131 -1433;
130 -1428 140 -1403;
126 -1377 146 -1369;
137 -1391 143 -1379;
148 -1428 162 -1416;
190 -1518 207 -1449;
131 -1482 152 -1467;
140 -1499 152 -1483;","347,5;","",,,
104,104,1,random,,"-32 -1367 -2 -1337;
-16 -1386 28 -1370;
0 -1368 15 -1349;
-19 -1327 16 -1309;
-77 -1330 -39 -1313;
-78 -1341 -54 -1333;","342,7;","",,,
106,106,1,random,,"258 -865 312 -826;
257 -921 330 -878;
313 -863 329 -830;
243 -864 258 -823;","74,8;","",,,
107,107,1,random,,"-192 -827 -126 -805;
-202 -873 -177 -831;
-174 -880 -126 -829;","356,8;","",,,
108,108,1,random,,"25 -1771 120 -1696;
122 -1744 136 -1721;","370,8;","",,,
109,109,1,random,,"","75,7;","",,,
110,110,1,random,,"","376,5;","",,,
111,111,1,random,,"","377,8;","",,,
112,112,1,random,,"","379,8;","",,,
113,113,1,random,,"","380,7;","",,,
114,114,1,random,,"","383,7;","",,,
115,115,1,random,,"-1104 -1300 -1043 -1280;
-1087 -1329 -1024 -1302;
-1141 -1294 -1125 -1275;
-1156 -1309 -1116 -1296;
-1026 -1344 -1003 -1323;
-1022 -1321 -1005 -1299;
-1002 -1334 -988 -1310;","314,7;","",,,
116,116,2,script,,"","","script/XmaxNpcLocation.lua",,,
117,117,2,script,,"","","script/ML_XmaxNpcLocation.lua",,,
118,118,2,script,,"","","script/AM_XmaxNpcLocation.lua",,,
119,119,3,random,,"","4524,2;","",,,
120,120,3,random,,"571 -221 732 -76;
355 -167 534 -51;
9 -201 236 -62;
-150 -229 11 -69;
-210 -1067 147 -804;
145 -1050 484 -803;","5047,3;","",,,
121,121,3,random,,"","4526,2;","",,,
122,122,3,random,,"-253 -486 -123 -402;
-263 -604 -135 -519;
-735 -731 -579 -560;
-557 -707 -484 -624;
-546 -450 -405 -322;
-376 -349 -258 -297;
-731 -728 -582 -567;
-257 -575 -242 -539;","5048,3;","",,,
123,123,3,random,,"-447 -1267 -281 -1134;
-458 -1400 -297 -1338;
-341 -1116 -281 -979;
-987 -1245 -759 -1071;
-1009 -1066 -814 -783;
-759 -1174 -616 -1027;
-1271 -922 -1018 -784;
-1256 -1311 -1012 -1063;","5049,3;","",,,
124,124,3,random,,"","4529,2;","",,,
125,125,3,random,,"-1134 -1757 -906 -1672;
-1006 -1886 -815 -1784;
-1059 -2005 -931 -1929;
-1238 -1882 -1198 -1837;
-1203 -1819 -1167 -1781;
-1237 -1931 -1194 -1891;
-931 -1661 -788 -1521;","5050,3;","",,,
126,126,3,random,,"919 -399 994 -322;
931 -648 1018 -598;
1033 -613 1135 -538;
1179 -672 1251 -542;
1042 -732 1196 -680;
1156 -510 1244 -406;
1082 -396 1235 -316;
1067 -466 1134 -409;
876 -502 925 -446;
757 -430 847 -356;
786 -508 869 -447;
584 -491 639 -356;
652 -528 676 -480;
1253 -546 1510 -369;","5050,3;","",,,
127,127,3,random,,"2065 -543 2314 -294;
2188 -727 2266 -544;
2084 -733 2191 -644;
2316 -615 2490 -517;
2381 -720 2432 -633;
2600 -736 2734 -573;
2857 -680 3026 -350;
2592 -178 2796 -32;
2530 -373 2617 -268;","5051,3;","",,,
129,129,2,script,,"","","script/CN_NewYearNpcLocation.lua",,,
130,130,2,script,,"","","script/ML_NewYearNpcLocation.lua",,,
131,131,2,script,,"","","script/AM_NewYearNpcLocation.lua",,,
132,132,2,script,,"","","script/AM_NewYearNpcLocation.lua",,,
133,133,3,script,,"","","script/NewYearNpcLocation.lua",,,
135,135,3,script,,"","0,0;","script/MLKillMonsterNpcLocation.lua",,,
136,136,3,script,,"","","script/TWduanwuNpcLocation.lua",,,
137,137,3,script,,"","","script/MLduanwuNpcLocation.lua",,,
138,138,3,script,,"","","script/zhongqiuNpcLocation.lua",,,
139,139,3,random,,"-259 -478 -99 -357;
-238 -553 -183 -506;
-211 -611 -152 -567;
-291 -625 -225 -583;
-542 -441 -411 -331;
-172 -561 -155 -526;
-560 -728 -394 -605;","5312,8;","",,,
140,140,3,script,,"","","script/qixiNpcLocation.lua",,,
141,141,3,script,,"","","script/vnzhongqiuNpcLocation.lua",,,
142,142,3,random,,"-197 580 -94 706;
-215 365 -99 438;
84 274 143 432;
161 280 250 360;
44 278 81 347;
-93 285 3 374;
-47 405 49 509;
-218 463 -167 553;
394 287 495 419;
267 269 364 457;
346 548 438 633;
57 52 246 220;
169 380 242 454;","4524,3;","",,,
143,143,3,random,,"274 49 442 227;
346 -230 727 -39;
-155 -235 229 -55;","4525,3;","",,,
144,144,3,random,,"197 -406 284 -290;
331 -369 417 -271;
90 -660 277 -577;
-32 -753 76 -633;
392 -663 482 -604;
349 -759 481 -689;","4526,3;","",,,
145,145,3,random,,"-281 -634 -138 -495;
-238 -488 -113 -349;
-538 -449 -389 -308;","4527,3;","",,,
146,146,3,random,,"-364 -355 -277 -283;
-741 -741 -571 -568;
-554 -738 -472 -598;
-459 -715 -394 -628;
-464 -904 -414 -799;
-333 -947 -278 -887;
-325 -1118 -273 -1014;
-583 -1033 -488 -946;
-598 -1123 -483 -1035;
-473 -1079 -396 -992;
-651 -1195 -516 -1126;","4528,3;","",,,
147,147,3,random,,"-757 -1183 -635 -978;
-973 -1234 -783 -1077;
-975 -1061 -827 -920;
-996 -915 -809 -789;","4529,3;","",,,
148,148,3,random,,"-1266 -1023 -1191 -804;
-1181 -884 -1074 -773;
-1263 -1307 -997 -1085;
-1257 -1476 -822 -1399;","4530,3;","",,,
149,149,3,random,,"-1260 -1642 -974 -1502;
-1255 -1772 -922 -1662;
-941 -1779 -807 -1530;
-1033 -1887 -800 -1793;
-1260 -1931 -1062 -1784;
-1115 -2031 -919 -1926;
536 -606 715 -297;
747 -513 1028 -291;","4531,3;","",,,
150,150,3,random,,"962 -649 1047 -592;
1040 -606 1170 -519;
1177 -688 1245 -525;
1011 -753 1171 -677;
1055 -516 1247 -300;
1265 -437 1397 -311;
1337 -601 1505 -442;
1404 -441 1536 -328;
1541 -496 1788 -287;
1800 -499 2047 -287;","4532,3;","",,,
151,151,3,random,,"2057 -558 2328 -284;
2038 -753 2277 -558;
2325 -625 2498 -495;
2557 -758 2820 -546;
2698 -543 2800 -504;","4533,3;","",,,
152,152,3,random,,"2864 -378 3033 -306;
2845 -728 3038 -389;
2555 -186 2788 -16;
2370 -453 2527 -257;
2533 -401 2638 -244;
2623 -487 2737 -409;","4533,3;","",,,
