,,基础属性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,释放过程（针对主动技能）,,,,,,,,,,,,,,,,,,,,,,,,,,特效表现,,,客户端表现,,,
8,持续伤血,5,1,,,0,,,,,,,,1,,,,,,,,,,,,,,,,,0,1,,1,,,,,,,,,,10000,5,,,,AddHp(-20),,,,,,,,,eff_fire_dot,,,cpsw01,,,1
9,缓速,6,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,0,1,,2,,,,,,AddSpeedRate(-0.5),,,,3000,1,,,,,,,,,,,,,eff_slow,,,ic_eskill13,,,1
10,暂时增加力量,7,1,,,0,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,AddStr(10),,,,180000,1,,,,,,,,,,,,,,,,cpsw01,,,0
11,暂时增加法力上限,8,1,,,0,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,AddMaxMp(500),,,,360000,1,,,,,,,,,,,,,,,,cpsw01,,,0
12,灼烧,5,1,,,0,,,,,,,,1,,,,,,,,,,,,,,,,,0,1,,1,,,,,,,,,,15000,5,,,,AddHp(EffParam1),,,,,,,,,eff_fire_dot,,,cpsw01,,,0
13,加快回血(1级),13,1,,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,,AddHpReg(5),,,,15000,1,,,,,,,,,,,,,,,,ic_iu009,,,0
14,加快回魔(1级),14,1,,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,,AddMpReg(8),,,,15000,1,,,,,,,,,,,,,,,,ic_iu010,,,0
15,提升血上限,15,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,AddMaxHp(EffParam1),,,,10*24*3600*1000,1,,,,,,,,,,,,,,,,ic_pet_hp,,1,0
16,加快回魔,16,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,"AddMpReg(EffParam1,2)",,,,10*24*3600*1000,1,,,,,,,,,,,,,,,,ic_pet_mp,,1,0
17,加魔上限,17,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,AddMaxMp(EffParam1),,,,10*24*3600*1000,1,,,,,,,,,,,,,,,,ic_pet_mp,,1,0
18,加快回血,18,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,AddHpReg(EffParam1),,,,10*24*3600*1000,1,,,,,,,,,,,,,,,,ic_pet_hp,,1,0
100,加快回血(2级),13,2,,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,,AddHpReg(8),,,,15000,1,,,,,,,,,,,,,,,,ic_iu009,,,0
101,加快回魔(2级),14,2,,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,,AddMpReg(12),,,,15000,1,,,,,,,,,,,,,,,,ic_iu010,,,0
102,加快回血(3级),13,3,,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,,AddHpReg(12),,,,15000,1,,,,,,,,,,,,,,,,ic_iu009,,,0
103,加快回魔(3级),14,3,,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,,AddMpReg(18),,,,15000,1,,,,,,,,,,,,,,,,ic_iu010,,,0
104,加快回血(4级),13,4,,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,,AddHpReg(16),,,,15000,1,,,,,,,,,,,,,,,,ic_iu009,,,0
105,加快回魔(4级),14,4,,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,,AddMpReg(24),,,,15000,1,,,,,,,,,,,,,,,,ic_iu010,,,0
106,加快回血(5级),13,5,,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,,AddHpReg(21),,,,15000,1,,,,,,,,,,,,,,,,ic_iu009,,,0
107,加快回魔(5级),14,5,,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,,AddMpReg(30),,,,15000,1,,,,,,,,,,,,,,,,ic_iu010,,,0
108,加快回血(6级),13,6,,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,,AddHpReg(26),,,,15000,1,,,,,,,,,,,,,,,,ic_iu009,,,0
109,加快回魔(6级),14,6,,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,,AddMpReg(39),,,,15000,1,,,,,,,,,,,,,,,,ic_iu010,,,0
110,加快回血(7级),13,7,,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,,AddHpReg(32),,,,15000,1,,,,,,,,,,,,,,,,ic_iu009,,,0
111,加快回魔(7级),14,7,,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,,AddMpReg(48),,,,15000,1,,,,,,,,,,,,,,,,ic_iu010,,,0
112,加快回血(8级),13,8,,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,,AddHpReg(38),,,,15000,1,,,,,,,,,,,,,,,,ic_iu009,,,0
113,加快回魔(8级),14,8,,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,,AddMpReg(57),,,,15000,1,,,,,,,,,,,,,,,,ic_iu010,,,0
114,加快回血(9级),13,9,,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,,AddHpReg(45),,,,15000,1,,,,,,,,,,,,,,,,ic_iu009,,,0
115,加快回魔(9级),14,9,,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,,AddMpReg(68),,,,15000,1,,,,,,,,,,,,,,,,ic_iu010,,,0
116,加快回血(10级),13,10,,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,,AddHpReg(53),,,,15000,1,,,,,,,,,,,,,,,,ic_iu009,,,0
117,加快回魔(10级),14,10,,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,,AddMpReg(80),,,,15000,1,,,,,,,,,,,,,,,,ic_iu010,,,0
118,加快回血(11级),13,11,,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,,AddHpReg(61),,,,15000,1,,,,,,,,,,,,,,,,ic_iu009,,,0
119,加快回魔(11级),14,11,,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,,AddMpReg(92),,,,15000,1,,,,,,,,,,,,,,,,ic_iu010,,,0
120,主人加血上限,120,1,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,1,10,IsMyMaster=1,,,,,,,,"AddMasterEffect(15,20+SelfLevel*10+SelfLevel*MasterBaseHp*0.01)",,,0,0,15000,,,,,,,,,,,,,,,ic_pet_hp,,,0
121,主人加魔,121,1,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,1,10,IsMyMaster=1,,,,,,,,"AddMasterEffect(16,2+(SelfLevel*1.5+SelfLevel*MasterBaseMp*0.001)/2)",,,0,0,15000,,,,,,,,,,,,,,,ic_pet_mp,,,0
122,主人加魔上限,122,1,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,1,10,IsMyMaster=1,,,,,,,,"AddMasterEffect(17,30+SelfLevel*15+SelfLevel*MasterBaseMp*0.01)",,,0,0,15000,,,,,,,,,,,,,,,ic_pet_mp,,,0
123,主人加血,123,1,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,1,10,IsMyMaster=1,,,,,,,,"AddMasterEffect(18,2+(SelfLevel+SelfLevel*MasterBaseHp*0.001)/2)",,,0,0,15000,,,,,,,,,,,,,,,ic_pet_hp,,,0
124,强力回血(1级),19,1,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,15000,5,,,,AddHp(30),,,,,,,,,,,,ic_iu004,,,0
125,强力回魔(1级),20,1,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,15000,5,,,,AddMp(45),,,,,,,,,,,,ic_iu008,,,0
126,强力回血(2级),19,2,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,15000,5,,,,AddHp(90),,,,,,,,,,,,ic_iu004,,,0
127,强力回魔(2级),20,2,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,15000,5,,,,AddMp(135),,,,,,,,,,,,ic_iu008,,,0
128,金创药（小）,19,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,10000,5,,,,AddHp(24),,,,,,,,,,,,ic_im004,,,0
129,金创药（中）,19,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,10000,5,,,,AddHp(100),,,,,,,,,,,,ic_im005,,,0
130,金创药（大）,19,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,10000,5,,,,AddHp(200),,,,,,,,,,,,ic_im006,,,0
131,大丸丹（小）,20,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,10000,5,,,,AddMp(24),,,,,,,,,,,,ic_im007,,,0
132,大丸丹（中）,20,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,10000,5,,,,AddMp(100),,,,,,,,,,,,ic_im008,,,0
133,大丸丹（大）,20,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,10000,5,,,,AddMp(200),,,,,,,,,,,,ic_im009,,,0
134,强力回血(3级),19,2,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,15000,5,,,,AddHp(270),,,,,,,,,,,,ic_iu004,,,0
135,强力回魔(3级),20,2,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,15000,5,,,,AddMp(405),,,,,,,,,,,,ic_iu008,,,0
136,加快回血(12级),13,12,,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,,AddHpReg(69),,,,15000,1,,,,,,,,,,,,,,,,ic_iu009,,,0
137,加快回魔(12级),14,12,,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,,AddMpReg(104),,,,15000,1,,,,,,,,,,,,,,,,ic_iu010,,,0
138,加快回血(13级),13,13,,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,,AddHpReg(79),,,,15000,1,,,,,,,,,,,,,,,,ic_iu009,,,0
139,加快回魔(13级),14,13,,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,,AddMpReg(118),,,,15000,1,,,,,,,,,,,,,,,,ic_iu010,,,0
140,加快回血(14级),13,14,,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,,AddHpReg(89),,,,15000,1,,,,,,,,,,,,,,,,ic_iu009,,,0
141,加快回魔(14级),14,14,,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,,AddMpReg(133),,,,15000,1,,,,,,,,,,,,,,,,ic_iu010,,,0
142,加快回血(15级),13,15,,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,,AddHpReg(99),,,,15000,1,,,,,,,,,,,,,,,,ic_iu009,,,0
143,加快回魔(15级),14,15,,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,,AddMpReg(149),,,,15000,1,,,,,,,,,,,,,,,,ic_iu010,,,0
144,加快回血(16级),13,16,,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,,AddHpReg(110),,,,15000,1,,,,,,,,,,,,,,,,ic_iu009,,,0
145,加快回魔(16级),14,16,,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,,AddMpReg(165),,,,15000,1,,,,,,,,,,,,,,,,ic_iu010,,,0
146,加快回血(17级),13,17,,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,,AddHpReg(122),,,,15000,1,,,,,,,,,,,,,,,,ic_iu009,,,0
147,加快回魔(17级),14,17,,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,,AddMpReg(182),,,,15000,1,,,,,,,,,,,,,,,,ic_iu010,,,0
148,加快回血(18级),13,18,,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,,AddHpReg(134),,,,15000,1,,,,,,,,,,,,,,,,ic_iu009,,,0
149,加快回魔(18级),14,18,,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,,AddMpReg(200),,,,15000,1,,,,,,,,,,,,,,,,ic_iu010,,,0
150,加快回血(19级),13,19,,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,,AddHpReg(146),,,,15000,1,,,,,,,,,,,,,,,,ic_iu009,,,0
151,加快回魔(19级),14,19,,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,,AddMpReg(219),,,,15000,1,,,,,,,,,,,,,,,,ic_iu010,,,0
152,加快回血(20级),13,20,,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,,AddHpReg(159),,,,15000,1,,,,,,,,,,,,,,,,ic_iu009,,,0
153,加快回魔(20级),14,20,,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,,AddMpReg(239),,,,15000,1,,,,,,,,,,,,,,,,ic_iu010,,,0
154,强力回血,19,2,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,15000,5,,,,AddHp(90),,,,,,,,,,,,rollthread-hp,,,0
155,强力回魔,20,2,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,15000,5,,,,AddMp(135),,,,,,,,,,,,rollthread-mp,,,0
156,群体回复药水(1级),19,2,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,15000,5,,,,AddHp(270),,,,,,,,,,,,ic_iu004,,,0
157,群体回复药水(2级),19,2,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,15000,5,,,,AddHp(390),,,,,,,,,,,,ic_iu004,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,沉默(玄火锥),201,1,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,0,1,,4,,,,,,AddRangeAtt(-1),,,,EffParam1*1000,1,,,,,,,,,,,,,eff_stun,,,ic_buff_stun,,,1
202,灼烧(火龙舞),202,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,0,1,,12,,,,,,,,,,15000,5,,,,AddHp(-EffParam1/5),,,,,,,,,eff_fire_dot,,,ic_buff_fire,,,1
211,冰冻(玄冰斩),211,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,0,1,,3,,,,,,AddMove(-1),,,,EffParam1*1000,1,,,,,,,,,,,,,eff_debuff_ice,root,,ic_eskill11,,,1
212,水系虚弱(飞流斩),212,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,"AddDeltaDmg(2, EffParam1)",,,,15000,1,,,,,,,,,,,,,eff_weak,,,ic_skill_eskill14,,,1
213,缓速(海潮诀),6,2,2,,1,,,,,,,,1,,,,,,,,,,,,,,,,,0,1,,2,,,,,,AddSpeedRate(-(EffParam1/100.0)),,,,3000,1,,,,,,,,,,,,,eff_slow,,,ic_eskill13,,,1
221,缓速(寒冰刺),6,2,3,,1,,,,,,,,1,,,,,,,,,,,,,,,,,0,1,,2,,,,,,AddSpeedRate(-0.8),,,,5000,1,,,,,,,,,,,,,eff_slow,,,ic_eskill16,,,1
222,智力增强(刺穴术),222,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,AddWis(EffParam1),,,,1800*1000,1,,,,,,,,,,,,,,,,ic_skill_eskill06,,,0
223,昏迷(晕穴术),223,1,,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,0,1,,4,,,,,,AddMove(-1);AddAtt(-1),,,,EffParam1*1000,1,,,,,,,,,,,,,eff_coma,,,ic_skill_eskill07,,,1
224,攻击增强(天罡术),224,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,"AddDmg(1,EffParam1);AddDmg(2,EffParam1);AddBreakRate_Pre(-1)",,,,EffParam2*1000,1,,,,,,,,,,,,,,,,ic_skill_eskill08,,,0
225,昏迷(地罡术),225,1,5,,1,,,,,,,,1,,,,,,,,,,,,,,,,,0,1,,4,,,,,,AddMove(-1);AddAtt(-1),,,,5*1000,1,,,,,,,,,,,,,eff_stun,,,ic_skill_eskill07,,,1
226,冰盾(寒冰盾),224,1,,,1,,,,,,,,1,10000,,,,,,,,,,,AddEffect(227),,,,,1,1,,,,(100-EffParam2)/100.0,,,,"AddArmor(0,EffParam1)",,,,1800*1000,1,,,,,,,,,,,,,,,,ic_eskill15,,,1
227,缓速(寒冰盾),227,1,3,,1,,,,,,,,1,,,,,,,,,,,,,,,,,0,1,,2,,,,,,AddSpeedRate(-0.8),,,,3000,1,,,,,,,,,,,,,eff_slow,,,ic_eskill16,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,晕眩(修罗·破),401,1,5,,,,,,,,,,1,,,,,,,,,,,,,,,,,0,1,,4,,,,,,AddMove(-1);AddAtt(-1),,,,EffParam1*1000,1,,,,,,,,,,,,,eff_stun,,,ic_buff_stun,,,1
402,晕眩(修罗·定),402,1,5,,1,,,,,,,,1,,,,,,,,,,,,,,,,,0,1,,4,,,,,,AddMove(-1);AddAtt(-1),,,,3000,1,,,,,,,,,,,,,eff_stun,,,ic_buff_stun,,,1
411,灼烧(寂灭·焚心),411,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,0,1,,12,,,,,,,,,,15000,5,,,,AddHp(-EffParam1),,,,,,,,,eff_fire_dot,,,ic_buff_fire,,,1
412,虚弱(寂灭·破甲),412,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,0,1,,,,,,,,"AddArmor(0, -EffParam1)",,,,60000,1,,,,,,,,,,,,,eff_weak,,,ic_skill_fskill08,,,1
413,降低伤害(寂灭·大悲),413,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,0,1,,,,,,,,"AddDmg(0,-EffParam1)",,,,30000,1,,,,,,,,,,,,,,,,ic_skill_fskill10,,,0
414,晕眩(寂灭·大悲),414,1,5,,1,,,,,,,,1,,,,,,,,,,,,,,,,,0,1,,7,,,,,,AddMove(-1);AddAtt(-1),,,,5000,1,,,,,,,,,,,,,eff_stun,,,ic_buff_stun,,,0
421,昏迷(大力金刚),421,1,6,,1,,,,,,,,1,,,,,,,,,,,,,,,,,0,1,,4,,,,,,AddMove(-1);AddAtt(-1),,,,5000,1,,,,,,,,,,,,,eff_stun,,,ic_buff_stun,,,1
422,防御增强(金刚不坏),422,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,"AddDeltaDmg(0, -EffParam1);AddDeltaDmg(1, -EffParam1/5);AddDeltaDmg(2, -EffParam1/5);AddDeltaDmg(3, -EffParam1/5);AddDeltaDmg(4, -EffParam1/5);AddDeltaDmg(5, -EffParam1/5);",,,,EffParam2*1000+10000,1,,,,,,,,,,,,,eff_f_skill12,,,ic_skill_fskill12,,,1
423,攻击增强(心火),423,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,"AddDmg(1,EffParam1);AddDmg(5,EffParam1)",,,,1800*1000,1,,,,,,,,,,,,,,,,ic_skill_fskill14,,,0
424,防御增强(防字诀),424,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,AddMaxHp(EffParam1),,,,1800*1000,1,,,,,,,,,,,,,,,,ic_skill_fskill15,,,0
425,范围减速(心灯),425,1,,,1,,,,DestroyMe,,,,1,,,,,,,,,,,,,,,,,0,1,,,,,5,,200,,,,,30000,30,,,,,AddEffect(426),,,,,,,,,,,ic_skill_fskill13,,,0
426,减速(心灯),6,2,3,,1,,,,,,,,1,,,,,,,,,,,,,,,,,0,1,,2,,,,,,AddSpeedRate(-0.5),,,,3000,1,,,,,,,,,,,,,eff_slow,,,ic_skill_fskill13,,,0
427,仇恨值增加(慈悲),427,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,2,1,,,,,,,,"AddUltraHate(EffParam1) ",,,,1800*1000,1,,,,,,,,,,,,,,,,ic_skill_fskill17,,,0
428,强制攻击目标(舍身),428,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,2,1,,,,,,,,"AddHate(EffParam1,5000000) ",,,,EffParam2*1000+10000,1,,,,,,,,,,,,,eff_f_skill18,,,ic_skill_fskill18,,,0
431,晕眩(修罗·破),431,1,5,,,,,,,,,,1,,,,,,,,,,,,,,,,,0,1,,4,,,,,,"AddMove(-1);AddAtt(-1);AddDeltaDmgRate(5, EffParam2/100.0)",,,,EffParam1*1000,1,,,,,,,,,,,,,eff_stun,,,ic_buff_stun,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,昏迷(力劈华山),502,1,5,,1,,,,,,,,1,,,,,,,,,,,,,,,,,0,1,,4,,,,,,AddMove(-1);AddAtt(-1),,,,EffParam1,1,,,,,,,,,,,,,eff_stun,,,ic_buff_stun,,,1
504,缓速(雷霆万钧),6,2,3,,1,,,,,,,,1,,,,,,,,,,,,,,,,,0,1,,2,,,,,,AddSpeedRate(-EffParam2/100.0),,,,EffParam1*1000,1,,,,,,,,,,,,,eff_slow,,,ic_buff_notmove,,,1
512,失魂(失魂),512,1,7,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,0,1,,14,,,,,,AddMove(-1);AddAtt(-1),,,,EffParam1,1,,,,,,,,,,,,,eff_coma,,,ic_skill_eskill07,,,1
513,昏迷(迅雷),513,1,5,,1,,,,,,,,1,,,,,,,,,,,,,,,,,0,1,,14,,,,,,AddMove(-1);AddAtt(-1),,,,EffParam1*1000,1,,,,,,,,,,,,,eff_stun,,,ic_buff_stun,,,1
515,减速(毒刺),6,2,3,,1,,,,,,,,1,,,,,,,,,,,,,,,,,0,1,,2,,,,,,AddSpeedRate(-EffParam2/100.0),,,,EffParam1*1000,1,,,,,,,,,,,,,eff_slow,,,ic_skill_qskill10,,,1
521,加速(疾行术),521,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,10,,,,,,AddSpeedRate(EffParam2/100.0),,,,EffParam1*1000,1,,,,,,,,,,,eff_q_skill15_start,root,eff_q_skill15,root,,ic_skill_qskill15,,,1
522,增加闪躲(幻虚步),522,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,11,,,,,,AddDodgeRate(EffParam2/100.0),,,,EffParam1*1000,1,,,,,,,,,,,eff_q_skill16,root,eff_buff_powerup,root,,ic_skill_qskill16,,,1
523,昏迷(镇魂诀),523,1,,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,0,1,,4,,,,,,AddMove(-1);AddAtt(-1),,,,EffParam1*1000,1,,,,,,,,,,,,,eff_stun,,,ic_buff_stun,,,1
524,增强防御(护身诀),524,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,"AddArmor(0, EffParam2)",,,,EffParam1*1000,1,,,,,,,,,,,,,,,,ic_skill_qskill18,,,1
