编号,名字,分组ID,类型,出现物品,出现概率,绿色几率,蓝色几率,金色几率,暗金几率,天蓝几率,翡翠绿几率,白金几率
160,09春节大红包(越南),58,2,100000;200000;350000,50;24;10,,,,,,,
161,新年小礼包(越南),59,1,4295;3985;1035;383;3878,50;32;15;2;1,,,,,,,
162,新年礼包(越南),60,1,4296;3986;3462;4125;1172;4052;3877,45;30;10;10;2;2;1,,,,,,,
163,星环宝袋,61,1,4270;4271;4272;4273,25;25;25;25,,,,,,,
164,情人节玫瑰,62,1,3498;3501;4321;3969,30;30;30;10,,,,,,,
165,情人节巧克力,63,1,4324;4325;4322;4323,30;30;30;10,,,,,,,
166,神奇红线包(越南),64,1,4347;4348;4349,34;33;33,,,,,,,
167,翻斗乐扭蛋,65,1,4354;4355;4356;4357;4358;4359;4360;4426;,13;12;13;12;13;12;13;12,,,,,,,
168,沁心丸,66,3,10000;15000;20000;25000;30000,30;25;20;15;10,,,,,,,
169,醒神丸,67,4,5000;8000;10000;12000;15000,30;25;20;15;10,,,,,,,
170,宠物精灵袋,68,1,3991;3992;3486;3488;3487;3489;531;533,13;13;13;13;12;12;12;12,,,,,,,
171,神秘箱子,69,1,4501;4502;4503;3969;3970;3971,24;20;10;30;10;6,,,,,,,
172,天尊情深意粽,70,3,5000;6666;8888,10;10;10,,,,,,,
173,天尊情深意粽,70,4,5000;6666;8888,10;10;10,,,,,,,
174,天尊情深意粽,70,1,4518;4519;4520;4521,10;10;10;10,,,,,,,
175,屈原情深意粽,71,3,5500;8888;9999,10;10;10,,,,,,,
176,屈原情深意粽,71,4,5500;8888;9999,10;10;10,,,,,,,
177,屈原情深意粽,71,1,4518;4519;4520;4521;4522,10;10;10;9;1,,,,,,,
178,端午极致雄黄酒（台湾）,72,1,4526;4527;4528;4529;4523;4530;4048;4047;3505,50;15;10;10;10;2;1;1;1,,,,,,,
179,端午极致雄黄酒（大马）,73,1,4531;4530;4532;4528;4527;4533;4048;4047;3505;4168,45;20;10;10;9;2;1;1;1;1,,,,,,,
180,端午香包（台湾）,74,1,404;401;1160;3462;1017;1172;3861;3863;3864;4196;4197;4545,35;20;15;10;9;5;1;1;1;1;1;1,,,,,,,
181,端午宝袋（台湾）,75,1,4190;4546,50;50,,,,,,,
182,端午节变身棒（台湾）,76,1,4551;4552;4553,34;33;33,,,,,,,
183,坐骑礼袋(台湾),77,1,4048;4047;3482;3484;3483;3485;1200,5;5;5;5;15;15;50,,,,,,,
184,坐骑礼袋(台湾绑定),78,1,4766;4767;4768;4770;4769;4771;4772,5;5;5;5;15;15;50,,,,,,,
185,天尊宝盒(韩国),79,1,3506;4851;4853;4850;4852;403;402,1;2;10;7;20;15;5,,,,,,,
186,天尊宝盒(韩国),79,2,300000;200000;150000,5;10;25,,,,,,,
187,77巧克力礼盒(台湾版),80,1,3499;3502;4909;3462;4910;3711;4754;4168;4834,20;20;20;15;15;7;1;1;1,,,,,,,
188,宝物箱(韩国),81,1,5723;5536;5995;5673;5993;5994;4991;4992;4993;4994,0.02;0.5;0.48;7;10;10;18;18;18;18,,,,,,,
189,莲蓉月饼,82,4,666;1666;2666;3666;4666,40;30;20;5;5,,,,,,,
190,冰心月饼,83,3,666;1666;2666;3666;4666,40;30;20;5;5,,,,,,,
191,天尊麻豆文旦,84,1,1160;3985;1017;3953;3952;4489;4465;4204;4200;4696;4694;4973,23;20;20;13;7;5;3;2;2;2;2;1,,,,,,,
192,中秋月圓變身卷,85,1,4975;4976;4977;,33;34;33;,,,,,,,
193,侠客宝盒(韩国),86,1,5551;3506;4850;403;4999;4998;405,0.4;1.1;2;5;10;12;7.5,,,,,,,
194,侠客宝盒(韩国),86,2,300000;250000;200000,11;23;28,,,,,,,
195,双黄莲蓉月饼,87,4,1000;2000;3000;4000,25;25;25;25,,,,,,,
196,TO周年庆大礼包,88,1,5611;5612;5613;5614;5615;5616;,4;2.5;2.5;16;15;20,,,,,,,
197,TO周年庆大礼包,88,2,20000,40,,,,,,,
198,TO周年庆礼袋,89,1,5611;5618;5619;5614;5615;5620;,2;10;10;10;28;20,,,,,,,
199,TO周年庆礼袋,89,2,5000,20,,,,,,,
200,黄金宝盒(韩国),90,1,5622;3709;4776;1153;1016,0.2;11;10;5;15,,,,,,,
201,黄金宝盒(韩国),90,2,3000000;1000000;400000;300000,0.5;3.3;20;35,,,,,,,
202,天尊麻豆文旦,91,1,1159;3985;1134;5625;5627;5626;4489;4465;4973;4463;4696;4695,27;17;17;10;10;10;5;2;1;0.8;0.1;0.1,,,,,,,
203,月熊宝箱,92,1,3484;4566;4562;4234;1159,8;12;20;28;24,,,,,,,
204,月熊宝箱,92,2,300000,8,,,,,,,
205,黄金礼袋,93,1,3488;4565;4562;4725;4226;1158,0.5;7;5.5;29;29;29,,,,,,,
206,封魔使者的谢礼（韩国）,94,1,5661,20,,,,,,,
207,封魔使者的谢礼（韩国）,94,2,10000;20000;30000;40000,16;11;8;5,,,,,,,
208,封魔使者的谢礼（韩国）,94,4,6000;12000;18000;24000,16;11;8;5,,,,,,,
209,成都宝盒（韩国）,95,1,4695;5551;4776;4791;4850;403;4998;,0.2;0.4;8;9;2;6;12.4,,,,,,,
210,成都宝盒（韩国）,95,2,500000;400000;300000,8;26;28,,,,,,,
211,喜从天降礼盒(台湾),96,1,404;401;1160;3462;1017;1172;3861;3863;3864;4196;4197;5695,35;20;15;10;9;5;1;1;1;1;1;1,,,,,,,
212,喜从天降宝袋(台湾),97,1,4190;5696,50;50,,,,,,,
213,小圣诞礼物包,98,1,5737;5738;5733;5734;5735;5736;,15;15;10;10;25;25;,,,,,,,
214,圣诞礼物包,99,1,5744;5762;5763;5739;5734;5735;5736;,5;15;15;10;10;20;25;,,,,,,,
215,高级圣诞礼物包,100,1,5912;5913;5744;5762;5763;5740;5741;5734;,2;2;10;15;15;10;23;23;,,,,,,,
216,豪华圣诞礼物包,101,1,5742;5743;5912;5913;5764;5756;5741;5734;,1;1;10;10;10;20;20;28;,,,,,,,
217,祝福礼包,102,1,5745;5746;5747;5748;5749;5750;,60;20;15;3;1;1;,,,,,,,
218,小圣诞礼物包,103,1,5757;5758;5759;5760;5744;5737;5738;,25;25;20;10;10;5;5;,,,,,,,
219,圣诞礼物包,104,1,5761;5765;5766;5912;5767;5768;5770;,20;20;20;20;10;5;5;,,,,,,,
220,高级圣诞礼物包,105,1,5742;5769;5913;5772;5773;5771;5774;,25;25;20;10;10;5;5;,,,,,,,
221,豪华圣诞礼物包,106,1,5793;5794;5805;5806;5807;5810;5771;,25;25;16;5;3;1;25;,,,,,,,
222,豪华圣诞礼物包,107,1,5811;5812;5823;5824;5825;5828;5896;,25;25;16;5;3;1;25;,,,,,,,
223,精灵变身包,108,1,5795;5796;5797;5798;5799;5800;5801;5802;5803;5804;,10;10;10;10;10;10;10;10;10;10;,,,,,,,
224,圣诞雪花包,109,1,5826;5827;,50;50;,,,,,,,
225,圣诞雪花包,110,1,5844;5845;,50;50;,,,,,,,
226,圣诞礼物包,111,1,5830;5831;5832;5833;5834;5835;5836;,20;20;20;20;10;5;5;,,,,,,,
227,高级圣诞礼物包,112,1,5837;5838;5839;5840;5841;5842;5843;,25;25;20;10;10;5;5;,,,,,,,
228,圣诞雪花包,113,1,5857;5858;,50;50;,,,,,,,
229,圣诞礼物包,114,1,5761;5765;5768;5912;5767;5836;5850;5849;,20;10;4;20;10;13;13;10;,,,,,,,
230,高级圣诞礼物包,115,1,5913;5742;5756;5852;5853;5770;5851;5774;,20;25;20;10;10;5;5;5;,,,,,,,
231,豪华圣诞礼物包,116,1,5812;5854;5855;5856;5823;4694;4169;5859;,25;25;20;20;7;1;1;1,,,,,,,
232,祝福礼包,117,3,1288;6888;,20;15;,,,,,,,
233,祝福礼包,117,4,1288;6888;,20;15;,,,,,,,
234,祝福礼包,117,2,1000;,15;,,,,,,,
235,祝福礼包,117,1,5865;,15;,,,,,,,
236,超级乐透,118,1,4105;5866;5867;5868;5719;5721;,1;4;8;7;16;13;,,,,,,,
237,超级乐透,118,2,1000000;300000;200000;150000;,1;10;15;25;,,,,,,,
238,圣诞驯鹿包,119,1,5907;5908;,50;50;,,,,,,,
239,精灵变身包,120,1,5813;5814;5815;5816;5817;5818;5819;5820;5821;5822;,10;10;10;10;10;10;10;10;10;10;,,,,,,,
240,豪华圣诞礼物包,121,1,5914;5915;5916;5917;5918;5919;5920;5923;,25;25;20;20;7;1;1;1,,,,,,,
241,祝福礼包,122,1,5932;5933;5934;5935;5936;5937;,50;25;15;5;3.5;1.5;,,,,,,,
242,黄金宝盒(越南),123,2,300000;400000,20;20,,,,,,,
243,黄金宝盒(越南),123,1,5951;5952;5953;,20;20;20,,,,,,,
244,黄金宝盒(越南),124,2,300000;400000,20;20,,,,,,,
245,黄金宝盒(越南)不绑定,124,1,5954;5955;5956;,20;20;20,,,,,,,
246,铁匠的中礼包,125,1,5989,33,,,,,,,
247,铁匠的中礼包,125,1,5990,33,,,,,,,
248,铁匠的中礼包,125,1,5990,33,,,,,,,
249,铁匠的中礼包,125,1,5990,1,,,,,,,
250,铁匠的大礼包,126,1,5990,33,,,,,,,
251,铁匠的大礼包,126,1,5991,33,,,,,,,
252,铁匠的大礼包,126,1,5991,33,,,,,,,
253,铁匠的大礼包,126,1,5991,1,,,,,,,
254,铁匠的小礼包,127,1,5988,33,,,,,,,
255,铁匠的小礼包,127,1,5989,33,,,,,,,
256,铁匠的小礼包,127,1,5989,33,,,,,,,
257,铁匠的小礼包,127,1,5989,1,,,,,,,
258,慈云宝盒（韩国）,128,1,5984;5551;5983;1153;4776;4791;403;4996,0.5;0.5;3.5;14;13;13;9;9,,,,,,,
259,慈云宝盒（韩国）,128,2,500000;300000,22;15.5,,,,,,,
260,圣诞雪花包(台湾绑定),129,1,5808;5809;,50;50;,,,,,,,
261,Tui,130,1,8070;8071;8011;8014;8072;8073,10;10;15;15;25;25,,,,,,,
262,RuongMayDai,131,1,9000;9001;8011;8014;8070;8071;8072;8073;8067;8068;8065,15;15;4;4;1;1;5;5;20;20;10,,,,,,,
263,RuongMayTrung,132,1,8077;8078;9000;9001;8065;8020;8055;8049,6;6;10;10;4;22;20;22,,,,,,,
264,HopHoa15,133,1,9144;9145;9146;9147,25;25;25;25,,,,,,,
265,HopThuy15,134,1,9148;9149;9150;9151,25;25;25;25,,,,,,,
266,HopDoc15,135,1,9152;9153;9154;9155,25;25;25;25,,,,,,,
267,HopLoi15,136,1,9156;9157;9158;9159,25;25;25;25,,,,,,,
268,HopPhat15,137,1,9160;9161;9162;9163,25;25;25;25,,,,,,,
