short,备注,,bool,float[3],,string,,string,,,,string,string,,string,string,,string,string,string,string,string,string,string,float,int,float, ,string,string,,,,,,
5443,不用,,0,1;1;1,1,,,,b_hit,,5,,,,,,,,,,,,,,15,1,80,1,,,1,ic_default_face,,,,
5444,不用,,0,1;1;1,1,,,,b_hit,,5,,,,,,,,,,,,,,15,1,80,1,,,1,ic_default_face,,,,
5445,人参,,0,1;1;1,1,snpc210,,,b_hit,,5,,,,,,,,,,,,,,15,1,80,1,,,1,ic_npc210,,,,
5446,玉石项坠,,0,0.6;0.6;0.6,1,npc012,,,b_hit,,5,,,,,,,,,,,,,,15,1,80,1,,,1,ic_default_face,,,,
5447,失落的户籍册,,0,1;1;1,1,npc012,,,b_hit,,5,,,,,,,,,,,,,,15,1,80,1,,,1,ic_default_face,,,,
5448,亮银网,,0,1;1;1,1,npc211,,,b_hit,,5,,,,,,,,,,,,,,15,1,80,1,,,1,ic_npc211,,,,
5449,采石村民,,0,1;1;1,1,npc009,,,b_hit,,5,,,,,,,,,,,,,,15,1,80,1,,,1,ic_npc009,,,,
5451,奇怪的碎片,,0,0.3;0.3;0.3,1,npc_256,,,b_hit,,5,,,,,,,,,,,,,,15,1,80,1,,,1,ic_default_face,,,,
5452,流星巨人-陨石,,0,1.5;1.5;1.5,1,mon195_fly,,,,,5,,,,,,,,,,,,,,15,1,80,1,,,1,ic_mon195,,,,
5453,石堡守卫,,0,1.5;1.5;1.5,1,mon051_a,,,Bip01 Spine,,5,iwmon051_a,Bwp01,,,,,,,,,,,,15,1,162,1,,,1,ic_mon051_a,,,,
5454,石堡守卫,,0,1.5;1.5;1.5,1,mon051_a,,,Bip01 Spine,,5,iwmon051_a,Bwp01,,,,,,,,,,,,15,1,162,1,,,1,ic_mon051_a,,,,
5459,诡异的石头,,0,1;1;1,1,npc197,,,b_hit,,5,,,,,,,,,,,,,,15,1,80,1,,,1,ic_npc197,,,,
5460,红马,,0,0.6;0.6;0.6,0.3,ride005_a1,,,,,5,,,,,,,,,,,,,,15,1,80,1,,,1,ic_default_face,,,1,
5461,紫雷,,0,3;3;3,1,npc212,,,,,5,,,,,,,,,,,,,,15,1,80,1,,,1,ic_default_face,,,1,
5462,乾坤之墓,,0,0.5;0.5;0.5,1,npc213,,,b_hit,,5,,,,,,,,,,,,,,15,1,80,1,,,1,ic_default_face,,,,
5463,牙一族祭师FB,,0,2;2;2,0.5,mon211_c,,,b_hit,,5,,,,,,,,,,,,,,15,1,100,1,,,1,ic_mon211_c,,,,
5464,牙一族祭师长FB,,0,3;3;3,0.5,mon211_e,,,b_hit,,5,,,,,,,,,,,,,,15,1,100,1,,,1,ic_mon211_e,,,,
5465,牙一族战士FB,,0,2.5;2.5;2.5,1,mon211_a,,,b_hit,,5,,,,,,,,,,,,,,15,1,100,1,,,1,ic_mon211_a,,,,
5466,牙一族队长FB,,0,3.5;3.5;3.5,1,mon211_f,,,b_hit,,5,,,,,,,,,,,,,,15,1,100,1,,,1,ic_mon211_f,,,,
5467,牙一族巡游者FB,,0,2.5;2.5;2.5,1,mon211_b,,,b_hit,,5,,,,,,,,,,,,,,15,1,100,1,,,1,ic_mon211_b,,,,
5468,牢笼,,0,1;1;1,1,npc119,,,root,,5,,,,,,,,,,,,,,15,1,,3,,,1,ic_default_face,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5412,牙一族战士,,0,2;2;2,1,mon211_a,,,b_hit,,5,,,,,,,,,,,,,,15,1,100,1,,,1,ic_mon211_a,,,,
5413,牙一族巡游者,,0,2;2;2,1,mon211_b,,,b_hit,,5,,,,,,,,,,,,,,15,1,100,1,,,1,ic_mon211_b,,,,
5414,妖变的雕像,,0,2.4;2.4;2.4,1,mon212,,,b_hit,,5,,,,,,,,,,,,,,15,1,,4,eff_mon212_die,,1,ic_mon212,,,,
5450,刀魂,,0,1.2;1.2;1.2,1,mon215,,,Bip01 Spine,,5,,,,,,,,,,,,,,15,2,80,1,,,1,ic_mon215,,,,
5400,伍天赐,,0,1.3;1.3;1.3,1,npc195,,,b_hit,,5,,,,,,,,,,,,,,15,1,50,1,,,1,ic_npc195,,,,
5411,尸虫,,0,1.2;1.2;1.2,1,mon083,,mon210,Bcat_mon083 00,,5,,,,,,,,,,,,,,15,2,60,1,,,1,ic_mon210,,,,
5402,段石匠,,0,1;1;1,1,npc196,,,bip_npc015 Spine,,5,,,,,,,,,,,,,,15,1,60,1,,,1,ic_npc196,,,,
5418,鬼头兵,,0,2.5;2.5;2.5,1,mon214,,,B_hit,,5,,,,,,,,,,,,,,15,1,90,4,eff_mon214_die,,1,ic_mon214,,,,
5419,死灵,,0,1.7;1.7;1.7,1,mon213_a,,,b_hit,,5,,,,,,,,,,,,,,15,1,90,1,,,1,ic_mon213_a,,,,
5417,骷髅怪,,0,1.7;1.7;1.7,1,mon213_a,mon213_b,,b_hit,,5,,,,,,,,,,,,,,15,1,90,1,,,1,ic_mon213_b,,,,
5415,牙一族祭师,,0,1.8;1.8;1.8,1,mon211_c,,,b_hit,,5,,,,,,,,,,,,,,15,1,100,1,,,1,ic_mon211_c,,,,
5422,罗枭部众,,0,1.7;1.7;1.7,1,mon216,,,b_hit,,5,,,,,,,,,,,,,,15,1,60,1,,,1,ic_mon216,,,,
5423,食腐巨蜥,,0,1.4;1.4;1.4,1,mon217,,,b_hit,,5,,,,,,,,,,,,,,15,1,60,1,,,1,ic_mon217,,,,
5406,石奇,,0,1.25;1.25;1.25,1,npc190,,,b_hit,,5,iwea03_01,bDummy01,,iwea03_01,bDummy02,,,,,,,,,15,1,60,1,,,1,ic_npc190,,,,
5457,牙一族祭师FB,,0,1.8;1.8;1.8,1,mon211_e,,,b_hit,,5,,,,,,,,,,,,,,15,1,100,1,,,1,ic_mon211_e,,,,
5425,九幽行者,,0,1.8;1.8;1.8,1,mon218,,,b_hit,,5,,,,,,,,,,,,,,15,1,60,1,,,1,ic_mon218,,,,
5416,金牙族长,,0,3;3;3,1,mon211_d,,,b_hit,,5,,,,,,,,,,,,,,20,1,180,1,,,1,ic_mon211_d,,,,
5404,无因法师,,0,1;1;1,1,npc194,,,Bip01 Spine,,5,,,,,,,,,,,,,,15,1,60,1,,,1,ic_npc194,,,,
5408,苍龙居士,,0,1.25;1.25;1.25,1,npc192,,,Bip01 Spine,,5,,,,,,,,,,,,,,15,1,60,1,,,1,ic_npc192,,,,
5424,碧眼魔罗枭,,0,2.2;2.2;2.2,1,mon220,,,b_hit,,5,,,,,,,,,,,,,,15,2,80,4,eff_mon220_die,,1,ic_mon220,,,,
5427,铁面佛,,0,2.2;2.2;2.2,1,mon221,,,b_hit,,5,,,,,,,,,,,,,,15,2,80,1,,,1,ic_mon221,,,,
5456,牙一族战士FB,,0,2;2;2,1,mon211_f,,,b_hit,,5,,,,,,,,,,,,,,15,1,100,1,,,1,ic_mon211_f,,,,
5405,翔云,,0,1.2;1.2;1.2,1,npc189_a,,,Bip01 Spine,,5,,,,,,,,,,,,,,15,1,60,1,,,1,ic_npc189_a,,,,
5403,风纪中,,0,1.2;1.2;1.2,1,npc189_b,,,Bip01 Spine,,5,,,,,,,,,,,,,,15,1,60,1,,,1,ic_npc189_b,,,,
5407,屈才,,0,1.25;1.25;1.25,1,npc191,,,b_hit,,5,,,,,,,,,,,,,,15,1,60,1,,,1,ic_npc191,,,,
5426,枯骨魔,,0,1.3;1.3;1.3,1,mon219_a,,,Bip01 Neck,,5,,,,,,,,,,,,,,15,1,60,1,,,1,ic_mon219_a,,,,
5428,化骨老妖,,0,1.3;1.3;1.3,1,mon219_a,mon219_b,,Bip01 Neck,,5,,,,,,,,,,,,,,15,1,60,1,,,1,ic_mon219_b,,,,
5458,白骨神君,,0,3.5;3.5;3.5,1,mon222,,,b_hit,,5,,,,,,,,,,,,,,15,2,80,1,,,1,ic_mon222,,,,
5455,鬼头兵,,0,2.8;2.8;2.8,1,mon214,,,B_hit,,5,,,,,,,,,,,,,,15,1,90,4,eff_mon214_die,,1,ic_mon214,,,,
5469,虚灵（副本）,,0,2;2;2,1,mon065_d,,,b_hit,,5,,,,,,,,,,,,,,15,1,80,1,,,1,ic_mon065_d,,,,
5470,刀魂（副本）,,0,1.6;1.6;1.6,1,mon215,,,Bip01 Spine,,5,,,,,,,,,,,,,,15,2,80,1,,,1,ic_mon215,,,,
5471,罗枭部众（副本）,,0,1.8;1.8;1.8,1,mon216,,,b_hit,,5,,,,,,,,,,,,,,15,1,60,1,,,1,ic_mon216,,,,
5472,化骨老妖（副本）,,0,1.5;1.5;1.5,1,mon219_a,mon219_b,,Bip01 Neck,,5,,,,,,,,,,,,,,15,1,60,1,,,1,ic_mon219_b,,,,
5473,骷髅魔（副本）,,0,3;3;3,1,mon219_a,,,Bip01 Neck,,5,,,,,,,,,,,,,,15,1,60,1,,,1,ic_mon219_a,,,,
5474,鬼火,,0,1.5;1.5;1.5,1,mon004,,,Box01,,5,,,,,,,,,,,,,,15,1,80,1,,,1,ic_mon004,,,,
5475,良珠,,0,1;1;1,1,npc011_c,,,,,5,,,,,,,,,,,,,,15,1,,1,,,1,ic_npc011_c,,,,
5476,怀方,,0,1;1;1,1,mon098,mon126,,Bip01 Spine,,5,,,,,,,,,,,,,,15,1,131,1,,,1,ic_mon126,,,,
5477,心宝,,0,1;1;1,1,npc004,,,,,5,,,,,,,,,,,,,,15,1,,1,,,1,ic_npc004,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
