int,int,int,string,string,int,int,int,int,string,string
59,45,40,七星台出口,七星台入口,,55,99,20,,
60,46,41,七星台2层出口,七星台2层进口,,55,99,20,,
61,47,42,七星台3层出口,七星台3层进口,,55,99,20,,
62,48,43,七星台4层出口,七星台4层进口,,55,99,20,,
63,49,44,七星台5层出口,七星台5层进口,,55,99,20,,
64,50,45,副本出口,七星台出口,,55,99,20,,
65,51,52,文蛛区入口,文蛛区出口,,60,99,50,,
66,53,13,凝碧崖捷运驿站,天化村广场,,5,99,10,,
67,13,53,天化村广场,凝碧崖捷运驿站,,1,99,10,,
68,54,13,虎爪山捷运驿站,天化村广场,,10,99,15,,
69,13,54,天化村广场,虎爪山捷运驿站,,10,99,15,,
70,55,13,伤员营地捷运驿站,天化村广场,,10,99,15,,
71,13,55,天化村广场,伤员营地捷运驿站,,10,99,15,,
72,54,55,虎爪山捷运驿站,伤员营地捷运驿站,,10,99,15,,
73,55,54,伤员营地捷运驿站,虎爪山捷运驿站,,10,99,15,,
74,56,57,月龙村使者,月龙村传送使者,,61,99,2000,,
75,57,56,月龙村传送使者,月龙村使者,,1,99,2000,,
76,58,63,金护法元神,混沌之影,,66,99,25,,
77,59,64,木护法元神,混沌之影,,66,99,25,,
78,60,65,水护法元神,混沌之影,,66,99,25,,
79,61,66,火护法元神,混沌之影,,66,99,25,,
80,62,67,土护法元神,混沌之影,,66,99,25,,
81,63,58,混沌之影,金护法元神,,66,99,25,,
82,64,59,混沌之影,木护法元神,,66,99,25,,
83,65,60,混沌之影,水护法元神,,66,99,25,,
84,66,61,混沌之影,火护法元神,,66,99,25,,
85,67,62,混沌之影,土护法元神,,66,99,25,,
86,68,69,阴风洞尽头,人间地狱,,66,99,25,,
87,69,68,人间地狱,阴风洞尽头,,66,99,25,,
88,57,70,月龙村,66-67祭风台营地,,66,99,250,,
89,70,57,66-67祭风台营地,月龙村,,60,99,250,,
90,70,71,66-67祭风台营地,68-69蜈蚣山营地,,60,99,250,,
91,70,72,66-67祭风台营地,69-70鬼镇营地,,60,99,250,,
92,57,71,月龙村,68-69蜈蚣山营地,,66,99,250,,
93,71,57,68-69蜈蚣山营地,月龙村,,60,99,250,,
94,71,70,68-69蜈蚣山营地,66-67祭风台营地,,60,99,250,,
95,71,72,68-69蜈蚣山营地,66-67祭风台营地,,60,99,250,,
96,57,72,月龙村,69-70鬼镇营地,,66,99,500,,
97,72,57,69-70鬼镇营地,月龙村,,60,99,500,,
98,72,70,69-70鬼镇营地,66-67祭风台营地,,60,99,250,,
99,72,71,69-70鬼镇营地,68-69蜈蚣山营地,,60,99,250,,
100,73,74,暴雪竞技场入口,暴雪竞技场管理员,,65,99,1000,,
101,74,73,暴雪竞技场管理员,暴雪竞技场入口,,65,99,1000,,
102,32,75,成都城,成都西郊,,20,99,500,,
103,75,32,成都西郊,成都城,,20,99,500,,
104,76,57,月龙村观光使者,月龙村传送使者,,55,99,3000,,
105,32,77,成都城,丽江村,,25,99,500,,
106,77,32,丽江村,成都城,,25,99,500,,
107,75,77,成都西郊,丽江村,,25,99,300,,
108,77,75,丽江村,成都西郊,,25,99,300,,
109,78,82,云灵山营地斥候,冤死鬼魂,,10,99,1,,
110,79,82,慧岸行者,冤死鬼魂,,10,99,1,,
111,80,82,商队幸存者,冤死鬼魂,,10,99,1,,
112,81,82,商队队长,冤死鬼魂,,10,99,1,,
113,83,82,传送石,冤死鬼魂,,10,99,1,,
114,84,85,育成村,南疆大陆,,40,99,100,,
115,85,84,南疆大陆,育成村,,40,99,100,,
116,86,85,石笋坡,南疆大陆,,40,99,100,,
118,87,32,经石峪营地,成都城,,25,99,700,,
119,77,87,丽江村,经石峪营地,,30,99,700,,
120,87,77,经石峪营地,丽江村,,25,99,700,,
121,32,88,成都城,血神府,,30,99,400,,
122,88,32,血神府,成都成,,30,99,400,,
123,88,29,血神府,鬼哄森林,,45,99,400,,
124,89,70,百蛮山逍遥使者,66-67祭风台营地,,60,99,250,,
125,89,71,百蛮山逍遥使者,68-69蜈蚣山营地,,60,99,250,,
126,89,72,百蛮山逍遥使者,69-70鬼镇营地,,60,99,250,,
133,91,32,丽江村,成都城,,25,99,500,,
134,91,75,丽江村,成都西郊,,25,99,300,,
135,92,93,Star,"Tales Of Talisman",,75,999,100000,,
136,93,92,"Tales Of Talisman",Star,,1,999,2000,,
