,"comment:
npc名字",npcId,common,AI脚本,重生周期(秒),重生日程,派系ID,是否巡逻,巡逻路径,是否为闭合的环状巡逻路线,是否默认激活巡逻,是否主动攻击,是否首领,"随从id num;id num;",视野范围,控制范围,活动范围,胆量,UPDATA事件,特殊事件,出生时的动作时间,NPC发呆时间设置,关联npc响应,生命周期,备注
1844,枣红马干尸,5644,plant,,20,,0,0,,,,0,0,,60,800,0,1,,,,,,,
1845,人参,5645,plant,,20,,0,0,,,,0,0,,60,800,0,1,,,,,,,
1846,玉石项坠,5646,plant,,20,,0,0,,,,0,0,,60,800,0,1,,,,,,,
1847,失落的户籍册,5647,plant,,20,,0,0,,,,0,0,,60,800,0,1,,,,,,,
1848,亮银网,5648,plant,,20,,0,0,,,,0,0,,60,800,0,1,,,,,,,
1849,采石村民,5649,common,,30,,0,0,,,,0,0,,60,800,0,1,,,,,,,
1850,刀魂,5650,monster,,30,,0,0,,,,1,0,,60,800,100,1,,,,,,,
1851,奇怪的碎片,5651,common,,30,,0,0,,,,0,0,,60,800,0,1,,,,,,,
1852,诡异的石头,5652,common,,30,,0,0,,,,0,0,,60,800,0,1,,,,,,,
1853,天外飞石,5653,common,,30,,0,0,,,,0,0,,60,800,0,1,,OnCreate;,,,,,
1854,石堡守卫,5654,monster,,30,,0,1,"-1357 219;-1358 221;-1355 233;-1347 239;-1327 240;-1308 239;-1297 236;-1298 219;-1298 198;-1301 184;-1317 181;-1338 183;-1353 185;-1357 202;-1357 206;",1,1,1,0,,60,800,100,1,,,,,,,
1855,石堡守卫,5655,monster,,30,,0,1,"-1357 206;-1357 202;-1353 185;-1338 183;-1317 181;-1301 184;-1298 198;-1298 219;-1297 236;-1308 239;-1327 240;-1347 239;-1355 233;-1358 221;-1357 219;",1,1,1,0,,60,800,100,1,,,,,,,
1856,奔跑的死马,5656,common,,30,,0,1,"-1540 25;-1549 41;-1571 46;-1595 48;-1619 49;-1642 54;-1667 56;-1692 54;-1707 62;-1722 80;-1742 96;-1751 109;-1751 129;-1740 143;-1721 152;-1701 168;-1694 183;-1688 191;-1680 201;-1670 208;-1660 216;-1645 226;-1644 227;",1,1,0,0,,60,800,0,1,,"OnArrive 0;",,,,,
1857,鬼头兵（护送）,5657,monster,,30,,0,0,,,,1,0,,60,800,100,1,,,,,,,
1858,鬼头兵队长（护送）,5658,monster,,30,,0,0,,,,1,0,,60,800,100,1,,,,,,,
1859,白骨神君,5659,monster,,86400,,0,0,,,,1,0,,220,10000,0,1,,OnEnterBattle;,,,,,
1860,经石峪驿站邮件管理员,5660,common,,30,,0,0,,,,0,0,,60,800,0,1,,,,,,,
1861,经石峪仓库管理,5661,common,,30,,0,0,,,,0,0,,60,800,0,1,,,,,,,
1862,经石峪捷运驿站,5662,common,,30,,0,0,,,,0,0,,60,800,0,1,,,,,,,
1863,经石峪铁匠,5663,common,,30,,0,0,,,,0,0,,60,800,0,1,,,,,,,
1864,紫竹林防线铁匠,5664,common,,30,,0,0,,,,0,0,,60,800,0,1,,,,,,,
1865,经石峪药师,5665,common,,30,,0,0,,,,0,0,,60,800,0,1,,,,,,,
1866,紫竹林防线药师,5666,common,,30,,0,0,,,,0,0,,60,800,0,1,,,,,,,
1867,飞雷（飞雷岭）,5667,null,,3,,0,0,,,,0,0,,60,800,0,1,,,,,,1,
1868,飞雷（虚灵塔）,5668,null,,3,,0,0,,,,0,0,,60,800,0,1,,,,,,1,
1869,乾坤之墓,5669,plant,,20,,0,0,,,,0,0,,60,800,0,1,,,,,,15,
1870,牙一族战士（副本）,5670,monster,,86400,,5670,0,,,,1,0,,150,10000,0,1,,,,,,,
1871,祭祀之魂（副本）,5671,monster,,86400,,5670,0,,,,1,0,,150,10000,0,1,,,,,,,
1872,牙一族祭司长（副本）,5672,monster,,86400,,5670,0,,,,1,0,,220,10000,100,1,,,,,,,
1873,牙一族冲锋队长(副本),5673,monster,,86400,,5670,1,"682 1411;697 1398;697 1379;690 1356;673 1353;674 1373;678 1397;685 1412;",1,1,1,0,,220,10000,0,1,,,,,,,
1874,牙一族巡游者（副本）,5674,monster,,86400,,5670,0,,,,1,0,,150,10000,0,1,,,,,,,
1875,金牙族长（副本）,5675,monster,,86400,,5670,0,,,,1,0,,220,10000,0,1,,"OnCreate;OnDead;OnHpLower 80|50|30;",3000,3,,,
1876,幽暗密林副本入口NPC,5676,common,,30,,0,0,,,,0,0,,200,10000,0,1,,,,,,,
1877,幽暗密林副本出口NPC,5677,common,,30,,0,0,,,,0,0,,200,10000,0,1,,,,,,,
1878,牢笼1,5678,common,,86400,,0,0,,,,0,0,,60,800,0,1,,,,,,,
1879,牢笼2,5679,common,,86400,,0,0,,,,0,0,,60,800,0,1,,,,,,,
1880,牢笼3,5680,common,,86400,,0,0,,,,0,0,,60,800,0,1,,,,,,,
1881,采石工人,5681,common,,86400,,0,0,,,,0,0,,60,800,0,1,,OnInteractive;OnDead,,,,,
1882,采石工人,5682,common,,86400,,0,0,,,,0,0,,60,800,0,1,,OnInteractive;OnDead,,,,,
1883,心宝(不可点),5683,common,,86400,,0,0,,,,0,0,,60,800,0,1,,,,,,,
1884,心宝,5684,common,,86400,,0,1,"795 1681;805 1678;803 1665;787 1649;773 1632;760 1615;752 1595;746 1574;735 1555;719 1540;698 1536;677 1534;656 1531;635 1524;616 1515;599 1502;594 1482;590 1460;586 1439;583 1418;580 1396;575 1376;570 1359;",,,0,0,,60,800,0,1,,"OnTaskAccept 1820;OnArrive 0;OnHpLower 80|60|40|20;",,,,,
1885,牙一族巡游者（副本）,5685,monster,,86400,,5670,1,"584 1430;583 1452;586 1475;593 1497;606 1517;619 1537;641 1546;660 1536;659 1521;639 1516;618 1512;604 1494;599 1472;598 1449;592 1433;",1,1,1,1,"5688 2",200,10000,999,1,,,,,,,
1886,牙一族巡游者（副本）,5686,monster,,86400,,5670,1,"714 1531;708 1542;717 1547;735 1560;749 1579;769 1590;791 1596;815 1597;837 1594;859 1597;863 1586;841 1590;818 1596;795 1598;772 1592;754 1599;762 1620;769 1641;766 1663;761 1685;750 1696;748 1680;757 1660;767 1639;762 1617;754 1596;745 1575;732 1557;713 1544;706 1540;",1,1,1,1,"5688 2",200,10000,999,1,,,,,,,
1887,牙一族巡游者（副本）,5687,monster,,86400,,5670,1,"772 1592;754 1599;762 1620;769 1641;766 1663;761 1685;750 1696;748 1680;757 1660;767 1639;762 1617;754 1596;745 1575;732 1557;713 1544;706 1540;714 1531;708 1542;717 1547;735 1560;749 1579;769 1590;791 1596;815 1597;837 1594;859 1597;863 1586;841 1590;818 1596;795 1598;",1,1,1,1,"5688 2",200,10000,999,1,,,,,,,
1888,牙一族巡游者随从（副本）,5688,monster,,86400,,5670,1,"772 1592;754 1599;762 1620;769 1641;766 1663;761 1685;750 1696;748 1680;757 1660;767 1639;762 1617;754 1596;745 1575;732 1557;713 1544;706 1540;714 1531;708 1542;717 1547;735 1560;749 1579;769 1590;791 1596;815 1597;837 1594;859 1597;863 1586;841 1590;818 1596;795 1598;",,1,1,0,,200,10000,999,1,,,,,,,
1889,虚灵（副本）,5689,monster,,86400,,5689,0,,,,1,0,,220,10000,50,1,,,,,,,
1890,刀魂（副本）,5690,monster,,86400,,5689,0,,,,1,0,,220,10000,50,1,,,,,,,
1891,罗枭部众（副本）,5691,monster,,86400,,5689,0,,,,1,0,,220,10000,0,1,,,,,,,
1892,枯骨魔（副本）,5692,monster,,86400,,5689,0,,,,1,0,,220,10000,0,1,,,,,,,
1893,化骨老妖（副本）,5693,monster,,86400,,5689,1,"-593 1612;-593 1626;-594 1650;-596 1672;-605 1688;-625 1690;-647 1691;-669 1692;-690 1692;-704 1691;",,,1,0,,220,10000,0,1,,,,,,,
1894,幽暗密林副本入口NPC,5694,common,,30,,0,0,,,,0,0,,200,10000,0,1,,,,,,,
1895,幽暗密林副本出口NPC,5695,common,,30,,0,0,,,,0,0,,200,10000,0,1,,,,,,,
1896,紫竹林民兵,5696,common,,30,,0,0,,,,1,0,,60,800,0,1,,,,,,,
1897,紫竹林民兵,5697,common,,30,,0,0,,,,1,0,,60,800,0,1,,,,,,,
1898,紫竹林民兵,5698,common,,30,,0,0,,,,1,0,,60,800,0,1,,,,,,,
1899,紫竹林民兵,5699,common,,30,,0,0,,,,1,0,,60,800,0,1,,,,,,,
1900,紫竹林民兵,5700,common,,30,,0,0,,,,1,0,,60,800,0,1,,,,,,,
1901,紫竹林民兵,5701,common,,30,,0,0,,,,1,0,,60,800,0,1,,,,,,,
