基本,,,,,,,,,,,属性,,,,,,,,,,,,,,,,,,,,,,,给予,给予,,,,,,,,,,,,,,其他,,,,,,,,,小宠物专用,小宠物/战斗宠物,属于哪一个城战区,,,,
编号,名字,名字,类型,鼠标选择,类型细分,模型ID,可否被玩家攻击,可驯服类型,资源类型,尸体存在时间,等级,精英比率,伤害比率,头衔,血条层数,效果免疫,技能免疫,血值,魔法,攻击,伤害,闪避率,防御,默认普通攻击,技能,宠物技能(包括战斗宠物和傀儡),元素伤害,元素防御,攻击距离,移动速度,攻击速度,经验,灵力,金钱,金钱掉落几率,掉落类型,掉落道具,颜色概率,掉落道具等级调整,独立掉落道具,独立颜色概率,独立掉落道具等级调整,独立掉落率,固定掉落数量,随机坐标,地图坐标,功能,默认对话,可接受的任务,可完成的任务,关联任务,传送点,辅助技能,所属势力,声望奖励,对应增益性buf,适合的食物,居住地,离开视野缓存,NPC相对性,随从开关,是否显示附近NPC,备注,
5509,躲藏的孩子 3,$L:npc_5509$,1,3,,5309,0,,,100,30,,,0,,,,983 ,120 ,0,76 ,32 ,569 ,20,,,,569;569;569;569;569,60,60,3,205 ,34 ,42 ,0.5,,,0.1;0;0;,,,,,,,,,talk;,,,,1721,,,,,,,,,,,,,
5510,春晓,$L:npc_5510$,1,0,,5310,0,,,100,30,,,0,,,,983 ,120 ,0,76 ,32 ,569 ,20,,,,569;569;569;569;569,60,60,3,205 ,34 ,42 ,0.5,,,0.1;0;0;,,,,,,,,,talk;,,,,1722,,,,,,,,,,,,,
5511,丽江村财主,$L:npc_5511$,1,3,,5311,0,,,100,30,,,0,,,,983 ,120 ,0,76 ,32 ,569 ,20,,,,569;569;569;569;569,60,60,3,205 ,34 ,42 ,0.5,,,0.1;0;0;,,,,,,,,-711;-485;1,talk;task,talk/npc_talk_5511.xml,1732;960,1734;1733,,,,,,,,,,,,1,,
5512,厨子,$L:npc_5512$,1,3,,5312,0,,,100,30,,,0,,,,983 ,120 ,0,76 ,32 ,569 ,20,,,,569;569;569;569;569,60,60,3,205 ,34 ,42 ,0.5,,,0.1;0;0;,,,,,,,,-681;-487;1,talk;task,talk/npc_talk_5512.xml,1729;1730,1729,,,,,,,,,,,,1,,
5513,花灯店老板娘,$L:npc_5513$,1,3,,5313,0,,,100,30,,,0,,,,983 ,120 ,0,76 ,32 ,569 ,20,,,,569;569;569;569;569,60,60,3,205 ,34 ,42 ,0.5,,,0.1;0;0;,,,,,,,,-750;-470;1,talk;task,talk/npc_talk_5513.xml,1733,1732,,,,,,,,,,,,,,
5514,山鸡,$L:npc_5514$,1,3,,5314,1,,,100,27,,,0,,,,836 ,120 ,0,66 ,29 ,520 ,20,,,,520;520;520;520;520,60,60,3,190 ,32 ,38 ,0.5,1,802;,0.1;0;0;,"-1,1;",6022;4508,0;0;0;0;0;0;0;,"0,0;0,0;",0.3;0.13,,,-878;-465;1,talk;task,talk/npc_talk_5514.xml,,,1731,,,,,,,,,,,1,,
5515,果园农夫,$L:npc_5515$,1,3,,5315,0,,,100,30,,,0,,,,983 ,120 ,0,76 ,32 ,569 ,20,,,,569;569;569;569;569,60,60,3,205 ,34 ,42 ,0.5,,,0.1;0;0;,,,,,,,,-665;-431;1,talk;task,talk/npc_talk_5515.xml,1723,1723,,,,,,,,,,,,1,,
5516,果园农妇,$L:npc_5516$,1,3,,5316,0,,,100,30,,,0,,,,983 ,120 ,0,76 ,32 ,569 ,20,,,,569;569;569;569;569,60,60,3,205 ,34 ,42 ,0.5,,,0.1;0;0;,,,,,,,,-660;-431;1,talk;task,talk/npc_talk_5516.xml,1724,1724,,,,,,,,,,,,1,,
5517,粮仓守卫,$L:npc_5517$,1,3,,5317,0,,,100,30,,,0,,,,983 ,120 ,0,76 ,32 ,569 ,20,,,,569;569;569;569;569,60,60,3,205 ,34 ,42 ,0.5,,,0.1;0;0;,,,,,,,,-664;-350;1,talk;task,talk/npc_talk_5517.xml,1725,1725,,,,,,,,,,,,,,
5518,怪蝎,$L:npc_5518$,1,3,,5318,1,2,,100,26,,,0,,,,790 ,288 ,0,63 ,28 ,504 ,20,,"1145,1",,504;504;504;504;504,60,120,3,185 ,31 ,38 ,0.5,1,702;,0.1;0;0;,"-1,1;",6022;4508,0;0;0;0;0;0;0;,"0,0;0,0;",0.3;0.13,,,-798;-387;1,,,,,1702,,,,,,2,,,,,,,
5519,杉林小妖,$L:npc_5519$,1,3,,5319,1,,,100,27,,,0,,,,836 ,288 ,0,66 ,29 ,520 ,20,,,,520;520;520;520;520,60,120,3,190 ,32 ,38 ,0.5,1,802;,0.1;0;0;,"-1,1;",6022;4508,0;0;0;0;0;0;0;,"0,0;0,0;",0.3;0.13,,,-890;-285;1,,,,,1708,,,,,,,,,,,,,
5520,剑灵护卫,$L:npc_5520$,1,3,,5320,1,,,100,28,,,0,,,,883 ,288 ,0,69 ,30 ,536 ,20,,,,536;536;536;536;536,60,120,3,195 ,33 ,40 ,0.5,1,202;,0.1;0;0;,"-1,1;",6022;4508,0;0;0;0;0;0;0;,"0,0;0,0;",0.3;0.13,,,-890;-200;1,,,,,1709,,,,,,,,,,,,,
5521,黑土山怪,$L:npc_5521$,1,3,,5321,1,,,100,28,,,0,,,,883 ,288 ,0,69 ,30 ,536 ,20,,,,536;536;536;536;536,60,120,3,195 ,33 ,40 ,0.5,1,202;,0.1;0;0;,"-1,1;",6022;4508,0;0;0;0;0;0;0;,"0,0;0,0;",0.3;0.13,,,-950;-172;1,,,,,1713,,,,,,,,,,,,,
5522,嗜血变形虫,$L:npc_5522$,1,3,,5322,1,2,,100,29,,,0,,,,932 ,288 ,0,73 ,31 ,553 ,20,,"1145,1",,553;553;553;553;553,60,120,3,200 ,33 ,40 ,0.5,1,902;,0.1;0;0;,"-1,1;",6022;4508,0;0;0;0;0;0;0;,"0,0;0,0;",0.3;0.13,,,-915;-76;1,,,,,1714,,,,,,2,,,,,,,
5523,栖云道士,$L:npc_5523$,1,3,,5323,1,,,100,30,,,0,,,,983 ,288 ,0,76 ,32 ,569 ,1261,,,,569;569;569;569;569,200,120,3,205 ,34 ,42 ,0.5,1,902;,0.1;0;0;,"-1,1;",6022;4508,0;0;0;0;0;0;0;,"0,0;0,0;",0.3;0.13,,,-850;-115;1,,,,,1716,,,,,,,,,,,,,
5524,水怪,$L:npc_5524$,1,3,,5324,1,,,100,26,,,0,,,,790 ,288 ,0,63 ,28 ,504 ,20,,,,504;504;504;504;504,60,120,3,185 ,31 ,38 ,0.5,1,702;,0.1;0;0;,"-1,1;",6022;4508,0;0;0;0;0;0;0;,"0,0;0,0;",0.3;0.13,,,-928;-371;1,,,,,1727;1732,,,,,,,,,,,,,
5525,树虫,$L:npc_5525$,1,3,,5325,1,2,,100,27,,,0,,,,836 ,288 ,0,66 ,29 ,520 ,20,,"1145,1",,520;520;520;520;520,60,120,3,190 ,32 ,38 ,0.5,1,802;,0.1;0;0;,"-1,1;",6022;4508,0;0;0;0;0;0;0;,"0,0;0,0;",0.3;0.13,,,-694;-376;1,,,,,1724,,,,,,2,,,,,,,
5526,旅鼠,$L:npc_5526$,1,3,,5326,1,2,,100,28,,,0,,,,883 ,288 ,0,69 ,30 ,536 ,20,,"1145,1",,536;536;536;536;536,60,120,3,195 ,33 ,40 ,0.5,1,202;,0.1;0;0;,"-1,1;",6022;4508,0;0;0;0;0;0;0;,"0,0;0,0;",0.3;0.13,,,-654;-328;1,,,,,1725,,,,,,2,,,,,,,
5527,杉林精怪,$L:npc_5527$,1,3,,5327,1,,,100,26,3,2.5,1,,,,790 ,288 ,0,63 ,28 ,504 ,20,,,,504;504;504;504;504,60,120,3,185 ,31 ,38 ,0.5,1,702;,0.1;0;0;,"-1,1;",6022;4508,0;0;0;0;0;0;0;,"0,0;0,0;",0.3;0.13,,,-809;-42;1,,,,,1739,,,,,,,,,,,,,
5528,鸩鸟,$L:npc_5528$,1,3,,5328,1,,,100,27,3,2.5,1,,,,836 ,288 ,0,66 ,29 ,520 ,20,,,,520;520;520;520;520,60,120,3,190 ,32 ,38 ,0.5,1,802;,0.1;0;0;,"-1,1;",6022;4508,0;0;0;0;0;0;0;,"0,0;0,0;",0.3;0.13,,,-809;-42;1,,,,,1737,,,,,,,,,,,,,
5529,黑土石妖,$L:npc_5529$,1,3,,5329,1,,,100,28,3,2.5,1,,,,883 ,288 ,0,69 ,30 ,536 ,20,,,,536;536;536;536;536,60,120,3,195 ,33 ,40 ,0.5,1,202;,0.1;0;0;,"-1,1;",6022;4508,0;0;0;0;0;0;0;,"0,0;0,0;",0.3;0.13,,,-809;-42;1,,,,,1736,,,,,,,,,,,,,
5530,怨念剑灵,$L:npc_5530$,1,3,,5330,1,,,100,29,3,2.5,1,,,,932 ,288 ,0,73 ,31 ,553 ,20,,,,553;553;553;553;553,60,120,3,200 ,33 ,40 ,0.5,1,902;,0.1;0;0;,"-1,1;",6022;4508,0;0;0;0;0;0;0;,"0,0;0,0;",0.3;0.13,,,-809;-42;1,,,,,1736,,,,,,,,,,,,,
5531,狂蟒,$L:npc_5531$,1,3,,5331,1,,,100,28,5,2,1,,,,4416 ,120 ,0,139 ,30 ,536 ,20,,,,536;536;536;536;536,60,120,3,975 ,163 ,200 ,0.5,2,4010;,0.3;0;0;,"-1,1;",6022,0;0;0;0;0;0;0;,"0,0;",0.3,1,,-985;-385;1,talk;,talk/npc_talk_5531.xml,,,1728,,,,,,,,,,1,,,
5532,唐周,$L:npc_5532$,1,3,,5332,0,,,100,29,3,1.5,1,,,,2797 ,120 ,0,109 ,31 ,553 ,20,,,,553;553;553;553;553,60,120,3,600 ,100 ,120 ,0.5,2,4010;,0.3;0;0;,"-1,1;",6022,0;0;0;0;0;0;0;,"0,0;",0.3,1,,-832;-283;1,talk;shop;,,,,1715,,,,,,,,,,1,,,
5533,柳燕娘,$L:npc_5533$,1,3,,5333,1,,,100,30,5,2,1,,,,4914 ,120 ,0,152 ,32 ,569 ,20,,,,569;569;569;569;569,60,120,3,1025 ,171 ,210 ,0.5,2,4005;,0.3;0;0;,"-1,1;",6022,0;0;0;0;0;0;0;,"0,0;",0.3,1,,-970;-110;1,talk;,talk/npc_talk_5533.xml,,,1718,,,,,,,,,,1,,,
5534,五凤草,$L:npc_5534$,2,1,,5334,0,,,0,25,,,0,,,,745 ,120 ,0,60 ,27 ,488 ,20,,,,488;488;488;488;488,60,120,3,180 ,30 ,0 ,0.5,,,0.05;0;0;,,,,,,,,-798;-387;1,,,,,1701,,,,,,,,,,,,,
5535,元磁极石,$L:npc_5535$,2,1,,5335,0,,,0,25,,,0,,,,745 ,120 ,0,60 ,27 ,488 ,20,,,,488;488;488;488;488,60,120,3,180 ,30 ,0 ,0.5,,,0.05;0;0;,,,,,,,,-890;-285;1,,,,,1711,,,,,,,,,,,,,
5536,小宝箱,$L:npc_5536$,2,1,,5336,0,,,0,25,,,0,,,,745 ,120 ,0,60 ,27 ,488 ,20,,,,488;488;488;488;488,60,120,3,180 ,30 ,15 ,1,,,0.05;0;0;,,,,,,,,-850;-115;1,,,,,1719,,,,,,,,,,,,,
5537,鱼网,$L:npc_5537$,2,1,,5337,0,,,0,25,,,0,,,,745 ,120 ,0,60 ,27 ,488 ,20,,,,488;488;488;488;488,60,120,3,180 ,30 ,0 ,0.5,,,0.05;0;0;,,,,,,,,-895;-403;1,,,,,1726,,,,,,,,,,,,,
5538,装满水果的果筐,$L:npc_5538$,2,1,,5338,0,,,0,25,,,0,,,,745 ,120 ,0,60 ,27 ,488 ,20,,,,488;488;488;488;488,60,120,3,180 ,30 ,0 ,0.5,,,0.05;0;0;,,,,,,,,-694;-376;1,,,,,1723,,,,,,,,,,,,,
5539,粮袋,$L:npc_5539$,2,1,,5339,0,,,0,25,,,0,,,,745 ,120 ,0,60 ,27 ,488 ,20,,,,488;488;488;488;488,60,120,3,180 ,30 ,0 ,0.5,,,0.05;0;0;,,,,,,,,-654;-328;1,,,,,1725,,,,,,,,,,,,,
5540,竹子,$L:npc_5540$,2,1,,5340,0,,,0,25,,,0,,,,745 ,120 ,0,60 ,27 ,488 ,20,,,,488;488;488;488;488,60,120,3,180 ,30 ,0 ,0.5,,,0.05;0;0;,,,,,,,,-800;-465;1,,,,,,,,,,,,,,,,,,
5541,紫水晶球,$L:npc_5541$,2,1,,5341,0,,,100,27,,,0,,,,836 ,288 ,0,66 ,29 ,520 ,20,,,,520;520;520;520;520,60,120,3,1 ,1 ,0 ,0,,,0.1;0;0;,,,,,,,,-850;-68;1,,,,,1717,,,,,,,,,,,,,
5542,李元化原神,$L:npc_5542$,1,3,,5342,0,,,100,30,,,0,,,,983 ,120 ,0,76 ,32 ,569 ,20,,,,569;569;569;569;569,60,60,3,205 ,34 ,42 ,0.5,,,0.1;0;0;,,,,,,,,-907;-111;1,talk;task,talk/npc_talk_5542.xml,1712;1716;1717;1718;1720;1738;1739,1711;1715;1716;1717;1718;1738;1739,,,,,,,,,,,,1,,
5543,颠狂道人,$L:npc_5543$,1,3,,5323,0,,,100,30,,,0,,,,983 ,120 ,0,76 ,32 ,569 ,20,,,,569;569;569;569;569,60,60,3,205 ,34 ,42 ,0.5,,,0.1;0;0;,,,,,,,,-809;-42;1,talk;task,talk/npc_talk_5543.xml,,,,,,,,,,,,,,1,,
5544,迷茫的精怪,$L:npc_5544$,1,3,,5344,0,,,100,30,,,0,,,,983 ,120 ,0,76 ,32 ,569 ,20,,,,569;569;569;569;569,60,60,3,205 ,34 ,42 ,0.5,,,0.1;0;0;,,,,,,,,,talk;task,talk/npc_talk_5544.xml,,,,,,,,,,,,,,,,
5545,丽江村铁匠,$L:npc_5545$,1,3,,5345,0,,,100,30,,,0,,,,983 ,120 ,0,76 ,32 ,569 ,20,,,,569;569;569;569;569,60,60,3,205 ,34 ,42 ,0.5,,,0.1;0;0;,,,,,,,,-720;-450;1,talk;shop;identify;smithing;life_skill;task,talk/npc_talk_5545.xml,,,,,12;15;,,,,,,,,,1,,
5546,丽江村仓库管理员,$L:npc_5546$,1,3,,5346,0,,,100,30,,,0,,,,983 ,120 ,0,76 ,32 ,569 ,20,,,,569;569;569;569;569,60,60,3,205 ,34 ,42 ,0.5,,,0.1;0;0;,,,,,,,,-695;-452;1,talk;bank;pet;task,talk/npc_talk_5546.xml,,,,,,,,,,,,,,1,,
5547,丽江村邮件管理员,$L:npc_5547$,1,3,,5347,0,,,100,30,,,0,,,,983 ,120 ,0,76 ,32 ,569 ,20,,,,569;569;569;569;569,60,60,3,205 ,34 ,42 ,0.5,,,0.1;0;0;,,,,,,,,-701;-459;1,mail;task;,talk/npc_talk_5547.xml,,,,,,,,,,,,,,1,,
5548,丽江村驿站管理员,$L:npc_5548$,1,3,,5348,0,,,100,30,,,0,,,,983 ,120 ,0,76 ,32 ,569 ,20,,,,569;569;569;569;569,60,60,3,205 ,34 ,42 ,0.5,,,0.1;0;0;,,,,,,,,-706;-447;1,talk;traffic,talk/npc_talk_5548.xml,,,,77,,,,,,,,,,,,
5549,柳燕娘的原神,$L:npc_5549$,1,3,,5355,1,,,600,30,10,3,1,,,4;,9828 ,120 ,0,228 ,32 ,569 ,20,"1315,0.1;",,,569;569;569;569;569,60,120,3,2050 ,342 ,420 ,0.5,5,4011;4012;,0.3;0;0;,"0,0;0,0;",6022,0;0;0;0;0;0;0;,"0,0;",0.3,2,,-809;-42;1,talk;,talk/npc_talk_5549.xml,,,1738,,,,,,,,,,,,,
5550,蓝色鼎,$L:npc_5550$,1,3,,5349,0,,,100,99,8,3,0,,,,90305 ,120 ,0,2090 ,94 ,6760 ,20,,,,6760;6760;6760;6760;6760,60,120,3,1 ,1 ,,,,,,,,,,,,,-970;-110;1,talk;,talk/npc_talk_5550.xml,,,,,,,,,,,,,,,,
5551,红色鼎,$L:npc_5551$,1,3,,5350,0,,,100,27,8,3,0,,,,6685 ,120 ,0,198 ,29 ,520 ,20,,,,520;520;520;520;520,60,120,3,1 ,1 ,,,,,,,,,,,,,-970;-110;1,,,,,,,,,,,,,,1,,,,
5552,分界大门,$L:npc_5552$,5,0,,5295,0,,,0,30,10,3,0,,,,9828 ,120 ,0,228 ,32 ,569 ,20,,,,569;569;569;569;569,60,120,3,1 ,1 ,,,,,,,,,,,,,-970;-110;1,talk;,,,,,,,,,,,,,,,,,
5553,召唤_剑灵,$L:npc_5553$,1,3,,5352,1,,,100,26,2.5,2,1,,,,790 ,288 ,0,63 ,28 ,504 ,20,,,,504;504;504;504;504,60,120,3,185 ,31 ,38 ,0.5,1,702;,0.1;0;0;,"-1,1;",6022;4508,0;0;0;0;0;0;0;,"0,0;0,0;",0.3;0.13,,,-890;-200;1,,,,,,,,,,,,,,1,,,,
5554,召唤_剑灵,$L:npc_5554$,1,3,,5352,1,,,100,26,2.5,2,1,,,,790 ,288 ,0,63 ,28 ,504 ,20,,,,504;504;504;504;504,60,120,3,185 ,31 ,38 ,0.5,1,702;,0.1;0;0;,"-1,1;",6022;4508,0;0;0;0;0;0;0;,"0,0;0,0;",0.3;0.13,,,-890;-200;1,,,,,,,,,,,,,,1,,,,
5555,召唤_剑灵,$L:npc_5555$,1,3,,5352,1,,,100,26,2.5,2,1,,,,790 ,288 ,0,63 ,28 ,504 ,20,,,,504;504;504;504;504,60,120,3,185 ,31 ,38 ,0.5,1,702;,0.1;0;0;,"-1,1;",6022;4508,0;0;0;0;0;0;0;,"0,0;0,0;",0.3;0.13,,,-890;-200;1,,,,,,,,,,,,,,1,,,,
5556,召唤_石妖,$L:npc_5556$,1,3,,5353,1,,,100,26,2.5,2,1,,,,790 ,288 ,0,63 ,28 ,504 ,20,,,,504;504;504;504;504,60,120,3,185 ,31 ,38 ,0.5,1,702;,0.1;0;0;,"-1,1;",6022;4508,0;0;0;0;0;0;0;,"0,0;0,0;",0.3;0.13,,,-850;-115;1,,,,,,,,,,,,,,1,,,,
5557,召唤_石妖,$L:npc_5557$,1,3,,5353,1,,,100,26,2.5,2,1,,,,790 ,288 ,0,63 ,28 ,504 ,20,,,,504;504;504;504;504,60,120,3,185 ,31 ,38 ,0.5,1,702;,0.1;0;0;,"-1,1;",6022;4508,0;0;0;0;0;0;0;,"0,0;0,0;",0.3;0.13,,,-850;-115;1,,,,,,,,,,,,,,1,,,,
5558,召唤_石妖,$L:npc_5558$,1,3,,5353,1,,,100,26,2.5,2,1,,,,790 ,288 ,0,63 ,28 ,504 ,20,,,,504;504;504;504;504,60,120,3,185 ,31 ,38 ,0.5,1,702;,0.1;0;0;,"-1,1;",6022;4508,0;0;0;0;0;0;0;,"0,0;0,0;",0.3;0.13,,,-850;-115;1,,,,,,,,,,,,,,1,,,,
5559,召唤_大妖,$L:npc_5559$,1,3,,5354,1,,,600,27,5,3,1,,,,4178 ,120 ,0,198 ,29 ,520 ,20,,,,520;520;520;520;520,60,120,3,950 ,158 ,190 ,0.5,5,4011;,0.3;0;0;,"0,0;",6022,0;0;0;0;0;0;0;,"0,0;",0.3,1,,-970;-110;1,talk;,,,,,,,,,,,,,1,,,,
5560,结晶虫,$L:npc_5560$,1,3,,5168,1,,,100,28,1,1,0,,,,883 ,120,0,69 ,19 ,536 ,20,,,,536;536;536;536;536,60,150,3,195 ,33 ,545 ,0,1,202;,0.1;0;0;,"-1,1;",6022;4508,0;0;0;0;0;0;0;,"0,0;0,0;",0.3;0.13,,,-850;-68;1,,,,,1717,,,,,,,,1,,,#REF!,,
5561,蓝色鼎,$L:npc_5550$,1,3,,5349,0,,,100,99,8,3,0,,,,90305 ,120 ,0,2090 ,94 ,6760 ,20,,,,6760;6760;6760;6760;6760,60,120,3,1 ,1 ,,,,,,,,,,,,,-970;-110;1,,,,,,,,,,,,,,,,,,
5562,小雪狐,$L:npc_5562$,1,3,,5356,0,,,100,30,,,0,,,,983 ,120 ,0,76 ,32 ,569 ,20,,,,569;569;569;569;569,60,60,3,205 ,34 ,42 ,0.5,,,0.1;0;0;,,,,,,,,,talk;task,talk/npc_talk_5562.xml,,,,,,,,,,,,,,1,,
5563,丽江村驿站管理员（未开放飞雷岭）,$L:npc_5548$,1,3,,5348,0,,,100,30,,,0,,,,983 ,120 ,0,76 ,32 ,569 ,20,,,,569;569;569;569;569,60,60,3,205 ,34 ,42 ,0.5,,,0.1;0;0;,,,,,,,,-706;-447;1,talk;traffic,talk/npc_talk_5548.xml,,,,91,,,,,,,,,,,,
