33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,说明,门派,部位,,品质,价值倍率,物理防御,主属性,体质,力量,敏捷,智力,道具等级,最大修炼等级,装备需求等级,法宝超级等级,闪躲,爆击,招架,hp回复,mp回复,闪躲率,爆击率,招架率,法术防御1,法术防御2,法术防御3,法术防御4,法术防御5,最大hp+x%,,,,,,,,,,,,,,,,,
12,护具,5,3;4;5;6;7;8,,4,2.25,,ItemGetMAttr*1+4,ItemGetCon*1+4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,护具,5,3;4;5;6;7;8,,4,2.25,,,ItemGetCon*1.25+4,,,,,,,,ItemGetDodge*1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,护具,5,3;4;5;6;7;8,,4,2.25,,ItemGetMAttr*1.25+4,,,,,,,,,,ItemGetCHit*1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,护具,5,3;4;5;6;7;8,,5,2.5,,ItemGetMAttr*1+5,ItemGetCon*1+5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,护具,5,3;4;5;6;7;8,,5,2.5,,,ItemGetCon*1.25+5,,,,,,,,ItemGetDodge*1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,护具,5,3;4;5;6;7;8,,5,2.5,,ItemGetMAttr*1.25+5,,,,,,,,,,ItemGetCHit*1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,护具,5,3;4;5;6;7;8,,6,2.75,,ItemGetMAttr*1+6,ItemGetCon*1+6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,护具,5,3;4;5;6;7;8,,6,2.75,,,ItemGetCon*1.25+6,,,,,,,,ItemGetDodge*1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,护具,5,3;4;5;6;7;8,,6,2.75,,ItemGetMAttr*1.25+6,,,,,,,,,,ItemGetCHit*1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,护具,5,3;4;5;6;7;8,,7,3,,ItemGetMAttr*1+7,ItemGetCon*1+7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,护具,5,3;4;5;6;7;8,,7,3,,,ItemGetCon*1.25+7,,,,,,,,ItemGetDodge*1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,护具,5,3;4;5;6;7;8,,7,3,,ItemGetMAttr*1.25+7,,,,,,,,,,ItemGetCHit*1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,护具,,,,0,1.6,,,ItemGetCon*1.25+2,,,,,,,,ItemGetDodge*1,,,,,,,,"DRRToArmor(0.20,40)/6+2","DRRToArmor(0.20,40)/6+2","DRRToArmor(0.20,40)/6+2","DRRToArmor(0.20,40)/6+2","DRRToArmor(0.20,40)/6+2",,,,,,,,,,,,,,,,,,
25,护具,,,,0,1.6,,,ItemGetCon*1.25+2,,,,,,,,ItemGetDodge*1,,,,,,,,"DRRToArmor(0.20,50)/6+2","DRRToArmor(0.20,50)/6+2","DRRToArmor(0.20,50)/6+2","DRRToArmor(0.20,50)/6+2","DRRToArmor(0.20,50)/6+2",,,,,,,,,,,,,,,,,,
26,护具,,,,0,1.6,,,ItemGetCon*1.25+2,,,,,,,,ItemGetDodge*1,,,,,,,,"DRRToArmor(0.20,60)/6+2","DRRToArmor(0.20,60)/6+2","DRRToArmor(0.20,60)/6+2","DRRToArmor(0.20,60)/6+2","DRRToArmor(0.20,60)/6+2",,,,,,,,,,,,,,,,,,
51,扳指,5,9,,1,1.3,,,,,,,,,,,,,,ItemGetHpRecover*0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,扳指,5,9,,1,1.3,,,,,,,,,,,,,,,ItemGetMpRecover*0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
53,扳指,5,9,,1,1.3,,,,,,,,,,,,,,ItemGetHpRecover*0.3,ItemGetMpRecover*0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
54,扳指,5,9,,2,1.6,,,ItemGetCon*1+1,,,,,,,,,,,ItemGetHpRecover*0.3,ItemGetMpRecover*0.5,ItemGetDodgeRate,,,,,,,,,,,,,,,,,,,,,,,,,
55,扳指,5,9,,2,1.6,,,ItemGetCon*1+1,,,,,,,,,,,ItemGetHpRecover*0.3,ItemGetMpRecover*0.5,,ItemGetCHitRate,,,,,,,,,,,,,,,,,,,,,,,,
56,扳指,5,9,,2,1.6,,,ItemGetCon*1+1,,,,,,,,,,,ItemGetHpRecover*0.5,,,,ItemGetParryRate,,,,,,,,,,,,,,,,,,,,,,,
57,扳指,5,9,,3,2,,,ItemGetCon*1+3,,,,,,,,,,,ItemGetHpRecover*0.3,ItemGetMpRecover*0.5,ItemGetDodgeRate,,,,,,,,,,,,,,,,,,,,,,,,,
58,扳指,5,9,,3,2,,,ItemGetCon*1+3,,,,,,,,,,,ItemGetHpRecover*0.3,ItemGetMpRecover*0.5,,ItemGetCHitRate,,,,,,,,,,,,,,,,,,,,,,,,
59,扳指,5,9,,3,2,,,ItemGetCon*1+3,,,,,,,,,,,ItemGetHpRecover*0.5,,,,ItemGetParryRate,,,,,,,,,,,,,,,,,,,,,,,
60,扳指,5,9,,,1,,,5,,,,,,,,,,,5,10,2,2,,,,,,,,,,,,,,,,,,,,,,,,
61,扳指,5,9,,,1,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,扳指,5,9,,4,2.25,,,ItemGetCon*1+4,,,,,,,,,,,ItemGetHpRecover*0.3,ItemGetMpRecover*0.5,ItemGetDodgeRate,,,,,,,,,,,,,,,,,,,,,,,,,
63,扳指,5,9,,4,2.25,,,ItemGetCon*1+4,,,,,,,,,,,ItemGetHpRecover*0.3,ItemGetMpRecover*0.5,,ItemGetCHitRate,,,,,,,,,,,,,,,,,,,,,,,,
64,扳指,5,9,,4,2.25,,,ItemGetCon*1+4,,,,,,,,,,,ItemGetHpRecover*0.5,,,,ItemGetParryRate,,,,,,,,,,,,,,,,,,,,,,,
65,扳指,5,9,,5,2.5,,,ItemGetCon*1+5,,,,,,,,,,,ItemGetHpRecover*0.3,ItemGetMpRecover*0.5,ItemGetDodgeRate,,,,,,,,,,,,,,,,,,,,,,,,,
66,扳指,5,9,,5,2.5,,,ItemGetCon*1+5,,,,,,,,,,,ItemGetHpRecover*0.3,ItemGetMpRecover*0.5,,ItemGetCHitRate,,,,,,,,,,,,,,,,,,,,,,,,
67,扳指,5,9,,5,2.5,,,ItemGetCon*1+5,,,,,,,,,,,ItemGetHpRecover*0.5,,,,ItemGetParryRate,,,,,,,,,,,,,,,,,,,,,,,
68,扳指,5,9,,6,2.75,,,ItemGetCon*1+6,,,,,,,,,,,ItemGetHpRecover*0.3,ItemGetMpRecover*0.5,ItemGetDodgeRate,,,,,,,,,,,,,,,,,,,,,,,,,
69,扳指,5,9,,6,2.75,,,ItemGetCon*1+6,,,,,,,,,,,ItemGetHpRecover*0.3,ItemGetMpRecover*0.5,,ItemGetCHitRate,,,,,,,,,,,,,,,,,,,,,,,,
70,扳指,5,9,,6,2.75,,,ItemGetCon*1+6,,,,,,,,,,,ItemGetHpRecover*0.5,,,,ItemGetParryRate,,,,,,,,,,,,,,,,,,,,,,,
71,扳指,5,9,,7,3,,,ItemGetCon*1+7,,,,,,,,,,,ItemGetHpRecover*0.3,ItemGetMpRecover*0.5,ItemGetDodgeRate,,,,,,,,,,,,,,,,,,,,,,,,,
72,扳指,5,9,,7,3,,,ItemGetCon*1+7,,,,,,,,,,,ItemGetHpRecover*0.3,ItemGetMpRecover*0.5,,ItemGetCHitRate,,,,,,,,,,,,,,,,,,,,,,,,
73,扳指,5,9,,7,3,,,ItemGetCon*1+7,,,,,,,,,,,ItemGetHpRecover*0.5,,,,ItemGetParryRate,,,,,,,,,,,,,,,,,,,,,,,
74,扳指,5,9,,,1,,,55,,,,,,,,,,,,,,,,220,220,220,220,220,,,,,,,,,,,,,,,,,,
75,扳指,5,9,,,1,,,,22,,,,,,,,,,,,,,,220,220,220,220,220,,,,,,,,,,,,,,,,,,
76,扳指,5,9,,,1,,,,,,22,,,,,,,,,,,,,220,220,220,220,220,,,,,,,,,,,,,,,,,,
77,扳指,5,9,,,1,,,,,22,,,,,,,,,,,,,,220,220,220,220,220,,,,,,,,,,,,,,,,,,
78,扳指,5,9,,,1,,,15,15,15,15,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,
79,扳指,5,9,,,1.6,,,,,,,,,,,,,,10,10,5,5,,,,,,,,,,,,,,,,,,,,,,,,
80,扳指,5,9,,,1,,,5,,,,,,,,,,,,,,,,50,50,50,50,50,,,,,,,,,,,,,,,,,,
81,呼风戒指,5,9,,,1,100,,,,,,,,,,,,,,,2,3,,100,100,100,100,100,,,,,,,,,,,,,,,,,,
82,龙虎戒指,5,9,,,1,300,,,,,,,,,,,,,,,6,6,,300,300,300,300,300,,,,,,,,,,,,,,,,,,
83,情意指环,5,9,,,1,,,3,3,3,3,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,
84,巧克力钻戒,5,9,,,1,,,15,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,爱意指环,5,9,,,1,,,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,仙界扳指,5,9,,,1,,,15,15,15,15,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,
87,蓝色心形戒指（欧美）,5,9,,,1,,,10,5,,,,,,,,,,10,,1,,,,,,,,,,,,,,,,,,,,,,,,,
88,红色心形戒指（欧美）,5,9,,,1,,,10,,,5,,,,,,,,10,,1,,,,,,,,,,,,,,,,,,,,,,,,,
89,圣天戒指（韩国）,5,9,,,1,,,,,,,,,,,,,,10,10,5,5,,,,,,,,,,,,,,,,,,,,,,,,
90,青龙戒指（越南）,5,9,,,1,,,,,,,,,,,,,,,,10,,,220,220,220,220,220,,,,,,,,,,,,,,,,,,
91,白虎戒指（越南）,5,9,,,1,,,,,,,,,,,,,,,,,10,,220,220,220,220,220,,,,,,,,,,,,,,,,,,
92,火凤戒指（韩国）,5,9,,,1,,,,,,,,,,,,,,,,,,,220,220,220,220,220,,,,,,,,,,,,,,,,,,
93,玄武戒指（韩国）,5,9,,,1,,,,,,,,,,,,,,,,,,,220,220,220,220,220,10,,,,,,,,,,,,,,,,,
94,治疗戒指（韩国）,5,9,,,1,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,
95,强效魔力戒指（韩国）,5,9,,,1,,,15,15,15,15,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,
96,网吧专用戒指（韩国）,5,9,,,1,,,,,,,,,,,,,,,,10,10,,220,220,220,220,220,,,,,,,,,,,,,,,,,,
97,时来运转戒,5,9,,,1,,,,,,,,,,,,,,,,,,,330,330,330,330,330,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,护身符,5,10,,1,1.3,,,,,,,,,,,,,,,,,,,ItemGetMagicArmor(1),,,,,,,,,,,,,,,,,,,,,,
102,护身符,5,10,,1,1.3,,,,,,,,,,,,,,,,,,,,ItemGetMagicArmor(2),,,,,,,,,,,,,,,,,,,,,
103,护身符,5,10,,1,1.3,,,,,,,,,,,,,,,,,,,,,ItemGetMagicArmor(3),,,,,,,,,,,,,,,,,,,,
104,护身符,5,10,,1,1.3,,,,,,,,,,,,,,,,,,,,,,ItemGetMagicArmor(4),,,,,,,,,,,,,,,,,,,
105,护身符,5,10,,1,1.3,,,,,,,,,,,,,,,,,,,,,,,ItemGetMagicArmor(5),,,,,,,,,,,,,,,,,,
106,护身符,5,10,,2,1.6,,,ItemGetCon*1+1,,,,,,,,,,,,,,,,ItemGetMagicArmor(1)*0.5,ItemGetMagicArmor(2)*0.5,ItemGetMagicArmor(3)*0.5,ItemGetMagicArmor(4)*0.5,ItemGetMagicArmor(5)*0.5,ItemGetEquipLev/10+1,,,,,,,,,,,,,,,,,
107,护身符,5,10,,2,1.6,,,ItemGetCon*1+1,,,,,,,,,,,,,,,,ItemGetMagicArmor(1)*1.5,,,,,,,,,,,,,,,,,,,,,,
108,护身符,5,10,,2,1.6,,,ItemGetCon*1+1,,,,,,,,,,,,,,,,,ItemGetMagicArmor(2)*1.5,,,,,,,,,,,,,,,,,,,,,
109,护身符,5,10,,2,1.6,,,ItemGetCon*1+1,,,,,,,,,,,,,,,,,,ItemGetMagicArmor(3)*1.5,,,,,,,,,,,,,,,,,,,,
110,护身符,5,10,,2,1.6,,,ItemGetCon*1+1,,,,,,,,,,,,,,,,,,,ItemGetMagicArmor(4)*1.5,,,,,,,,,,,,,,,,,,,
111,护身符,5,10,,2,1.6,,,ItemGetCon*1+1,,,,,,,,,,,,,,,,,,,,ItemGetMagicArmor(5)*1.5,,,,,,,,,,,,,,,,,,
112,护身符,5,10,,3,2,,,ItemGetCon*1+3,,,,,,,,,,,,,,,,ItemGetMagicArmor(1),ItemGetMagicArmor(2),ItemGetMagicArmor(3),ItemGetMagicArmor(4),ItemGetMagicArmor(5),ItemGetEquipLev/10+2,,,,,,,,,,,,,,,,,
113,护身符,5,10,,3,2,,,ItemGetCon*1+3,,,,,,,,,,,,,,,,ItemGetMagicArmor(1)*2,,,,,,,,,,,,,,,,,,,,,,
114,护身符,5,10,,3,2,,,ItemGetCon*1+3,,,,,,,,,,,,,,,,,ItemGetMagicArmor(2)*2,,,,,,,,,,,,,,,,,,,,,
115,护身符,5,10,,3,2,,,ItemGetCon*1+3,,,,,,,,,,,,,,,,,,ItemGetMagicArmor(3)*2,,,,,,,,,,,,,,,,,,,,
116,护身符,5,10,,3,2,,,ItemGetCon*1+3,,,,,,,,,,,,,,,,,,,ItemGetMagicArmor(4)*2,,,,,,,,,,,,,,,,,,,
117,护身符,5,10,,3,2,,,ItemGetCon*1+3,,,,,,,,,,,,,,,,,,,,ItemGetMagicArmor(5)*2,,,,,,,,,,,,,,,,,,
118,护身符,5,10,,1,1.3,,,,,,,,,,,,,,,,,,,ItemGetMagicArmor(1),,,,,,,,,,,,,,,,,,,,,,
119,护身符,5,10,,4,2.25,,,ItemGetCon*1+4,,,,,,,,,,,,,,,,ItemGetMagicArmor(1),ItemGetMagicArmor(2),ItemGetMagicArmor(3),ItemGetMagicArmor(4),ItemGetMagicArmor(5),ItemGetEquipLev/10+3,,,,,,,,,,,,,,,,,
120,护身符,5,10,,4,2.25,,,ItemGetCon*1+4,,,,,,,,,,,,,,,,ItemGetMagicArmor(1)*2,,,,,,,,,,,,,,,,,,,,,,
121,护身符,5,10,,4,2.25,,,ItemGetCon*1+4,,,,,,,,,,,,,,,,,ItemGetMagicArmor(2)*2,,,,,,,,,,,,,,,,,,,,,
122,护身符,5,10,,4,2.25,,,ItemGetCon*1+4,,,,,,,,,,,,,,,,,,ItemGetMagicArmor(3)*2,,,,,,,,,,,,,,,,,,,,
123,护身符,5,10,,4,2.25,,,ItemGetCon*1+4,,,,,,,,,,,,,,,,,,,ItemGetMagicArmor(4)*2,,,,,,,,,,,,,,,,,,,
124,护身符,5,10,,4,2.25,,,ItemGetCon*1+4,,,,,,,,,,,,,,,,,,,,ItemGetMagicArmor(5)*2,,,,,,,,,,,,,,,,,,
125,护身符,5,10,,5,2.5,,,ItemGetCon*1+5,,,,,,,,,,,,,,,,ItemGetMagicArmor(1),ItemGetMagicArmor(2),ItemGetMagicArmor(3),ItemGetMagicArmor(4),ItemGetMagicArmor(5),ItemGetEquipLev/10+4,,,,,,,,,,,,,,,,,
126,护身符,5,10,,5,2.5,,,ItemGetCon*1+5,,,,,,,,,,,,,,,,ItemGetMagicArmor(1)*2,,,,,,,,,,,,,,,,,,,,,,
127,护身符,5,10,,5,2.5,,,ItemGetCon*1+5,,,,,,,,,,,,,,,,,ItemGetMagicArmor(2)*2,,,,,,,,,,,,,,,,,,,,,
128,护身符,5,10,,5,2.5,,,ItemGetCon*1+5,,,,,,,,,,,,,,,,,,ItemGetMagicArmor(3)*2,,,,,,,,,,,,,,,,,,,,
129,护身符,5,10,,5,2.5,,,ItemGetCon*1+5,,,,,,,,,,,,,,,,,,,ItemGetMagicArmor(4)*2,,,,,,,,,,,,,,,,,,,
130,护身符,5,10,,5,2.5,,,ItemGetCon*1+5,,,,,,,,,,,,,,,,,,,,ItemGetMagicArmor(5)*2,,,,,,,,,,,,,,,,,,
131,护身符,5,10,,6,2.75,,,ItemGetCon*1+6,,,,,,,,,,,,,,,,ItemGetMagicArmor(1),ItemGetMagicArmor(2),ItemGetMagicArmor(3),ItemGetMagicArmor(4),ItemGetMagicArmor(5),ItemGetEquipLev/10+5,,,,,,,,,,,,,,,,,
132,护身符,5,10,,6,2.75,,,ItemGetCon*1+6,,,,,,,,,,,,,,,,ItemGetMagicArmor(1)*2,,,,,,,,,,,,,,,,,,,,,,
133,护身符,5,10,,6,2.75,,,ItemGetCon*1+6,,,,,,,,,,,,,,,,,ItemGetMagicArmor(2)*2,,,,,,,,,,,,,,,,,,,,,
134,护身符,5,10,,6,2.75,,,ItemGetCon*1+6,,,,,,,,,,,,,,,,,,ItemGetMagicArmor(3)*2,,,,,,,,,,,,,,,,,,,,
135,护身符,5,10,,6,2.75,,,ItemGetCon*1+6,,,,,,,,,,,,,,,,,,,ItemGetMagicArmor(4)*2,,,,,,,,,,,,,,,,,,,
136,护身符,5,10,,6,2.75,,,ItemGetCon*1+6,,,,,,,,,,,,,,,,,,,,ItemGetMagicArmor(5)*2,,,,,,,,,,,,,,,,,,
137,护身符,5,10,,7,3,,,ItemGetCon*1+7,,,,,,,,,,,,,,,,ItemGetMagicArmor(1),ItemGetMagicArmor(2),ItemGetMagicArmor(3),ItemGetMagicArmor(4),ItemGetMagicArmor(5),ItemGetEquipLev/10+6,,,,,,,,,,,,,,,,,
138,护身符,5,10,,7,3,,,ItemGetCon*1+7,,,,,,,,,,,,,,,,ItemGetMagicArmor(1)*2,,,,,,,,,,,,,,,,,,,,,,
139,护身符,5,10,,7,3,,,ItemGetCon*1+7,,,,,,,,,,,,,,,,,ItemGetMagicArmor(2)*2,,,,,,,,,,,,,,,,,,,,,
140,护身符,5,10,,7,3,,,ItemGetCon*1+7,,,,,,,,,,,,,,,,,,ItemGetMagicArmor(3)*2,,,,,,,,,,,,,,,,,,,,
141,护身符,5,10,,7,3,,,ItemGetCon*1+7,,,,,,,,,,,,,,,,,,,ItemGetMagicArmor(4)*2,,,,,,,,,,,,,,,,,,,
142,护身符,5,10,,7,3,,,ItemGetCon*1+7,,,,,,,,,,,,,,,,,,,,ItemGetMagicArmor(5)*2,,,,,,,,,,,,,,,,,,
143,陨星护身符,5,10,,,3,,,,,,,,,,,,,,,,2,1,,120,,,120,,,,,,,,,,,,,,,,,,,
144,如意玉配,5,10,,,3,888,,6,6,6,6,,,,,,,,,,5,3,,,,,,,,,,,,,,,,,,,,,,,,
145,唤雨护符,5,10,,,1,,,,,,,,,,,,,,10,10,5,4,,,,,,,,,,,,,,,,,,,,,,,,
146,龙虎护符,5,10,,,1,,,,,,,,,,,,,,10,10,7,5,,,,,,,,,,,,,,,,,,,,,,,,
147,健步如飞符,5,10,,,1,,,30,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
148,风信护符,5,10,,,1,,,,,,,,,,,,,,,,4,,3,,150,220,,,,,,,,,,,,,,,,,,,,
149,中秋月圆护符,5,10,,,1,200,,,,,,,,,,,,,,,3,3,,100,100,100,100,100,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,主法宝,5,1,,1,1.3,,ItemGetMAttr*1+1,ItemGetCon*1+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,主法宝,5,1,,1,1.3,,,ItemGetCon*1.25+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,主法宝,5,1,,1,1.3,,ItemGetMAttr*1.25+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,主法宝,5,1,,2,1.6,,ItemGetMAttr*1+2,ItemGetCon*1+2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,主法宝,5,1,,2,1.6,,,ItemGetCon*1.25+2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,主法宝,5,1,,2,1.6,,ItemGetMAttr*1.25+2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,主法宝,5,1,,3,2,,ItemGetMAttr*1+3,ItemGetCon*1+3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,主法宝,5,1,,3,2,,,ItemGetCon*1.25+3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,主法宝,5,1,,3,2,,ItemGetMAttr*1.25+3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,主法宝,5,1,,4,2.25,,ItemGetMAttr*1+4,ItemGetCon*1+4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,主法宝,5,1,,4,2.25,,,ItemGetCon*1.25+4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,主法宝,5,1,,4,2.25,,ItemGetMAttr*1.25+4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,主法宝,5,1,,5,2.5,,ItemGetMAttr*1+5,ItemGetCon*1+5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,主法宝,5,1,,5,2.5,,,ItemGetCon*1.25+5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,主法宝,5,1,,5,2.5,,ItemGetMAttr*1.25+5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,主法宝,5,1,,6,2.75,,ItemGetMAttr*1+6,ItemGetCon*1+6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,主法宝,5,1,,6,2.75,,,ItemGetCon*1.25+6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,主法宝,5,1,,6,2.75,,ItemGetMAttr*1.25+6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,主法宝,5,1,,7,3,,ItemGetMAttr*1+7,ItemGetCon*1+7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,主法宝,5,1,,7,3,,,ItemGetCon*1.25+7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,主法宝,5,1,,7,3,,ItemGetMAttr*1.25+7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,鸿蒙灵宝,5,9,,,1,1000000,,1000000,1000000,1000000,1000000,,,,,40000,40000,40000,500000,500000,40000,40000,40000,50000,50000,50000,50000,50000,100,500000,500000,50000,50000,50000,50000,,50000,50000,50000,50000,50000,50000,,,,99
173,鸿蒙灵宝,5,9,,,1,1000000,,1000000,1000000,1000000,1000000,,,,,40000,40000,40000,500000,500000,,,,50000,50000,50000,50000,50000,100,,,,,,,,,,,,,,,,,99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,辅助法宝,5,2,,1,1.3,,ItemGetMAttr*1+1,ItemGetCon*1+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,辅助法宝,5,2,,1,1.3,,,ItemGetCon*1.25+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,辅助法宝,5,2,,1,1.3,,ItemGetMAttr*1.25+1,ItemGetCon*0.75+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,辅助法宝,5,2,,2,1.6,,ItemGetMAttr*1+2,ItemGetCon*1+2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,辅助法宝,5,2,,2,1.6,,,ItemGetCon*1.25+2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,辅助法宝,5,2,,2,1.6,,ItemGetMAttr*1.25+2,ItemGetCon*0.75+2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,辅助法宝,5,2,,3,2,,ItemGetMAttr*1+3,ItemGetCon*1+3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,辅助法宝,5,2,,3,2,,,ItemGetCon*1.25+3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
