基本,,,,,,,,,,,属性,,,,,,,,,,,,,,,,,,,,,,,给予,给予,,,,,,,,,,,,,,其他,,,,,,,,,小宠物专用,小宠物/战斗宠物,属于哪一个城战区,,,,,1,,
编号,名字,名字,类型,鼠标选择,类型细分,模型ID,可否被玩家攻击,可驯服类型,资源类型,尸体存在时间,等级,掉落金装是否广播,精英比率,伤害比率,头衔,血条层数,效果免疫,技能免疫,血值,魔法,攻击,伤害,闪避率,防御,默认普通攻击,,技能,宠物技能(包括战斗宠物和傀儡),元素伤害,元素防御,攻击距离,移动速度,攻击速度,经验,灵力,金钱,金钱掉落几率,掉落类型,掉落道具,颜色概率,掉落道具等级调整,独立掉落道具,独立颜色概率,独立掉落道具等级调整,独立掉落率,固定掉落数量,随机坐标,地图坐标,功能,默认对话,可接受的任务,可完成的任务,关联任务,传送点,辅助技能,所属势力,声望奖励,对应增益性buf,适合的食物,居住地,离开视野缓存,NPC相对性,随从开关,是否显示附近NPC,是否可在SpcBoss中查找,SpcBoss中的详细描述(xml文件地址),备注(Npc简单描述)
7008,"Dark Archer Phoenix",$L:npc_7008$,1,3,,7008,1,,,100,78,,3000,30,1,0.2;0.3;0.3;0.2,2;3;4,428;458;1143,8499120,120,0,70000,1000,38134,1274,,"1273,0.40;1275,0.40;1276,0.45;1401,40",,,118869;118869;118869;118869;118869,300,150,3,10000,4000,5000000,1,8,7007;7008;7013,0;0;0;,"0,0;0,0;0,0",8005;8000;7000;8006;8007,0;0;0;0;0;0;0;,"0,0;0,0;0,0;0,0;0,0",0.02;0.02;0.1;0.30;0.15,,,,,,,,,,,,,,,,,,,,,,
7009,"Darkness Wizard Lord",$L:npc_7009$,1,3,,7009,1,,,100,78,,3000,30,1,0.2;0.3;0.3;0.2,2;3;4,428;458;1143,8499120,120,0,70000,1000,38134,1280,,"1277,0.20;1278,0.30;1279,0.10;1402,0.30",,,118869;118869;118869;118869;118869,300,150,3,10000,4000,5000000,1,8,7003;7008;7009,0;0;0;,"0,0;0,0;0,0",8001;8000;7000;8006;8007,0;0;0;0;0;0;0;,"0,0;0,0;0,0;0,0;0,0",0.02;0.02;0.1;0.30;0.15,,,,,,,,,,,,,,,,,,,,,,
7010,"Buddha's Servant King",$L:npc_7010$,1,3,,7010,1,,,100,78,,3000,30,1,0.2;0.3;0.3;0.2,2;3;4,428;458;1143,8499120,120,0,70000,1000,38134,1283,,"1281,0.40;1282,0.30;1284,0.30;",,,118869;118869;118869;118869;118869,300,150,3,10000,4000,5000000,1,8,7004;7008;7010,0;0;0;,"0,0;0,0;0,0",8002;8000;7000;8006;8007,0;0;0;0;0;0;0;,"0,0;0,0;0,0;0,0;0,0",0.02;0.02;0.1;0.30;0.15,,,,,,,,,,,,,,,,,,,,,,
7011,"Queen Zelda",$L:npc_7011$,1,3,,7011,1,,,100,78,,3000,30,1,0.2;0.3;0.3;0.2,2;3;4,428;458;1143,8499120,228,0,70000,1000,38134,9999,,"1301,0.15;1302,0.15;1303,0.15;1165,1;1166,1;",,,118869;118869;118869;118869;118869,300,150,3,10000,4000,5000000,1,8,7001;7008;7014,0;0;0;,"0,0;0,0;0,0",7000;8006;7002;8007,0;0;0;0;0;0;0;,"0,0;0,0;0,0;0,0",0.1;0.30;0.02;0.15,,,,,,,,,,,,,,,,,,,,,,
7012,"Fairy Pearl",$L:npc_7012$,1,3,,7012,1,,,100,78,,3000,30,1,0.2;0.3;0.3;0.2,2;3;4,428;458;1143,8499120,120,0,70000,1000,38134,1403,,"1403,0.40;306,0.60;1404,0.20;",,,118869;118869;118869;118869;118869,300,150,3,10000,4000,5000000,1,8,7005;7008;7011,0;0;0;,"0,0;0,0;0,0",8003;8000;7000;8006;8007,0;0;0;0;0;0;0;,"0,0;0,0;0,0;0,0;0,0",0.02;0.02;0.1;0.30;0.15,,,,,,,,,,,,,,,,,,,,,,
7013,"Wizard Blade",$L:npc_7013$,1,3,,7013,1,,,100,78,,3000,30,1,0.2;0.3;0.3;0.2,2;3;4,428;458;1143,8499120,120,0,70000,1000,38134,1418,,"1418,0.30;1277,0.50;1406,0.60;1416,0.50;",,,118869;118869;118869;118869;118869,300,150,3,10000,4000,5000000,1,8,7003;7008;7009,0;0;0;,"0,0;0,0;0,0",8001;8000;7000;8006;8007,0;0;0;0;0;0;0;,"0,0;0,0;0,0;0,0;0,0",0.02;0.02;0.1;0.30;0.15,,,,,,,,,,,,,,,,,,,,,,
7014,"General Dark Soul",$L:npc_7014$,1,3,,7014,1,,,900,78,,3000,30,1,0.2;0.3;0.3;0.2,2;3;4,428;458;1143,8499120,120,0,70000,1000,38134,1407,,"1182,1;1407,1;1408,0.40;1409,0.20;1410,0.50;1411,0.50;1400,45;1413,45;",,,118869;118869;118869;118869;118869,300,120,3,10000,4000,5000000,1,8,7001;7008;7014,0;0;0;,"0,0;0,0;0,0",7000;8006;7002;8007,0;0;0;0;0;0;0;,"0,0;0,0;0,0;0,0",0.1;0.30;0.02;0.15,,,,,,,,,,,,,,,,,,,,,,
7015,"Prince Zant",$L:npc_7015$,1,3,,7015,1,,,900,78,,3000,30,1,0.2;0.3;0.3;0.2,2;3;4,428;458;1143,8499120,120,0,70000,1000,38134,1409,,"1182,1;1412,1;1408,0.50;1409,0.20;1410,0.50;1411,0.50;1414,50;1415,50;",,,118869;118869;118869;118869;118869,300,120,3,10000,4000,5000000,1,8,7001;7008;7014,0;0;0;,"0,0;0,0;0,0",7000;8006;7002;8007,0;0;0;0;0;0;0;,"0,0;0,0;0,0;0,0",0.1;0.30;0.02;0.15,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7016,NPCShopTG,$L:npc_7016$,1,3,,7016,0,,,100,80,,,,0,,,,243,120,0,23,14,244,20,,,,,244;244;244;244;244,60,120,3,105,18,10000,0.5,,,,,,,,,,,,talk;shop,talk/npc_talk_7002.xml,,,,,,,,,,1,,,,,,,
7017,NPCShopNgoc,$L:npc_7017$,1,3,,7017,0,,,100,80,,,,0,,,,243,120,0,23,14,244,20,,,,,244;244;244;244;244,60,120,3,105,18,10000,0.5,,,,,,,,,,,,talk;shop,talk/npc_talk_7003.xml,,,,,,,,,,1,,,,,,,
7018,NewMob,$L:npc_7018$,1,3,,5267,1,,,100,76,,2.0,2.5,,,,,65000,120,0,800,300,1300,20,,,,,894;894;894;894;894,60,120,3,500,51,10000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7019,NewMob,$L:npc_7019$,1,3,,5272,1,,,100,77,,2.0,2.5,,,,,65000,120,0,800,300,1300,20,,,,,975;975;975;975;975,60,120,3,500,55,11000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7020,NewMob,$L:npc_7020$,1,3,,5078,1,,,100,78,,2.0,2.5,,,,,65000,100,0,800,300,1300,20,,,,,1154;1154;1154;1154;1154,60,120,3,500,64,12000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7021,NewMob,$L:npc_7021$,1,3,,4976,1,,,100,79,,2.0,2.5,,,,,65000,120,0,800,300,1300,20,,,,,1089;1089;1089;1089;1089,60,120,3,500,61,13000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7022,NewMob,$L:npc_7022$,1,3,,4968,1,,,100,80,,2.0,2.5,,,,,65000,120,0,800,300,1300,20,,,,,1073;1073;1073;1073;1073,60,120,3,500,60,15000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7023,Garfield,$L:npc_7023$,1,3,,7187,0,,,100,10,,,,0,,,,243,120,0,23,14,244,20,,,,,244;244;244;244;244,60,120,3,105,18,2200,0.5,,,0.1;0;0;,,,,,,,,,,,,,,,,,,2719,1,,,,,,,,
7024,"Red Bull",$L:npc_7024$,1,3,,7188,0,,,100,10,,,,0,,,,243,120,0,23,14,244,20,,,,,244;244;244;244;244,60,120,3,105,18,2200,0.5,,,0.1;0;0;,,,,,,,,,,,,,,,,,,2718,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7025,CAVE84I,$L:npc_7025$,1,3,,6665,0,,,100,83,,,,0,,,,184,120,0,17,12,164,20,,,,,164;164;164;164;164,60,120,3,95,16,20,0.5,,,,,,,,,,,0;0;1,talk;,talk/npc_talk_7004.xml,,,,,,,,,,,,1,,1,,,
7026,CAVE84L,$L:npc_7026$,1,3,,250,0,,,100,83,,,,0,,,,184,120,0,17,12,164,20,,,,,164;164;164;164;164,60,120,3,95,16,20,0.5,,,,,,,,,,,0;0;1,talk;,talk/npc_talk_7005.xml,,,,,,,,,,,,1,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7027,NewMobCave1,$L:npc_7027$,1,3,,64,1,,,100,84,,2.0,2.5,,,,,150000,120,0,800,300,1300,20,,,,,975;975;975;975;975,60,120,3,500,55,50000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7028,NewMobCave2,$L:npc_7028$,1,3,,65,1,,,100,84,,2.0,2.5,,,,,150000,120,0,800,300,1300,20,,,,,975;975;975;975;975,60,120,3,500,55,50000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7029,NewMobCave3,$L:npc_7029$,1,3,,66,1,,,100,85,,2.0,2.5,,,,,150000,120,0,800,300,1300,20,,,,,975;975;975;975;975,60,120,3,500,55,50000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7030,NewMobCave4,$L:npc_7030$,1,3,,67,1,,,100,85,,2.0,2.5,,,,,150000,120,0,800,300,1300,20,,,,,975;975;975;975;975,60,120,3,500,55,50000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7031,CaveBoss1,$L:npc_7031$,1,3,,7189,1,,,900,84,,3000,30,1,0.2;0.3;0.3;0.2,2;3;4,428;458;1143,7099120,120,0,55000,1000,48134,20,,"1437,1;1438,1;1415,1;",,,5000;5000;5000;5000;5000;,300,120,3,10000,4000,5000000,1,8,7014;7008;,0;0;,"0,0;0,0;",7002;7000;8000;8006,0;0;0;0;0;0;0,"0,0;0,0;0,0;0,0",0.01;0.005;0.005;0.1,,,,,,,,,,,,,,,,,,,,,,
7032,CaveBoss2,$L:npc_7032$,1,3,,7190,1,,,900,84,,3000,30,1,0.2;0.3;0.3;0.2,2;3;4,428;458;1143,7099120,120,0,55000,1000,48134,514,,"1414,1;1437,1;",,,5000;5000;5000;5000;5000;,300,120,3,10000,4000,5000000,1,8,7014;7008,0;0;,"0,0;0,0;",7002;7000;8000;8006,0;0;0;0;0;0;0,"0,0;0,0;0,0;0,0",0.01;0.005;0.005;0.1,,,,,,,,,,,,,,,,,,,,,,
7033,CaveBoss3,$L:npc_7033$,1,3,,7191,1,,,900,85,,3000,30,1,0.2;0.3;0.3;0.2,2;3;4,428;458;1143,7599120,120,0,60000,1000,48134,1161,,"1407,1;1408,0.40;1410,0.50;1400,0.45;1437,1;",,,5000;5000;5000;5000;5000;,300,120,3,10000,4000,5000000,1,8,7014;7008;7001,0;0;0;,"0,0;0,0;0,0",7002;7000;8000;8006,0;0;0;0;0;0;0,"0,0;0,0;0,0;0,0",0.01;0.005;0.005;0.1,,,,,,,,,,,,,,,,,,,,,,
7034,NewMob,$L:npc_7034$,1,3,,5078,1,,,100,81,,2.0,2.5,,,,,68000,120,0,800,300,1300,20,,,,,1073;1073;1073;1073;1073,60,120,3,510,60,10000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7035,NewMob,$L:npc_7035$,1,3,,5076,1,,,100,82,,2.0,2.5,,,,,70000,120,0,800,300,1300,20,,,,,1073;1073;1073;1073;1073,60,120,3,520,60,11000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7036,NewMob,$L:npc_7036$,1,3,,5102,1,,,100,83,,2.0,2.5,,,,,72000,120,0,800,300,1300,20,,,,,1073;1073;1073;1073;1073,60,120,3,530,60,12000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7037,NewMob,$L:npc_7037$,1,3,,5104,1,,,100,84,,2.0,2.5,,,,,75000,120,0,800,300,1300,20,,,,,1073;1073;1073;1073;1073,60,120,3,540,60,13000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7038,NewMob,$L:npc_7038$,1,3,,5110,1,,,100,85,,2.0,2.5,,,,,77000,120,0,800,300,1300,20,,,,,1073;1073;1073;1073;1073,60,120,3,550,60,15000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7039,ChoDom,$L:npc_7039$,1,3,,7192,0,,,100,10,,,,0,,,,243,120,0,23,14,244,20,,,,,244;244;244;244;244,60,120,3,105,18,2200,0.5,,,0.1;0;0;,,,,,,,,,,,,,,,,,,2724,1,,,,,,,,
7040,RuongMayMan,$L:npc_7040$,2,3,,7193,0,,,300,80,,100,1,1,,,,550649,120,0,2309,19,1203,20,,,,,1203;1203;1203;1203;1203,60,150,3,40000,6667,10000000,1,2,7016,0;0;0;,"0,0;",8010,1;0;0;,"0,0;",1,,,,,,,,,,,,,,,,,,,,,,
7041,NewMob,$L:npc_7041$,1,3,,5266,1,,,100,86,,2.0,2.5,,,,,141000,120,0,3400,300,4300,20,,,,,1073;1073;1073;1073;1073,60,120,3,760,60,15000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7042,NewMob,$L:npc_7042$,1,3,,21,1,,,100,87,,2.0,2.5,,,,,142000,120,0,3500,300,4300,20,,,,,1073;1073;1073;1073;1073,60,120,3,770,60,15000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7043,NewMob,$L:npc_7043$,1,3,,4574,1,,,100,88,,2.0,2.5,,,,,144000,120,0,3600,300,4300,20,,,,,1073;1073;1073;1073;1073,60,120,3,780,60,15000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7044,NewMob,$L:npc_7044$,1,3,,4571,1,,,100,89,,2.0,2.5,,,,,145000,120,0,3800,300,4300,20,,,,,1073;1073;1073;1073;1073,60,120,3,790,60,15000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7045,NewMob,$L:npc_7045$,1,3,,5417,1,,,100,90,,2.0,2.5,,,,,146000,120,0,4000,300,4300,20,,,,,1073;1073;1073;1073;1073,60,120,3,800,60,15000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7046,RuongMayMan2,$L:npc_7040$,2,3,,7193,0,,,300,80,,100,1,1,,,,550649,120,0,2309,19,1203,20,,,,,1203;1203;1203;1203;1203,60,150,3,40000,6667,1000000,1,2,7017,0;0;0;,"0,0;",,,,,,,,,,,,,,,,,,,,,,,,,,
7047,RuongMayMan3,$L:npc_7040$,2,3,,7193,0,,,300,80,,100,1,1,,,,550649,120,0,2309,19,1203,20,,,,,1203;1203;1203;1203;1203,60,150,3,40000,6667,100000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7048,85IN,$L:npc_7048$,1,3,,5301,0,,,100,75,,,,0,,,,184,120,0,17,12,164,20,,,,,164;164;164;164;164,60,120,3,95,16,20,0.5,,,,,,,,,,,0;0;1,talk;,talk/npc_talk_7006.xml,,,,,,,,,,,,1,,1,,,
7049,85OUT,$L:npc_7049$,1,3,,5450,0,,,100,75,,,,0,,,,184,120,0,17,12,164,20,,,,,164;164;164;164;164,60,120,3,95,16,20,0.5,,,,,,,,,,,0;0;1,talk;,talk/npc_talk_7007.xml,,,,,,,,,,,,1,,1,,,
7050,NewMob,$L:npc_7050$,1,3,,4574,1,,,100,87,,2.0,2.5,,,,,306000,120,0,8000,300,8300,20,,,,,1073;1073;1073;1073;1073,60,120,3,800,60,50000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7051,NewMob,$L:npc_7051$,1,3,,5417,1,,,100,88,,2.0,2.5,,,,,306000,120,0,8000,300,8300,20,,,,,1073;1073;1073;1073;1073,60,120,3,800,60,50000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7052,NewMob,$L:npc_7052$,1,3,,21,1,,,100,89,,2.0,2.5,,,,,146000,120,0,8000,300,8300,20,,,,,1073;1073;1073;1073;1073,60,120,3,800,60,50000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7053,CaveBoss1,$L:npc_7053$,1,3,,7194,1,,,900,87,,3000,30,1,0.2;0.3;0.3;0.2,2;3;4,428;458;1143,7599120,120,0,35000,1000,38134,1439,,"1245,1;1246,1;1431,1;",,,5000;5000;5000;5000;5000;,300,120,3,10000,4000,10000000,1,8,7021;7018;7015,0;0;0;0;,"0,0;0,0;0,0",8014;8008;8006;7008,0;0;0;0;0;0;0;,"0,0;0,0;0,0;0,0",0.005;0.005;0.1;0.1,,,,,,,,,,,,,,,,,,,,,,
7054,CaveBoss2,$L:npc_7054$,1,3,,7195,1,,,900,88,,3000,30,1,0.2;0.3;0.3;0.2,2;3;4,428;458;1143,7099120,120,0,30000,1000,38134,1280,,"1277,0.20;1278,0.30;1279,0.10;1402,0.30",,,5000;5000;5000;5000;5000;,300,120,3,10000,4000,10000000,1,8,7021;7019;7018,0;0;0;0;,"0,0;0,0;0,0",8014;8008;8006;7008,0;0;0;0;0;0;0;,"0,0;0,0;0,0;0,0",0.005;0.005;0.1;0.1,,,,,,,,,,,,,,,,,,,,,,
7055,CaveBoss3,$L:npc_7055$,1,3,,7196,1,,,900,89,,3000,30,1,0.2;0.3;0.3;0.2,2;3;4,428;458;1143,7599120,120,0,35000,1000,38134,1439,,"1431,1;1415,1;1414,1;",,,5000;5000;5000;5000;5000;,300,120,3,10000,4000,10000000,1,8,7020;7021;7019,0;0;0;,"0,0;0,0;0,0",8014;8008;8006;7008,0;0;0;0;0;0;0;,"0,0;0,0;0,0;0,0",0.005;0.005;0.1;0.1,,,,,,,,,,,,,,,,,,,,,,
7056,CaveBoss4,$L:npc_7056$,1,3,,7120,1,,,100,90,,3000,30,1,0.2;0.3;0.3;0.2,2;3;4,428;458;1143,8099120,120,0,50000,1000,48134,1321,1320,"1182,1;1169,1;1340,0.5;1341,0.5;1342,0.5",,,5000;5000;5000;5000;5000;,300,120,3,10000,4000,20000000,1,8,7001;7020;7021;7019,0;0;0;,"0,0;0,0;0,0;0,0",8014;8008;8006;7008,0;0;0;0;0;0;0;,"0,0;0,0;0,0;0,0",0.005;0.005;0.1;0.1,,,,,,,,,,,,,,,,,,,,,,
7057,OpenBoss,$L:npc_7057$,2,3,,214,0,,,0,50,,100,1,1,,,,274890,120,0,1403,19,894,20,,,,,894;894;894;894;894,60,150,3,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7058,THSG,$L:npc_7058$,1,3,,7121,0,,,100,50,,1,1,0,,,,184,120,0,17,12,164,20,,,,,164;164;164;164;164,60,120,3,95,16,20,0.5,,,,,,,,,,,0;0;1,talk;task,talk/npc_talk_7008.xml,1856;1857,1856;1857,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7059,CHIMd,$L:npc_7059$,1,3,,196,0,,,100,10,,,,0,,,,243,120,0,23,14,244,20,,,,,244;244;244;244;244,60,120,3,105,18,2200,0.5,,,0.1;0;0;,,,,,,,,,,,,,,,,,,2737,1,,,,,,,,
7060,Pet1caube,$L:npc_7060$,1,3,,6030,0,,,100,10,,,,0,,,,243,120,0,23,14,244,20,,,,,244;244;244;244;244,60,120,3,105,18,2200,0.5,,,0.1;0;0;,,,,,,,,,,,,,,,,,,2734,1,,,,,,,,
7061,PET2cobe,$L:npc_7061$,1,3,,6031,0,,,100,10,,,,0,,,,243,120,0,23,14,244,20,,,,,244;244;244;244;244,60,120,3,105,18,2200,0.5,,,0.1;0;0;,,,,,,,,,,,,,,,,,,2735,1,,,,,,,,
7062,PET3,$L:npc_7062$,1,3,,2911,0,,,100,10,,,,0,,,,243,120,0,23,14,244,20,,,,,244;244;244;244;244,60,120,3,105,18,2200,0.5,,,0.1;0;0;,,,,,,,,,,,,,,,,,,2736,1,,,,,,,,
7063,PET4,$L:npc_7063$,1,3,,4523,0,,,100,10,,,,0,,,,243,120,0,23,14,244,20,,,,,244;244;244;244;244,60,120,3,105,18,2200,0.5,,,0.1;0;0;,,,,,,,,,,,,,,,,,,2737,1,,,,,,,,
7064,PET5,$L:npc_7064$,1,3,,5292,0,,,100,10,,,,0,,,,243,120,0,23,14,244,20,,,,,244;244;244;244;244,60,120,3,105,18,2200,0.5,,,0.1;0;0;,,,,,,,,,,,,,,,,,,2735,1,,,,,,,,
7065,PET6,$L:npc_7065$,1,3,,5068,0,,,100,10,,,,0,,,,243,120,0,23,14,244,20,,,,,244;244;244;244;244,60,120,3,105,18,2200,0.5,,,0.1;0;0;,,,,,,,,,,,,,,,,,,2734,1,,,,,,,,
7066,PET7,$L:npc_7066$,1,3,,195,0,,,100,10,,,,0,,,,243,120,0,23,14,244,20,,,,,244;244;244;244;244,60,120,3,105,18,2200,0.5,,,0.1;0;0;,,,,,,,,,,,,,,,,,,2736,1,,,,,,,,
7067,PET8,$L:npc_7067$,1,3,,4642,0,,,100,10,,,,0,,,,243,120,0,23,14,244,20,,,,,244;244;244;244;244,60,120,3,105,18,2200,0.5,,,0.1;0;0;,,,,,,,,,,,,,,,,,,2737,1,,,,,,,,
