基本,,,,,,,,,,,属性,,,,,,,,,,,,,,,,,,,,,给予,给予,,,,,,,,,,,,,,其他,,,,,,,,,小宠物专用,小宠物/战斗宠物,属于哪一个城战区,,,,,
编号,名字,名字,类型,鼠标选择,类型细分,模型ID,可否被玩家攻击,可驯服类型,资源类型,尸体存在时间,等级,精英比率,伤害比率,头衔,血条层数,效果免疫,技能免疫,血值,魔法,攻击,伤害,闪避率,防御,默认普通攻击,技能,宠物技能(包括战斗宠物和傀儡),元素伤害,元素防御,攻击距离,移动速度,攻击速度,经验,灵力,金钱,金钱掉落几率,掉落类型,掉落道具,颜色概率,掉落道具等级调整,独立掉落道具,独立颜色概率,独立掉落道具等级调整,独立掉落率,固定掉落数量,随机坐标,地图坐标,功能,默认对话,可接受的任务,可完成的任务,关联任务,传送点,辅助技能,所属势力,声望奖励,对应增益性buf,适合的食物,居住地,离开视野缓存,NPC相对性,随从开关,是否显示附近NPC,备注
5610,赤霞,$L:npc_5610$,1,3,,5410,0,,,100,37,1,1,0,,,,1463 ,120 ,0,107 ,38 ,683 ,20,,,,683;683;683;683;683,30,60,3,240 ,40 ,,,,,,,,,,,,,-1127;-170;1,talk;task,talk/npc_talk_5610.xml,1810,1843,,,,,,,,,,,,1,
5611,尸虫,$L:npc_5611$,1,3,,5411,1,,,100,31,1,1,0,,,,1044 ,120 ,0,80 ,32 ,585 ,20,,,,585;585;585;585;585,30,120,3,210 ,35 ,42 ,0.5,1,503,0.1;0;0;,"0,0;",6052,0;0;0;0;0;0;0;,"0,0;",0.13;,,,-1080;-90;1,,,,,1800;1802,,,,,,,,,,,,
5612,牙一族战士,$L:npc_5612$,1,3,,5412,1,,,100,32,1,1,0,,,,1107 ,120 ,0,84 ,33 ,601 ,20,,,,601;601;601;601;601,30,120,3,215 ,36 ,44 ,0.5,1,503,0.1;0;0;,"0,0;",6051,0;0;0;0;0;0;0;,"0,0;",0.13;,,,-1370;-105;1,,,,,1804,,,,,,,,,,,,
5613,牙一族巡游者,$L:npc_5613$,1,3,,5413,1,,,100,32,1,1,0,,,,1107 ,120 ,0,84 ,33 ,601 ,20,,,,601;601;601;601;601,30,120,3,215 ,36 ,44 ,0.5,1,503,0.1;0;0;,"0,0;",6051,0;0;0;0;0;0;0;,"0,0;",0.13;,,,-1310;-111;1,,,,,1805,,,,,,,,,,,,
5614,妖变的雕像,$L:npc_5614$,1,3,,5414,1,,,100,33,1,1,0,,,,1173 ,120 ,0,88 ,34 ,618 ,20,,,,618;618;618;618;618,80,120,3,220 ,37 ,44 ,0.5,1,303,0.1;0;0;,"0,0;",6053,0;0;0;0;0;0;0;,"0,0;",0.13;,,,-1110;-215;1,,,,,1808,,,,,,,,,,,,
5615,牙一族祭师,$L:npc_5615$,1,3,,5415,1,,,100,33,1,1,0,,,,1173 ,120 ,0,88 ,34 ,618 ,1336,,,,618;618;618;618;618,80,120,3,220 ,37 ,44 ,0.5,1,303,0.1;0;0;,"0,0;",6051,0;0;0;0;0;0;0;,"0,0;",0.13;,,,-1444;-164;1,,,,,1811,,,,,,,,,,,,
5616,牙一族祭司长,$L:npc_5616$,1,3,,5457,1,,,100,34,5,2,1,,,,6207 ,120 ,0,185 ,35 ,634 ,20,,,,634;634;634;634;634,30,120,3,1125 ,188 ,230 ,0.5,2,603,0.1;0;0;,"0,0;",6051,0;0;0;0;0;0;0;,"0,0;",0.13;,,,-1433;-209;1,,,,,1812,,,,,,,,,,,,
5617,骷髅怪,$L:npc_5617$,1,3,,5417,1,,,100,34,1,1,0,,,,1241 ,120 ,0,93 ,35 ,634 ,20,,,,634;634;634;634;634,30,120,3,225 ,38 ,46 ,0.5,1,603,0.1;0;0;,"0,0;",6052,0;0;0;0;0;0;0;,"0,0;",0.13;,,,-1544;52;1,,,,,1814,,,,,,,,,,,,
5618,鬼头兵,$L:npc_5618$,1,3,,5418,1,,,100,35,1,1,0,,,,1313 ,120 ,0,97 ,36 ,650 ,20,,,,650;650;650;650;650,30,120,3,230 ,38 ,46 ,0.5,1,403,0.1;0;0;,"0,0;",6052,0;0;0;0;0;0;0;,"0,0;",0.13;,,,-1620;-47;1,,,,,1816,,,,,,,,,,,,
5619,死灵,$L:npc_5619$,1,3,,5419,1,,,100,35,1,1,0,,,,1313 ,120 ,0,97 ,36 ,650 ,20,,,,650;650;650;650;650,30,120,3,230 ,38 ,46 ,0.5,1,403,0.1;0;0;,"0,0;",6052,0;0;0;0;0;0;0;,"0,0;",0.13;,,,-1755;-90;1,,,,,1815,,,,,,,,,,,,
5620,不用,$L:npc_5620$,5,3,,5420,0,,,20,36,1,1,0,,,,1386 ,120 ,0,102 ,37 ,666 ,20,,,,666;666;666;666;666,30,120,3,235 ,39 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5621,虚灵,$L:npc_5621$,1,3,,5421,1,,,100,37,1,1,0,,,,1463 ,120 ,0,107 ,38 ,683 ,20,,,,683;683;683;683;683,30,120,3,240 ,40 ,48 ,0.5,1,803,0.1;0;0;,"0,0;",6052,0;0;0;0;0;0;0;,"0,0;",0.13;,,,-1588;180;1,,,,,1822,,,,,,,,,,,,
5622,罗枭部众,$L:npc_5622$,1,3,,5422,1,,,100,38,1,1,0,,,,1543 ,120 ,0,112 ,39 ,699 ,20,,,,699;699;699;699;699,30,120,3,245 ,41 ,50 ,0.5,1,203,0.1;0;0;,"0,0;",6053,0;0;0;0;0;0;0;,"0,0;",0.13;,,,-1623;127;1,,,,,1825,,,,,,,,,,,,
5623,食腐巨蜥,$L:npc_5623$,1,3,,5423,1,,,100,38,1,1,0,,,,1543 ,120 ,0,112 ,39 ,699 ,20,"1340,0.1;",,,699;699;699;699;699,30,120,3,245 ,41 ,50 ,0.5,1,203,0.1;0;0;,"0,0;",6052,0;0;0;0;0;0;0;,"0,0;",0.13;,,,-1414;100;1,,,,,1827,,,,,,,,,,,,
5624,罗枭,$L:npc_5624$,1,3,,5424,1,,,100,40,5,2,1,,,,8556 ,120 ,0,244 ,41 ,731 ,20,,,,731;731;731;731;731,30,120,3,1275 ,213 ,260 ,0.5,2,903,0.1;0;0;,"0,0;",6053,0;0;0;0;0;0;0;,"0,0;",0.13;,,,-1620;198;1,,,,,1842,,,,,,,,,,,,
5625,九幽行者,$L:npc_5625$,1,3,,5425,1,,,100,39,1,1,0,,,,1625 ,120 ,0,117 ,40 ,715 ,1337,,,,715;715;715;715;715,30,120,3,250 ,42 ,50 ,0.5,1,903,0.1;0;0;,"0,0;",6053,0;0;0;0;0;0;0;,"0,0;",0.13;,,,-1435;190;1,,,,,1829,,,,,,,,,,,,
5626,枯骨魔,$L:npc_5626$,1,3,,5426,1,,,100,39,1,1,0,,,,1625 ,120 ,0,117 ,40 ,715 ,20,,,,715;715;715;715;715,30,120,3,250 ,42 ,50 ,0.5,1,903,0.1;0;0;,"0,0;",6052,0;0;0;0;0;0;0;,"0,0;",0.13;,,,-1732;143;1,,,,,1832,,,,,,,,,,,,
5627,铁面佛,$L:npc_5627$,1,3,,5427,1,,,100,40,5,2,1,,,,8556 ,120 ,0,244 ,41 ,731 ,20,,,,731;731;731;731;731,30,120,3,1275 ,213 ,260 ,0.5,2,903,0.1;0;0;,"0,0;",6053,0;0;0;0;0;0;0;,"0,0;",0.13;,,,-1439;158;1,,,,,1831,,,,,,,,,,,,
5628,化骨老妖,$L:npc_5628$,1,3,,5428,1,,,100,40,1,1,0,,,,1711 ,120 ,0,122 ,41 ,731 ,20,,,,731;731;731;731;731,30,120,3,255 ,43 ,52 ,0.5,1,903,0.1;0;0;,"0,0;",6052,0;0;0;0;0;0;0;,"0,0;",0.13;,,,-1700;197;1,,,,,1834,,,,,,,,,,,,
5629,鬼祟的采石者,$L:npc_5629$,1,3,,5429,1,,,100,33,1,1,0,,,,1173 ,120 ,0,88 ,34 ,618 ,20,,,,618;618;618;618;618,30,120,3,220 ,37 ,44 ,0.5,1,303,0.1;0;0;,"0,0;",6053,0;0;0;0;0;0;0;,"0,0;",0.13;,,,,,,,,1810,,,,,,,,,,,,
5630,丹药炉,$L:npc_5630$,1,3,,5430,0,,,100,35,1,1,0,,,,1313 ,120 ,0,97 ,36 ,650 ,20,,,,650;650;650;650;650,30,120,3,230 ,38 ,,,,,,,,,,,,,-1340;44;1,,talk/npc_talk_5630.xml,,,1817,,,,,,,,,,,1,
5631,灵石佛像,$L:npc_5631$,2,3,,5431,0,,,20,35,1,1,0,,,,1313 ,120 ,0,97 ,36 ,650 ,20,,,,650;650;650;650;650,30,120,3,230 ,38 ,,,,,,,,,,,,,-1185;-210;1,,,,,1807,,,,,,,,,,,,
5632,兽牙图腾,$L:npc_5632$,2,3,,5432,0,,,2,35,1,1,0,,,,1313 ,120 ,0,97 ,36 ,650 ,20,,,,650;650;650;650;650,30,120,3,230 ,38 ,,,,,,,,,,,,,-1503;-198;1,,,,,1811,,,,,,,,,,,,
5633,幽冥花,$L:npc_5633$,2,3,,5433,0,,,20,35,1,1,0,,,,1313 ,120 ,0,97 ,36 ,650 ,20,,,,650;650;650;650;650,30,120,3,230 ,38 ,,,,,,,,,,,,,-1647;58;1,,,,,1817,,,,,,,,,,,,
5634,玄晶石,$L:npc_5634$,2,3,,5434,0,,,20,35,1,1,0,,,,1313 ,120 ,0,97 ,36 ,650 ,20,,,,650;650;650;650;650,30,120,3,230 ,38 ,,,,,,,,,,,,,-1685;-100;1,,,,,1817,,,,,,,,,,,,
5635,余化,$L:npc_5635$,1,3,,5435,0,,,100,35,1,1,0,,,,1313 ,120 ,0,97 ,36 ,650 ,20,,,,650;650;650;650;650,30,60,3,230 ,38 ,,,,,,,,,,,,,-1522;227;1,talk;task,talk/npc_talk_5635.xml,1819,1819;962,,,,,,,,,,,,1,
5636,紫竹林斥候,$L:npc_5636$,1,3,,5436,0,,,100,35,1,1,0,,,,1313 ,120 ,0,97 ,36 ,650 ,20,,,,650;650;650;650;650,30,120,3,230 ,38 ,,,,,,,,,,,,,,talk;task,talk/npc_talk_5636.xml,,,,,,,,,,,,,,,
5637,紫竹林民兵,$L:npc_5637$,1,3,,5437,0,,,100,35,1,1,0,,,,1313 ,120 ,0,97 ,36 ,650 ,20,,,,650;650;650;650;650,30,120,3,230 ,38 ,,,,,,,,,,,,,,talk;task,talk/npc_talk_5637.xml,,,,,,,,,,,,,,,
5638,邪光球(一),$L:npc_5638$,1,3,,5438,1,,,20,35,1,1,0,,,,100000 ,120 ,0,97 ,36 ,650 ,20,,,,650;650;650;650;650,30,120,3,230 ,38 ,,,,,,,,,,,,,-1571;165;1,,,,,1822,,,,,,,,,,,,
5639,邪光球(二),$L:npc_5639$,1,3,,5439,1,,,20,35,1,1,0,,,,100000 ,120 ,0,97 ,36 ,650 ,20,,,,650;650;650;650;650,30,120,3,230 ,38 ,,,,,,,,,,,,,-1551;210;1,,,,,1822,,,,,,,,,,,,
5640,不用,$L:npc_5640$,2,3,,5440,0,,,20,35,1,1,0,,,,1313 ,120 ,0,97 ,36 ,650 ,20,,,,650;650;650;650;650,30,120,3,230 ,38 ,,,,,,,,,,,,,,,,,,1824,,,,,,,,,,,,
5641,青笋,$L:npc_5641$,2,3,,5441,0,,,20,35,1,1,0,,,,1313 ,120 ,0,97 ,36 ,650 ,20,,,,650;650;650;650;650,30,120,3,230 ,38 ,,,,,,,,,,,,,-1436;118;1,,,,,1827,,,,,,,,,,,,
5642,石质宝剑,$L:npc_5642$,2,3,,5442,0,,,20,35,1,1,0,,,,1313 ,120 ,0,97 ,36 ,650 ,20,,,,650;650;650;650;650,30,120,3,230 ,38 ,,,,,,,,,,,,,-1322;221;1,,,,,1830,,,,,,,,,,,,
5643,不用,$L:npc_5643$,5,3,,5443,0,,,20,35,1,1,0,,,,1313 ,120 ,0,97 ,36 ,650 ,20,,,,650;650;650;650;650,30,120,3,230 ,38 ,,,,,,,,,,,,,,,,,,1833,,,,,,,,,,,,
5644,不用,$L:npc_5644$,2,3,,5444,0,,,20,35,1,1,0,,,,1313 ,120 ,0,97 ,36 ,650 ,20,,,,650;650;650;650;650,30,120,3,230 ,38 ,,,,,,,,,,,,,,,,,,1835,,,,,,,,,,,,
5645,人参,$L:npc_5645$,2,3,,5445,0,,,20,35,1,1,0,,,,1313 ,120 ,0,97 ,36 ,650 ,20,,,,650;650;650;650;650,30,120,3,230 ,38 ,,,,,,,,,,,,,,,,,,1835,,,,,,,,,,,,
5646,玉石项坠,$L:npc_5646$,2,3,,5446,0,,,20,35,1,1,0,,,,1313 ,120 ,0,97 ,36 ,650 ,20,,,,650;650;650;650;650,30,120,3,230 ,38 ,,,,,,,,,,,,,-1560;32;1,,,,,1837,,,,,,,,,,,,
5647,失落的户籍册,$L:npc_5647$,2,3,,5447,0,,,20,35,1,1,0,,,,1313 ,120 ,0,97 ,36 ,650 ,20,,,,650;650;650;650;650,30,120,3,230 ,38 ,,,,,,,,,,,,,-1770;-46;1,,,,,1839,,,,,,,,,,,,
5648,亮银网,$L:npc_5648$,2,3,,5448,0,,,20,35,1,1,0,,,,1313 ,120 ,0,97 ,36 ,650 ,20,,,,650;650;650;650;650,30,120,3,230 ,38 ,,,,,,,,,,,,,-1634;47;1,,,,,1841,,,,,,,,,,,,
5649,采石工人,$L:npc_5649$,1,3,,5449,0,,,100,35,1,1,0,,,,1313 ,120 ,0,97 ,36 ,650 ,20,,,,650;650;650;650;650,30,60,3,230 ,38 ,,,,,,,,,,,,,,talk;task,talk/npc_talk_5649.xml,,,,,,,,,,,,,,,
5650,刀魂,$L:npc_5650$,1,3,,5450,1,,,100,36,1,1,0,,,,1386 ,120 ,0,102 ,37 ,666 ,20,,,,666;666;666;666;666,30,120,3,235 ,39 ,48 ,0.5,1,703,0.1;0;0;,"0,0;",6052,0;0;0;0;0;0;0;,"0,0;",0.13;,,,-1527;157;1,,,,,1818;1819;,,,,,,,,,,,,
5651,奇怪的碎片,$L:npc_5651$,1,3,,5451,0,,,20,35,1,1,0,,,,1313 ,120 ,0,97 ,36 ,650 ,20,,,,650;650;650;650;650,30,120,3,230 ,38 ,,,,,,,,,,,,,-1766;214;1,task,,1834;1835,1834,,,,,,,,,,,,,
5652,诡异的石头,$L:npc_5652$,2,3,,5459,0,,,20,35,1,1,0,,,,1313 ,120 ,0,97 ,36 ,650 ,20,,,,650;650;650;650;650,30,120,3,230 ,38 ,,,,,,,,,,,,,-1574;135;1,,,,,1821,,,,,,,,,,,,
5653,天外飞石,$L:npc_5653$,1,0,,5452,0,,,20,35,1,1,0,,,,1313 ,120 ,0,97 ,36 ,650 ,20,,,,650;650;650;650;650,30,120,3,230 ,38 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5654,石堡守卫,$L:npc_5654$,1,3,,5453,1,,,100,40,10,1.3,1,,,,17111 ,120 ,0,1316 ,41 ,731 ,20,,,,731;731;731;731;731,30,120,3,2550 ,425 ,520 ,0.5,1,903,0.1;0;0;,"0,0;",6052,0;0;0;0;0;0;0;,"0,0;",0.13;,,,,,,,,,,,,,,,,,,,,
5655,石堡守卫,$L:npc_5655$,1,3,,5454,1,,,100,40,10,1.3,1,,,,17111 ,120 ,0,1316 ,41 ,731 ,20,,,,731;731;731;731;731,30,120,3,2550 ,425 ,520 ,0.5,1,903,0.1;0;0;,"0,0;",6052,0;0;0;0;0;0;0;,"0,0;",0.13;,,,,,,,,,,,,,,,,,,,,
5656,枣红马,$L:npc_5656$,1,0,,5460,0,,,20,40,1,1,0,,,,1711 ,120 ,0,122 ,41 ,731 ,20,,,,731;731;731;731;731,30,120,3,255 ,43 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5657,鬼头兵,$L:npc_5618$,1,3,,5418,1,,,100,36,1.5,1,0,,,,2080 ,120 ,0,102 ,37 ,666 ,20,,,,666;666;666;666;666,30,120,3,235 ,39 ,72 ,0.5,1,703,0.1;0;0;,"0,0;",6052,0;0;0;0;0;0;0;,"0,0;",0.13;,,,,,,,,,,,,,,,,,,,,
5658,鬼头兵队长,$L:npc_5658$,1,3,,5455,1,,,100,36,3,1.2,1,,,,4159 ,120 ,0,102 ,37 ,666 ,20,,,,666;666;666;666;666,30,120,3,235 ,39 ,144 ,0.5,1,703,0.1;0;0;,"0,0;",6052,0;0;0;0;0;0;0;,"0,0;",0.13;,,,,,,,,,,,,,,,,,,,,
5659,白骨神君,$L:npc_5659$,1,3,,5458,1,,,600,40,80,2,1,0.5;,2;3;4,,136890 ,120 ,0,2025 ,41 ,731 ,1338,"1339,0.15;",,,731;731;731;731;731,120,120,3,17340 ,3400 ,4160 ,0.5,6,12013,0.1;0;0;,"0,0;",6052,0;0;0;0;0;0;0;,"0,0;",0.13;,,,-1762;226;1,,,,,1853,,,,,,,,,,,,
5660,经石峪驿站邮件管理员,$L:npc_5660$,1,3,,5293,0,,,100,40,1,1,0,,,,1711 ,120 ,0,122 ,41 ,731 ,20,,,,731;731;731;731;731,60,60,3,255 ,43 ,,,,,,,,,,,,,-1178;-37;1,mail;task;,talk/npc_talk_5032.xml,,,,,,,,,,,,,,1,
5661,经石峪仓库管理,$L:npc_5661$,1,3,,5651,0,,,100,40,1,1,0,,,,1711 ,120 ,0,122 ,41 ,731 ,20,,,,731;731;731;731;731,60,60,3,255 ,43 ,,,,,,,,,,,,,-1151;-30;1,talk;bank;pet;task,talk/npc_talk_183.xml,,,,,,,,,,,,,,1,
5662,经石峪捷运驿站,$L:npc_5662$,1,3,,910,0,,,100,40,1,1,0,,,,1711 ,120 ,0,122 ,41 ,731 ,20,,,,731;731;731;731;731,60,60,3,255 ,43 ,,,,,,,,,,,,,-1181;-56;1,talk;traffic,,,,,87,,,,,,,,,,1,
5663,经石峪铁匠,$L:npc_5663$,1,3,,117,0,,,100,40,1,1,0,,,,1711 ,120 ,0,122 ,41 ,731 ,20,,,,731;731;731;731;731,60,60,3,255 ,43 ,,,,,,,,,,,,,-1139;-70;1,talk;shop;identify;smithing;life_skill;task;,talk/npc_talk_287.xml,,,,,12;15;,,,,,,,,,1,
5664,紫竹林防线铁匠,$L:npc_5664$,1,3,,117,0,,,100,40,1,1,0,,,,1711 ,120 ,0,122 ,41 ,731 ,20,,,,731;731;731;731;731,60,60,3,255 ,43 ,,,,,,,,,,,,,-1393;-16;1,talk;shop;identify;smithing;life_skill;task;,talk/npc_talk_287.xml,,,,,12;15;,,,,,,,,,1,
5665,经石峪药师,$L:npc_5665$,1,3,,49,0,,,100,40,1,1,0,,,,1711 ,120 ,0,122 ,41 ,731 ,20,,,,731;731;731;731;731,60,60,3,255 ,43 ,,,,,,,,,,,,,-1143;-42;1,talk;shop;life_skill;task;,talk/npc_talk_128.xml,,,,,11;14;,,,,,,,,,1,
5666,紫竹林防线药师,$L:npc_5666$,1,3,,49,0,,,100,40,1,1,0,,,,1711 ,120 ,0,122 ,41 ,731 ,20,,,,731;731;731;731;731,60,60,3,255 ,43 ,,,,,,,,,,,,,-1429;-21;1,talk;shop;life_skill;task;,talk/npc_talk_128.xml,,,,,11;14;,,,,,,,,,1,
5667,飞雷（飞雷岭）,$L:npc_5667$,2,0,,5461,0,,,20,35,1,1,0,,,,100000 ,120 ,0,97 ,36 ,650 ,20,,,,650;650;650;650;650,30,120,3,230 ,38 ,,,,,,,,,,,,-1752 85;-1704 104;-1729 153;1602 199;-1765 197;-1757 127, ,,,,,,,,,,,,,,,,,
5668,飞雷（虚灵塔）,$L:npc_5668$,2,0,,5461,0,,,20,35,1,1,0,,,,100000 ,120 ,0,97 ,36 ,650 ,20,,,,650;650;650;650;650,30,120,3,230 ,38 ,,,,,,,,,,,,-1620 188;-1593 132;-1543 180;-1510 193;-1537 158;-1541 126,,,,,,,,,,,,,,,,,,
5669,乾坤之墓,$L:npc_5669$,1,3,,5462,0,,,20,35,1,1,0,,,,1313 ,120 ,0,97 ,36 ,650 ,20,,,,650;650;650;650;650,30,120,3,230 ,38 ,,,,,,,,,,,,,-1348;23;1,talk,talk/npc_talk_5669.xml,,,,,,,,,,,,,,,
5670,牙一族战士（副本）,$L:npc_5670$,1,3,,5465,1,,,100,30,2.8,3,1,,,,2948 ,120 ,0,228 ,32 ,569 ,20,,,,569;569;569;569;569,30,120,3,574 ,96 ,118 ,0.5,4,503,0.1;0;0;,"0,0;",6051,0;0;0;0;0;0;0;,"0,0;",0.13;,,,-1506;-137;1,,,,,1847,,,,,,,,,,,,
5671,祭祀之魂（副本）,$L:npc_5671$,1,3,,5463,1,,,100,33,2.8,3,1,,,,3518 ,120 ,0,265 ,34 ,618 ,20,,,,618;618;618;618;618,30,120,3,616 ,103 ,123 ,0.5,4,303,0.1;0;0;,"0,0;",6051,0;0;0;0;0;0;0;,"0,0;",0.13;,,,-1506;-137;1,,,,,1848,,,,,,,,,,,,
5672,牙一族祭司长（副本）,$L:npc_5672$,1,3,,5464,1,,,600,34,48,1.3,1,,2;3;4,,59583 ,120 ,0,1049 ,35 ,634 ,20,,,,634;634;634;634;634,60,120,3,10800 ,1800 ,2208 ,0.5,5,12010,0.1;0;0;,"0,0;",6051;5649,0;0;0;0;0;0;0;,"0,0;0,0",0.13;1,,576 1708;519 1607;657 1672,-1506;-137;1,,,,,1848,,,,,,,,,,,,
5673,牙一族冲锋队长(副本),$L:npc_5673$,1,3,,5466,1,,,600,32,38,1.3,1,,2;3;4,,42063 ,120 ,0,967 ,33 ,601 ,20,,,,601;601;601;601;601,60,120,3,8170 ,1362 ,1672 ,0.5,5,12009,0.1;0;0;,"0,0;",6051;5650,0;0;0;0;0;0;0;,"0,0;0,0",0.13;1,,,-1506;-137;1,,,,,1847,,,,,,,,,,,,
5674,牙一族巡游者（副本）,$L:npc_5674$,1,3,,5467,1,,,100,34,2.8,3,1,,,,3476 ,120 ,0,278 ,35 ,634 ,20,,,,634;634;634;634;634,30,120,3,630 ,105 ,129 ,0.5,4,603,0.1;0;0;,"0,0;",6051,0;0;0;0;0;0;0;,"0,0;",0.13;,,,-1506;-137;1,,,,,1846,,,,,,,,,,,,
5675,金牙族长（副本）,$L:npc_5675$,1,3,,5416,1,,,600,35,58,1.1,1,0.5;,2;3;4,,76125 ,120 ,0,924 ,36 ,650 ,20,,,,650;650;650;650;650,80,120,3,13340 ,2223 ,2668 ,0.5,6,12011,0.1;0;0;,"0,0;",6051,0;0;0;0;0;0;0;,"0,0;",0.13;,,,-1506;-137;1,,,,,1849,,,,,,,,,,,,
5676,幽暗密林副本入口NPC,$L:npc_5676$,1,3,,5463,0,,,100,35,1,3.5,0,,,,3440,312,0,228,31,569,20,,,,600;600;600;600;600,60,0,3,230 ,120,46 ,0.5,,,,,,,,,,,-1506;-137;1,talk;,talk/npc_talk_5676.xml,,,,,,,,,,,,,,1,
