,"comment:
npc名字",npcId,AI类型,AI脚本,重生周期(秒),重生日程,派系ID,是否巡逻,巡逻路径,是否为闭合的环状巡逻路线,是否默认激活巡逻,是否主动攻击,是否首领,"随从id num;id num;",视野范围,控制范围,活动范围,胆量,UPDATA事件,特殊事件,关联npc响应,生命周期,备注
89,野骡王,87,monster,,10,,0,0,,,,1,0,,60,800,100,1,,,,,
90,小金猱,88,monster,,3,,0,0,,,,0,0,,60,800,100,1,,,,,
91,金猱,89,monster,,10,,0,0,,,,0,0,,60,800,100,1,,,,,
92,绿袍老祖,90,monster,,60,,0,0,,,,1,0,"252 2",60,800,0,1,,,,,
93,智通,91,monster,,60,,71,0,,,,1,0,,60,800,0,1,,,,,
94,法元,92,monster,,60,,0,0,,,,1,0,,60,800,0,1,,,,,
95,小妖道何兴,93,monster,,60,,16,0,,,,1,1,,60,800,0,1,,,,,
96,山酋黑神,95,monster,,60,,0,0,,,,1,1,,60,800,0,1,,,,,
97,张老四,96,monster,,30,,0,0,,,,1,0,,60,800,0,1,,,,,
98,举子宋时,97,common,,30,,0,0,,,,1,0,,60,800,0,1,,,,,
99,举子周云从,98,common,,30,,0,1," -112 -382;-112 -382;-112 -382;-112 -382;-112 -382;-112 -382;-112 -382;-112 -393;-111 -415;-113 -435;-128 -453;-147 -468;-169 -478;-181 -494;-168 -512;-148 -525;-125 -527;-102 -532;-80 -532;-59 -521;-40 -507;-23 -490;1 -493;25 -497;49 -499;74 -499;98 -499;123 -500;147 -500;149 -500;",,0,1,0,,60,800,0,1,1,"OnTaskAccept 166;OnArrive 0;OnHpLower 80|60|40|20;",,,
100,孙南,99,monster,,30,,0,0,,,,1,0,,60,800,0,1,,,,,
101,伙计,100,common,,30,,0,0,,,,1,0,,60,800,0,1,,,,,
102,成都乡绅,102,common,,30,,0,0,,,,1,0,,60,800,0,1,,,,,
103,女侠石玉珠,103,common,,30,,0,0,,,,1,0,,60,800,0,1,,,,,
104,齐灵云,104,monster,,30,,0,0,,,,1,0,,60,800,0,1,,,,,
105,朱文,105,monster,,30,,0,0,,,,1,0,,60,800,0,1,,,,,
106,宝箱,106,common,,30,,0,0,,,,1,0,,60,800,0,1,,,,,
107,柴草堆,107,common,,30,,0,0,,,,1,0,,60,800,0,1,,,,,
108,掌柜,108,common,,30,,0,0,,,,1,0,,60,800,0,1,,,,,
109,铁匠,109,common,,30,,0,0,,,,1,0,,60,800,0,1,,,,,
110,幽冥判官,110,common,,30,,0,0,,,,1,0,,60,800,0,1,,,,,
111,周淳,111,common,,30,,0,0,,,,1,0,,60,800,0,1,,,,,
112,髯仙李元化,112,common,,30,,0,0,,,,1,0,,60,800,0,1,,,,,
113,知客了一,113,common,,30,,0,0,,,,1,0,,60,800,0,1,,,,,
114,山民卫士,114,common,,30,,0,0,,,,1,0,,60,800,0,1,,,,,
115,山民,115,common,,30,,0,0,,,,1,0,,60,800,0,1,,,,,
116,山民长老,116,common,,30,,0,0,,,,1,0,,60,800,0,1,,,,,
117,蟒蛇,117,monster,,3,,0,0,,,,0,0,,60,800,100,1,,,,,
118,黄狼,118,monster,,30,,0,0,,,,0,0,,60,800,100,1,,"OnBeCaptured;OnArrivePoint 124|-1888;",,,
119,猛鬼,119,monster,,3,,0,0,,,,0,0,,60,800,100,1,,,,,
120,怨灵,120,monster,,3,,0,0,,,,0,0,,60,800,100,1,,,,,
121,四金钢,121,monster,,15,,0,0,,,,1,0,,60,800,100,1,,,,,
122,毛太,122,monster,,60,,0,0,,,,1,0,,60,800,0,1,,,,,
123,俞德,123,monster,,60,,0,0,,,,1,0,,60,800,0,1,,,,,
124,僧兵,124,monster,,30,,0,0,,,,1,0,,60,800,100,1,,,,,
125,强盗,125,monster,,3,,0,0,,,,0,0,,60,800,100,1,,,,,
126,强盗头子,126,monster,,10,,0,0,,,,1,0,,60,800,100,1,,,,,
127,村民,127,common,,30,,0,0,,,,1,0,,60,800,0,1,,,,,
128,药师,128,common,,30,,0,0,,,,1,0,,60,800,0,1,,,,,
129,张瑶青,129,common,,30,,0,0,,,,1,0,,60,800,0,1,,,,,
130,张琪,130,common,,30,,0,0,,,,1,0,,60,800,0,1,,,,,
131,道童,131,common,,30,,0,0,,,,1,0,,60,800,0,1,,,,,
132,少年周云从,132,common,,30,,0,0,,,,1,0,,60,800,0,1,,,,,
133,小三子,134,common,,30,,0,0,,,,1,0,,60,800,0,1,,,,,
134,老金猱,133,common,,30,,0,0,,,,1,0,,60,800,0,1,,,,,
135,宝箱,135,plant,,30,,0,0,,,,1,0,,60,800,0,1,,,,,
136,宝箱,136,plant,,300,,0,0,,,,1,0,,60,800,0,1,,,,,
137,宝箱,137,plant,,300,,0,0,,,,1,0,,60,800,0,1,,,,,
138,宝箱,138,plant,,300,,0,0,,,,1,0,,60,800,0,1,,,,,
139,宝箱,139,plant,,300,,0,0,,,,1,0,,60,800,0,1,,,,,
140,宝箱,140,plant,,300,,0,0,,,,1,0,,60,800,0,1,,,,,
141,宝箱,141,plant,,300,,0,0,,,,1,0,,60,800,0,1,,,,,
142,通灵白兔,143,common,,30,,0,0,,,0,0,0,,60,800,100,1,,,,,
143,精英丛林蟒蛇,144,monster,,0,,1,0,,,,1,0,,200,80000,0,1,,,,,
144,毒蘑菇,145,monster,,0,,1,0,,,,1,0,,200,80000,0,1,,,,,
145,精英丛林王蛇,146,monster,,0,,1,0,,,,1,0,,200,80000,0,1,,,,,
146,精英蛇首杂役,147,monster,,0,,1,0,,,,1,0,,200,80000,0,1,,,,,
147,精英蛇首捕头,148,monster,,0,,1,0,,,,1,0,,200,80000,0,1,,,,,
148,精英蛇匪头目,149,monster,,0,,1,0,,,,1,0,,200,80000,0,1,,,,,
149,精英鬼火,150,monster,,0,,2,0,,,,1,0,,200,80000,0,1,,,,,
150,精英噬血魂,151,monster,,0,,2,0,,,,1,0,,200,80000,0,1,,,,,
151,精英恶鬼,152,monster,,0,,2,0,,,,1,0,,200,80000,0,1,,,,,
152,精英鬼怪队长,153,monster,,0,,2,0,,,,1,0,,200,80000,0,1,,,,,
153,精英金角蟒蛇,154,monster,,0,,1,0,,,,1,0,,200,80000,0,1,,,,,
154,精英蛇首校尉,155,monster,,0,,1,0,,,,1,0,,200,80000,0,1,,,,,
155,双头蛇怪,156,monster,,0,,1,0,,,,1,1,,200,2000,0,1,,,,,
156,鬼风妖道,157,monster,,0,,5,0,,,,0,1,,200,2000,0,1,,OnCreate;,,,
157,蛇妖化身,158,monster,,0,,1,0,,,,0,1,,200,2000,0,1,,OnCreate;,,,
158,蛇妖元神,159,monster,,0,,6,0,,,,1,1,,200,2000,0,1,,"OnHpLower 50;OnLeaveBattle;OnDead;",,,
159,唯清,161,common,,10,,0,0,,,,0,0,,60,800,0,1,,,,,
160,新鲜的蘑菇,160,plant,,40,,0,0,,,,0,0,,60,800,0,1,,,,,
161,兔子商贩,162,common,,10,,0,0,,,,0,0,,60,800,0,1,,,,,
162,小环,163,common,,10,,0,0,,,0,1,0,,60,800,0,1,,,,,
163,小灰兔,164,noncombatant_pet,,10,,0,0,,,,0,0,,60,800,100,1,,,,,
164,精英鬼怪队长,165,common,,0,,2,0,,,,1,0,,200,80000,0,1,,,,,
165,精英鬼怪队长,166,monster,,0,,4,1,"55 67;55 77;55 94;55 108;51 117;58 124;59 123;",,1,1,0,"168 1",500,80000,0,1,,OnCreate;,,,
166,精英鬼怪队长,167,monster,,0,,4,1,"65 68;65 78;63 94;67 113;62 122;58 122;",,1,1,0,"168 1",500,80000,0,1,,OnCreate;,,,
167,噬血随从,168,monster,,0,,4,0,,,0,1,0,,200,80000,0,1,,,,,
168,精英巡逻捕头,169,monster,,180,,3,1,"204 -156;202 -166;196 -180;192 -195;185 -202;171 -212;152 -216;132 -218;115 -219;95 -219;82 -217;70 -216;60 -210;55 -202;49 -185;43 -167;42 -147;43 -128;42 -108;44 -89;60 -79;80 -79;100 -80;119 -83;136 -82;156 -85;159 -87;",,1,1,0,"170 2",200,80000,100,1,,,,,
169,精英巡逻杂役,170,monster,,180,,3,0,,,0,1,0,,200,80000,100,1,,,,,
170,精英巡逻捕头,171,monster,,180,,3,1,"180 -135;180 -145;178 -163;167 -178;150 -188;132 -196;112 -194;93 -190;77 -179;71 -161;67 -141;67 -122;81 -109;101 -105;121 -105;136 -107;143 -109;",,1,1,0,"170 2",200,80000,100,1,,,,,
171,精英巡逻捕头,172,monster,,180,,3,1,"154 -116;155 -129;155 -148;147 -165;130 -175;111 -176;96 -172;85 -156;84 -142;94 -127;112 -121;132 -122;140 -140;135 -155;117 -164;102 -157;103 -147;",,1,1,0,"170 2",200,80000,100,1,,,,,
172,封印门,173,door,,0,,0,0,,,,0,0,,0,0,0,1,,OnCreate;,,,
173,被污染的蘑菇,174,plant,,0,,0,0,,,,0,0,,100,800,0,1,,OnDead;,,,
174,被污染的孢子,175,monster,,0,,1,0,,,,1,0,,200,80000,0,1,,,,,
175,污染者毒菌,176,common,,0,,0,0,,,,0,0,,100,800,0,1,,,,,
176,被污染的蘑菇,177,common,,0,,0,0,,,,0,0,,100,800,0,1,,,,,
177,蛇精,178,common,,0,,0,0,,,,0,0,,100,800,0,1,,,,,
178,封印门,179,door,,0,,0,0,,,,0,0,,0,0,0,1,,OnCreate;,,,
179,蛇首巫婆,180,common,,0,,0,0,,,,0,0,,100,800,0,1,,,,,
180,蛇妖元神,181,monster,,0,,6,0,,,,1,1,,200,2000,0,1,,,,,
181,佛奴,182,common,,0,,0,0,,,,0,0,,100,800,0,1,,,,,
182,仓库管理,183,common,,0,,0,0,,,,0,0,,100,800,0,1,,,,,
183,精英鬼怪队长,184,common,,0,,2,0,,,,1,0,,200,80000,0,1,,,,,
184,机关兽,185,monster,,30,,0,0,,,,1,0,,60,800,100,1,,,,,
185,桃树精,186,monster,,30,,0,0,,,,1,0,,60,800,100,1,,,,,
186,宠物机关兽,187,monster,,30,,0,0,,,,0,0,,60,800,100,1,,,,,
187,桂花妖,188,monster,,30,,0,0,,,,1,0,,60,800,100,1,,,,,
188,机关人,189,monster,,30,,0,0,,,,1,0,,60,800,100,1,,,,,
189,金驼,190,monster,,60,,0,0,,,,1,0,,60,800,100,1,,,,,
190,鳄鱼,191,monster,,30,,0,0,,,,1,0,,60,800,100,1,,,,,
191,穿山甲,192,monster,,30,,0,0,,,,1,0,,60,800,100,1,,,,,
192,火石怪,193,monster,,30,,0,0,,,,1,0,,60,800,100,1,,,,,
193,神鳄,194,monster,,60,,0,0,,,,1,0,,120,800,100,1,,,,,
194,黑石怪,195,monster,,60,,0,0,,,,1,0,,300,800,0,1,,,,,
195,机关巨人,196,monster,,60,,0,0,,,,1,0,,120,800,100,1,,,,,
196,红花婆婆,197,common,,60,,0,0,,,,1,0,,120,800,100,1,,,,,
197,飞龙师太,198,monster,,60,,0,0,,,,1,0,,120,800,100,1,,,,,
198,杂役童子,199,common,,10,,0,0,,,,0,0,,100,800,0,1,,,,,
199,杂役童子,200,common,,10,,0,0,,,,0,0,,100,800,0,1,,,,,
200,野兔幼崽,201,monster,,3,,0,0,,,,0,0,,120,800,100,1,,,,,
201,幼年山狼,202,monster,,3,,0,0,,,,0,0,,100,800,100,1,,,,,
202,狼王侍卫,203,monster,,3,,0,0,,,,0,0,,100,800,100,1,,,,,
203,精英狼王,204,monster,,10,,0,0,,,,1,0,,100,800,100,1,,,,,
204,猪脸猫幼崽,205,monster,,30,,0,0,,,,0,0,,100,800,100,1,,,,,
205,小蟑螂,206,monster,,30,,0,0,,,,0,0,,100,800,100,1,,,,,
206,雌蟑螂,207,monster,,30,,0,0,,,,0,0,,100,800,100,1,,,,,
207,蟑螂王,208,monster,,60,,0,0,,,,0,0,,100,800,100,1,,,,,
208,阿黄,209,common,,60,,0,1,"77 575;82 566;90 548;92 525;109 509;123 490;144 484;144 487;",,0,1,0,,100,800,0,1,,,,,
209,强盗匪兵,210,monster,,3,,0,0,,,,0,0,,100,800,100,1,,,,180,
210,强盗二当家,211,monster,,10,,0,0,,,1,1,0,"210 2",60,800,100,1,,,,180,
211,伤心的村民,212,common,,30,,0,0,,,,1,0,,100,800,0,1,,,,,
212,白眉祖师,213,common,,30,,0,0,,,,0,0,,100,800,0,1,,,,,
213,中性猪脸猫,214,monster,,30,,0,0,,,,0,0,,100,800,100,1,,,,,
214,小蘑菇,216,monster,,3,,0,0,,,,0,0,,120,800,100,1,,,,,
215,蘑菇,217,monster,,3,,0,0,,,,0,0,,120,800,100,1,,,,,
216,小双头蛇,218,monster,,3,,0,0,,,,0,0,,120,800,100,1,,,,,
217,幼豹,219,monster,,3,,0,0,,,,0,0,,120,800,100,1,,,,,
218,小黑豹,220,monster,,3,,0,0,,,,0,0,,120,800,100,1,,,,,
219,黑豹,221,monster,,3,,0,0,,,,0,0,,120,800,100,1,,,,,
220,流匪,222,monster,,3,,0,0,,,,0,0,,120,800,100,1,,,,,
221,强盗,223,monster,,3,,0,0,,,,0,0,,120,800,100,1,,,,,
222,恶鬼凶灵,224,monster,,10,,0,0,,,,1,0,,120,800,100,1,,,,,
223,猎户,225,monster,,30,,0,0,,,,0,0,,120,800,0,1,,,,,
224,幽灵,226,monster,,3,,0,0,,,,0,0,,120,800,100,1,,,,,
225,豺狼,227,monster,,3,,0,0,,,,0,0,,120,800,100,1,,,,,
226,飞蛇,228,monster,,3,,0,0,,,,0,0,,120,800,100,1,,,,,
227,心灯,1002,null,,,,,,,,,,,,,,,,,,,,
228,决斗旗子,215,null,,,,,,,,,,,,,,,,,,,,
229,金蝉,1003,common,,10,,0,0,,,,0,0,,100,800,0,1,,,,,
230,心灯,1004,null,,,,,,,,,,,,,,,,,,,,
231,心灯,1005,null,,,,,,,,,,,,,,,,,,,,
232,宝箱,142,plant,,300,,0,0,,,,1,0,,100,800,0,1,,,,,
233,百合花,229,plant,,30,,0,0,,,,0,0,,100,800,0,1,,,,,
234,小青蛇,230,monster,,30,,0,0,,,,0,0,,100,800,100,1,,,,,
235,玉清大师,231,common,,30,,0,0,,,,1,0,,60,800,0,1,,,,,
236,隐居的村民,232,common,,30,,0,0,,,,1,0,,100,800,0,1,,,,,
237,伙计,233,common,,30,,0,0,,,,1,0,,100,800,0,1,,,,,
238,丛林警卫,234,monster,,3,,0,0,,,,0,0,,100,800,100,1,,,,,
239,丛林蟒蛇,235,monster,,3,,0,0,,,,0,0,,100,800,100,1,,,,,
240,蛇人守卫,236,monster,,3,,0,0,,,,0,0,,60,800,100,1,,,,,
241,蛇匪将军,237,monster,,60,,0,0,,,,1,0,,120,800,100,1,,,,,
242,蜈蚣护卫,238,monster,,3,,0,0,,,,0,0,,60,800,100,1,,,,,
243,鬼道护卫,239,monster,,3,,0,0,,,,0,0,,60,800,100,1,,,,,
244,小熊猫,240,noncombatant_pet,,30,,0,0,,,,0,0,,100,800,100,1,,,,,
245,奇怪的香客,241,monster,,30,,0,0,,,,1,0,,60,800,100,1,,,,,
246,假冒的魏青,242,monster,,60,,0,0,,,,1,0,"247 2",60,800,100,1,,,,,
247,追杀者,243,monster,,30,,0,0,,,,1,0,,60,1000,100,1,,,,120,
248,藏匿的匪徒,244,monster,,15,,0,0,,,,1,0,,60,800,100,1,,"OnBeCaptured;OnArrivePoint -265|-484;",,,
249,慈云蛮僧,245,monster,,15,,0,0,,,,1,0,,60,800,100,1,,,,,
250,魏家村守卫,246,monster,,15,,0,0,,,,1,0,,60,800,100,1,,,,,
251,魏清护卫,247,monster,,30,,0,0,,,,1,0,,60,800,100,1,,,,,
252,龙飞护卫,248,monster,,30,,0,0,,,,1,0,,60,800,100,1,,,,,
253,随从飞贼,249,monster,,30,,0,0,,,,1,0,,60,800,100,1,,,,,
254,跟踪的匪徒,250,monster,,30,,0,0,,,,1,0,,60,1000,100,1,,,,120,
255,金蚕护卫,251,monster,,30,,0,0,,,,1,0,,60,800,100,1,,,,,
256,滇边毒蝇,252,monster,,30,,0,0,,,,1,0,,60,800,100,1,,,,,
257,被关押的举子,253,common,,30,,0,0,,,,1,0,,60,800,0,1,,,,,
258,丘林,254,common,,30,,0,1,"464 -399;464 -399;464 -399;464 -399;464 -399;464 -399;464 -399;464 -399;457 -392;438 -385;436 -364;446 -346;458 -328;475 -316;470 -297;452 -284;430 -282;408 -284;409 -306;402 -327;387 -344;365 -352;350 -336;347 -313;330 -306;309 -310;299 -329;304 -350;313 -372;308 -394;303 -417;300 -440;300 -461;298 -483;",,0,1,0,,60,800,0,1,1,"OnTaskAccept 156;OnArrive 0;OnHpLower 80|60|40|20;",,,
259,毛太弟子,255,monster,,30,,0,0,,,,1,0,,60,800,100,1,,,,,
260,毛太,260,monster,,0,,0,0,,,,1,0,,200,2000,0,1,,,,,
261,龙飞,261,monster,,0,,0,0,,,,1,0,"267 2",200,2000,0,1,,,,,
262,绿袍老祖,262,monster,,0,,0,0,,,,1,0,,200,2000,0,1,,,,,
263,法元,263,monster,,0,,0,0,,,,1,0,,200,2000,0,1,,,,,
264,晓月禅师,264,monster,,0,,0,0,,,,1,0,,200,2000,0,1,,OnDead;,,,
265,百毒金蚕蛊,265,monster,,0,,0,0,,,,1,0,,200,2000,0,1,,,,,
266,智通,266,monster,,0,,71,0,,,,1,0,,200,2000,0,1,,,,,
267,精英匪徒,267,monster,,0,,10,0,,,,1,0,,200,80000,0,0,,OnRunaway;,,,
268,精英恶和尚,268,monster,,0,,10,0,,,,1,0,,200,80000,0,0,,,,,
269,精英黑衣贼,269,monster,,0,,10,0,,,,1,0,,200,80000,0,1,,,,,
270,精英纨侉子弟,270,monster,,0,,11,0,,,,1,0,,200,80000,0,1,,,,,
271,精英采花贼,271,monster,,0,,11,0,,,,1,0,,200,80000,0,1,,,,,
272,精英风尘女子,272,monster,,0,,11,0,,,,1,0,,200,80000,0,1,,,,,
273,精英黑豹,273,monster,,0,,12,0,,,,1,0,,200,80000,0,1,,,,,
274,精英致命蜈蚣,274,monster,,0,,12,0,,,,1,0,,200,80000,0,1,,,,,
275,豺狼,275,monster,,0,,12,0,,,,1,0,,200,80000,0,1,,,,,
276,精英慈云僧兵,276,monster,,0,,14,0,,,,1,0,,200,80000,0,1,,,,,
277,精英武僧金钢,277,monster,,0,,14,0,,,,1,0,,200,80000,0,1,,,,,
278,精英武僧金钢,278,common,,0,,14,0,,,,1,0,,200,80000,0,1,,,,,
279,精英武僧金钢,279,common,,0,,14,0,,,,1,0,,200,80000,0,1,,,,,
280,杨花,280,monster,,0,,71,0,,,,1,0,,200,2000,0,1,,,,,
281,智通,281,monster,,0,,71,0,,,,1,0,,200,2000,0,1,,,,,
282,智通,282,monster,,0,,71,0,,,,1,0,,200,2000,0,1,,,,,
283,智通,283,monster,,0,,71,0,,,,1,0,,200,2000,0,1,,,,,
284,龙飞,284,monster,,0,,0,0,,,,1,0,,200,2000,0,1,,,,,
285,豺狼,285,monster,,0,,15,1,"486 125;502 125;516 112;523 111;",,1,1,0,"275 2",500,80000,0,1,,OnCreate;,,,
286,豺狼,286,monster,,0,,15,1,"485 92;500 92;516 102;521 108;",,1,1,0,"275 2",500,80000,0,1,,OnCreate;,,,
287,铁匠,287,common,,30,,0,0,,,,1,0,,60,800,0,1,,,,,
288,药师,288,common,,30,,0,0,,,,1,0,,60,800,0,1,,,,,
289,仓库管理,289,common,,30,,0,0,,,,1,0,,60,800,0,1,,,,,
290,掌柜,290,common,,30,,0,0,,,,1,0,,60,800,0,1,,,,,
