short,备注,,bool,float[3],,string,,string,,,,string,string,,string,string,,string,string,string,string,string,string,string,float,int,float," ",string,string,,,,,,
7189,CaveBoss1,,0,2;2;2,1,boss014,,,"bip_boss014 Spine",,5,iwboss014,Bwp01,,,,,,,,,,,,15,1,100,1,,,1,ic_boss014,,,,
7190,CaveBoss2,,0,2;2;2,1,mon082,,,Bip01,,5,,,,,,,,,,,,,,15,1,100,1,,,1,ic_mon082,,,,
7191,CaveBoss3,,0,2;2;2,1,boss015,,,"bip_boss015 Spine",,5,,,,,,,,,,,,,,15,1,100,1,,,1,ic_boss015,,,,
7192,ChoDom,$L:pet7168$,0,0.8;0.8;0.8,1,npc075,,,,,5,,,,,,,,,,,,,,15,1,60,1,,,1,ic_npc075,,,1,
7193,宝箱,,0,1;1;1,1,ruong1,,,,,5,,,,,,,,,,,,,,15,1,,1,,,1,ic_ruong1,,,,
7194,Boss1,,0,4;4;4,1,boss045,,,"Bip01 Spine",,5,,,,,,,,,,,,,,10,1,80,4,eff_mon006_die,,1,ic_boss045,,,,
7195,WizardB,,0,1.6;1.6;1.6,1,mon190,,,Bip_pe01,,0,iwea09_02,,,,,,,,,,,,,15,1,80,1,,,1,ic_mon190,,,,
7196,Boss3,,0,2;2;2,1,mon204,,,b_hit,,5,,,,,,,,,,,,,,15,1,100,4,eff_mon204_die,,1,ic_mon204,,,,
7120,bossan,,0,0.5;0.5;0.5,1,boss064,,,"Bip01 Spine1;Bip01 R Hand;Bip01 L Hand",,5,,,,,,,,,,,,,,15,1,60,1,,,1,ic_boss064,,,,
7121,sukiem,,0,2;2;2,1,npc148,,,b_hit,,5,,,,,,,,,,,,,,15,1,,1,,,1,ic_npc148,,,,
7122,pet,,0,0.5;0.5;0.5,1,npc101,,,,,5,,,,,,,,,,,,,,15,1,80,1,,,1,ic_npc101,,,,
7123,Dragon,$L:pet7108$,0,0.2;0.2;0.2,1,petd024a_2,,,,,5,,,,,,,,,,,,,,15,1,60,1,,,1,petdragon,,,1,
7124,AssassinDagger,,0,2;2;2,1,mon188,,,Bip_pq,,5,,,,,,,,,,,,,,15,1,80,1,,,1,ic_mon188,,,,
7125,FairyWheel,,0,2;2;2,1,mon187,,,Bip_pb01,,3,iwba08_02,,,,,,,,,,,,,15,1,80,1,,,1,ic_mon187,,,,
7126,Wizard,,0,2;2;2,1,mon190,,,Bip_pe01,,0,iwea07_02,,,,,,,,,,,,,15,1,80,1,,,1,ic_mon190,,,,
7127,Monk,,0,2;2;2,1,mon191,,,Bip01,,5,,,,,,,,,,,,,,15,1,80,1,,,1,ic_mon191,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7153,"Wiz M",$L:pet7153$,0,0.5;0.5;0.5,1,pe,,,Bip_pe01,,0,iwea07_02,,,,,,,,fpe01,ape01,bpe07_02,hpe07_02,lpe07_02,15,1,60,1,,,1,ic_pe005,,,1,
7154,Monk,$L:pet7154$,0,0.5;0.5;0.5,1,pf,,,Bip01,,1,iwfa07_02,Blink_wp,Blink_bk,,,,,,fpf01,apf01,bpf07_02,hpf07_02,lpf07_02,15,1,60,1,,,1,ic_pf005,,,1,
7155,Fay,$L:pet7155$,0,0.5;0.5;0.5,1,pb,,,Bip_pb01,,3,iwbb07_02,,,,,,,,fpb01,apb01,bpb07_02,hpb07_02,lpb07_02,15,1,60,1,,,1,ic_bp005,,,1,
7156,Sin,$L:pet7156$,0,0.5;0.5;0.5,1,pq,,,Bip_pq,,2,iwqa07_02,Blink_wp_L,Blink_LG_L,iwqa07_02,Blink_wp_R,Blink_LG_R,,,fpq01,apq01,bpq07_02,hpq07_02,lpq07_02,15,1,60,1,,,1,ic_pq005,,,1,
7157,Tamer,$L:pet7157$,0,0.5;0.5;0.5,1,px,,,"Bip_px Spine",,4,iwxa07_02,Blink_wp,Blink_bk01,,,,,,fpx01,apx01,bpx07_02,hpx07_02,lpx07_02,15,1,60,1,,,1,ic_px005,,,1,
