number,string,,number,string,number,number,number,number,number,number,number,string,cmd,cmd,cmd,cmd,cmd,cmd,number,number;num,number;num,number;num,number;num,number;num,number;num,number;num,number;num,string,number,number,number;num,number;num,,cmd,,cmd,cmd,,
1837,飞雷岭异象,38,36,0,1,,,,1,36,99,all,,,,,,,0,0,0,5125,1,5646,5125,1,1,,0,,0,99,"5 ",AddExp(102350);AddNimbus(101175);AddMoney(10360),,,,,0
1838,古老的玉坠,38,36,0,1,,,,1,36,99,all,CheckTaskFinished(1837),,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,"5 ",AddExp(102350);AddNimbus(101175);AddMoney(10360),,,,,0
1839,废墟中的名册,38,37,0,1,,,,1,36,99,all,CheckTaskFinished(1838),,,,,,0,0,0,5127,1,5647,5127,1,1,,0,,0,99,"20 ",AddExp(109600);AddNimbus(104800);AddMoney(101440),,,,,0
1840,李承乾其人,38,37,0,1,,,,1,36,99,all,CheckTaskFinished(1839),,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,"5 ",AddExp(102400);AddNimbus(101200);AddMoney(10360),,,,,0
1841,尘封多年的记忆,38,38,0,1,,,,1,36,99,all,CheckTaskFinished(1840),,,,,,0,0,0,5128,20,5648,5128,1,20,,0,,0,99,"20 ",AddExp(109800);AddNimbus(104900);AddMoney(101500),,,,,0
1842,了却恩怨,38,40,1,1,,,,1,36,99,all,CheckTaskFinished(1841),,,,,,0,5624,1,5129,1,5624,5129,1,1,,0,,0,99,"30 ",AddExp(1015300);AddNimbus(107650);AddMoney(102340),,,,,0
1843,赤霞弟子,38,33,0,1,,,,1,32,99,all,CheckTaskFinished(1809),,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,"3 ",AddExp(101320);AddNimbus(10660);AddMoney(10198),,,,,0
1844,思孙心切,38,35,11,1,,,,1,34,99,all,,,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,"30 ",AddExp(1013800);AddNimbus(106900);AddMoney(102070),,,,,0
1845,逃出密林,38,35,11,0,1,,,1,34,99,all,,,,,,,0,0,0,0,0,0,0,0,0,2,5684,1,0,99,"30 ",AddExp(1013800);AddNimbus(106900);AddMoney(102070),,,,,0
1846,收集猪鬃,38,33,11,1,,,,1,33,99,all,,,,,,,0,0,0,5136,10,5674;5685;5686;5687;5688,5136;5136;5136;5136;5136,0.5;0.5;0.5;0.5;0.5,10;10;10;10;10,,0,,0,99,"30 ",AddExp(1013200);AddNimbus(106600);AddMoney(101980),,,,,0
1847,尽歼余孽,38,34,11,1,,,,1,33,99,all,,,,,,,0,5670;5673,20;1,0,0,0,0,0,0,,0,,0,99,"30 ",AddExp(1013500);AddNimbus(106750);AddMoney(102070),,,,,0
1848,奇怪的黑水湖,38,34,11,1,,,,1,33,99,all,,,,,,,0,5671;5672,20;1,0,0,0,0,0,0,,0,,0,99,"30 ",AddExp(1013500);AddNimbus(106750);AddMoney(102070),,,,,0
1849,消灭族长,38,35,11,1,,,,1,34,99,all,,,,,,,0,5675,1,0,0,0,0,0,0,,0,,0,99,"30 ",AddExp(1013800);AddNimbus(106900);AddMoney(102070),,,,,0
1850,报仇雪恨,38,38,11,1,,,,1,37,99,all,,,,,,,0,5691,20,0,0,0,0,0,0,,0,,0,99,"30 ",AddExp(1014700);AddNimbus(107350);AddMoney(102250),,,,,0
1851,虚灵阵,38,37,11,1,,,,1,36,99,all,,,,,,,0,0,0,5139,20,5689;5690,5139;5139,0.5;0.5,20;20,,0,,0,99,"30 ",AddExp(1014400);AddNimbus(107200);AddMoney(102160),,,,,0
1852,破碎玄石,38,39,11,1,,,,1,38,99,all,,,,,,,0,5692;5693,20;1,0,0,0,0,0,0,,0,,0,99,"30 ",AddExp(1015000);AddNimbus(107500);AddMoney(102250),,,,,0
1853,白骨成灰,38,40,11,1,,,,1,39,99,all,,,,,,,0,5659,1,0,0,0,0,0,0,,0,,0,99,"30 ",AddExp(1015300);AddNimbus(107650);AddMoney(102340),,,,,0
1854,trungthu,38,40,1,1,,,,1,40,99,all,,,,,,,0,4934;4936;5167;5166;5168;5169,10;10;10;10;5;5,0,0,0,0,0,0,,0,,0,99,,AddExp(5015300);AddMoney(3000000),"AddItem(8084,1);AddItem(8053,3);AddItem(8054,3);AddItem(8055,2)",,,,0
1855,ngua,38,91,1,1,,,,1,91,99,all,,,,,,,0,4502;4613;4614;4615;4934;4936;5168;5166;5169;7031;7032;7033;7054;7053;7055;7056,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,0,0,0,0,0,0,,0,,0,99,,AddExp(1015300),"AddItem(8086,1)",,,,0
1856,GiangSinhCao,38,81,1,1,,,,1,81,99,all,,,,,,,0,5168;5169;7031;7032;7033,5;5;4;4;3,0,0,0,0,0,0,,0,,0,99,,AddExp(5015300);AddMoney(3000000),"AddItem(8088,1);AddItem(8053,1);AddItem(8054,1)",,,,0
1857,GiangSinhTrung,38,1,1,1,,,,1,20,80,all,,,,,,,0,4502;4613;4614;4615;4934;4936,5;5;5;5;4;4,0,0,0,0,0,0,,0,,0,99,,AddExp(3015300);AddMoney(2000000),"AddItem(9002,1);AddItem(8053,1);AddItem(8054,1)",,,,0
