,µÀ¾ßµÄId,µ±Ç°µãÊý,´òÕÛÇ°µÄµãÊý,"ÉÌÆ·µÄÌØÊâ±ê¼Ç(Èç""×îÐÂ"",""ÈÈÏú""µÈ)",ÉÌÆ·¶îÍâÃèÊö,ÊôÐÔId,ÉÌÆ·µÈ¼¶ÐÞÕý,°ó¶¨ÐÎÊ½,ÓÐÐ§Ê±¼ä,ÉùÍûÏÞÖÆµÄÊÆÁ¦,ÉùÍûµÈ¼¶ÏÞÖÆ,µÀ¾ßµÄÐû´«Í¼Æ¬(Ã»ÓÐ3DÄ£ÐÍÊ±ÏÔÊ¾),3DÄ£ÐÍµÄ±³¾°Í¼Æ¬,ÉãÏñ»úÓëÄ£ÐÍµÄ¾àÀë,ÉãÏñ»úÓëË®Æ½ÃæµÄ½Ç¶È(»¡¶È),Ä£ÐÍµÄÐý×ª½Ç¶È(»¡¶È),Ä£ÐÍµÄÆ«ÒÆÁ¿,"ÊÇ·ñ""²»Ô¤ÀÀÄ£ÐÍ»òÐû´«Í¼Æ¬"""
106,3922,1,,,"Tinh Linh T¦y Ði¬m Bäo Thß",,,,,,,,shop_model_bk1,,,,,
107,4327,1,,,"Hoán Danh Bäo Thß",,,,,,,,shop_model_bk1,,,,,
108,3507,1,,,"Thú Nghi®m Bäo Thß",,,,,,,,shop_model_bk1,,,,,
109,4696,1,,,"CØu Vî H°",,,,,,,,shop_model_bk1,,,,,
110,5530,1,,,"H¢ng Nga Ng÷c Th¯",,,,,,,,shop_model_bk1,,,,,
111,4716,1,,,"Ti¬u Niên Thú ",,,,,,,,shop_model_bk1,,,,,
112,4704,1,,,"Ti¬u Hùng Miêu",,,,,,,,shop_model_bk1,,,,,
113,4705,1,,,"Ti¬u Dß½ng Thông",,,,,,,,shop_model_bk1,,,,,
114,4706,1,,,"Linh Chi Tiên",,,,,,,,shop_model_bk1,,,,,
115,4707,1,,,"Ti¬u Dã La (Pet)",,,,,,,,shop_model_bk1,,,,,
116,4708,1,,,"Kim Mao Viên",,,,,,,,shop_model_bk1,,,,,
117,4709,1,,,"Hoàng Kim KÏ Khuy¬n",,,,,,,,shop_model_bk1,,,,,
118,4710,1,,,"Tuyªt Khiêu KÏ Khuy¬n",,,,,,,,shop_model_bk1,,,,,
119,4711,1,,,"Ngân Quang Tê Ði¬u",,,,,,,,shop_model_bk1,,,,,
120,4712,1,,,"Nhi®t Ð¾i Tê Ði¬u",,,,,,,,shop_model_bk1,,,,,
121,4713,1,,,"Ti¬u Khôi Th¯",,,,,,,,shop_model_bk1,,,,,
122,4714,1,,,"Ti¬u ThØ",,,,,,,,shop_model_bk1,,,,,
123,4715,1,,,"S½n Ð¸a ThØ",,,,,,,,shop_model_bk1,,,,,
124,4697,1,,,"Xích Thiên HÕc",,,,,,,,shop_model_bk1,,,,,
125,4912,1,,,"Thú KÛ Bäo Thß (H°i pháp lñc khi chiªn ð¤u)",,,,,,,,shop_model_bk1,,,,,
126,3444,1,,,"Sách Tång Linh Lñc",,,,,,,,shop_model_bk1,,,,,
127,3445,1,,,"Sách Tång Kinh Nghi®m",,,,,,,,shop_model_bk1,,,,,
128,3446,1,,,"Sách Tñ Dùng H°i Huyªt Dßþc",,,,,,,,shop_model_bk1,,,,,
129,3447,1,,,"Sách Tñ Dùng H°i Pháp Dßþc",,,,,,,,shop_model_bk1,,,,,
130,3448,1,,,"Sách Tñ Nh£t Ð°",,,,,,,,shop_model_bk1,,,,,
131,3449,1,,,"Sách Tång Gi¾i HÕn Th¬ Lñc",,,,,,,,shop_model_bk1,,,,,
132,3450,1,,,"Sách Tång Gi¾i HÕn Pháp Lñc",,,,,,,,shop_model_bk1,,,,,
133,3895,1,,,"Sách Tång Linh Lñc Cao C¤p",,,,,,,,shop_model_bk1,,,,,
134,3896,1,,,"Sách Tång Kinh Nghi®m",,,,,,,,shop_model_bk1,,,,,
135,4176,1,,,"Sách Tång Phòng Ngñ",,,,,,,,shop_model_bk1,,,,,
136,4469,1,,,"Thú KÛ Bäo Thß (H°i Phøc Th¬ Lñc)",,,,,,,,shop_model_bk1,,,,,
137,4470,1,,,"Thú KÛ Bäo Thß (H°i Phøc Pháp Lñc)",,,,,,,,shop_model_bk1,,,,,
138,8085,3000,,,"H°ng H¡c Mã Siêu C¤p",,,,,,,,shop_model_bk1,,,,,
139,8086,2000,,,"H°ng H¡c Mã",,,,,,,,shop_model_bk1,,,,,
140,5877,1,,,"Lam Di­m Mã",,,,,,,,shop_model_bk1,,,,,
141,5878,1,,,"Xích Di­m Mã",,,,,,,,shop_model_bk1,,,,,
142,3484,1000,,,"Nguy®t Hùng",,,,,,,,shop_model_bk1,,,,,
143,3485,1000,,,"BÕch Hùng",,,,,,,,shop_model_bk1,,,,,
144,,1,,,,,,,,,,,shop_model_bk1,,,,,
145,,1,,,,,,,,,,,shop_model_bk1,,,,,
146,,1,,,,,,,,,,,shop_model_bk1,,,,,
147,,1,,,,,,,,,,,shop_model_bk1,,,,,
148,4196,1000,,,"Ngân Lang Siêu C¤p",,,,,,,,shop_model_bk1,,,,,
149,4197,1000,,,"Hoä Lang Siêu C¤p",,,,,,,,shop_model_bk1,,,,,
150,,1,,,,,,,,,,,shop_model_bk1,,,,,
151,,1,,,,,,,,,,,shop_model_bk1,,,,,
152,5829,1000,,,"Thiên Lôi Kiªm",,,,,,,,shop_model_bk1,,,,,
153,5984,1000,,,"TØ Hiên Kiªm",,,,,,,,shop_model_bk1,,,,,
154,,1,,,,,,,,,,,shop_model_bk1,,,,,
155,,1,,,,,,,,,,,shop_model_bk1,,,,,
156,6095,1000,,,"BÕch NgÕch Mãnh H±",,,,,,,,shop_model_bk1,,,,,
157,9133,3500,,,"Huyªt Long",,,,,,,,shop_model_bk1,,,,,
158,6096,1000,,,"KÜ Thú CØu VÛ H°",,,,,,,,shop_model_bk1,,,,,
159,6097,1000,,,"KÜ Thú CØu VÛ H°  (Tím)",,,,,,,,shop_model_bk1,,,,,
160,,1,,,,,,,,,,,shop_model_bk1,,,,,
161,,1,,,,,,,,,,,shop_model_bk1,,,,,
162,,1,,,,,,,,,,,shop_model_bk1,,,,,
163,,1,,,,,,,,,,,shop_model_bk1,,,,,
164,,1,,,,,,,,,,,shop_model_bk1,,,,,
165,,1,,,,,,,,,,,shop_model_bk1,,,,,
166,5901,1000,,,"Tông Mao Tu¥n Lµc",,,,,,,,shop_model_bk1,,,,,
167,5902,1000,,,"TØ S¡c Tu¥n Lµc",,,,,,,,shop_model_bk1,,,,,
168,8072,1000,,,"Vçn Tinh Gi¾i Chï +10",,,,,,,,shop_model_bk1,,,,,
169,8073,1000,,,"Vçn Tinh Hµ Phù +10",,,,,,,,shop_model_bk1,,,,,
170,,1,,,,,,,,,,,shop_model_bk1,,,,,
171,,1,,,,,,,,,,,shop_model_bk1,,,,,
172,4047,1000,,,"Häi KÏ Lân Siêu C¤p",,,,,,,,shop_model_bk1,,,,,
173,4048,1000,,,"Höa KÏ Lân Siêu C¤p",,,,,,,,shop_model_bk1,,,,,
174,4049,1000,,,"Bäo Liên Ðài Siêu C¤p",,,,,,,,shop_model_bk1,,,,,
175,4050,1000,,,"Lßþng Ngân Ðài Siêu C¤p",,,,,,,,shop_model_bk1,,,,,
176,8075,1000,,,"Thanh Lang Siêu C¤p",,,,,,,,shop_model_bk1,,,,,
177,8076,1000,,,"Lam Phøng Hoàng Siêu C¤p",,,,,,,,shop_model_bk1,,,,,
178,,1,,,,,,,,,,,shop_model_bk1,,,,,
179,8078,1,,,"Lam Phøng Hoàng",,,,,,,,shop_model_bk1,,,,,
180,4694,1000,,,"Huyªt Höa Phøng Hoàng",,,,,,,,shop_model_bk1,,,,,
181,4695,1000,,,"Kim Vû Phøng Hoàng",,,,,,,,shop_model_bk1,,,,,
182,4163,1,,,"Chìa Khóa Th¥n Bí",,,,,,,,shop_model_bk1,,,,,
183,4178,1,,,"Chìa Khoá C± Mµ",,,,,,,,shop_model_bk1,,,,,
184,4988,1,,,"Bang Hµi C¯ng Hiªn L®nh",,,,,,,,shop_model_bk1,,,,,
185,840,1,,,"(Bµ) Th¤t Tinh Chiªn Y",,,,,,,,shop_model_bk1,,,,,
186,841,1,,,"(Bµ) Th¤t Tinh Hµ Thü",,,,,,,,shop_model_bk1,,,,,
187,842,1,,,"(Bµ) Th¤t Tinh Chiªn Ngoa",,,,,,,,shop_model_bk1,,,,,
188,843,1,,,"(Bµ) Th¤t Tinh Hµ Oän",,,,,,,,shop_model_bk1,,,,,
189,844,1,,,"(Bµ) Th¤t Tinh Hµ T¤t",,,,,,,,shop_model_bk1,,,,,
190,845,1,,,"(Bµ) Th¤t Tinh Ðai",,,,,,,,shop_model_bk1,,,,,
191,846,1,,,"(Bµ) Kim Cß½ng Chiªn Giáp",,,,,,,,shop_model_bk1,,,,,
192,847,1,,,"(Bµ) Kim Cß½ng Hµ Thü",,,,,,,,shop_model_bk1,,,,,
193,848,1,,,"(Bµ) Kim Cß½ng Chiªn Ngoas",,,,,,,,shop_model_bk1,,,,,
194,849,1,,,"(Bµ) Kim Cß½ng Hµ Oän",,,,,,,,shop_model_bk1,,,,,
195,850,1,,,"(Bµ) Kim Cß½ng Hµ T¤t",,,,,,,,shop_model_bk1,,,,,
196,851,1,,,"(Bµ) Kim Cß½ng Ðai",,,,,,,,shop_model_bk1,,,,,
197,852,1,,,"(Bµ) Tuyªt Li­u Vû Thß¶ng",,,,,,,,shop_model_bk1,,,,,
198,853,1,,,"(Bµ) Tuyªt Li­u Hµ Thü",,,,,,,,shop_model_bk1,,,,,
199,854,1,,,"(Bµ) Tuyªt Li­u Nhuy­n Ngoa",,,,,,,,shop_model_bk1,,,,,
200,855,1,,,"(Bµ) Tuyªt Li­u Hµ Oän",,,,,,,,shop_model_bk1,,,,,
201,856,1,,,"(Bµ) Tuyªt Li­u Hµ T¤t",,,,,,,,shop_model_bk1,,,,,
202,857,1,,,"(Bµ) Tuyªt Li­u Ðai",,,,,,,,shop_model_bk1,,,,,
203,858,1,,,"(Bµ) Tham Lang Liên Giáp",,,,,,,,shop_model_bk1,,,,,
204,859,1,,,"(Bµ) Tham Lang Hµ Thü",,,,,,,,shop_model_bk1,,,,,
205,860,1,,,"(Bµ) Tham Lang Liên Ngoa",,,,,,,,shop_model_bk1,,,,,
206,861,1,,,"(Bµ) Tham Lang Hµ Oän",,,,,,,,shop_model_bk1,,,,,
207,862,1,,,"(Bµ) Tham Lang Hµ T¤t",,,,,,,,shop_model_bk1,,,,,
208,863,1,,,"(Bµ) Tham Lang Ðai",,,,,,,,shop_model_bk1,,,,,
209,864,1,,,"(Bµ) Chu Lµ Chiªn Bào",,,,,,,,shop_model_bk1,,,,,
210,865,1,,,"(Bµ) Chu Lµ Hµ Thü",,,,,,,,shop_model_bk1,,,,,
211,866,1,,,"(Bµ) Chu Lµ Khinh Ngoa",,,,,,,,shop_model_bk1,,,,,
212,867,1,,,"(Bµ) Chu Lµ Hµ Oän",,,,,,,,shop_model_bk1,,,,,
213,868,1,,,"(Bµ) Chu Lµ Hµ T¤t",,,,,,,,shop_model_bk1,,,,,
214,869,1,,,"((Bµ) Chu Lµ Ðai",,,,,,,,shop_model_bk1,,,,,
215,3519,1,,,"Th¬ ThÕch Ð£c Hi®u",,,,,,,,shop_model_bk1,,,,,
216,3529,1,,,"Lñc ThÕch Ð£c Hi®u",,,,,,,,shop_model_bk1,,,,,
217,3549,1,,,"Trí ThÕch Ð£c Hi®u",,,,,,,,shop_model_bk1,,,,,
218,3539,1,,,"T¯c ThÕch Ð£c Hi®u",,,,,,,,shop_model_bk1,,,,,
219,3554,1,,,"Ngñ Lý Ma ThÕch Ð£c Hi®u",,,,,,,,shop_model_bk1,,,,,
220,3518,1,,,"Th¬ ThÕch Cß¶ng Lñc",,,,,,,,shop_model_bk1,,,,,
221,3528,1,,,"Lñc ThÕch Cß¶ng Lñc",,,,,,,,shop_model_bk1,,,,,
222,3538,1,,,"T¯c ThÕch Cß¶ng Lñc",,,,,,,,shop_model_bk1,,,,,
223,3548,1,,,"Trí ThÕch Cß¶ng Lñc",,,,,,,,shop_model_bk1,,,,,
224,3553,1,,,"Ngñ Lý Ma ThÕch Cß¶ng Lñc",,,,,,,,shop_model_bk1,,,,,
225,3517,1,,,"Th¬ ThÕch Cao C¤p",,,,,,,,shop_model_bk1,,,,,
226,3527,1,,,"Lñc ThÕch Cao C¤p",,,,,,,,shop_model_bk1,,,,,
227,3537,1,,,"T¯c ThÕch Cao C¤p",,,,,,,,shop_model_bk1,,,,,
228,3547,1,,,"Trí ThÕch Cao C¤p",,,,,,,,shop_model_bk1,,,,,
229,3552,1,,,"Ngñ Lý Ma ThÕch Cao C¤p",,,,,,,,shop_model_bk1,,,,,
230,8057,950,,,"Hµp Ng÷c Kim Tinh (Ti¬u)",,,,,,,,shop_model_bk1,,,,,
231,8058,290,,,"Hµp Ng÷c Kim Tinh (Trung)",,,,,,,,shop_model_bk1,,,,,
232,8059,480,,,"Hµp Ng÷c Kim Tinh (ÐÕi)",,,,,,,,shop_model_bk1,,,,,
233,8070,2000,,,"Thiên  SÑ Hµ Phù +10",,,,,,,,shop_model_bk1,,,,,
234,8071,2000,,,"Thiên  SÑ Hµ Phù +10",,,,,,,,shop_model_bk1,,,,,
235,,1,,,,,,,,,,,shop_model_bk1,,,,,
236,4559,1,,,"Sß Ð° Ðan",,,,,,,,shop_model_bk1,,,,,
237,3504,1,,,"Thiên SÑ Tình Yêu",,,,,,,,shop_model_bk1,,,,,
238,6344,1,,,"Thanh Thành Ð® Nh¤t Cao Thü  (2 ngày)",,,,,,,,shop_model_bk1,,,,,
239,6345,1,,,"Ph§t Môn Ð® Nh¤t Cao Thü  (2 ngày)",,,,,,,,shop_model_bk1,,,,,
240,6346,1,,,"Nga Mi Ð® Nh¤t Cao Thü  (2 ngày)",,,,,,,,shop_model_bk1,,,,,
241,6347,1,,,"Bách Hoa Ð® Nh¤t Cao Thü (2 ngày)",,,,,,,,shop_model_bk1,,,,,
242,6348,1,,,"Tiên C¥m Ð® Nh¤t Cao Thü  (2 ngày)",,,,,,,,shop_model_bk1,,,,,
243,3709,1,,,"Kim Tinh Linh Thäo",,,,,,,,shop_model_bk1,,,,,
244,5718,1,,,"Thiên SÑ Bäo ThÕch",,,,,,,,shop_model_bk1,,,,,
245,,1,,,,,,,,,,,shop_model_bk1,,,,,
246,4790,1,,,"Cß¶ng Lñc H°i Pháp Dßþc T¬ (c¤p 3)",,,,,,,,shop_model_bk1,,,,,
247,5602,1,,,"Thanh Long Gi¾i Chï",,,,,,,,shop_model_bk1,,,,,
248,5603,1,,,"Thanh Long Hµ Phù",,,,,,,,shop_model_bk1,,,,,
249,5604,1,,,"BÕch H± Gi¾i Chï",,,,,,,,shop_model_bk1,,,,,
250,5605,1,,,"BÕch H± Hµ Phù",,,,,,,,shop_model_bk1,,,,,
251,5606,1,,,"Höa Phøng Gi¾i Chï",,,,,,,,shop_model_bk1,,,,,
252,5607,1,,,"Höa Phøng Hµ Phù",,,,,,,,shop_model_bk1,,,,,
253,5608,1,,,"Huy«n Vû Gi¾i Chï",,,,,,,,shop_model_bk1,,,,,
254,5609,1,,,"Huy«n Vû Hµ Phù",,,,,,,,shop_model_bk1,,,,,
255,3505,1,,,"Thë Tình Yêu",,,,,,,,shop_model_bk1,,,,,
256,5596,1,,,"Ngû Hành Tinh Höa (7 ngày)",,,,,,,,shop_model_bk1,,,,,
257,5871,1,,,"Kh¯n Tiên Töa",,,,,,,,shop_model_bk1,,,,,
258,5869,1,,,"Hµ Thân Phù",,,,,,,,shop_model_bk1,,,,,
259,5872,1,,,"Thiên Khi¬n L®nh",,,,,,,,shop_model_bk1,,,,,
260,5870,1,,,"Thanh Thân Chú",,,,,,,,shop_model_bk1,,,,,
261,5672,1,,,"Kích Ðäo L®nh",,,,,,,,shop_model_bk1,,,,,
